Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Arignar_Anna_Zoological_Park,Bala Sundari,4.0 of 5 bubbles,Aug 2022,One of best zoo in south India,"This is one of the best zoo's I visited till now.This zoo is at vandalur and we need to pay 90rs as entrance per head and 25 rs for mobile camera.This zoo is spread over large area and we can find lot of animals and birds.There separate areas for each category and there proper sign boards everywhere.There are lot of food shops available inside the zoo.We can find rare anaimals like red handed tamarin,squirrel monkey,various kinds of Macaw parrots."
Arignar_Anna_Zoological_Park,megu,4.0 of 5 bubbles,Aug 2021 • Friends,One day trip for friends and family,"One is the best Zoo in India.There are many things to say about this Zoo.1. This Zoo has a huge range of animals in it.2. The area is very huge, needs atleast an entire day to view all the animals, it's best to take a cycle, Elders and children can use the battery car service, others can walk if they want/can.3. 90rs. per adult, 50rs per child and mandatory to buy tickets for mobile 25rs per mobile.4. Outside food strictly are allowed only in stainless boxes and reusable plastics, but not in use and throw containers.5. The Zoo has a restaurant inside.6. There is also a milk and an icecream parlour inside.7. Car parking available"
Arignar_Anna_Zoological_Park,Jayesh Chandra ... P,4.0 of 5 bubbles,Feb 2020,Nature,"Take all the tickets outside.  The entry fee, the camera fee, the lion safari fee, the battery vehicle fee etc.  The cycle fee is inside if you want to ride a cycle.  and the food inside is so so.  The kids will complain.  But the Lion Safari and Deer Safari can be done first in the morning.  Then go around the Zoo.  The white tiger is beautiful.  So is the Rhino and Hippo.  If you can't cycle, take the battery vehicle, but you will miss many enclosures. The day we visited a lot of cleaning was going on, so it was neat. "
Arignar_Anna_Zoological_Park,Vinodhan Vidhyasagar,3.0 of 5 bubbles,Feb 2020,Visit Early or Wait at long queues.,"We had visited on Saturday and arrived at 10:30 AM against opening time of 9:00 AM. It took about 20 minutes to get the entry tickets. Heck, the ticket counter did not provide any information on the Ticket Options. Note, You would have to pay Rs.25 for cell phone if you wish to take photos with them. We took Zoo Round or whatever name they want to call it for Rs.100. They would take you around the zoo in a Golf Cart. They would stop at few places and let you down. Its best suited for elders. If you are with a kid, choose cycles which can be hired inside the zoo. They also have the Lion & Deer 'Safari' which was a just a waste of time depending on your luck!We first went by Golf Cart and saw the routes and familiarised with the location as the place was extensive. We then went to hire the cycle and went around the park as well. If you want to hire the cycles, please do so by 11:00 else expect huge waiting time as they have limited cycles only. Charges for Cycle was Rs. 30 per hour. Child ( less than 3 years ) they provide with a child seat fixed on front. They also have electric scooter charged at Rs. 90 per hour. They DEMAND a Security Deposit of Rs. 500 for two cycles which was given back! Over all, its better to take Electric Scooter, if unavailable take the Cycle. The food joints was pathetic. Bad enough, You cannot bring your own food as well. However, somehow few other smuggled them which made me wonder how could they do it? Anyway, the food was pathetic. They have drinking water around the park though I would refrain from drinking from them. Water bottles were available. If you are with a kid, better have some snacks and bring it in a box and not in the plastic cover. Inform at entrance as they would allow. Else, you have to deposit it with them. Oh! The animals, well, its to your luck. You can see most of them. However, if the park is crowded, expect animals to take shelter. I felt bad for the Elephant. It was chained and made to stand under scorching sun. Overall, Way lower than Tiruvandram Zoo or Mangalore Zoo. If you havent been to any of those, you would enjoy."
Arignar_Anna_Zoological_Park,ThAnUsHaNaVaS,3.0 of 5 bubbles,Feb 2020,Travelling inside with Buggy cart,"Since it have a vast area , we thought of taking buggy cart to see the Zoo by paying additional 200 bucks for each person ....But unfortunately it was disappointing .... In one hour they cover the zoo visit with just 4 stops .... and each stop will be having just 5- 10 minutes .... I suggest you to walk and see the zoo .....since it have lots of rare species in the zoo ......  like white tiger ...."
Arignar_Anna_Zoological_Park,Gayathri H,5.0 of 5 bubbles,Feb 2020 • Family,Nice place for kids..,"First  time visit here with my kids.  Need more time are all the place to see.  Some animals couldn't see, but some animals we seen ."
Arignar_Anna_Zoological_Park,Lal,2.0 of 5 bubbles,Feb 2020 • Family,V.worst canteen and toilet ..,canteen food prices were high and poor quality food .. toilets maintenance is vvvvv poor. Can make use of e bicycle it's easy to roam around the park. Lion n deer ride was fine ..kids park is good  ebicycle ride 100rs per hour can reduce the rental cost
Arignar_Anna_Zoological_Park,Mrudula,5.0 of 5 bubbles,Aug 2019,Zoo,This is the best place for kids and they enjoy looking at wide variety of animals/species here. It is best visited in the mornings 
Arignar_Anna_Zoological_Park,asmath t,3.0 of 5 bubbles,Jan 2020 • Family,Family Visit ,"I have visited yesterday with family (4 members ).. When i reached the entrance thought of going Lion safari, when i was searching where to take ticket for lion safari then the driver (No name batch - Couldn't find the Names) immediately respond me and told you sit in the van and while you get down you can pay the money to him. I thought that's the procedure.. (Since i am riding first time to lion safari don't know the procedure )After the safari finished driver took me Rs. 400 for 4 adults. (But non of other passengers paid to him). Then only o realized that the driver taking the money directly from the people and keeping it in the pocket.. If this is the practice then imagine how much money will the earn everyday.. (I hope they get the monthly salary ). If this mal practice continues then the zoo revenue will go down and we have to take out this kind of practice from the staff.. Secondly we tried having food in Tamilnadu hotel inside the zoo. Went 5:10 pm in the evening approx. By seeing menu in the notice board i asked for chilly chicken then the cashier told all this menu now not available.. Fare enough.. But then they should not display in menu board and to keep in cashier counter.. At least they should keep the available menu only written on menu board.. When i ask this to the cashier(On his face full of pimples were there No Name batch was fixed. Couldn't take the name) he replied that it's our wish, we keep the food, erase the food, we sell the food or we don't sell the food. Shocked by his answer.. Because i am basically a hotelier from hospitality background.. If at all you are not a kind to people at least you should respect the job and know ur limit.. If you have staff like this will the hotel get revenue?? Because you get different different people from the world everyday.. You may not get the same guest everyday. But the experience at your hotel matters.. This all my observation and wanna to get to the Aringar Anna Zoo - Vadalur Zoo management notice.. Thanks.. "
Arignar_Anna_Zoological_Park,Shubhi06,4.0 of 5 bubbles,Dec 2019,I would recommend it !,"One of the better zoos I have visited in India, full of big cats and reptiles and birds. It is spread in a wide area enclosing parts of natural habitat and a shallow lake. It becomes particularly chirpy during winter migratory season when numerable birds arrive. It boasts few mating centers for big animals as well.They provide bicycle on rent to explore inside. One can bring their food (not in plastic) and enjoy a picnic day. Only tic is if you have a mobile and it has a camera, you will be charged for it."
Arignar_Anna_Zoological_Park,ArpanPahm,4.0 of 5 bubbles,Dec 2019,It is located in Vandalur,This is basically zoological park. It s located in Vandalur. Good place for visit with family. Cleaning and cool environment was really nice.
Arignar_Anna_Zoological_Park,LostMySelfTraveling,5.0 of 5 bubbles,Jan 2019 • Family,It's far away from city but must for children,"Zoo park in Chennai is very far from city. It too long. There was a local  train route. It was too hectic trip. We bought all the snacks outside. They are taking so much care about the environment. They don't allow even the biscuit packet covers and chips packets covers or any other packet covers. But it's a wrong idea I felt. We had to put all the chips, biscuits in a newspaper. So don't carry more if you don't need. Because if there any things remaining all go waste.Once you enter inside book electric vehicle. Otherwise you will have to walk long and lose all your energy in especially if it is a hot summer. There is long queue for electric vehicle ticket counter. Coming to animals, there many varieties. But we lost interest because we had been with elderly people and missed the station as we had been here for the first time by train. Everything went wrong. So it was not a great experience as we already had seen many zoo parks. But small kids enjoyed. "
Arignar_Anna_Zoological_Park,angelmaria,5.0 of 5 bubbles,Dec 2018 • Family,Vandalur Zoo,"Arignar Anna Zoological Park, also known as the Vandalur Zoo, Chennai.The wide range of wildlife seen here includes a variety of endangered species like the Asiatic lion, bison, white tiger, ostriches, Asiatic wolf and many more.A butterfly house along with an insect museum is another popular attraction of this park."
Arignar_Anna_Zoological_Park,Thia M,1.0 of 5 bubbles,Oct 2019,Elephant on Chains,"I took my children there yesterday. We all very sad to see that an elephant chained to tree. It was all by itself and clearly under a lot of distress as it rocked back and forth and whipped the chain around. The area it is kept in is large but has no fence or moat to keep the elephant in. This needs to change. Elephants are extremely emotional, intelligent, social animals, and chaining them to tree alone is incompletely inhumane. I really hope they make changes to this. All of the other animals seemed to have free range of appropriate size enclosures."
