Tourist Attraction,Name,Rating,Date and criteria,Title,Review
B_M_Birla_Planaturium,Amitrpatil,3.0 of 5 bubbles,Nov 2022 • Family,Just normal nothing extraordinary,The planetarium is pretty normal but the onboarding could be better. Unlike nehru planetarium mumbai there is no expert to onboard you to the content. Its more like a theatre with fancy projector. We need to transform our science experiences beyond just ticking the box. Helping common man get excited about science rather than just being low grade entertainment.
B_M_Birla_Planaturium,Krishnaveni S,5.0 of 5 bubbles,May 2022 • Family,Pretty good but can be improved,"The planetorium has many other things luke a science park in open with many things based on science principle. Science nuseum inside with many interactive exhibits, nuclear gallery, fun with mirrors and 3D show. So plan your time keeping all this in mind. The whole package costed 60 for adult so definitely not high priced. They beed to maintain many exhibots which are nor working. The planetorium show was really good"
B_M_Birla_Planaturium,Wil Chung,1.0 of 5 bubbles,Mar 2020 • Solo,Very old exhibits - desperate need of a renovation,Unfortunately the main planetarium was full up so unable to actually review that part .I visited the rest of the science centre and honestly though I could have spent my time doing better things.I would say that all of the exhibits were made in the 1950s and just not been updated or even looked after since then. Exhibits were either pictures/posters and a lot of writing or things to do which were mostly broken...
B_M_Birla_Planaturium,Bhalaji N,4.0 of 5 bubbles,Jun 2019,Best in class sky theater experience,"Not sure how many of them will agree with me. But the sky theater is the best you can get of the trip. the organiser will say any seat is good. Dont buy it if you want a good experience. Take a middle row and not in the path from entrance. You have high chances of missing the full view. ISRO wing is good and motivational for the kids. Zoology section was bad with formaldehyde smell - During our visit, some one pushed a jar down and the fumes were all over. Science wing is good but let not your kids touch any of the exhibits. WE felt a lot of dust. Outside park\play area is good and as usual maintenance is bit poor.Must see is the steamer engine out there. You will get a good feel of how it works. Climb carefully."
B_M_Birla_Planaturium,DrMC,4.0 of 5 bubbles,Jul 2019 • Business,Planetarium under Renovation,"Recently visited this place. All the galleries are really good. Children will definitely enjoy all the interactive displays. A 3D show is also there. Though the display clarity is not there, it is also enjoyable. The sky theatre is recently renovated. All is set for opening. It has a high resolution digital projector. Once it's open, every one will definitely enjoy the hd projections. The old style of circular seating is gone   Now it's only a unidirectional viewing. Projection on the dome and side walls on 360 degrees will make a virtual reality effect. Like to go once it is opened for public. "
B_M_Birla_Planaturium,SMLikestoTravel,1.0 of 5 bubbles,Feb 2019 • Family,Horrible! Don't ever come here!,"So, I took my 9 year old daughter here with great expectations. What a horrible waste of tax-payers money. I would give 0 rating if possible. The planetarium was actually closed for renovation though this was nowhere mentioned on the website. Instead of that, there was a horrible, tacky video with jarring visuals and unclear audio which was shown in a temporary setup. That video and audio quality was so horrible that we did not gain anything from the experience except for a bad headache. We moved onto the Science museum with some hope to salvage the remainder of our trip. But that was not to be. 90 % of the exhibits were not in working condition. For the remaining 10%, there was hardly any information provided on what that exhibit is about . My daughter was totally disillusioned.Don't waste your time coming here. You would be better off showing some natgeokids or discoverykids videos to your children instead."
B_M_Birla_Planaturium,Semmalar Prem,5.0 of 5 bubbles,Apr 2019 • Family,Fun filled place for science education,"The planetarium and 3d show are worth watching. There are 8 - 9 shows per day on various space related topics, in both Tamil and English.Science Park has play things based on physics. My daughter loves it. There are many play activities for children based on pulleys, gears, sound waves, etc.The evolution park has life sized dinosaur models.There is also a play park with swings and slides.The are exhibition gallerys showcasing nuclear power, defense equipment, space etc.The toy shop has interesting models and simple science based toys. There is also a small snacks shop.Children interested in science can easily spend half a day here having fun and learning at the same time!"
B_M_Birla_Planaturium,whirlwindexplorer,1.0 of 5 bubbles,Mar 2019 • Family,PATHETIC CONDITION : HUGE DISAPPOINTMENT,"Visited Birla Plentarium after many years and was shocked to see the utter neglect and disrepair this once attractive place has degenerated to. The Planetarium hall was under renovation and we saw a 20 minute show in a make-shift igloo with broken chairs, unclear sound-track and babies screaming in the hall. In most of the galleries - specially on the first floor, almost all the exhibits are non-functional and broken. Disgusting maintenance. If the authorities cannot maintain the Science gallery, they should shut it down. Utterly shameful with so many foreign vistors come in and we make a laughing stock of ourselves."
B_M_Birla_Planaturium,Ahamed,4.0 of 5 bubbles,Apr 2018 • Solo,3D show,Was worth the visit. Paid just 60 and came out fully satisfied. You can choose between English and Tamil.
B_M_Birla_Planaturium,Chintan m,5.0 of 5 bubbles,Dec 2018 • Friends,Be on moon and stars...,"B M Birla planaturium is an excellent place specially for young minds for knowing some astronomy facts. It runs audio visual programs which amazes the visitors. Solar systems, cycle of starts, seasons etc are worth enjoyable for sure"
B_M_Birla_Planaturium,Ramya S,4.0 of 5 bubbles,Dec 2018 • Family,Good place ,Birla planetorium is set in Kotturpuram near the Rajaji and Gandhi memorials. We should visit place for kids to learn science. 3D show is there to teach science for kids.
