Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Besant_Nagar_Beach,Ajay A,5.0 of 5 bubbles,Dec 2022,Nice Beach,Nice Beach near to Thiruvanmiyur. Quite neat and evenings are more good to visit. Have some street food options as well.
Besant_Nagar_Beach,Pradeep J,4.0 of 5 bubbles,Aug 2022 • Family,It's nice and fun,It's an famous beach in Chennai and it's has world famous church near. It's all lots Street food there.
Besant_Nagar_Beach,Munna Prasad,4.0 of 5 bubbles,Oct 2022 • Couples,Chennai's Best Beach with awesome food,"Also known as Elliot Beach but since it's near the residential area of Besant Nagar, it is also called Besant Nagar Beach.It is accessible by private and public transport but private vehicle is advisable as there is good parking fascility (weekends it's very crowded).There lot of accommodation options nearby the beach.There is a famous Church Annai Velankanni Shrine and Shri Ashtalakshmi Temple. Temple is very crowded on Tuesdays and Fridays.The famous broken bridge is also nearby this beach which is worth a visit only during daylight as it is not safe in the darkThe beach is very clean and well maintained, it is very safe as well. Best time to visit would be either evening or early sunrise.There are many activities to do such as skating, merry go round, shooting the balloons. Eateries like Murugan Idli, KFC, Wow Momo, etc"
Besant_Nagar_Beach,Salomon R,5.0 of 5 bubbles,Aug 2022 • Friends,Beautiful place,One of the best place to visit in the evening with your loved ones. Peaceful ambience with some shore restaurants.
Besant_Nagar_Beach,Balamurugan D,5.0 of 5 bubbles,May 2022,Soul searching and peace beaches,"Best beach experience and activities like balloon shooting and well maintained one. It also has Mcdonalds, Murugan idly shop and sooperstar pizza shop."
Besant_Nagar_Beach,Anmol Katiyar,4.0 of 5 bubbles,Nov 2021 • Friends,Best beach in Chennai city.,"This is the best beach within the city of Chennai (far better than Marina). Beach is clean enough to take a stroll in the evening (but not worth bathing). Also, there are lots of restaurants in the vicinity of beach."
Besant_Nagar_Beach,Sunnywin,4.0 of 5 bubbles,Sep 2022,great beach,"Great beach for people watching and catching the sea air in the evenings, lovely place for a stroll."
Besant_Nagar_Beach,M B,4.0 of 5 bubbles,Jul 2022,Must see,"The weather was amazing when i visited the beach, the beach has a lot of eateries around it, be it local or well established brands, the beach in itself isn't very clean, but better than many that i have seenDo visit in the evenings or early morning!"
Besant_Nagar_Beach,Vinay,4.0 of 5 bubbles,Jun 2022,Beasant Nagar Beach,"It is one of the more cleaner beaches in Chennai. The stalls are on the beach spreading dirt and waste produced is spread on the beach. The people throw the paper wrappers etc on the pavements, roads inspite of dustbins placed for the same.Most of the cafes in and around the beach are very small."
Besant_Nagar_Beach,Sathish,5.0 of 5 bubbles,Oct 2021 • Family,Wonderful beach to visit,It's one the best and wonderful beach to visit with family and friends during weekends and in special occasions to have fun and enjoyment. 
Besant_Nagar_Beach,megu,4.0 of 5 bubbles,Jan 2021 • Family,Peaceful beach,Talking about Besant Nagar Beach it is the chennai biggest and crowded beach of the state. The beach is very good and every year people from country and outside tourist comes to this beach to have fun with family and friends. The travel convince to the beach is very good and once can easily reach there. The accommodation and hotel and also present and nearby to the beach area and once can easily find a hotel in their budget. The local sightseeing is done with the help of local guides and individuals. Talking about the safety the safety measures are quite good developed at that area.
Besant_Nagar_Beach,Rakshith R,5.0 of 5 bubbles,Feb 2021,Nice beach,Nice beach to spend time with family and friends...also theres an elliott memorial here...very good to go in the early morning or evening times...
