Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Chennai_Metro_Rail,Nivedhitha P,1.0 of 5 bubbles,Oct 2022 • Solo,Worst experience in metro,Worst staff in any metro station. Never act polite and very lethargic in passengers concern. We have faced Very rude behaviour many times
Chennai_Metro_Rail,Cyrus,5.0 of 5 bubbles,Sep 2022,Very good and fast,In Chennai this more affordable and comfortable transit. It covers pretty much all key areas in the city but not covers the IT corridors like OMR TAMBARAM etc..
Chennai_Metro_Rail,Mohamed Meeran,5.0 of 5 bubbles,May 2022,Fast,"Best Transportation in Chennai City, Time Saving and cool to travel, On Time Arrival, very comfortable to Travel"
Chennai_Metro_Rail,K S G,5.0 of 5 bubbles,Apr 2022 • Family,"Good metro launch by Indian government .  Good maintain , clean , ","Good Service Good metro launch by Indian government .  Good maintain , clean , But most of the tkt counter employee don't understand other language , they understand only Tamil , you need to help your self if you are not from tamilnadu . Atleast Metro management should give training to atleast understand our national language Hindi or English .Or keep a signboard out side of metro we understand only Tamil, of you don't know Tamil Help your self "
Chennai_Metro_Rail,Satish Kumar,4.0 of 5 bubbles,Dec 2021,Metro ride from Alandur to Tondairpet,This  is a blessing as it cuts shorts of lot of time if people need to travel to North Madras from Alandur. 
Chennai_Metro_Rail,Asha,5.0 of 5 bubbles,Sep 2021 • Solo,Reliable and safe,"The Chennai metro rail is a complete hastle free and comfortable mode of transport when you need to reach your destination. Specially when you want to reach on time as per your plans. I had recently lost my card holder when I was getting out of the station, and the staff had actually preserved it and handed it over to me when I enquired the next day about seeing such a thing. So glad to have received such a favour. Grateful for the Chennai metro rail! :)"
Chennai_Metro_Rail,Rakshith R,5.0 of 5 bubbles,Feb 2021,Awesome,amazing and well maintained metro rail..Not much rush in the metro.. little expensive compared to delhi
Chennai_Metro_Rail,KASI VENKOBA RAO,5.0 of 5 bubbles,Mar 2021,Fantastic Metro,"I landed at Chennai Central on the morning of 12th March.  I had planned to proceed to Pondicherry for which I had to go to Koyambedu Bus terminal. When I came out of station, I was told that there is Metro from Central which takes to Koyambedu. I reached Metro Station. I was wondered to see the station underground. I purchased a ticket to CMBT and reached the Platform. Wow.. It was fantastic.  I was wondering whether I am in Chennai or in any International airport.  Such is the ambience.In two minutes the Metro arrived. The outer door and the Metro door opened. I made my entry into Metro.  In about 25 minutes, I reached my destination. The journey was so comfortable.   Its a really time saving journey. Thanks to Chennai Metro for wonderful  maintenance."
Chennai_Metro_Rail,Mohammed Shoaib,2.0 of 5 bubbles,Mar 2021 • Solo,I dont like it,There is very low AC. The government charges high for tickets saying metro train saying it provides luxury. Is there any difference between ordinary train and metro train other than the fact that it runs underground and it has got orange lights to make it look good.
Chennai_Metro_Rail,travelovermom,5.0 of 5 bubbles,Nov 2020,Great way to avoid the traffic and noise,It’s a shame the metro is not used as much as it should be. It covers the city quite well from the airport and stations are conveniently located. Must be used by more people to reduce road use and traffic 
Chennai_Metro_Rail,Sud D,5.0 of 5 bubbles,Aug 2019 • Couples,Nice asset for Chennai,"I use the Metro whenever I am in Chennai. Clean, efficient and comfortable. Hope they continue to maintain it"
Chennai_Metro_Rail,Hooray H,3.0 of 5 bubbles,Feb 2020,Efficient but ugly,"Another rail built on ugly bridges, just like in Bombay & Bangalore.Do Indians only know how to copy the Thais?I'm sure we can do better.No Aesthetic sense."
Chennai_Metro_Rail,Praveen James,5.0 of 5 bubbles,May 2019,EFFICIENT AND AFFORDABLE,Though the Metro service is still in it's expansion phase but it is really fast and affordable. The interesting feature of Chennai Metro is that the digital clock shows a countdown of the arrival time of every train on the respective platforms...
Chennai_Metro_Rail,Anand M,1.0 of 5 bubbles,Mar 2020 • Couples,"Unsafe stations, hazardous flooring","The Chennai Metro stations are completely enclosed. There is no escape route in case of an emergency - fire or terrorist attack. The flooring too is extremely slippery. Kolkata Metro, the oldest in the country, has thought about this - more than 20 years back."
Chennai_Metro_Rail,Frank Calberg,5.0 of 5 bubbles,Mar 2020 • Solo,Excellent metro,"The Chennai metro is excellent. It runs regularly and on time. It is based on a token system which is easy to find out. It is clean everywhere, and there are people to help at every station. There are clear signs"
Chennai_Metro_Rail,SagarVS,4.0 of 5 bubbles,Mar 2020,Neat and economical,A neat and convenient option to travel in this city. I use it frequently and I have purchased the e-card  which is super cool. My only complaint is that some of the stations are not airconditioned and its difficult during hot days.
Chennai_Metro_Rail,PitoyAmpil1941,4.0 of 5 bubbles,Jan 2020,the Chennai Metro Rail offers a comfortable ride,the Chennai Metro can get one almost anywhere in Greater Chennai comfortably n quick..... if one does not mind doing a bit of walking too.... a cheap alternative to taxis to n from the airport..... some transfers at certain stations may be involved to get where you wish to go..... 
Chennai_Metro_Rail,Ddharaniikota,5.0 of 5 bubbles,Feb 2020,Best Metro,"The stations are super clean and well maintained. Staff is well trained and communicate well. Since I have mostly taken the metros on Saturdays and during non peak timings, I also love the fact that the trains are mostly empty:)"
