Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Connemara_Public_Library,Lucy,4.0 of 5 bubbles,Dec 2021 • Solo,Nice library with a great collection,A quaint library with a fantastic collection of books of all genre. The architecture of the building is itself a marvel.
Connemara_Public_Library,Raguram R,5.0 of 5 bubbles,Mar 2020 • Couples,Brilliant place to see,"This is a hidden gem and a shocker. A thing of such beauty and not publicized is something unpalatable. The library is divided into new lib and old lib. Old lib opens at 10:30am and is a hot to behold. The inside stained glasses, roof top decorations are brilliant. It is under renovation and you are not allowed to see inside. If the government were to charge 100 rupees for each visitor and tied up with tourist agencies, you will get all the money for conservation and maintenance. I would gladly donate more.The wood work supporting each book shelf is exquisite and is unique in each design.Go and see folks, and if possible petition the government to do better on this one."
Connemara_Public_Library,Mrudula,5.0 of 5 bubbles,Aug 2019,publication,This is a very old library with all the publications available in India and it is one of the four deposit libraries
Connemara_Public_Library,Gairik M,5.0 of 5 bubbles,Aug 2019 • Friends,The biggest library of Chennai,The library lies along with the Egmore museum. It has a wide collection of rare books and manuscripts. The Egmore museum gives us a vivid idea of the ancient Tamil history. It even has sculptures and carvings dating back to 150 BC.
Connemara_Public_Library,Niya1315,3.0 of 5 bubbles,Jul 2019 • Solo,Library within Government Museum,"Through Connemara Public Library is in the same campus of Government Museum, no ticket is required to go inside. Good parking facility is available for 2 wheelers. You need to keep your bag outside in the designated area. Not a tourist place."
Connemara_Public_Library,Raghu1943,4.0 of 5 bubbles,Jul 2019 • Solo,Vast library,There are several sections in this library. Periodicals have a vast variety catering to most sections of the society including technical and medical journals. It has lift facility to go to upper floors.
Connemara_Public_Library,Karpagavalli,5.0 of 5 bubbles,Jun 2019,Famous among the scholars,"The building is inside the museum complex and the architecture is of British style as it's built by them when they were here,and houses n number of books under all topics,arthor s"
Connemara_Public_Library,elleninamsterdam,5.0 of 5 bubbles,May 2019 • Solo,Da Vinci Code Library,The new library might be good for reading but the old adjacent building is amazing. Would make a great movie set with the beautiful arches and stained glass windows with an amazing number of dusty paper items. 
Connemara_Public_Library,Maraimalai,5.0 of 5 bubbles,Apr 2018,An abode for book lovers,Connemara Public library is the source of inspiration for every citizen whatever may be his educational level. It has a huge stock of books almost in all Indian languages. If you are a layman without any special interest you can take any book of your choice and get trained as an expert in any subject you want. It has journals in all languages and you can send your time happily. You can also become a member by paying a small amount and take home books of your choice. If you are a student you should not fail to utilize this opportunity. If you are a teacher you should guide your students to use it. 
Connemara_Public_Library,Zinia F,5.0 of 5 bubbles,Feb 2019,National Treasure,Absolutely loved the ambience of the library and the vastness of the campusIt's adjacent to the museum and spellbindingly beautiful..I didn't get to explore the books section all that much to be honest as I was more interested in soaking in the vibes..Been to the permanent book fair and bought 2 books
Connemara_Public_Library,Chintan m,5.0 of 5 bubbles,Dec 2018 • Friends,Awesome...,It is Asia’s one of the biggest library with more than 6 lac books. It has unique way of storing the books as well. Entry for entering the library is free and it is paradise for the book lovers for sure
Connemara_Public_Library,Sri S,5.0 of 5 bubbles,Apr 2018 • Family,Late afternoon visit ,"I reached the venue following an advertisement in the newspaper that a special section of the old block has been open for public viewing. we entered..no entry fee.crossed the periodicals section on the first floor.went past a corridor. climbed down and then up..we entered the place and were awestruck by the magnificent ceiling and the circular reception area.with a wide open mouth walked thru the corridors and shelves sing interesting things like census data and newspapers of all kinds.a statue of gandhiji was really aptly kept in the centre.there were books on display that are more than 400 years. palm leaf manuscripts,architecture related books and books on art. only thing that needs serious fixing is the way the newspapers are arranged.they are piled in Lots instead of being catalogued neatly.  we saw the books arranged on circular tables on the first floor. the stained glass windows panes had an ethereal quality with the afternoon sun shining thru. all in all a happy time for me and my family. we also visited the museum and the art gallery which is located in the same Pantheon compound."
Connemara_Public_Library,Arun,4.0 of 5 bubbles,Nov 2016 • Friends,A big and an old library in Chennai,The library has old books and different sections. It is one of the best places for people who love books and you can also find a small browsing center. There is a section of the library is not accessible to public and they have restricted access.
Connemara_Public_Library,Ghiri T,5.0 of 5 bubbles,Jul 2017 • Friends,A place to get all the books and papers published in India,"It is the one of the old libraries.It is located at Egmore,Chennai.It is next to government museum.This library is named after Lord Connemara (Governor Of India) in the year 1896. It is the place where copies of all books and papers are available which are published in India.It is one of the largest libraries in Asia."
Connemara_Public_Library,Narasimhan G,4.0 of 5 bubbles,Apr 2017 • Solo,Excellent place to sit and read  YOUR choice of Books...,Good collection of Books !From newspapers to Books they have everything to make you study !The place is adjoining the Museum !!Nearby there is a play area for Children.Annual Membership facility is there (renewable every year) Fee is very little
Connemara_Public_Library,Shankar N,5.0 of 5 bubbles,Nov 2015,Massive,"A huge collection of books.  You can find some old.. rare books here.  Not jus the library, the nearby museum and the surrounding lawns are a good spot for some peaceful time and get soaked in the history.  Very very cheap and very good place in the midst of the city."
Connemara_Public_Library,Heiko L,4.0 of 5 bubbles,Sep 2016 • Solo,Make sure to find the old library,"At first, you enter the ""new"" building. It is shocking to see all the books rotting in the shelves, the claustrophobic rooms ... the years of neglect. But when you manage to find the way across to the old library (reading room first floor right back corner), it becomes a different story altogether."
Connemara_Public_Library,Karan440,4.0 of 5 bubbles,Dec 2015,Famous and old library,It is one of the famous and old libraries in Asia. Here you can find lot of old books and there are many sections as well. People who love reading must visit this place atleast once.
Connemara_Public_Library,Kymosavvy,5.0 of 5 bubbles,Feb 2016 • Friends,There is also a 'hidden' library that is a must see,"The public library is interesting but if you go out of the main library using the overhead tunnel bridge you will come to a part that is not open to the public but is a real hidden gem, beautiful stained glass windows, fantastic old teak library shelves stuffed with books including one of the first bikes in Chennai. Up stairs there are piles,of books all over the floor, beautiful Victorian architecture and is a real treasure. We just asked if we could see and were very lucky to be allowed access."
