Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Government_Museum,intrepid spacewoman spiff,5.0 of 5 bubbles,Dec 2022 • Family,Great place for a excursion ,"The building, the collection, architecture, every single thing about this place is steeped in rich history of India the Government museum itself is divided into various sections housing a plethora of stone and metallic artifacts. the added bonus is children's museum that houses toys and various things of a child's interest in a chronological order"
Government_Museum,Eileen108,5.0 of 5 bubbles,Feb 2022,HUGE Sprawling Museum,"This place is absolutely HUGE! Several sprawling buildings house the excellent displays on all subjects from history, plant, animal, culture, everything! Some of the displays are in serious need to maintenance, though. You could easily spend several days here."
Government_Museum,Joseph Carlton,4.0 of 5 bubbles,Apr 2021 • Business,Gothic building and good collection,The museum is an fantastic gothic building and stands out. The collection is quite fascinating. I spent the most time in Bronze statues. Don't miss the sections of bronze from Chola period. Quite a memorable visit.
Government_Museum,sheetal,5.0 of 5 bubbles,Jan 2021 • Solo,Great Chola bronzes,"I am an art lover and how come someone skip the Chola bronzes and you get to see some of the most exquisite pieces of that period. Dancing Nataraja, Kalyansunder, different saints, deity etc all casted painstakingly in bronze. Its just in the centre of city."
Government_Museum,jgkrishnan,5.0 of 5 bubbles,Feb 2020,Museum to visit at Chennai,It is in heart of the city. Nice collections. Good arrangements. Parking facility available. Must see location. 
Government_Museum,Gayathri P,5.0 of 5 bubbles,Feb 2020,Very Informative and must visit place,"One of the well organised and maintained museum in TamilNadu, India.They have seperate wings and galleries for each section and they have exclusive kids museum which will be good learning cum fun for kids. connemara library is also located and functioning in this premises."
Government_Museum,Honisoiquimalypense,4.0 of 5 bubbles,Mar 2020 • Couples,Neat (fabulous) bronze section.,"We paid a flying visit to this Museum to see the famous Chola bronzes.  This is a superb collection of bronzes spread over 2 floors, some dating back over 1000 years. Lost of depictions do Shive, Vishnu and Parvati. The most famous is the Ardhanarishvara bronze which is half Shiva (  male right half)  and Shakti (female left half) each with their respective sensual attributes!We had no time to see anything else - there were neat buildings there but some needing repair!"
Government_Museum,Wil Chung,3.0 of 5 bubbles,Mar 2020 • Solo,Mixture of great and awful,"Visited here solo to take in more of Indian and Tamil life. The museum is made up of a number of buildings each with their own unique galleries. The cost for foreigners is 250 (Indians is just 15). I understand a ""tourist tax"" but the multiple is huge!The good first - bronze exhibits, stone sculptures and contemporary arts were gorgeous. Whilst pretty much everything else was terrible. The natural history exhibits were very old and not really well looked after, whilst the children's museum is pretty laughable (see picture of Indian costumes)It is a good way to spend some time in Chennai, I was just expecting more. Not angry, just disappointed."
Government_Museum,Cathy,4.0 of 5 bubbles,Feb 2020 • Business,Outstanding,The building is magnificent and so is the bronze collection. I spend a couple of hours just at the bornzw sculpture section. Very good place to spend a couple of hours
Government_Museum,AURELIO L,5.0 of 5 bubbles,Dec 2019,see it,"it s an interesting experiene to see the museums,you can begin to study indian art and indian culture "
Government_Museum,Mrudula,5.0 of 5 bubbles,Aug 2019,Suburb of chennai,This is the very old museum in chennai and the architecture is built as in the Indo-Sarcenic style and it has huge collection of articles
Government_Museum,1777NT,2.0 of 5 bubbles,Dec 2019,A typical dull drab Indian Museum,"From the far north of India to the deep south and everywhere in between there a dull drab poorly maintained crumbling buildings purporting to be marvellous museums. The general trend (and I have been coming to India since 1982) is to have little to no illumination, poor signage, glass cases that haven't been cleaned for decades. Nothing to try to attract visitors.The Chennai Government Museum was terrible, construction work going on all over the site, some excavated trenches that had clearly been open for years, filthy inside the building, a large percentage of it ""closed for renovation""  - by the look of it, for the last ten years.  No refreshment facilities, no information for visitors, a few staff asleep on stools scattered around this dire failure, and NO air-conditioning, which incidentally is useful for exhibits as well as visitors.  The system is obviously in need of serious financial input, a good way to start is to have suitable money raising add-ons, like restaurants, souvenir shops, rather than rip-off the foreigners with the disgusting system of charging them considerably more than locals.  Hope British Cathedrals/Museums latch on to that gimmick !!It's a disgrace that such a valuable collection of Cholla Bronzes are impossible to see."
Government_Museum,Milind Kshirsagar,4.0 of 5 bubbles,Dec 2019 • Family,Huge collection but bad maintenance,"It has numerous galleries housing rare collectibles. However some galleries are I'll maintained. Whatever, just go for it. The contemporary art gallery is having original paintings of Raja Ravi Varma."
Government_Museum,Adele Augustin,1.0 of 5 bubbles,Nov 2019 • Friends,Big disappointment ,I am very disappointed with my visit to the museum. We were told that they would close in half an hour right after they sold us the tickets. There is absolute chaos in the complex. Everything is in serious repair and there are no signboards. It is appropriate to keep it closed while repairs are in progress.
Government_Museum,Richard7,5.0 of 5 bubbles,Nov 2019 • Solo,Night at the Museum,"I love museums. If you don't like museums, then this is not the best place to start. I walked from Thousand Lights metro station so was pretty hot when I arrived. Most exhibition halls are not air-conditioned but they have a few fans. I was going to start with the bronzes, but the power was off, and it was pitch black in there. The main section had some windows but it was still pretty gloomy until the lights came on. By now I was ready for more macabre, and the moth-eaten stuffed animals did not disappoint. Take your kids to the Childrens Museum, inside the (airconditioned!) hall there are models of dissected animals and body parts. Elsewhere I found a cabinet with human skulls and best (worst!) of all, a wooden device used for human sacrifice. If you are looking for something else, you may find it in the eclectic cabinets. Some things are pretty shabby, but if you go with an open mind and a bit of imagination, you'll have a good day."
Government_Museum,Bhalaji N,4.0 of 5 bubbles,Sep 2019,Good place lacking lot of attention,"If you have kids, its a must visit. Its filled with lot of valuable things for them to learn. As expected its a poorly maintained place, dusty and little bad lighting. If you spend a a good time one day wont be enough to cover all."
Government_Museum,Ronan P,4.0 of 5 bubbles,Oct 2019,"Some wonderful collections, housed in a poor setting","The artefacts held in the museum are astonishing ,but they are housed in a way which gives concern for the future.The rooms were hot, with fans here and there, but the heat and the humidity are both things which modern museums seek to avoid. The buildings are vast, and filled with treasures. It is, in many ways, what traditional museums used to be before they went all high-tech and interactive. But the content (aside from a few rather horrid examples of old-school taxidermy) is fabulous. The collections of Hindu sculptures is fantastic. Having looked at similarly dated examples in Europe, the Indian statues are far more sophisticated. Incredible objects are found in profusion, but there could be more explanation.Having said that, the buildings (there are several) were filled with ordinary Indian families, who all seemed to be having a good time.I'm really glad I saw the collections.My favourite items were some artefacts from the Indus Valley civilisation, a wonderful little bronze Mother Goddess figure, and some huge copper plate collections of legal documents on gigantic rings, showing a way of keeping vital deeds and contracts in a climate where paper documents, or most other media, would perish."
Government_Museum,Krishnaveni S,5.0 of 5 bubbles,Sep 2019 • Family,Amusing museum but needs maintenance,"It is a vast museum. We saw the main building with various sections inside. There is stone sculptures belonging to various era. The zoology section has skeleton of whale which makes you feel as if you are inside it's stomach. There is sections of reptiles, birds and mammals. It is really well maintained. We also went to the children's section, which has dolls representing various states and also many countries. A walk through prehistoric times to various civilization is very enlightening. Some of the things in the science section is not maintained and doesn't work. Even the playground needs lots of maintenance.We went to the building having the stamp and coins collection. Learnt  lots of thingsWe were very tired by then and skipped the archaeological section. I really wish there was a canteen in the museum complexOn the whole I recommend every one to go there with their kids"
Government_Museum,JPHStVincent,3.0 of 5 bubbles,Aug 2019,a place that is hard to rate,"It is very hard to give an overall rating, some aspects of the museum deserve a 5, others deserve a 1. There is a superb collection of stone carvings and a wonderful collection of bronzes, but the way that they are displayed leaves so much to be desired. At lot of the stone carvings, statues and more, are just in a room, pretty much any how. Some effort has been put into the bronzes, but not enough. Some of the historic sections of the buildings are in desperate need of repair. Work is currently going on, and a number of galleries are closed, but most of the effort seems to be directed towards laying drains in the grounds. This could be a really great museum, but it needs a curator with a vision and (most of all) a decent budget. That said, I would always go back for another visit!"
Government_Museum,bjerkseth,2.0 of 5 bubbles,Aug 2019 • Solo, Beautiful treasures in terrible environment ,"I had so looked forward to see the Government Museum in Chennai, which houses antiquities, a zoological section, etc. one can see that the buildings are pretty old, should not be surprised to hear they are from the time of the British. There are virtually hundreds of statues from various time periods, and from Hinduism, Buddhism and Jainism. Wonderful work in stone. Everything is a terrible setting, either they lack money or the curator does not have a clue. The settings are very old, at times destroyed. Light fixtures are placed close to the Art, so when you want to take a photo, it’s impossible to do a good one without getting a light fixture on top. Labeling is also very badly placed. Background colors are not attractive, plywood in many rooms, which was at times broken. I was super disappointed, and the Government needs to act fast in order to get the Museum up to standard; such a wonderful collection, some of them in old-fashioned, dusty cabinets. Continuing in to the section with stuffed animals. May be good for school children. For others it’s a cabinet of horrors. Stuffed animals from a bygone time (British Raj?). Some lacking fur, some lacking feathers, and a plaster dinosaur up in all of it. Made for very sad sightings. Looking out of one of the windows I saw virtually hundreds of antiquities in the open air, wonderful carvings of various deities, standing among weed. The walkway was so full of weed and grass that I would not dare to walk there, in case of snakes. I tried to find them when I came out, impossible. It did not make matters better when a silver colored bolero car almost drove me down, inside the museum compound. Sad, sorry, but true. All of it. "
Government_Museum,Bala Tripura S,4.0 of 5 bubbles,Jul 2019 • Solo,Nice Architectural musuem,"This musuem had a very nice collection of stone ruins of Amaravathi,Penugonda,Biccavole etc  from AP ,Tanjavur,Pudukkottai of Tamilnadu &bellary of karnataka.There are separate buildings for stone carvings,Bronze,Coins gallery etc.There is a open auditorium where some stone carvins are kept which visitors can touch and take photographs.This musuem is at walkable distance from city bus stop"
Government_Museum,Raghu1943,4.0 of 5 bubbles,Jul 2019 • Solo,Good collection,"It has several sections,stone sculptures,bronze statues,animals, birds etc. Some of the sections were under renovation.Bronze collections are from 10 th century onwards,shows the advancement of technology in those times.There is a section for children also."
Government_Museum,Greengrassbros,2.0 of 5 bubbles,Jul 2019 • Family,Not an amusing museum,"To be fair, we did not go with a guide. That being said, the museum was large and full of objects with no descriptions. Unlike other places in India, there were not guides to hire at the location. The museum had no air conditioning and it seemed that the treasured there were not being taken very good care of. After having seen many of the statues and work in the rightful places throughout the country, this museum was disappointing.The children's museum was very pathetic. There was what could have been a nice play ground in the back that were based on scientific teachings, but a lot of that equipment was rusty and broken or missing vital pieces."
