Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Matsya_Narayana_Temple,Vijay S,4.0 of 5 bubbles,Jan 2023,Excellent location of the temple.,"Located right by the beach, this temple gives us the relaxing feelings with sound of sea waves. There is also a kids temple in the same premise which can be enjoyed by children. There are places to sit and meditate if one wishes to. It is better to go early before the scorching sun is out. Importantly photography is prohibited inside. The beach is right behind and is fairly less crowded. 2 streets away there is also a very good Puri Jagannath temple which has a beautiful architecture."
Matsya_Narayana_Temple,ramatneethi,5.0 of 5 bubbles,Dec 2021 • Family,Excellent,Located near the beach. Calm and quite place. A Vishnu temple with many stone carved pollers each one with the statues of hindu deities.  Very clean and well maintained temple governed by the Chinmaya mission. Visitors can go to beach that's at walkoable distance.
Matsya_Narayana_Temple,Raguram R,5.0 of 5 bubbles,Aug 2022,Wonderful Temple,"Excellent temple. The ambience is wonderful. Was there during the 6PM aarathi and it was a good experience. Temple is neat and clean, almost spotless. The team that is maintaining the temple and conducting day to day activities is very good. I spent a good one hour there. Better be there at about 5pm, enjoy the aarathi and then make a move."
Matsya_Narayana_Temple,Venkataraman R,5.0 of 5 bubbles,Jul 2021,"Unique temple with pillars. Visit the temple, before visiting the beach, as asked by temple authorities","Very different temple with pillars. Pillars are having lots of good sayings, which is a very positive message to devotees. Open temple makes us to feel with nature with sea shore by the side. Lord Narayana is huge and blesses devotees. The temple authorities are asking not to visit temple after visiting nearby beach. So, it is better to visit temple first and then the beach."
Matsya_Narayana_Temple,Karpagavalli,5.0 of 5 bubbles,Jan 2020 • Family,Excellent place,"The place is so divine, statues are so beautiful on a vast area. Maybe a private property, we don't know but we'll maintained. "
Matsya_Narayana_Temple,QWERTY098,4.0 of 5 bubbles,Jan 2020 • Family,Great place to sit and meditate,Awesome open environment.Activities are less tedious.Relaxed templeClean beach next doorParking can b a bit trickyReaching here using Google not best idea. Just turn from main road into Avenue 13 and it will straight down to the temple. Other aveneues have road blocks now. 
Matsya_Narayana_Temple,mPraveenkumar,5.0 of 5 bubbles,Dec 2019 • Family,Beautiful and serene temple by the seashore ,"Must visit this temple if you are visiting Chennai, especially if you are visiting ECR/OMR. It is situated right next to the seashore and you can hear the waves.the temple is open to sky having a great ambience. The perform Sagar Aarthi (Aarthi to the ocean) every Sunday evening and that's a good time to visit the place. "
Matsya_Narayana_Temple,Venkataraman U,5.0 of 5 bubbles,Nov 2019,Listen to the sound of the breeze and the sea amidst a divine atmosphere,"Recently built open temple, with no Gopuram or ceiling, on the sea shore. The main deity is Matsya Narayana (upper half Human, lower half Fish), over 10 feet granite, an avatar of Lord Vishnu""s  Dasavatharam as per the Hindu Mythology. The main deity stands in the centre of a round pond opposite Lakshmi Narayana. There are 108 granite pillars in the temple. There are circular benches to sit and have a peaceful meditation listening to the sound of the sea and the breeze. Remember to walk around the two walking paths, specially created,  looking around the sculptures on the path. Other Deities in the temple include Ganesha, Lord Siva and Hanuman. There is also a Surya Rath (Chariot) made of stone immediately to the left of the entrance. A must visit for the modern day youth and the elders. Unique concept by the Chinmaya Mission. Go in the evening to enjoy the Sun set as well. Pleasant memories."
Matsya_Narayana_Temple,ramatneethi,5.0 of 5 bubbles,Aug 2019,A Totally different Architecture,"A Hindu temple built by Chinmaya Mission. The Matsya Avatharam (Fish, reincarnation of Vishnu) in the Bhagavatham is the idol here. Located near the Uthandi Beach, Chennai, very close to Sea is a very peaceful temple unusually without roof. Very well maintained. All pillars with verses from Bhagavatham engraved will mesmerize the visitor. A beautifully created garden around the walkway inside. They didn't allow photography inside. A beautiful place to visit with family after 5 PM.   "
Matsya_Narayana_Temple,Rajendran,5.0 of 5 bubbles,Oct 2019,Modern beauty,"The temple without Roof, but pillars around, along the Utthandi Beach, has the Lord Matshya Narayana in the centre, surrounded by beautiful garden and walk ways, decorated with small stones, small and Unique , visit early morning or in the evening, since walking around in day time will be very hot"
Matsya_Narayana_Temple,Ritika A,5.0 of 5 bubbles,Sep 2019 • Couples,Peaceful,"Beautiful temple of lord Vishnu, Very clean and well maintained garden. It’s an open temple by the sea...pls visit the temple after 6 pm for Sandhya Aarti "
Matsya_Narayana_Temple,RajeeshRj,5.0 of 5 bubbles,May 2019 • Family,Peace at its best,Excellent place to take your time off of the busy city life...the sounds of the waves and the peace around the place makes it best place to medidate..very peaceful and well maintained place....Om namo narayanaya!!!!
Matsya_Narayana_Temple,Girija Muralidharan,5.0 of 5 bubbles,Mar 2018 • Friends,Matsya Narayana Temple.,"This temple is uniquely located near the vast expanse of the sea in Uthandi, midway between Chennai and Mahabalipuram, Tamil Nadu.  Chinmaya Tarangini is the proud organisation which built  this beautiful open to the sky temple. The tall statue of the Lord is surrounded by 108 pillars inscribed with  1008 names. a very quite and serene palace to sit and meditate and enjoy the beauty of the Nature around you. This place is very well maintened. a must see temple when you are visiting Chennai or residing here."
Matsya_Narayana_Temple,Aishwarya M,5.0 of 5 bubbles,Jan 2019,Hidden gem within 30-40 mins from Chennai,"Lovely, quaint and peaceful temple by the sea built by the Chinmaya mission. There is a huge Mathsya avatar in the centre surrounded with big pillars in the inner ring and small pillar circling the outer ring. There are also wooden benches around the inner ring for you to sit down and meditate or just listen to the sea. Make sure to stop here on the way to Mahabalipuram or Pondicherry. It is better that you visit here on week days when there is not much crowd so you can enjoy the peaceful tranquility"
Matsya_Narayana_Temple,Rsk M,5.0 of 5 bubbles,Sep 2018 • Family,Unique beach side temple with Matsya avatar,"Mesmerising beach side spiritual place, well maintained, midway between Chennai and Mahabalipuram. Open air deity with pillars covering hindy script ( vishnu sahasranam).. Should not miss.. difficult to find. google route is reliable. fantastic clean long beach beside..."
Matsya_Narayana_Temple,meghashyam,5.0 of 5 bubbles,Sep 2018 • Family,Soulful,"The open to sky edifice to Lord Matsya Narayana is beautiful , the whole place is aesthetic , clean well maintained , evening Arati to the Lord n the ocean is something unique . It's just after Iskcon temple by the sea shore ."
Matsya_Narayana_Temple,Sujit Kumar,5.0 of 5 bubbles,Jul 2018,Beautiful and Mesmerising,"Located right besides the beach, this temple is a must visit for everyone around Chennai. The architecture is very unique and not something that usually fit our mental image of a temple. Each pillar around the temple recite a hymn from the famous Vishnu Sahasranamam in different languages on each side and the quiet tranquil atmosphere takes you to a different plane altogether. A perfect place to watch the sunrise and meditate in peace engulfed in nothing but the heavenly sound of waves and a quiet breeze. Great experience!!"
Matsya_Narayana_Temple,Prasad B,5.0 of 5 bubbles,May 2018,Unique of Its Kind !!!,Absolutely distinguished and creative design!!...Only temple on the planet which standing like this - without the roof and that too on seashore.
Matsya_Narayana_Temple,Charan B,5.0 of 5 bubbles,May 2018 • Family,Different experience,"A very different kind of temple. Would suit not just for the spiritual seekers but for ppl looking for a scenic and tranquil place, just next to a clean beach. Wave sounds and calm atmosphere provide an ideal environment for those seeking to meditate!!"
Matsya_Narayana_Temple,Ray S,4.0 of 5 bubbles,Apr 2018,Roofless Temple,A good place to visit by the beach. It is a unique roofless temple. A series of pillars that leads you to the main shrine of MatsyaNarayana. Interesting concept of a temple.
Matsya_Narayana_Temple,rashmi k,5.0 of 5 bubbles,Jan 2018,Beautiful and peaceful,"Awesome location Sri Mathsya Narayana Temple. Om Namo Narayana Mantra mixed with sound of waves at the backdrop. Lovely beach with few people. Wonderful place for a silent evening.Ideal to watch Sun-rise and Sunset. It is not a commercial place. So no vendors other than one flower vendor. Temple shop has collections of devotional song cds, photos, etc. "
Matsya_Narayana_Temple,Sundar V,4.0 of 5 bubbles,May 2017 • Friends,"Myself,my husband& a friend visited Mathsyanarayanar temple in Uththandi this evening. The temple opens by 5 'o clock.","When we travel from Thiruvanmiyur in ECR, take 109 bus which goes to Kovalam or any other bus going to kovalam or Mahabalipuram. Get down at Nayinakuppm bus stop. From there coming back in ECR. YOU take Rajaji salai in the right & your destination is in 15 minutes walk . If you travel by share auto from Thiruvanmiyur you get down at Rajaji salai in the left. The fare is 25 Rs. Rajaji salai comes after a signal& opposite to ADHITHYARAM GROUP  of companies in the right side of ECR. THE evening aArthi is by 6'o clock . B"
Matsya_Narayana_Temple,vidya v,5.0 of 5 bubbles,May 2017,Unique temple for meditation and silence,"One of its kind - sitting in silence in the background of waves sound is a divine experience to be felt in person. Visited at 5.00 pm, would like to visit again in late evening and in moonlight"
Matsya_Narayana_Temple,Chidananda K C,5.0 of 5 bubbles,Apr 2017 • Couples,Matsya Narayana temple by beach side on ECR,"Chinmaya Tarangini (Matsya Narayana Temple) is a very unique open air temple next to beach is a nice place to visit. Open in morning and evening.Every Sunday morning Gayatri Homam is performed @ 6.00 am and is free for all. Anybody who is interested can attend. A great service to the public, My sincere thanks to Chinmaya mission."
Matsya_Narayana_Temple,Sriram_064,5.0 of 5 bubbles,Mar 2017 • Family,Matsya Narayana Temple is a great temple to visit in Chennai...45 minutes away from Adyar / Thiruvanmiyur,"This is a quiet temple on the East Coast Road with an open air meditation centre. This is very close to the beach. Evenings are very pleasant here and the only sound you hear is the noise of the sea waves leaving you free to meditate while enjoying the cool sea breeze. The temple has 108 pillars with writings of the 1000 names of Lord Vishnu with explanations in English (Sanskrit & Tamil also used). There are also Lord Ganesha, Lord Siva and Hanumanji in the complex besides a Gita Upadesa chariot. Chinmaya Mission has created this wonderful temple and maintains it very well."
