Tourist Attraction,Name,Rating,Date and criteria,Title,Review
San_Thome_Church,TSinParis,3.0 of 5 bubbles,Jan 2023 • Couples,Interesting Enough,"Coming from Europe where there are so many beautiful churches and cathedrals, this one seems a bit ordinary.   However, in a city that does not really have too many stellar tourist attractions, this church is on the must-see list.   Moreover, it is interesting to note that Indian Catholics seem much more devout than European ones."
San_Thome_Church,TwinMamaNYC,5.0 of 5 bubbles,Jan 2023,Beautiful and interesting Church,"Come to see the Church, where you will see Jesus on the cross robed in a distinctly Indian way.  Also there is a relic of St. Thomas the Apostle, and Our Lady of Mylapore. St. Francis Xavier once prayed in front of this image of Our Lady, when he was in Madras."
San_Thome_Church,Chennai Green Cabs,5.0 of 5 bubbles,Jan 2023,"CHENNAI GREEN CABS, CAR RENTAL, OUTSTATION CARS OFFORDABLE PRICE","best place in chennai we visited shrine by taking chennai green cabs cabs from chennai, all went good"
San_Thome_Church,Andrew D,4.0 of 5 bubbles,Dec 2022 • Solo,Exceeding expectation,"I am not usually a fan of churches, but this is susprisingly good. It is one of the only three churches in the world built on a tomb of a disciple. The building is imposing and it is lovingly located on the same street where a Muslim mosque and Hindhu temples can be found, talk about multi-cultural!"
San_Thome_Church,Sunnywin,5.0 of 5 bubbles,Sep 2022,History,A beautiful church but wow what a history. One of only three remaining churches in the world built over the tomb of one of Jesus' disciples. 
San_Thome_Church,Eileen108,5.0 of 5 bubbles,Feb 2022,Must Destination when Visiting Chennai,Beautiful church with a separate chapel where the burial and the relics of St. Thomas are kept. Peaceful place for contemplation. This is a must destination when visiting Chennai!
San_Thome_Church,Jayanta Mitra,5.0 of 5 bubbles,Mar 2021 • Family,Tomb of Saint Thomas The Apostle,"Santhome Basilica is one of the three known churches in the world which was built over the tomb of an apostle of Jesus. It holds the tomb and relics of Saint Thomas The Apostle, a patron saint who had lived continued service to Lord till his last days. The cathedral is absolutely breathtaking and phenomenal. The architecture is really impressive specially neo gothic structure with white facade and colourful stained window glasses. The calm and comforting interior has an aura of peace to it, inviting all those who seek peace and tranquility. Indeed the most beautiful church I've ever been to. Definitely a must visit place if you are coming to Chennai."
San_Thome_Church,Bette59,5.0 of 5 bubbles,Dec 2021,Beautiful,It was moving to see where St. Thomas has tomb and church in recognition of his mission in India.  The church has beautiful altar.
San_Thome_Church,Karthik,5.0 of 5 bubbles,Aug 2020,one of best Roman Catholic Church,"during the festive feast visited there rarely missed Bothuma, the tears cant control during mass, the architecture were surprised "
San_Thome_Church,John Tenis,5.0 of 5 bubbles,Jul 2021 • Family,Very Beautiful church in Chennai.,A very Beautiful church in Chennai I have visited. I Gothic style of the church is loved by my family.A a very sacred tomb of Saint Thomas under the church.
