Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Sathyam_Cinemas,Supriya,5.0 of 5 bubbles,Mar 2021 • Couples,Awesome customer service,I have booked private screening in sathyam cinemas. Customer service was top notch and really appreciable. Big thanks and shout out to the staff Dineshwaran. He was so helpful in arranging things to us. The best service we have ever experienced
Sathyam_Cinemas,Dr P Nagaraj,3.0 of 5 bubbles,Feb 2020 • Solo,Classic Theatre 🎭,One of the finest decent theatre with ambiance and great 👍 Hygienic restaurant as well Helping Staff with Concerned
Sathyam_Cinemas,Jaykann,5.0 of 5 bubbles,Dec 2019 • Friends,Simply best in town,"Sathyam cinemas is always the best regardless of all other new multiplexes. It's not just movie that you watch but it's an experience there. Great quality picture and sound system. Clean, hygienic and very well maintained. Worth spending each penny there. Best hangout place in Chennai. "
Sathyam_Cinemas,arnold ahmed,5.0 of 5 bubbles,Oct 2019 • Couples,Solid Bass sound,Sathyam one of the best cinemas with not much competition may be from ags and pvr. Sound is good although after you exit the streets are not pleasant. 
Sathyam_Cinemas,Arogya Raj,5.0 of 5 bubbles,Oct 2019,Famous for Buttery Popcorn,"A Unique brand and it is one of the best theater in Chennai city. Well maintained Walking area, Washrooms, Cafeteria, Bike & Car Parking Places.Reasonable two wheeler and four wheeler parking rates ₹10 for bikes, ₹20 for Car. It is one of the Wonderful Place to go for movie with all types of relationship Peoples. Sound quality is excellent and Never miss to have buttery Pop Corn & cold coffee and cream donuts."
Sathyam_Cinemas,Mitesh Bhandari,5.0 of 5 bubbles,Dec 2019,Pride of Chennai,This is the best hang out places of Chennai. Quality of Cinema to Next Level. Popcorn is a must! Obviously with some Cheese seasoning (Freeeeeeeeee)
Sathyam_Cinemas,Mohammed khan,5.0 of 5 bubbles,Dec 2019,Movie 🎥 time in Sathyam cinemas,Sathyam cinemas are good choices to visit watch movies 🎥 in cinemas First show watch in elite B6 and 2nd show in elite c13 totally are different experience If you’re in Chennai enjoy your some time in Sathyam cinemas 🎥🎥🎬🎞📽
Sathyam_Cinemas,#amosamiyanayek🎧,5.0 of 5 bubbles,Nov 2019 • Friends,🎥,"my favourite always... management are perfect and professional, insight of the theatre   gaming zone own branded food court and play area for kids... "
Sathyam_Cinemas,LostMySelfTraveling,5.0 of 5 bubbles,Dec 2018 • Couples,The best maintained multiplex in the heart of the city.,It is the first multiplex I watched movie in Chennai and felt awesome. But the opinion. You will find very spacious parking area. Easily accessible from Mount Road. The food and snacks are also AWESOME. it's easily  accessible as it is close to 1000 lights mask on Mount Road. Great parking place. The entire area behind the multiplex is dedicated to parking. And it is very huge. 
Sathyam_Cinemas,Abdul wahaab,5.0 of 5 bubbles,Oct 2019 • Couples,Best theterical experience,One of the most famous theater in the city which is located on the place where the traffic will be always quite high Best theterical experience and seating were very comfortableLast but not least Sathyam popcorn is the best popcorn 
Sathyam_Cinemas,Dr Javed Rasheed,4.0 of 5 bubbles,Oct 2019 • Couples,Sheer Nostalgia ,"Though I don’t go the movies much now and when I do it’s occasionally but this theatre brings back a lot of old memories of my medical student days.I first visited this theatre in August 1975 when the iconic blockbuster movie “ Sholay “ was released and coincidentally I joined my MBBS  in Madras Medical College in the same month and have seen a lot of blockbuster movies in that theatre in my student days.Going back there was sheer nostalgia though it had three theatres then with Sathyam as the main complex.These days are days of Multiplex and complexes with a lot of focus on eatables & snacks and it’s a costly affair especially in some theatres that offer you gold class but going down the memory lane those days the ticket then seemed like pittance when compared to the present trends and changing times of availability,affordability and luxury.Those were days when home theatres were not there neither Netflix or Amazon Prime ! It was booking ( not on line ) no movie apps on cell phones ( there were no cell phones then almost 45 years ago when one went with friends or the family to enjoy a movie with ones loved ones in a movie theatre which was a sheer delightful experience especially if the movie was good as one enjoyed the ambience experience,company... it was indeed sheer delight !Dr.Javed Rasheed"
Sathyam_Cinemas,G Muralitharan,5.0 of 5 bubbles,Sep 2019 • Family,Sathyam is Sathyam,"Move starts on Dot. Very comfortable in terms of seating, accessibility and ambiance.  Very good service and customer friendly staff. Centre of the city and always gives comfort when we watch movie only at Satyam."
Sathyam_Cinemas,ushatr,5.0 of 5 bubbles,Sep 2019 • Friends,Movie mania....,"It's the best place in the city to watch movies....its always buzzing with crowds and loud chatter. Young, old, toddlers, babies everyone is here to watch the story unfold. Great food and popcorn in large quantities. Moviegoers ....place!!"
Sathyam_Cinemas,Amudhan Senthan S,5.0 of 5 bubbles,Aug 2019,Always the best for an awesome movie experience,"The best place to go when it comes for movies. World class movie watching  experience is assured, once accustomed to this you will never be satisfied  with  any other cinema halls in the city. Don't miss the best n tastiest popcorn during the intermission break. An overall  satisfaction assured."
Sathyam_Cinemas,Cyrus,5.0 of 5 bubbles,Nov 2018 • Couples,One of the best place for movie in Chennai ,"I always like to go to sathyam cinemas, as its one of the good screens in Chennai. Parking is fixed not hours based like other malls. Popcorn and other food is less expensive compared to the other big screens like pvr inox etc... "
Sathyam_Cinemas,KS SUNDHARESUN,5.0 of 5 bubbles,May 2019,fantastic experience,"nice interior, good food and ample car parking. nice interior, good food and ample car parking.nice interior, good food and ample car parking.nice interior, good food and ample car parking"
Sathyam_Cinemas,rajm,5.0 of 5 bubbles,Aug 2019 • Couples,Great cinema,Its the best movie theatre in chennai and I'm sure one of the best in India.. It has great screen amazing sound great seats and also the canteen is the best in India.  It's a unique experience. Try the cake shop in the ground floor it has some amazing desserts.. 
Sathyam_Cinemas,Salsa Praveen,5.0 of 5 bubbles,Jul 2019 • Friends,Amazing experience,Sathyam is one of the trusted movie spaces in Chennai with over localities in different areas. Amazing popcorns
Sathyam_Cinemas,Ganesh K,1.0 of 5 bubbles,Jun 2019 • Friends,Movies in wrong hands,Since they're having name and they don't care for anything. Staff's are very rude. Parking ticketing snacks counters are not maintained properly even toilets are stinking. Very small lift to all the floors. No proper direction sign board. Don't spoil your movie experience in a wrong place.
Sathyam_Cinemas,harish,3.0 of 5 bubbles,Mar 2019 • Friends,Snacks at theatres🎭 = sathyam cinemas,"Good for watching movies Best for ""Snacks at theatres🎭 = sathyam cinemas"" Aspeciall popcorn  with top loads is amazing "
Sathyam_Cinemas,LostMySelfTraveling,5.0 of 5 bubbles,Aug 2018 • Couples,The first multiplex theatre I visited in Chennai,I love this theatre. Its very close to thousand lights mosque and mount road. So there is no problem of public transport. Parking space is also very huge. Very systematic maintainance of the theatre makes your visit so memorable. 
Sathyam_Cinemas,Arihant Katariya,5.0 of 5 bubbles,Jul 2019 • Family,Super Theater With Very Big Screens,Super Theater To Watch Movies..We Visited 1st Time And Watched Kabir Singh In The Theater..The Sound Clarity & Ambience In The Theater Was Very Good..Butter Pop Corn @ The Theater Is A Must Try @ A Reasonable Price..
Sathyam_Cinemas,DSKTraveller,4.0 of 5 bubbles,Mar 2019 • Couples,For a comfortable movie watching experience,"Sathyam Cinemas are meant for those looking forward to a comfortable movie watching experience. The movie halls are well maintained and the eating options are of high quality. Sathyam Cinemas in Royapettah is the parent theatre of the Sathyam group (now purchased by PVR) in Chennai. Unlike its other cinema halls located in the Express Avenue and Forum Vijaya Mall, this is located in a slightly congested locality. However, the movie halls are clean and offer a good experience for the movie goer. The food sold in the canteen is of good quality. Some of the favourite items include the cream doughnut, vegetable puffs and chat items. For those who love popcorn, their varieties are the best. Only thing is you have to buy those big tubs of popcorn unlike the earlier days when they would serve in smaller quantities. The ID restaurant is also located inside the complex. Parking of vehicles, especially cars, is quite a task though. It is generally recommended that you reach there early if you want a parking space."
Sathyam_Cinemas,TE K,3.0 of 5 bubbles,Apr 2019 • Friends,Entertainment,I visited this place with my friends. Those who want to watch Telugu movies it is one option in Chennai.
Sathyam_Cinemas,Suresh V,4.0 of 5 bubbles,Feb 2019,An electrifying place to enjoy a movie..!,"Setting standards in movie watching.. probably one of the pioneers in Chennai, has been doing a good job to maintain the class and offerings.  Very hitech and awesome experience.  The road being one way, the parking is a bit circularly confusing - keep 10mts etc for parking itself. "
Sathyam_Cinemas,Hari Shankar,5.0 of 5 bubbles,Apr 2019 • Friends,High class movie complex,Nice place to watch movies with friends and family. One of the best and good theatre in Chennai. Always improving better. Good screen and sound quality. Parking facilities and arrangements are good. Highly recommend. 
Sathyam_Cinemas,Kandaswami Aravind,5.0 of 5 bubbles,Jan 2019 • Family,Most favourite cinema hall,Best cinima hall in Chennai. Good maintenance. Quality service. More comfortable place to watch cinema in city with parking.
Sathyam_Cinemas,Vikram J,5.0 of 5 bubbles,Mar 2019 • Couples,Best theatre of city,Best theatre of city. Excellent screen sound and interior. In city so cheap parking and must try their popcorn with different flavours
Sathyam_Cinemas,K V K,4.0 of 5 bubbles,Jan 2019 • Family,Satyam,"Satyam cinemas is a multiplex theatre complex. Multiple cinemas are screened at the various screens. The halls are well equipped. The sound system is indeed good. The seating arrangements are also good. The vehicle parking place is vast and can accommodate a good number of vehicles, both 4 wheelers as also 2 wheelers. The theatre complex has retained the old charm to a great extent. The only drawback is that the theater is in a small road."
Sathyam_Cinemas,JumboMumbai,4.0 of 5 bubbles,Dec 2018 • Friends,Lovely case of rejig,One has to stay with the times.. especially if in the service industry And this is a lovely exampleThe thetre leaves little from old times for good measureAnd is a throbbing successAmple parking... good food.. and of course great movies
Sathyam_Cinemas,Khyati,4.0 of 5 bubbles,Aug 2018 • Family,All in one,This cinema has eating area along with game zone.. kids love it too.. big screen and nice seating they offer..
Sathyam_Cinemas,Harshil Mehta,5.0 of 5 bubbles,Feb 2019 • Friends,Amazing Theatre,"Good experience, Good Multiplex. The popcorn always taste the best, the restroom was very neat and clean, concessions counter was really well maintained, staffs were very helpful and kind, movie experience was as always amazing"
Sathyam_Cinemas,SrikanthSivaraj,5.0 of 5 bubbles,Feb 2019 • Family,Always a good experience,Satyam is an iconic multiplex in Chennai. Good to see that the movie halls are maintained clean and the experience is still as good as it used to be.
Sathyam_Cinemas,Aparna R,4.0 of 5 bubbles,Dec 2018,The best place for a movie watching experience in the heart of Chennai,"Being not much of a movie goer, if I need to watch a movie, then  I would watch one , only if there are shows either  in Sathyam cinemas or at Escape. right from entering the car park, until you find your seat, one is always welcomed by courteous staff.  As for this particular visit, since the show had begun with the screening of advertisements, due to whihc the lights had already dimmed out, we struggled our way to our seats as there was no, numbering. Luckily we could locate our rows easily. However, one had to quickly count and check if we were going towards are reserved seats only. I wish the seats had numbers displayed and glowing in the dark.We had  in the past had  the snacks &  beverages delivered to our seats, but I dont seem to see that practice anymore, I wonder why? "
Sathyam_Cinemas,Harvey,4.0 of 5 bubbles,Jan 2019 • Friends,Very good experience,"Was at Sathyam Cinemas to watch the Rajinikanth starrer Pettai with a friend. I was visiting this cinema after over two decades. They have really done it up very well - the theatre has leather, spacious seats. You get good snacks (not cheap though). The restrooms are clean and well maintained. Corporatisation has done a world of good for this cinema."
Sathyam_Cinemas,umang p,4.0 of 5 bubbles,May 2018 • Friends,Weekend program,"One of the best in Chennai. The parking is cheap as well probably because it’s their own place and they aren’t renting the place out but it’s a huge plus for people who head to the theatre a lot. The seating is good and the popcorn is the best I’ve had (especially the topping flavors).The parking lot is huge which is a plus but the token system for the parking is not a good one, especially when you are heading out after the movie.There is a cafe as well within the same premise including a video arcade. Overall a very good experience, this place."
Sathyam_Cinemas,Anusuya D,5.0 of 5 bubbles,Oct 2018 • Family,Great Satyam cinemas,"Great multiplex theatre in Chennai. Excellent sound effects, good seating arrangement, cleanliness, and tasty snacks at the theatre outer places"
Sathyam_Cinemas,pushpa p,5.0 of 5 bubbles,Sep 2018 • Family,Cinema na Sathyam cinemas!,"Ever since I knew what films are, it's been Sathyam cinemas.. place is tooo good to be left out... Even if there are many new cinemas coming up, Sathyam remains like a home.. the comfort that one can get here, I don't think any other theater offers such a comfortable place for family audience... People come with families, friends and kids... Comfortable and looks good.. love for the cream bun n chocolate bun never faded😋 lovely place, but parking takes more time, so plan it accordingly! "
Sathyam_Cinemas,Sridhar K,5.0 of 5 bubbles,Dec 2018 • Couples,Great Multiplex,Excellent Multiplex.  Great seating! excellent audio!  Great ambience! good food! neat and clean toilets!
Sathyam_Cinemas,PTG1976,5.0 of 5 bubbles,Dec 2018 • Friends,A Tamil movie at Satyam cinema,"I visited the Satyam complex after a few years to watch a movie with colleagues. There have been good improvements. The walkway into the hall is broad; the steps are broad and well lit. The seats are comfortable. The acoustics were excellent. Only the snacks like popcorn have become expensive.  The row car park is functional but if after the movie, one car gets delayed or if a car owner wants to leave in the middle of the movie, it becomes impossible to leave."
Sathyam_Cinemas,Curious793410,4.0 of 5 bubbles,Jan 2019 • Family,Nice theater ,"Theater seating is very comfortable,  but too much of crowd because of new year,  yearly three times I used to watch movies there "
Sathyam_Cinemas,maheshk19,5.0 of 5 bubbles,May 2018 • Friends,Cinema Heaven,"Close to heart theatre for all cinema lovers. Popcorn, DND and Blind date are unique features of sathyam, one should definitely try atleast once. "
Sathyam_Cinemas,justin s,5.0 of 5 bubbles,Dec 2018 • Couples,Best sound effects,"We have gone for a movie a while but this time we have choosed sathyam main screen, Wat a sound effect it's very clarity and surrounding perfect theatre to enjoy ur holidays."
Sathyam_Cinemas,shyam K,5.0 of 5 bubbles,Dec 2018 • Friends,"Best Cinemas in Chennai for movie , food, VR and kids care","The sathyam cinemas is truly a landmark in Chennai. Not only did it revolutionize the movie effects with state of the art display and sound systems, but also redefined the movie experience with gourmet food.The Sathyam pop corn is probably the best. Best entertainment place in Chennai "
Sathyam_Cinemas,Sharath power,3.0 of 5 bubbles,Apr 2018 • Friends,Nice Sathyam cinemas,Me and my family watch film nice interval foods simply good weather not bad say anything you are really enjoy this place simply
Sathyam_Cinemas,VijayKB,4.0 of 5 bubbles,Nov 2018 • Family,Best multiplex in city centre,"Conveniently located multiplex in heart of city. Very comfortable seating, good interiors and sound system. Easily accessible. Cheapest parking. Fantastic south indian eatery ID is located within the multiplex. Excellent for family outing."
Sathyam_Cinemas,Thiru71,4.0 of 5 bubbles,Oct 2018 • Family,Aware of Parking...,"All new comers to Sathyam Cinemas will have irritating experience when they are in 2 wheeler or 4 wheeler. Because they will cross the parking area in Whites road and land before the theatre in Peters Road, where the security would should to make a round about. Both Car and 2 wheeler parking are open. Snacks in the Cinemas are good with reasonable price. Must to visit place in Chennai."
Sathyam_Cinemas,Karthik,3.0 of 5 bubbles,Nov 2018 • Solo,Main screen sound system not good,I am a big fan of sathyam cinemasNow sathayam main screen they changed qsc speaker to sls speaker.Qsc is the best speaker and best low frequency effect.
Sathyam_Cinemas,Jothilingam E,5.0 of 5 bubbles,Oct 2018 • Family,One of best,One of best cinemas in the heart of chennai..must visit and also enjoy the tasty food in nearby places
Sathyam_Cinemas,venkat-Chenai,5.0 of 5 bubbles,Oct 2018,Theatre with great ambience,"This theatre is quite centrally located with beautiful interiors, offers pleasant viewing experience and good sound systems. Truely worth"
Sathyam_Cinemas,Suresh M,4.0 of 5 bubbles,Oct 2018 • Friends,Top class cinemas ,"Well made , comfortable seating, top class sound system . All these features make it an enjoyable experience to watch a movie.Moreover a large variety of food is available and can be served at your seat in the theater. "
Sathyam_Cinemas,arti b,3.0 of 5 bubbles,Oct 2018 • Friends,Located at whites road with a big parking ground,"It is a cinema hall with okayish sound system, wide seats, not too wide leg space. There is ID restaurant inside. Lift is too small. Be prepared to climb the stairs only. Or you need to wait for 10 mins at least to get into lift."
Sathyam_Cinemas,nandad602,5.0 of 5 bubbles,Sep 2018 • Family,Comfortable place to view movies,Viewing movie at Sathyam Theatre is awesome. You can relax and enjoy the experience. More than watching movies you feel that you are in a most friendly place. The experience of watching is also so good which makes you to totally involve in the movie and you can feel it also. Happy and safe movie experience with family only at sathyam theatres.
Sathyam_Cinemas,Akhil P,4.0 of 5 bubbles,Sep 2018 • Friends,Time to enjoy with friends,Good sound system huge screen with a visual treat very enjoyable atmosphere with decent amount of food we get there
Sathyam_Cinemas,Reetesh K,5.0 of 5 bubbles,Sep 2018 • Friends,Best Multiplex,Chennai's best multiplex in all aspects be it seating or sound or screen everthing in of high standards. Don't miss the popcorn here. It is <3.
Sathyam_Cinemas,kundu94,4.0 of 5 bubbles,Sep 2018 • Couples,Food price is very reasonable,Compared to other multiplex Sathyam Cinema is so cozy and easy to park and get out from the hall at the end.
Sathyam_Cinemas,Ayesha F,3.0 of 5 bubbles,Jul 2018 • Solo,One of the oldest in Chennai,"Although the Halls are not as trendy as the latest theaters, but the screens are big enough. Still one of the most popular places to catch a movie. Tip: Do cross over to the main road to check out the oldest bookstore in Chennai, now operating as Writer's Cafe. "
Sathyam_Cinemas,Alwardurai,5.0 of 5 bubbles,Aug 2018 • Couples,Couple visit,"One of the important place in Chennai, everyone should visit Satyam cinema's since this one have a big screen in Chennai.. "
Sathyam_Cinemas,cinthu88,5.0 of 5 bubbles,Jul 2018 • Couples,Watch cinema,It was really worth to watch movies in this theatre. It was really neat and clean. Parking also low price . 
Sathyam_Cinemas,Terence S,5.0 of 5 bubbles,May 2018 • Couples,Excellent movie ambience.,Sathyam has multiple screens in a location in the heart of Chennai. Adequate parking facilities and great snack options
