Tourist Attraction,Name,Rating,Date and criteria,Title,Review
The_Huddleston_Gardens_of_Theosophical_Society-Chennai_Madras_Chennai_District_Ta.ht,PitoyAmpil1941,5.0 of 5 bubbles,Jan 2020,Huddleston Gardens is ALSO called the Big Banyan Tree,"the Banyan Tree is about a 2 kilometer walk from the two gates of the Theosophical Society campus' Main Gate and the Green Gate... within in the area is the Blavatsky Hall for conferences n meetings as well as the Leadbeater Chambers (for visiting TS members).... a big campus with some 8 other temples, churches n over a hundred structures that can house the Society's year end conventions attended by TS members from about 30 countries around the world..."
The_Huddleston_Gardens_of_Theosophical_Society-Chennai_Madras_Chennai_District_Ta.ht,bjerkseth,3.0 of 5 bubbles,Aug 2019 • Solo,Oasis in urban jungle,"Had to travel nearly 40 minutes in this humongous city to reach, and came in by a back gate. The weather nice, and the garden sort of wild, with plenty of trees, a real oasis. The pride is an old Banian tree, measuring 70 x 100 meters, but it’s difficult to get a sense of it, as the Banyan is sending DOWN air roots, which will take root, and it looks like a forest by itself. However, I take them on their word. It was nearly empty, a work day - so I had the garden almost for myself. Beautiful magenta water lilies, some other lilies among the grass, and at least two tall trees full of mega bats, which I think are Flying Dogs, sort of. They made bird like sounds. It was also a loud choir of bird song.Along one of the roads were temples, and churches for different religions - a liberal Catholic Church (whatever that might be), a Hindu temple, a Singh shrine. All in all, I made the round in an hour or so, and was back in ChennI reality coming out of the main gate. Thousands of cars, scooters, tuktuks, fumes and exhaust, noise and serious pollution. Glad I went there, will I go again? Don’t think so. And I had a serious feeling that the Theosophical Society is a dying breed. "
The_Huddleston_Gardens_of_Theosophical_Society-Chennai_Madras_Chennai_District_Ta.ht,roshu6682,4.0 of 5 bubbles,Jul 2019 • Solo,A calm and peaceful place for a good stroll. ,"Despite being a resident of Chennai for nearly 12 years now and staying for some time close to the locality yet it took me a long while to visit the theosophical society gardens, the reason is simply due to the inconvenient timings when visitors are allowed. This place has free entry but only on weekdays from 8:30am to 10:30am and then again from 2pm to 4pm which happens to be the least favored timing for any Chennai resident to venture outdoors due to the heat. Early morning and evening walks are hence not a possibility and that is a shame because the canopy of trees and pathways are delightful and an early morning or evening walk accompanied by bird song would have been the best way to experience the place. I happened to be there in the vicinity and had 1 hour to kill as i was waiting for someone to turn up and hence decided to drop in as it was a hot but not so sunny day. A stroll of 1.2 kms was comfortable and there is good tree cover and foliage to delight the walker. Trees were named with little boards displayed but there were no proper gardens to linger on. Benches to relax were also very few. No drinking water facility hence do bring your own water if you set out to walk. The banyan tree is more like a complex of trees now and is mind-blowing to behold. The place is clean and dust bins are set up hence pls do not litter. Recommended for nature lovers. Kids would get bored. One star less due to unreasonable visiting hours and lots of scope to develop the place into a blooming garden attraction which Chennai lacks. "
The_Huddleston_Gardens_of_Theosophical_Society-Chennai_Madras_Chennai_District_Ta.ht,Barbara R,5.0 of 5 bubbles,Dec 2018,Beautiful Foliage,Trees and bushes from all over the world are in abundance. The air was clear and the grounds were magnificent. 
The_Huddleston_Gardens_of_Theosophical_Society-Chennai_Madras_Chennai_District_Ta.ht,JANET S,4.0 of 5 bubbles,Feb 2019 • Business,Must visit.,"Nothing really fancy, just a ""must visit.""  The book store is well-stocked with many books by several authors.  Anyone of the 60s would have a nice time here.  Check for when flowers are blooming.  Double Check for dates closed, i.e., Christmas day is closed.  When you get dropped at one of 2 gates, just follow the road for about 20-30 minutes to get to the other gate."
The_Huddleston_Gardens_of_Theosophical_Society-Chennai_Madras_Chennai_District_Ta.ht,RavikumarEswaran,5.0 of 5 bubbles,Dec 2018 • Family,Amazing plac,"When you are in chennai, you must take  a walk in this place. Lot of flora and fauna. Very calm and serene environment."
The_Huddleston_Gardens_of_Theosophical_Society-Chennai_Madras_Chennai_District_Ta.ht,Delaine J,5.0 of 5 bubbles,Dec 2018,Heaven on Earth,"Staying at the Theosophical Society Grounds and Accommodation was a total treat.  The staff are most kind and helpful, the facilities though old, are beautifully catered for.. Its like being in heaven surrounded by sheer beauty and wonder.. Many old buildings representing many religions, are there to see.. The food is basic, but nice. and the staff very efficient.  We have fond memories of this place and would thoroughly recommend it."
The_Huddleston_Gardens_of_Theosophical_Society-Chennai_Madras_Chennai_District_Ta.ht,Praveenop,4.0 of 5 bubbles,Apr 2018 • Solo,A historical place and one of Chennai's lung space,This place has a lot of history. The Banyan tree is one of the largest in the country and worth a visit just for that. Since it is a garden the place is ideal for walks in the morning or evening if the chennai weather permits.
The_Huddleston_Gardens_of_Theosophical_Society-Chennai_Madras_Chennai_District_Ta.ht,Vasu R,1.0 of 5 bubbles,Aug 2018 • Solo,Guards rude,Extremely rude guards.i was taken aback when I found the guards not polite.place is good though.theres are no entry boards and by mistake if we walk in no entry areas guards will rudely talk to you.if you are a foreigner they don't say anything
The_Huddleston_Gardens_of_Theosophical_Society-Chennai_Madras_Chennai_District_Ta.ht,rradice123,4.0 of 5 bubbles,Sep 2017,A quiet place in a busy Chennai,"I fully enjoyed the opportunity to visit and spend some time walking in this garden where many Theosophical primaries have walked before.  I would have liked to see more, but we had to leave for another adventure that day.  The Banyan trees here are just amazing.  There is also a museum of sorts and a library that are worth visiting.  Go if you have the chance."
