Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Thiruvidanthai_Temple,Valavanur Natar... K,4.0 of 5 bubbles,Nov 2022 • Couples,An interesting place to visit The Nithyakalayana Perumal temple in Thiruvadanthai Chennai,"A marriage in my family gave me an opportunity to visit this unique temple with my wife where marriage is conducted for perumal daily .This Nithyakalayana Perumal temple with huge temple pond is  built  in dravidian  architecture anddates back to 2000 years and is situated  in Thiruvidandai  village in Chennai, off the scenic  coast of ECR , near KovalamBeach in Chengalpattu district of Tamil Nadu.It was built by the  Pallavas during the 7th century CE, with later additions being  made by the  Cholas during the 11th century.It is dedicated to Varaha, the boar avatar of the Hindu god Vishnu and  glorifies  the Naalayira Divya Prabandham, the early medieval Tamil canon of the Alvar saints from the 6th–9th centuries AD. It is one of the 108 Divya Desams dedicated to Vishnu, who is worshipped as Nithyakalayana Perumal (Varaha) and his consort  Lakshmi as Komalavalli Thayar.This temple follows  Tenkalai tradition of worship with four daily rituals including his wedding.The Hindu sage Kalava,  wanted Vishnu to marry his 360 daughters.Lord Vishnu in Varaha firm marries  the 360 daughters one per day during the course of the whole year. Since he is believed to marry maidens daily, he came to be known as Nithyakalyana Perumal (meaning the deity who marries for eternity).Indeed an interesting temple to visit !"
Thiruvidanthai_Temple,Bala Sundari,4.0 of 5 bubbles,Aug 2022,Beautiful vishnu temple,This temple is one of 108 divya desams on ECR road on the way to mahabalipuram from Chennai.We can get down on the main road and need to walk for 0.5 km to reach the temple.There is a temple tank opp to main temple and this is vishnu temple where vishnu is worshipped as Varaha with Goddess Lakshmi on his lap.This temple seems to have been constructed during pallava period and there are nice carvings on temple pillars.
Thiruvidanthai_Temple,plpalani,5.0 of 5 bubbles,Mar 2020 • Couples,Divya desam ,This temple is of Nithya Kalyana Perumal and Komlavalli Thayar. People come here when done one is awaiting marriage .Perumal blesses and the marriage happens soon.
Thiruvidanthai_Temple,Ranjani S,4.0 of 5 bubbles,Jan 2020 • Family,A beautiful temple,"It's located on East Coast Road near Kovalam. Many renovations have taken place and the entry arch and temple have been bettered. It was once very neglected abd dilapidated, about two decades back, now it's been given a fresh lease of life. People who don't get married or have kids are asked to come here and do spl Poojas. And the blessing does work! So give it a visit"
Thiruvidanthai_Temple,Sivalingam Sankar,4.0 of 5 bubbles,Oct 2019,Thiruvidanthai Nithya Kalyana Perumal / Adhi Varaha Perumal Temple,"A divine temple and one of the abode of 108 divya desam near Mahabalipuram in ECR road. Recently main sanctum opened after few years of Samrokshanam. Varaha murthy in one in rare form where holding Thayar(Mahalakshmi) in one lap rised by having leg over Adhiseshan. Lakshmi devi incarnated as 360 women and each day Perumal marries one girl leaving only 5 days left. So its called daily marriage bride (Nithya kalyana perumal). Place is so compact temple with andal, lakshmi and perumal sanithi. Parking places available."
Thiruvidanthai_Temple,Karpagavalli,5.0 of 5 bubbles,Jun 2019,Well maintained temple,"The temple is in the village thiruvidanthai off ecr on the way to mamallapuram from chennai built by pallavas and then well maintained by cholas and now under tnhrce.org. the main deity is lord vishnu in varadhar form worshipped as nithyakalyana perumal and his consort, lakshmi as komalavalli thayar.this is one of the 108 divya desams dedicated to lord vishnu. "
Thiruvidanthai_Temple,kush M,5.0 of 5 bubbles,Aug 2018 • Family,your wish become a true,"Once im in Chennai with my wife. i went there . it was grate experience to me , im very lucky to visit in this temple and anyone who like to god please visit this place its one of wonderful place inchennai but you have to take long drive to reach there and there near no have good hotels if some one need to stay near to thirupathi i like to give an a option that hotel name ins PLR KANDY thirupathi... anyway if some one willing to go there please go in the morning"
Thiruvidanthai_Temple,plpalani,5.0 of 5 bubbles,Feb 2019 • Solo,Marriage wish,"This recently renovated Vishnu temple is centuries old and connected to the Pallava period.This is Vaishnavaite Diya dream.The Perumal here is in the form of Buvaraha tool and the Thayar is in his lap. Also the Kayan Perumal is in front of the main idol. There is separate shrine for a Komalavalli Thayar.,Andal Aranganathar,Aranganayaki amongst others.The belief is when one visits and pray for marriage this lord gives the boon"
Thiruvidanthai_Temple,Narasimhan G,5.0 of 5 bubbles,May 2018 • Family,Super Parihara Sthal for getting married !,This is a very uniquetemple for Lord VishnuHe is called Bhuvaraha PerimalThe Deity in sanctum sanctorum is praised to be very beautiful and loving..There is a ritual for unmarried boys/ and girls  performed in this temple to get married fast...Great boon for the aspiring ready-to-marry boys/girls !!
Thiruvidanthai_Temple,shankar G,5.0 of 5 bubbles,Nov 2018 • Couples,Beautiful Temple on ECR !!!,"This temple is one of the divya desam and located about 30+ KM from Chennai on the ECR road, Temple is maintained well. Weekends might be crowded. But a peaceful place."
Thiruvidanthai_Temple,Balasubramanian R,4.0 of 5 bubbles,Sep 2018 • Family,Nithyakalyana Perumal temple,Nithya Kalyana Perumal temple is situated in the village Thiruvidanthai which is nearer to Chennai and on the ECR (East coast road). People are in belief that those who are yet to marry will soon get married after the visit. Main deity is perumal and it is one of the 108 divyadesam. Car parking facilities are available.
Thiruvidanthai_Temple,Umasudhan P,4.0 of 5 bubbles,Mar 2018 • Couples,A very simple and beautiful temple,"Thiruvidanthai Nithyakalyana Perumal temple is famous for marriage boons. Those who are not married yet, can pay a visit to this temple and fulfill your wishes. The temple is under construction now and be careful when you walk as there are lots of small stones that might injure your leg. The moolavar is closed for now and pooja is done only for utchavar idol. I have been to the temple 2 years back for marriage prayers (you will need to buy two flower garland and one is for Perumal and the other one is for you. You will need to keep the garland and return it to the temple once you are married). I got married in March 2017 and now back to the temple to deposit my flower garland. One of 108 Divya Desam and located strategically near ECR."
Thiruvidanthai_Temple,RamGanesan,4.0 of 5 bubbles,Aug 2018 • Family,A quiet Vishnu Temple,"This is one of the 108 divadesam temples.  It is located on the scenic ECR, Chennai to Mahabalipuram road.  Before the ECR road was built this temple was relatively unknown and not many visited.  With ECR now full of activity, a lot more people visit the temple.  A different type of temple architecture is deployed here in contrast to most other temples in Chennai.  People go to this temple if they are unmarried for long and wish to do so.  There is a large temple tank which has been cleaned and sand removed.  Water is therefore now available in the temple tank.  It is better to avoid weekends and special occasion days. Sometimes marriages also take place here. There is also a small marriage hall adjacent to the temple.  Very peaceful and quiet on weekedays."
Thiruvidanthai_Temple,Karthik R,4.0 of 5 bubbles,Jul 2018 • Family,One of the 108 Divya Desam temples,Nithyakalayana Perumal temple in Thiruvidandai is around 15 kms before Mahabalipuram on the ECR. It is located on the right side of ECR when driving towards Mahabalipuram. It is one of the 108 Divyadesam dedicated to Vishnu. This temple is known for marriages to happen successfully. Temple time - 6 AM to 12 noon; 3 PM to 8 PM. The temple sambrokshanam happened in Jul 2018. It was very crowded when we visited.
Thiruvidanthai_Temple,abrahamsuji,3.0 of 5 bubbles,Apr 2018,Historic place,"Historic place, under renovation, close to East Coast Road. Food options not available in near vicinity."
Thiruvidanthai_Temple,Haridhan,4.0 of 5 bubbles,May 2018 • Family,Destination for marriage prayers,"Thiruvudanthai temple hosting Nithya Katayama perumalmis a famous destination for offering prayers for marriage.Ancient Temple & renovation is going on , kumbabishekam is scheduled 5Jul2018. Located in ECR road, after the kovalam beach (very near to muttukadu boat house).Lot of unmarried people will visit the temple worshiping the lord to seek his blessing to find their life partner.Timings 6.00am to 12.00pm & 3.00pm to 8.00pm.Rituals performed  : Buy two maala and Poona items and after pooja one maala will be returned and taken back home -shouldnot be thrown away. One has to come back after marriage with old maala and put in temple..We reached after 12, hence had to spend some time nearby places like muttukadu boat house- less than 3km, mayajaal which is under 15km from this place, also mahabalipuram is around 20km from this place, also crocodile Park(closed on monday) is near to this placeNote : No nice hotels near temple , hence you have to look out for one in ECR road"
Thiruvidanthai_Temple,Kavinkumar VJ,5.0 of 5 bubbles,Jun 2017 • Solo,Ancient temple with cultural significance ,"This temple is located little away from east coast road between thiruvanmiyur and mamallapuram,constructed in the era of the pallava dynasty the temple signifies ancient culture.The significance of this temple lies on the rituals which are carried out for solving marriage related issues."
Thiruvidanthai_Temple,meghashyam,5.0 of 5 bubbles,Dec 2016 • Solo,Sri bhumadevi sametha Sri Varahaswami temple,"A divya desam , Lord is majestic , mangalasasanam by Sri Thirumangai Alwar, Lord is almost fourteen feet in height , Maa Lakshmi temple is also exquisite, very very ancient temple . Sri Sthala Sayana perumal temple is also close by . "
Thiruvidanthai_Temple,Eswarkumar,5.0 of 5 bubbles,Jul 2015,Good,Hi this was very nice. I like this temple and i really enjoyed. Every one should see once this temple.
Thiruvidanthai_Temple,sunandaladia,5.0 of 5 bubbles,Mar 2016,Good temple,"It is a nice, famous and powerful temple. It is especially famous for helping to clear hurdles in getting married."
Thiruvidanthai_Temple,Dr Murali K,5.0 of 5 bubbles,Oct 2015 • Family,Sri Varahaa swamy with Mahalakshmi on his lap,"This temple being one among the 108 divya desams (holiest sites of vaishnavites) is just off the East Coast Road opposite to the Bay of Bengal. . .Weekday evenings are best to visit as there won't be any crowd at all, but weekends and holidays - u ought to be ready for long queues. . The main deity is carved out of a big rock and looks like he is on the wall. . This temple is also famous for marriage prayers. ."
Thiruvidanthai_Temple,Sai Prasad D,4.0 of 5 bubbles,Apr 2015 • Family,Nthya Kalyana Perumal Temple (Thiruvidanthai),"It is very old Temple & the temple is very calm. Located in ECR road, after the kovalam beach It is widely believed that unmarried people who visit this temple, will get married within a short period.we can see Lot of unmarried people will visit the temple worshiping the lord to seek his blessing to find their life partner.Timings 6.00am to 12.00pm & 3.00pm to 8.00pm and they strictly follow the timings."
Thiruvidanthai_Temple,Mathivanan V,3.0 of 5 bubbles,Nov 2014 • Family,One of the 108 Divya Desam temples in the Sri Vaishnava sect of Hinduism,"The temple was built by Pallava King. It is near the Mahabalipuram seashore.Approx 60 kms from Chennai.This temple is widely believed to bestow good luck to those wishing to get married, and help remove obstacles that prevent marriages."
Thiruvidanthai_Temple,BittenByWanderlust,4.0 of 5 bubbles,May 2014 • Family,temple near  the sea,"if you read other reviews for this temple you will get to know about the history and significance of this temple for those who to get married or newly married. . but this temple is much more than just that. its a beautifully preserved temple of the early pallava style, by the side of the busy ECR road, some 1 1/2 hrs away from Chennai city.. it is usually quiet except for weekends and important days in hindu calendar .and its close to kovalam and hotels like taj. visit this temple to get some inner peace and tranquilty and also admire the southindian architecture. you can combine day trips to places nearby to explore ecr road."
Thiruvidanthai_Temple,voyageurdeInde,4.0 of 5 bubbles,Jan 2015 • Family,Nithya Kalyana Perumal on ECR,This is a temple famous for removing obstacles before marriage and one of the 108 divya desams. once the marriage is completed the couples will surrender back the marriage garland to  perumal as completing the prayer.
Thiruvidanthai_Temple,Shiva S,5.0 of 5 bubbles,Oct 2014 • Friends,Visited this temple recently,"Visited this temple recently and found this an awesome place. It is very old and the temple is very calm. Located in ECR road, crossing the kovalam beach junction and it will be in the right side. I suggest to visit the place in day time so that you can enjoy and it will be safe too. Archana ticket cost around rs.5 & rs.55. Timings 6.00am to 12.00pm & 3.00pm to 8.00pm and they strictly follow the timings. The lord venkateswara inside the temple looks beautiful."
Thiruvidanthai_Temple,Aaqarsh Aiyyar,4.0 of 5 bubbles,Jun 2014 • Family,Wedding boons...,"One of the oldest temples (dating back to 8th Century) located at Tiruvidanthai in the East Coast Road, the temple is more famous for Nithya kalyana perumal who got married everyday in his life. The presiding deity is Adivaraha swamy and this is the 62nd temple of the 108 vaishnava divya desams. It is widely believed that unmarried people who visit this temple of wild boar incarnation gets the right alliance within a short period. "
