Tourist Attraction,Name,Rating,Date and criteria,Title,Review
VGP_Marine_Kingdom,Pasupathy V,5.0 of 5 bubbles,Dec 2022 • Family,Great entertainment and poor maintenance ,Excellent place in Chennai to hangout with kids. The place is well kept and is worth every penny spent. The walk through aquarium with Sharks swimming over the heads is the highlight of the place. They have a cute AI experience for kids that takes a 2D sketch from kids and renders it on a screen as a 3D animation. Kids loved to see their imaginary fish springing to lifeI personally didn't like them have a good store in a dungeon at the end of the park. The place was fairly stinky and dingy to sell food. The restrooms were not clean either. 5 Stars for the experience of watching the fishes and2 stars for how well the place is maintained 
VGP_Marine_Kingdom,Madhu M,5.0 of 5 bubbles,Dec 2022 • Family,Great ,Great experience. Lot many marine species are there. Educative tour for young brains. Can be visited by all age groups. Parking available 
VGP_Marine_Kingdom,Uthra S,1.0 of 5 bubbles,Jan 2023 • Family,Worst,"#Worst experience! #VGP #Marinekingdom. With ticket price in the higher end (Rs.695 per head, excluding parking charge), we would think it would be amazing. Unfortunately.. 1) None of the staff even knows the name of the #fishes there. (They only know where the bathroom is or the price of the snacks). 2) Can't spend more than an hour. (Can go to two movies with the same money).3) Staff was rude. (A group of students came. The VGP staff gave mic to the teacher who was screaming ""Class 3A STAND IN THE LINE. Class 4A, Class 4A!!! Where is THE LINE! FORM THE LINE.. ALL STUDENTS STAND IN THE LINE..."" The screaming on the mic went for more than 10mins.felt like we were in a school playground (got a terrible headache since it was closed area and the noise was extremely loud and unpleasant). When asked about the Mic announcements, the VGP Staff named Mr.Shiva said rudely that it will be like this only! And suggested saying ""Don't come here. Yes it will be like this. I can't do anything! You can leave if you want.""Simply, They could have allowed only the school students and refused entry for public if they don't care about others!4) The place lacks proper maintenance (someone had vomited inside the tunnel and it was stinking, they took their sweet own time to clean, even after informing). 5) Food is overly priced and mostly old (popcorn was stale).While the experience at #Crocodile bank/#Snake park which is few kms away was #amazing!Snake park staffs (of #Irulas tribe) were eager to explain more, readily #answering any queries we had! The price is way lesser than VGP Marine Kingdom. Crocodile bank Rs.100 per head. Snake park Rs.30 per head.Highly recommend the Snake park in Crocodile bank!👍🏼A big No for Marine kingdom👎🏼"
VGP_Marine_Kingdom,Aswinkumar C,5.0 of 5 bubbles,Jun 2022 • Family,The best experience in south india,It's a excellent place to visit with family and kids together. Under water view is beyond expectations. Number of fishes are also very huge. The main attraction I felt was sharks. They are humangous. 
VGP_Marine_Kingdom,Harsha N,2.0 of 5 bubbles,Dec 2022 • Family,Average place!!!,Average place to visit. Overall it will take 45 mins - 1 hour to cover. Entry fee is very high (Rs.500+/head) for 1 hour. So you can avoid this and try snow world instead.
VGP_Marine_Kingdom,Ayush M,5.0 of 5 bubbles,Oct 2022 • Family,Great experience ,It was very nice experience. Best aquarium in India . To visit with family or a group . I have visited last month it was very nice experience. We have enjoyed very much their. I have spent whole day their by enjoying the rids and many more. The food quality was also very goood. This is one of the biggest aquarium in asia.
VGP_Marine_Kingdom,Mukesh M,5.0 of 5 bubbles,Oct 2022 • Family,Best aquarium,This is India’s first underwater aquarium. Best aquarium in India to visit with family or a group . I have visited last month it was very nice experience. We have enjoyed very much their. I have spent whole day their by enjoying the rids and many more. The food quality was also very goood. 
VGP_Marine_Kingdom,Deepa,5.0 of 5 bubbles,Feb 2022 • Solo,Mesmerising,A perfect place like no where in the city. Well maintained and easy for everything . Eye catching experiences at VGP marine kingdom watching all the fishes and shows . I enjoyed well and wanted to go next time as a couple so that we can enjoy candle light dinner too . Waiting to go to VGP again .
VGP_Marine_Kingdom,skdel2016,5.0 of 5 bubbles,Nov 2022,Feel the underwater ocean,Mesmerizing deep see aquarium experience with verity of fishes and sea creatures including shark. Well  maintained so far. Prices are on higher side but worth to spend some time with kids. Enjoy....
VGP_Marine_Kingdom,VGP Marine Kingdom,3.0 of 5 bubbles,Oct 2022 • Family,Good place for kids,"Thank you for sharing your valuable feedback with us.
"
VGP_Marine_Kingdom,Sibi T,,,,"Thank you for sharing your valuable feedback with us.
"
VGP_Marine_Kingdom,VGP Marine Kingdom,,,,"Good place to visit, not much collections though. Management need to be proactive and responsive when there is a claim filed for duplicate charges."
,,,,,Thank you for sharing your valuable feedback with us. We'll look into the concerned points of improvement.
,,,,,Thank you for sharing your valuable feedback with us. We'll look into the concerned points of improvement.
VGP_Marine_Kingdom,Ramachandran B,5.0 of 5 bubbles,Sep 2022 • Family,Excellent ambience with unmatchable view for your eyes...this is definitely unique among all aquariums that I have seen.,This place is highly recommended for family and kids.everyone will enjoy as the place gives unmatchable ambience and experience.. every penny is worth it..A place which is not to be missed at any cost...Keep it up..
VGP_Marine_Kingdom,VGP Marine Kingdom,5.0 of 5 bubbles,Sep 2022,Go for it…,"Thank you for sharing your valuable feedback with us.
"
VGP_Marine_Kingdom,Venkata Rakesh Devata,1.0 of 5 bubbles,Jul 2022 • Family,Waste of money,"Thank you for sharing your valuable feedback with us.
"
VGP_Marine_Kingdom,VGP Marine Kingdom,5.0 of 5 bubbles,Sep 2022 • Family,Great experience,Best outing for kids as well as adults. Well maintained and organised. A great weekend getaway spot. One should surely visit for a world class experience.
VGP_Marine_Kingdom,Har,5.0 of 5 bubbles,Sep 2021 • Friends,Awesome,"Thank you for sharing your valuable feedback with us.
"
VGP_Marine_Kingdom,VGP Marine Kingdom,5.0 of 5 bubbles,May 2022 • Solo,A must visit place for people of Chennai,"Thank you for sharing your valuable feedback with us.
"
VGP_Marine_Kingdom,Chandan S,5.0 of 5 bubbles,Aug 2022,Must Visit Place in Chennai,Not worth for 650 INR. For 2 year old child they charge 550 INR. Overall you can spend 1 hour maximum. In Queensland for entire day I spend 550 for adult and 450 for child.When comparing to that this is waste in terms of money and time.
VGP_Marine_Kingdom,VGP Marine Kingdom,5.0 of 5 bubbles,Aug 2022 • Family,Awesome experience,"We're sorry that you had such an experience, noted your points of concern."
VGP_Marine_Kingdom,Prerna Gautam,5.0 of 5 bubbles,Jul 2022 • Family,Awesome experience with Ocean Life!,"We're sorry that you had such an experience, noted your points of concern."
VGP_Marine_Kingdom,VGP Marine Kingdom,5.0 of 5 bubbles,Aug 2022,Experience in Chennai,Had a great experience with a variety of fishes an water animals. Well managed place and very clean.
VGP_Marine_Kingdom,Rickson,,,,Thank you for sharing your valuable feedback with us.
VGP_Marine_Kingdom,VGP Marine Kingdom,,,,Thank you for sharing your valuable feedback with us.
VGP_Marine_Kingdom,deepiga,,,,Live fishes. Chirpy ambience. Happy excited kids. Healthy fishes. Clear water. Clean surrounding. Nice place.
VGP_Marine_Kingdom,VGP Marine Kingdom,,,,Thank you for sharing your valuable feedback with us.
VGP_Marine_Kingdom,Janani Devi T E,,,,Thank you for sharing your valuable feedback with us.
VGP_Marine_Kingdom,VGP Marine Kingdom,,,,"Recently visited VGP marine Kingdom, The place is amazing. Quite educational and entertaining, especially if you're a fish keeping enthusiast. It was mesmerizing to see so many fish species up close. The aquarium is huge and the experience was magical, especially the 70 metre walk in tunnel. The staff is friendly, loved the ambience of the entire place, and a convenient food court. Feeling happy after so long after visiting this place. Hope they maintain it well! Best wishes to the developers and please bring in more and more species :)"
VGP_Marine_Kingdom,Suhasgopi,,,,Thank you for sharing your valuable feedback with us.
VGP_Marine_Kingdom,VGP Marine Kingdom,,,,Thank you for sharing your valuable feedback with us.
VGP_Marine_Kingdom,Suganya R,,,,"Opens at 9AM and hence better to start early and finish by 11AM and then go to Universal kingdom. They do have food court. Good for kids and all age. Maintenance is good , best time to visit weekdays.. Peaceful and spend more time with individual tanks.The place is well maintained. There is small underwater tunnel where we get a good view of deep water fishes. The ticket cost is 650 for adults. Car parking charges us ₹50. It will be a good experience for kids. It will take around 2 hours to completely watch the place. Family & children surely enjoy.. it would be treat to watch feeding food and scuba driving."
VGP_Marine_Kingdom,VGP Marine Kingdom,,,,Thank you for sharing your valuable feedback with us.
,,,,,Thank you for sharing your valuable feedback with us.
,,,,,Awesome place for kids. I have visited this place on a weekend with my family. My son enjoyed very well. We had a good time to watch each fish and it was worth it. Took beautiful photos too. A Wide variety of fishes are available here. The place was well maintained and it was neat and clean. You won't get disappointed if you visit.
,,,,,Thank you for sharing your valuable feedback with us.
,,,,,Thank you for sharing your valuable feedback with us.
,,,,,"It's a great place to spend half day in Chennai exploring ocean life. It's around 20km far from Anna Nagar, on ECR (East Coast Road).Ticket price per head is ₹650/- for adults & ₹550/- for kids.It's a collection of huge aquarium well arranged with a lot of information.Almost all types of fishes can be viewed live through the glass.Glass tunnel is at the end and you can see even those who are exploring inside the water through scuba diving.There's a spot where you can touch the Star Fish inside the tank.As you get inside after taking the ticket, there will be a photographer who may take your photo (solo or group) against a green background which you may collect by paying an amount ranging from ₹250/- at the end at souvenir shop. You may buy the products with your photo on it if you wish. So, please don't miss to take photo by them in the starting as you need to pay only if you buy it at the end after checking them out.There was a long queue for taking ticket on a Saturday noon by around 2pm. Car parking was almost full and they had some parking arrangement outside on the side road. (Visited on July 2022)"
,,,,,Thank you for sharing your valuable feedback with us.
,,,,,Thank you for sharing your valuable feedback with us.
,,,,,Must place to visit in Chennai. Enjoyable and new experience in Chennai. We will visit in future to have the wonderful experience.
,,,,,Thank you for sharing your valuable feedback with us.
,,,,,Thank you for sharing your valuable feedback with us.
VGP_Marine_Kingdom,sasidharan r,5.0 of 5 bubbles,Dec 2021,Amazing Experience,"Its good hangout place to spent time with friends as well as family.  Good place to explore Aquatic world! It was a whole nice experience ! live feeding shows, scuba diving, underwater tunnel with variety of fishes, sharks, stingrays! The place is well maintained with proper hygiene!"
VGP_Marine_Kingdom,VGP Marine Kingdom,3.0 of 5 bubbles,Jul 2022 • Family,Travellator under water tunnel was not operating,Thank you for sharing your valuable feedback with us.
VGP_Marine_Kingdom,Thyagarajan,5.0 of 5 bubbles,Jun 2022 • Family,Wow super,Thank you for sharing your valuable feedback with us.
VGP_Marine_Kingdom,VGP Marine Kingdom,5.0 of 5 bubbles,Jun 2022 • Family,Awesome,The travellator in the aquarium tunnel was not working or turned off.. Which is one of the important feature in any aquarium kingdom..
VGP_Marine_Kingdom,Karthick,5.0 of 5 bubbles,Jun 2022 • Family,Perfect place for weekend,Thank you for sharing your valuable feedback with us.
VGP_Marine_Kingdom,VGP Marine Kingdom,5.0 of 5 bubbles,Apr 2022,"its a wow , dnt miss it",Thank you for sharing your valuable feedback with us.
VGP_Marine_Kingdom,Chennai tamil channel,5.0 of 5 bubbles,May 2022 • Family,Nice marine experience,"Very nice place to visit weekend and family vacation.. We enjoyed very much, my kids also learn so many new things and enjoyed a lot. It gives new experience and so many different kind of fishes are there. Go with your family and friends."
VGP_Marine_Kingdom,VGP Marine Kingdom,1.0 of 5 bubbles,May 2022 • Family,Very bad and pathetic in food from vgp food counter,Thank you for taking the time to review us! Delighted to know that you had fun. Come again soon!
VGP_Marine_Kingdom,subashrik,4.0 of 5 bubbles,Apr 2022,"Lots of variety of fishes, but the 9D VR is a joke",Thank you for taking the time to review us! Delighted to know that you had fun. Come again soon!
VGP_Marine_Kingdom,VGP Marine Kingdom,2.0 of 5 bubbles,Apr 2022 • Family,Very rude drivers at wallet parking and no support from operations team also,"Very nice Experience... My kid is really enjoyed.. So many different different fishes.. We spend 2 hours peacefuly and enjoyed a lot.. Very Good atmosphere, so many colorful fishes and tunnel aquarium is so beautiful.. Please visit guys.."
VGP_Marine_Kingdom,Thirumalai P,,,,Thank you for taking the time to review us! Delighted to know that you had fun. Come again soon!
VGP_Marine_Kingdom,VGP Marine Kingdom,,,,Thank you for taking the time to review us! Delighted to know that you had fun. Come again soon!
VGP_Marine_Kingdom,Divya,,,,"Very nice and must visit place in chennaiLots of fishes and that swims upon your head, wouldn't that b a wonderful feelingWorth for money and wonderful experienceYou can also try scuba diving that would be a osm experience"
VGP_Marine_Kingdom,VGP Marine Kingdom,,,,Thank you for taking the time to review us! Delighted to know that you had fun. Come again soon!
VGP_Marine_Kingdom,Deva,,,,Thank you for taking the time to review us! Delighted to know that you had fun. Come again soon!
VGP_Marine_Kingdom,VGP Marine Kingdom,,,,"wow experience , cool ambiance , clean and neat .. lot of collection of fish and underwater tunnel with moving ramp is highlight , must visit for kids and family"
VGP_Marine_Kingdom,Shiva M,,,,Thank you for taking the time to review us! Delighted to know that you had fun. Come again soon!
VGP_Marine_Kingdom,VGP Marine Kingdom,,,,Thank you for taking the time to review us! Delighted to know that you had fun. Come again soon!
VGP_Marine_Kingdom,Silpa,,,,"Awesome place to visit. Entered the marine world with no expectations, exited with so much nice memories. You get to forget rest of the world when you are here. Lots of fish varieties. Most of which are a surprise to watch. You can spend atleast 3 hrs here peacefully. They have a good court and a popcorn stall too. Those who want to spend half a day outside city life, pls try visiting here once.The day we visited, we had a long queue in all counters for the tickets. But I booked online in a minute and entered the premises without wasting time. Sometimes they give offer while we book online too. Take kids and have fun."
VGP_Marine_Kingdom,VGP Marine Kingdom,,,,Thank you for taking the time to review us! Delighted to know that you had fun. Come again soon!
,,,,,Thank you for taking the time to review us! Delighted to know that you had fun. Come again soon!
,,,,,Not even worth it for single star. Don't waste your money.Kids will never enjoy... Since most of the rides are in under maintenance.
,,,,,Thanks for suggestions. We are always planing for improvement and will consider your feedback wholeheartedly
,,,,,Thanks for suggestions. We are always planing for improvement and will consider your feedback wholeheartedly
,,,,,"Firstly the one you rather not waste your money on and recommend you should not fall for it is the ""VR"" at the entry. They advertise it as a 9D experience, but does not even give a 3D experience at the best. If you have ever experienced a 4D or such in one of those sea worlds or Disney worlds elsewhere, just forget about pulling out your wallet and wasting 150Rs/person for the 10 minute thing where you sit on a chair that keeps making cranking noises and bumping up and down while you watch a video beamed to your gear that is strapped to your head. 9D is a sham. An whats worse is the videos are not even stitched together, but 3 different videos are streamed one after the other while operator announces ""next video"" that without appropriate audio doesn't ever make you feel  like being underwater. Even Youtube does a better job of streaming queued videos back to back !! Probably enjoyable only for little kids (8yrs or younger). I would not even rat 1-star for the VR, but sue them for the misleading 9D which is nothing but a money scam.Otherwise, coming to the main attraction, if you are interested in or like to see fishes, this is a good place one could easily spend 3-4 hours enjoying your time watching them - lots of variety of fishes, big and small, can be seen.  I mean ""live"" fishes! It was amazing to see various fishes of different colors swimming together in each of the many of those aquariums (like the one in my uploaded pic), feels pretty even for me as an adult.  The only touch pool is that of the star fishes where one can touch and feel their body. There are many other pools which are open on the top and have fishes that can be viewed.The underwater tunnel provides a nice experience of like being under water (in the ocean) but the tunnel could be much well maintained - without touch marks and being clear to make the view as real as being in the water than reminding being in a  glass tunnel. And in case you were asking, there are no live shows.. this is not SeaWorld., but worth a visit if you love fishes."
,,,,,Thank you for taking the time to review us! Delighted to know that you had fun. Come again soon!
,,,,,Thank you for taking the time to review us! Delighted to know that you had fun. Come again soon!
,,,,,"We had a very bad experience with the wallet parking. The driver scratched our new car but when asked started speaking very rudely. Even the operations manger Vijay Kumar is so irresponsible while talking to visitors. There are no CCTV cameras to know who has taken the car. Anything can happen to your car but management won't take any responsibility. So,  I suggest people don't go for wallet parking."
