Tourist Attraction,Name,Rating,Date and criteria,Title,Review
VGP_Universal_Kingdom,Ujjwal Kumar,5.0 of 5 bubbles,May 2022,Awesome Place,"Loved the place , It is awesome Place to Visit,  if you are in Chennai then I will suggest to must visit this place at least once ."
VGP_Universal_Kingdom,Nishanth Damodar,5.0 of 5 bubbles,Jan 2023,""" The amazing amusement park""","VGP Universal kingdom is one of the best amusement park which is in Chennai. VGP is located in east coast road near Injambakkam . Vgp Universal kingdom has a wonderful marine kingdom, snow world, 3D art gallery and amusement park with lots of rides. You can spend fabulous time with your family in VGP if you planning a trip in weekend. You will have a wonderful time!!"
VGP_Universal_Kingdom,Shanmugapriyaa,5.0 of 5 bubbles,Nov 2022 • Couples,VGP universal kingdom,Please go visit this place...you will be delighted for sure..Best place to spend time with your family
VGP_Universal_Kingdom,Yuvarajkumar S,5.0 of 5 bubbles,Dec 2022 • Family,VGP universal kingdom must visit one,Please visit the VGP universal kingdom atleast once..It's an awesome place to spend your time with family
VGP_Universal_Kingdom,Harsha N,2.0 of 5 bubbles,Dec 2022 • Family,"Dry rides - Pathetic, Aqua rides - Good",We visited this place in December and I am completely disappointed with this amusement park. 50% of the rides are poorly maintained/not working. So they should either charge less to the customer based on no of rides or make sure it is working. Aqua rides are good and you can enjoy. Food is pathetic. Request you to plan 1st half or 2nd half so that you can avoid food. 
VGP_Universal_Kingdom,Ayush M,5.0 of 5 bubbles,Dec 2022 • Family,Nice place ,Best amusement park in India . To visit with family or a group . I have visited last month it was very nice experience. We have enjoyed very much their. I have spent whole day their by enjoying the rids and many more. The food quality was also very goood.
VGP_Universal_Kingdom,Vivek,5.0 of 5 bubbles,Nov 2022 • Friends,Astonishing,It is the best theme park you can go to in Chennai all rides are well-maintained and especially the water rides are mind-boggling and the wave pool experience is remarkable and fantastic. I recommend this theme park to every human who exists on this planet.
VGP_Universal_Kingdom,SURAJ K,2.0 of 5 bubbles,Dec 2022 • Family,Best Place for family & kids outing!!!,"One of the oldest Theme Park in South India.People still visit this place only for the Brand.We were 4 family visited this place with 4 cars.No one guided us to park the car.Because of marriage inside the park,they made us to travel inside the parking lot for long.Staffs are very unprofessional.They took money from us for Dry and Wet ride.Max. dry ride not working.We reached by 10:45,still lots were under maintenance or person was not available.No drinking water available, very surprised.At last we reach Wet ride.Superb place,but the changing area,rest room ,lockers are really pathetic both for gents and ladies.Management has to take this issue very seriously.Ladies and gents bathroom without door,no water supply for shower.When we asked they don't have any answer.These are basic needs of theme park.If you want more business, you need to take care of minimum needs of Amusement Park.Only 1 resturant with 8 items available.Really sad.I have uploaded bathroom snaps.Request you to improvise same."
VGP_Universal_Kingdom,Abhishek Tirkey,5.0 of 5 bubbles,Nov 2022,Enjoyed alot!!!,Had a great experience in VGP Universal Kingdom. Good place to visit with kids and family and have fun there and enjoy!!!  The Cost of a person to enter there is 650 and for kids it is 550. The ticket is valid for whole day until you leave VGP Universal Kingdom.
VGP_Universal_Kingdom,Ashish M,5.0 of 5 bubbles,Oct 2022 • Family,Best water park in India ,Best water park in India . To visit with family or a group . I have visited last month it was very nice experience. We have enjoyed very much their. I have spent whole day their by enjoying the rids and many more. The food quality was also very goood.
