Tourist Attraction,Name,Rating,Date and criteria,Title,Review
VR_Chennai,Gnanasingh,3.0 of 5 bubbles,Dec 2022 • Solo,PVR Audi 4 Screen Review,PVR Cinemas located in 3rd floor at the end of VR Mall.This review is for AUDI 4 during Avatar English 2D show.Show Time was 10:30AMAdvertisement Till 10:53AM (23 Minutes) Movie Started at 10:54AMAll the audience were extremely irritated on this 23 minutes long advertisements. Seats cushions was comfortable and reclining mechanism was very tight. Floor and Seats was clean and neat. Audio was good. AC could have been better. It wasn't sufficient. Dedicated Counter next to AUDI 9 is available to collect pre-ordered Food and Beverages. Chocolate Donut was good but Cold Coffee was very watery and wasn't good. 
VR_Chennai,Vinoth,4.0 of 5 bubbles,Nov 2022 • Family,Admirable Mall in the city,Hygienic and safe place. Lot of fun and did excellent shopping which covered all branded shops at one place. Most admirable mall in the city with easy accessibility to reach.
VR_Chennai,Lax,1.0 of 5 bubbles,Jul 2022,"""Unhappy Experience @ VRMall, Chennai""","The design of this mall is very poor in terms of usability. It hauls for long walks with people looking for lifts. One has to walk a minimum distance of 250 mts one way to find the nearest lift or escalator. It's painful when we have to carry the grocery, milk, vegetables with kids, elders, walking for haunting distances to the car park. Just be thoughtful if you are taking kids and elders, for they should be prepared to walk long distances with no support for differently abled ones as well. The support staff inside SPAR were very helpful but the mall services are below average."
VR_Chennai,Anand,2.0 of 5 bubbles,Jun 2022 • Family,Customers beware of the cleanliness of tables in the food court,The food court looked clean. But I observed the housekeeping staff were mopping the floor and with the same mop they cleaned the table and went to the washbasin and cleaned it with the same mop in full view of the customers. Just wondering about the customers who think the table is clean and putting food stuff over the table and children touching the table !!!Absolutely unacceptable. Will the management take some action over it???
VR_Chennai,Mano,4.0 of 5 bubbles,Dec 2021,Thumbs up for VR mall,"Compared to other malls in Chennai. the recently built VR mall offers great dine-in, shopping & fun for kids.The best part is the PVR cinemas, which has shining decor with light fixtures. In general, the mall was neat and clean all the time, I have seen the cleaning team is often cleaning the food court. I appreciate their dedication to maintenance. Furthermore, the shopping part was really great, couldn't stop shopping after buying clothes in all branded shops. Tommy Hilfiger & Jack and Jones collection for men was great (didn't visit all shops for men). Ritu Kumar, west side, mango, Vero Moda and lifestyle had a great collection for women. Noticed great watch collections, cosmetic collections as well. Toni & guy offer the best salon & spa service. Basically, you can find everything in one place. The food court looks crowded all the time, especially on weekends. however, the taste of the food from the food court was average. I really recommend the writer's cafe (small dine-in), their pizza was delicious. Karaikudi food tasted good however, the ambience needs to be improved. last but not least, my son really enjoyed the fun city.Overall, it is a great location to spend time together with family, kids & friends"
VR_Chennai,Kumar BK,5.0 of 5 bubbles,Aug 2021 • Family,Surprise for Me,"No doubt it’s one of the very good mall in Chennai but today we have become very surprised when we when we visit we find there is no celebration symbol of our 75 Independent day ,during Christmas when we visit last time we find there is a marvellous decoration arrangement culture program they organise I believe mall management is not not feeling important to celebrate 15th August Independence Day I believe being an Indian we should do at least some  Tirangaa somewhere else in this big mall but it’s look like a normal day they encourage only Christmas and other regional festival inside the mall only being Indian they must celebrate 15 August another Indian festival being a good brand mall."
VR_Chennai,#amosamiyanayek🎧,5.0 of 5 bubbles,Nov 2020 • Friends,#🛍️,"well organized... attractive shopping destination with varieties of brands! friendly atmosphere, multiple food stalls at the last floor! but payment options is little different while ordering the food... "
VR_Chennai,Rajesh196566,4.0 of 5 bubbles,Mar 2020 • Family,Good mall,Great mall with good new places for children to play. Updated Fun city outlet really let's children play new games along with options for parents also to play along with them. 
VR_Chennai,Team VR,5.0 of 5 bubbles,Feb 2020,A Recent Mall Near Busy Place,"Dear Guest,

Thank you for taking the time to share your feedback with us. We are glad to know that you had a good time at VR Chennai.  We look forward to your next visit. Do follow us on social media and stay updated on all that is happening.

Warm Regards, 
VR Chennai
"
VR_Chennai,Ghiri T,5.0 of 5 bubbles,Oct 2019,Chennai's most iconic destination,"Dear Guest,

Thank you for taking the time to share your feedback with us. We are glad to know that you had a good time at VR Chennai.  We look forward to your next visit. Do follow us on social media and stay updated on all that is happening.

Warm Regards, 
VR Chennai
"
