Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Chi_The_Spa,Mariusz S,5.0 of 5 bubbles,Dec 2022 • Couples,Good vibes with dalvinder,"Great support and advise, very nice person Dalvinder singh the Gym trainer, he is awesome, and a great spa"
Chi_The_Spa,"Shangri-La's - Eros Hotel, New Delhi",5.0 of 5 bubbles,Dec 2022 • Couples,Superb experience ,"Dear MariuszS,
Thank you for your kind words of appreciation.
Your encouraging words mean a lot to us and I have shared the same with the team.
We would be delighted to have you experience Shangri-La again.

Best regards,
Abhishek Sadhoo
General Manager"
Chi_The_Spa,akash s,5.0 of 5 bubbles,Nov 2022 • Couples,Spa service,"Dear MariuszS,
Thank you for your kind words of appreciation.
Your encouraging words mean a lot to us and I have shared the same with the team.
We would be delighted to have you experience Shangri-La again.

Best regards,
Abhishek Sadhoo
General Manager"
Chi_The_Spa,"Shangri-La's - Eros Hotel, New Delhi",5.0 of 5 bubbles,Oct 2022 • Solo,Waxing,Very relaxing and soothing... Had a great time here . Awesome hospitality and professionalism shown . Had a couple spa and it was really awesome.. highly recommended for couples to take some time off and relax here.
Chi_The_Spa,Shaily,5.0 of 5 bubbles,Sep 2022 • Solo,Great place for workout and relaxing,"Dear Ankuakash,
Thank you for your kind words of appreciation.
Your encouraging words mean a lot to us and I have shared the same with the team.
We would be delighted to have you experience Shangri-La again.

Best regards,
Abhishek Sadhoo
General Manager
"
Chi_The_Spa,"Shangri-La's - Eros Hotel, New Delhi",5.0 of 5 bubbles,Sep 2022 • Couples,Relaxing and effective spa experience,"Dear Ankuakash,
Thank you for your kind words of appreciation.
Your encouraging words mean a lot to us and I have shared the same with the team.
We would be delighted to have you experience Shangri-La again.

Best regards,
Abhishek Sadhoo
General Manager
"
Chi_The_Spa,Tourist66011,5.0 of 5 bubbles,Sep 2022 • Solo,Highly skilled staff and beautiful surroundings,The spa was such an amazing experience. Our attendant Sangeeta was cooperative and helpful. Excellent
Chi_The_Spa,"Shangri-La's - Eros Hotel, New Delhi",5.0 of 5 bubbles,Aug 2022 • Family,Loved it.,"Dear ShailS,
Thank you for your kind words of appreciation.
Your encouraging words mean a lot to us and I have shared the same with the team.
We would be delighted to have you experience Shangri-La again.

Best regards,
Abhishek Sadhoo
General Manager"
Chi_The_Spa,NR,5.0 of 5 bubbles,Mar 2022 • Solo,Everything perfect,"Dear ShailS,
Thank you for your kind words of appreciation.
Your encouraging words mean a lot to us and I have shared the same with the team.
We would be delighted to have you experience Shangri-La again.

Best regards,
Abhishek Sadhoo
General Manager"
Chi_The_Spa,"Shangri-La's - Eros Hotel, New Delhi",5.0 of 5 bubbles,Aug 2022 • Couples,Awesome,"I was fitted in at short notice. Very professional service, hygienic and I was made to feel very comfortable. Will definitely return Thank you Anju"
Chi_The_Spa,Satyam Bhardwaj,,,,"Thank you for your kind words of appreciation.
Your encouraging words mean a lot to us and I have shared the same with the team.
We would be delighted to have you experience Shangri-La again.

Best regards,
Abhishek Sadhoo
General Manager"
Chi_The_Spa,"Shangri-La's - Eros Hotel, New Delhi",,,,"Thank you for your kind words of appreciation.
Your encouraging words mean a lot to us and I have shared the same with the team.
We would be delighted to have you experience Shangri-La again.

Best regards,
Abhishek Sadhoo
General Manager"
Chi_The_Spa,Alison S,,,,"The gym has everything one needs for most workouts. Dalvinder Singh, the personal trainer at the gym is very friendly and knowledgeable. He came up an intense 15 min workout for me once I told him my workout needs. One can use the pool, steam&sauna, and jacuzzi to relax after the workout."
Chi_The_Spa,"Shangri-La's - Eros Hotel, New Delhi",,,,"Thank you for your kind words of appreciation. 
Your encouraging words mean a lot to us and I have shared the same with the team.
We would be delighted to have you experience Shangri-La again.

Best regards,
Abhishek Sadhoo
General Manager
"
Chi_The_Spa,Shreya Sanghi,,,,"Thank you for your kind words of appreciation. 
Your encouraging words mean a lot to us and I have shared the same with the team.
We would be delighted to have you experience Shangri-La again.

Best regards,
Abhishek Sadhoo
General Manager
"
Chi_The_Spa,"Shangri-La's - Eros Hotel, New Delhi",,,,"Amazing experience, Julie and Tina did a great job. Nice ambience and soothing aroma overall. The staff also very helpful and professional."
