Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Delhi_Metro,Gustavo A,4.0 of 5 bubbles,Dec 2022,Useful and easy to navigate,"The Delhi metro has very large and far-reaching infrastructure. For instance, if you want to go from one corner of the map to the other, it may take you around 4 hours of journey. Other than that, it's great and easy to navigate through. Some points to consider, you'll always have to go through security checkpoints when going in a metro station and these may be full of people waiting to enter (and Indians will cut in line, so hold your ground). The metro can be accessed via token or card. With tokens you simply choose the station you want to go to, and a token is dispensed with that information so you may use it at the gates. The card costs 100 rupees I think, but they give you back 50 if you return the card if you feel you don't need it anymore. To use it simply recharge it and it discounts the value respective to the segments you're traveling on. Personally, tokens are cheap and super easy so I just used those. HOWEVER, avoid the metro during rush hours. Unless you're ok with huge crowds in closed off spaces and consistent shoving, then avoid rush hours. If you have to use the metro during rush hour, buy your tokens in advance, otherwise there won't be any or there will be huuuge lines to buy them when you get there. To get in or out of the carts shove if necessary. Others will do the same and if you don't you might not be able to get in/out of the train cart. There's individual carts for women only as well, if you feel safer in those. The metro is very safe, I'd say, so no worries. There's strict security and it does feel like it is really enforced there."
Delhi_Metro,Anika S,4.0 of 5 bubbles,Dec 2022 • Family,"Fast, economical .Ticketing system needs improvement.","Fast,economical mode of transport.Clean and modern compartments.However at many stations Ticket Vending Machines were either not operational or not accepting cards or certain currency notes .Ticketing system definitely needs to improve but barring that Metro is a boon for both localities and tourists."
Delhi_Metro,vyasch,5.0 of 5 bubbles,Oct 2022,Hats off.,"I first rode in Delhi Metro in the year 2005. Since then I am its fan.One of the few things getting five star for its service, management, and affordable fares.This is a boon for both foreign tourists and domestic ones."
Delhi_Metro,Aaditya Paudel,4.0 of 5 bubbles,Oct 2022,Delhi Metro Service | Delhi,A really really really really really really really good facility if you are about to visit Delhi please use it. Very fast on mornings and noons and a bit self-delayed in the evening due to less number of people.  Working time 5:30 AM to 11:30 PM.
Delhi_Metro,VickyHarsh,5.0 of 5 bubbles,Jul 2022 • Friends,Metro is heart of delhi,Amazing facility in heart of delhi. Metro is the big saviour of traffic and population hassle of delhi. Must use this facility if u r in delhi
Delhi_Metro,rohitchabbra310,2.0 of 5 bubbles,Jul 2022 • Solo,waiting for the metro from 10 min,"your prices are increasing day by day but when it comes to the service, its very dull and inappropriate specially violet line comes from faridabad. yellow line is better than every line. m really feeling stuck here in between the metro. huhhh"
Delhi_Metro,Dr. DineshBhasin,3.0 of 5 bubbles,Jul 2022,No fans in Delhi Metro stations,Delhi Metro has been serving Delhi NCT area well except the stations which have no fans.One cannot stand/sit at their stations waiting for rains in this humid temperatures. Its a pity that they have spent thousands of Crores of Rupees but have not provided even a single fan at their stations.
Delhi_Metro,Tanvir Singh Sabharwal,4.0 of 5 bubbles,May 2022 • Solo,Coolest way to travel Delhi ,The Delhi metro is one of the cheapest train systems I have ever used. The best part is the Air conditioning on board in the Delhi heat. The rails are very well spread out and with the help of Google maps you can easily figure it out. 
Delhi_Metro,Surya Katakam,5.0 of 5 bubbles,Apr 2022,Second oldest metro of India,"I have travelled and experienced Bengaluru Metro, Mumbai Metro, Chennai Metro, Hyderabad Metro and now Delhi Metro as well. Over all I enjoyed Delhi metro a lot than compare all other metros.Interesting facts about Delhi Metro:1. Delhi Metro construction was started on 1st October 1998 and started operations on 24th December 2002 with the Red line as the first operating route. Delhi metro has total network length of 391 km with 12 metro lines having total 286 stations serving Delhi, Gurgaon,  Noida and Faridabad cities. 2. Delhi metro is 2nd oldest metro service in India following Kolkata Metro which was started on 24th October 1984. It is also famous as largest and busiest metro of India.3. Delhi metro has mix of underground, at-grade and elevated stations using both broad gauge and standard gauge track system.4. Delhi Metro runs on accurate time and is punctual at the rate of 99%.5. Dhaula Khan metro station on the pink line is the highest point of Delhi Metro towering at a height of 23.6 meters.6. Delhi metro is also having underground metro routes. The deepest point of Delhi metro is below Rajiv Chowk metro station. A tunnel 45 meters deep was dug for the orange line which is also called as Airport express link.7. Delhi Metro operates over 3000 trips daily starting at 05:00 am and closes operations at 23:30"
Delhi_Metro,Ratan singh rathore,5.0 of 5 bubbles,Feb 2022 • Solo,historical places in Delhi | Delhi tour guide| bestplaces2visit,Metros here helps commuters to cover distances.bestplaces2visit: here are the best places to travel
Delhi_Metro,VIPIN_GOEL_TP_Impex,4.0 of 5 bubbles,Oct 2021,Long distances in city are convenient in Metro,"Delhi Metro is the longest Metro Network of India. If you really want to save yourself from Delhi Pollution and crowd on the roads, it is the best way to travel. Get a Metro Card for smooth entrance to the stations, otherwise you will be wasting time in queues to get a ticket. If you are going to NOIDA or Gurgaon or to Ghaziabad, Metro is the best."
Delhi_Metro,Vineet,1.0 of 5 bubbles,Dec 2021 • Solo,Bad...worst.,Worst service Delhi metro only they increase the ticket prices that's it......specially blue line is very worst service waiting of 15 minutes for metro because of Delhi metro everytime I got late...I missed my train..flights bloody worst service only they need money .....I don't want to abuse for this bulletin service because harsh words is less for delhi metro.and their services.
Delhi_Metro,Amit G,1.0 of 5 bubbles,Dec 2021 • Friends,Pathetic Delhi metro,"There no online payment options at Delhi airport line. As we know that it's a advanced metro of India😠. I had a ticket ( up and down pkg )of Dwarka 21 to aerocity, but due to first covid pandemic metro was not operational. And also i was not able to come to Delhi. When I came here in October 2020. And asked for my ticket activition. He said that now we can't do anything. Also staff behaviour is not good. Now There no sanitiztion inside the metro in pandemic. Pathetic 😤."
Delhi_Metro,Aathira,5.0 of 5 bubbles,Oct 2021 • Solo,Very good experience,"I prefer to travel via metro.Today i lost my vallet inside metro station ,the security staffs help me  a lot to find who took my vallet by chechikg cctv .out side metro station auto people help me to foud the lady who took my vallet.thank u all"
Delhi_Metro,Vikram,1.0 of 5 bubbles,Oct 2021 • Solo,Horrible,Useless behavior by crpf on 14.10.2021 and imposed challan on me by cash of rs. 200 as I already show him fever and feel very hot. Cheapless employees working in CRPF.. I HATE DELHI METRO and never travel from onwards...  God will see u Mr. CRPF guy.. I hate you ..
Delhi_Metro,Anmol,5.0 of 5 bubbles,Sep 2021 • Friends,Nice metro,"Less fair, easy to travel. Take less time to go from one place to other. Budget friendly and all the staff are too supportive . Metro station are also clean."
Delhi_Metro,Prateek,1.0 of 5 bubbles,Aug 2021 • Business,Bad,It worst to get in delhi metro these days. You could have to wait for more than 1 hour in the standing row outside the metro station .
Delhi_Metro,Elias Biplob,4.0 of 5 bubbles,Aug 2020,"It's clean, but it's not lively.","Years ago, I was in Delhi and decided to check out their metro system out of curiosity. Actually, when I visited Singapore the same year, my experiences were fantastic, but here, I don't get nearly as much as I would like."
Delhi_Metro,Hsua,1.0 of 5 bubbles,Mar 2021 • Family,Not cleaned,"There are so many nooks and crannies, in station, on the train that are dirty. The place and trains need real good clean. And that red stain everywhere!"
Delhi_Metro,Suhail Qureshi,1.0 of 5 bubbles,Oct 2020 • Solo,Worst,"It's service is worse, management doesn't care about your problem, and after lockdown it got more worse"
Delhi_Metro,travelnomadNZ,5.0 of 5 bubbles,Dec 2019 • Friends,Delhi Metro best transport option,"The metro close to our hotel was a blessing. I took the Metro into the centre of Delhi. Great option from buses, taxis and tuk tuk. It was quick and easy to access.Hint : make sure you find out from the locals when the busy times are. Very fast so know where you need to get off. December cold during day where warm clothes and good footwear"
Delhi_Metro,SAROJ8585,5.0 of 5 bubbles,Jan 2020 • Family,DELHI METRO,Delhi metro is the largest and busiest metro in India and second oldest after the kolkata metro.It provides multible benefits like reduction in air pollution time saving to pessengers etc.It runs on 12 lines and total system length is 348 kilo metres with 253 stations
Delhi_Metro,Rajan,5.0 of 5 bubbles,Mar 2020 • Family,Great journey,Metro is neat and clean. Superb maintenance. Staff very cooperative. Enjoy your rides. Just avoid peak times rush.
Delhi_Metro,Brun066,5.0 of 5 bubbles,Sep 2019,"Much more than a transport network, it's a powerful welfare tool","In my three-day stay in Delhi, I used the metro as much as possible. It was a pleasant surprise for me to be able to take advantage of a structure such as the Delhi metro network: efficient and clean stations and trains, fast trains, a network that - alone or with the help of other means in the ""last mile"" - allows you to get anywhere.Can I say it? The Delhi metro doesn't look like the city. Delhi (but almost all of India) presents contrasts between rambling places (if not distressing) and places that shine with wealth and luxury. In this context, the Delhi metro is much more than a transport network (anyway more than appreciable): it’s a powerful tool of the welfare state, of reducing inequalities, of a policy of progressive reformism.."
Delhi_Metro,Harsh Malhotra,5.0 of 5 bubbles,Mar 2020 • Solo,Great,It is always a great experience to travel Delhi metro It is neat and clean.  Stations are hygienic and public friendly. Security is alert and staff courteous
Delhi_Metro,Dennis P,4.0 of 5 bubbles,Jan 2020,Very clean unlike the outside,The concourses of all the stations we used were spotless as was the interiors of the cars - unlike the garbage outside in the streets.Quite an efficient system.
Delhi_Metro,Pushpak Srivastava,5.0 of 5 bubbles,Feb 2020 • Family,Trip to Delhi Zoo,Delhi metro is the best thing about Delhi. It is punctual and pollution free. With Delhi metro you do not need to worry about traffic delays
Delhi_Metro,Payal G,5.0 of 5 bubbles,Dec 2019 • Couples,Truly Delhi's lifeline,This is the most efficient way to get around the NCR i.e. New Delhi and it's satellite towns from Noida to Gurgaon to Faridabad. Visitors to Delhi should opt for this mode of transport as Delhi lacks an organized metered Taxi or Auto rickshaw system like Mumbai and Kolkata. The Metro is way better and safer than haggling with unreliable auto drivers.Most of the sites in Delhi can be accessed through the metro. The tickets are very reasonably priced. Even the peak hour crowds are less than Mumbai local trains and metro making the journey quite comfortable. There are ample guides and maps for the various lines. It is easier and faster to get a metro card if one has to make multiple trips.
Delhi_Metro,Rush401,5.0 of 5 bubbles,Jan 2020 • Solo,Travel on metro,The best thing in delhi is the metro system.no more fighting bargaining with the auto guys.!as a solo lady visitor I have travelled to all the tourist places in delhi which are within walking distance from the metro station.plus was very happy to see special coaches for ladies only at the front of the train..superb way to travel.convenient and easy.
Delhi_Metro,anurag t,5.0 of 5 bubbles,Oct 2019 • Solo,Shopping,I went for shopping there in Delhi.. Delhi metro is really excellent... Conoought palace is best for shopping.
