Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Discover_India_by_Car,Bob O2,5.0 of 5 bubbles,Jan 2023 • Friends,Golden Triangle Tour I can recommend India by Car as a reliable and honest tour operator.,Wow. What an experience with India by Car. We were late booking and only had limited free time in India. We organised a 3 day tour or the Golden Triangle and everything was great.Because we are two big guys we upgraded the car to accommodate us. The driver picked us up promptly at 9am on the first day and then met the guide and done a full day tour of Delhi.Late in the afternoon we left for Agra and the guide met us at the hotel that night and we went thru what we wanted to see and what time to see the Taj because of the weather. We saw everything that we wanted and was impressed with the knowledge of the history of the area of the guide. Again the lunch stop was clean and the food was great.  We left forJapour late in the afternoonIn Jaipur we met our guide at the first attraction and had a full day with him. Again he was a University lecturer and knew all the history of the city. We left for the trip back to Delhi that afternoon. All drivers knew where there was clean toilets and refreshment stops along the way.I can recommend India by Car as an honest and reliable tour operator when in India.Sugar kept in contact every day to make sure everything was going well. We organised our own hotels.CheersBob from Australia 
Discover_India_by_Car,alakshma,5.0 of 5 bubbles,Feb 2023 • Couples,Superb car and driver service!,"Discover India by car gave us a fantastic service in Delhi. Ankit was very easy to work with for the booking. Prem was a very patient driver and was always available for us any time of the day, no questions asked. Hightly recommend using them!"
Discover_India_by_Car,Katie b,5.0 of 5 bubbles,Jan 2023 • Friends,"New Delhi to Agra, tour of Taj Mahal, Agra Fort and Tomb","We had a wonderful experience driving from Delhi to Agra and seeing the Taj Mahal, Agra Fort and ItimadUdDulah Tomb with Sushil. Sushil was very pleasant and personable and was a calm and gentle driver. He provided us with lots of information and we felt like we got to know him and made a friend along our journey. Thank you Sushil!"
Discover_India_by_Car,jps_rueil,5.0 of 5 bubbles,Dec 2022,The company for Golden Trianlge,"Amazing experience with this company. We did the Golden triangle + 1 day Delhi (total 5 days) with 3 guides:-The guy from the company (Sugar and team) all the time in touch in whatsapp, to be sure everything is ok. Very good tips from him for our free days. Flexible to our changes.-Jaipur: amazing experience with Golyari. He knows everything about Jaipur. Very well organized, to let us visit the best of Jaipir, in perfect timing, excellent Spanish, very professional, he took incredible photos!-Agra: wonderful experience with Shazeb, he let us know the story of the city very well! Very passionate for his work. Very good Spanish, very professional and stunning photographer!-Delhi: awsome experience with Raghu. He requested us our main interests and prepared the trip optimizing the times. He knows very well the story of the Delhi, and took us to best places, to let us know the real Delhi. Very professional, perfect Spanish.-Finally, Mr Prem… our driver: extremely polite person, with great heart. He took us to nice places to visit and good (quality and price) restaurants. He has a map in his mind, he knows how to get to all the places, optimizing the times. Excellent English.I recommend this company 100%"
Discover_India_by_Car,Efe,4.0 of 5 bubbles,Jan 2023 • Couples,Decent service,"Ankit is a decent communicator to arrange us a driver (Hari) to take us around in Agra and safely back to Delhi on time. It was an enjoyable experience. Haven't personally met with Ankit, but he did regular checks on our trip to make sure everything went smoothly. Only drawback is a little high price for a sedan car (~14K without a tour guide), but overall we are happy with the service."
Discover_India_by_Car,Joao M,5.0 of 5 bubbles,Jan 2023 • Family,"Deli, Rajasthan and Agra","I came with my wife and we had an amazing experience with Discover India by Car! Our driver, Mr. Sushil, provided an outstanding support to our needs and definitely exceeded all expectations! He has a wide knowledge of India’s major touristic  attractions and cultural aspects as well, reason our 15 day trip was awesome!"
Discover_India_by_Car,S. Deb,5.0 of 5 bubbles,Dec 2022 • Family,Golden Triangle Tour,"Overall excellent service!!Communication was superb from Ankit, price wise not cheapest in the market, but at the end real value for money.Our driver Karamveer was brilliant as well. Always driving safely, polite and courteous, even he looked after the kids when we went for a quick shopping.Our trip was Golden Triangle covering Delhi, Agra and Jaipur.We will recommend their services to anyone."
Discover_India_by_Car,Dectrip,5.0 of 5 bubbles,Jan 2023 • Friends,Top notch driver and great communication.,"Our favorite part of the trip was our wonderful driver, Sushil.He really made our trip due to his safe driving and his ability to connect with us about his country. Sushil was wonderful with our son, as well. He was kind and understanding. Also the company was top notch in communication with us. timely and clear."
Discover_India_by_Car,BW8080,5.0 of 5 bubbles,Jan 2023 • Friends,Excellent services,"We were a group of three ladies travelling to India for the first time and our driver, Sushil, made it a very enjoyable experience for us. In fact, Sushil was more than a driver: he was a friend, an excellent storyteller and a good travel companion. I appreciate his honest and humble opinion, punctuality (even though we were almost always late, he came on time if not early) and recommendation for delicious local cuisine. He was very accommodating to all our whims and fancies. On top of that, we feel very safe in his car regardless of what's going on on the streets! Thanks for everything!"
Discover_India_by_Car,Bence M,5.0 of 5 bubbles,,Goldrn triangle,"Mr. Ankit took very good care of us, he always knows a nice place to eat and is very flexible to find what you need."
Discover_India_by_Car,dy0nys0s,5.0 of 5 bubbles,Jan 2023 • Friends,Amazing experience,"Ankit is super attentive and very informative, he is taking good care of his customers, can’t recommend him and his company enough!"
Discover_India_by_Car,Claire Miner,5.0 of 5 bubbles,Dec 2022,"Best Car, Driver, Guide Experience in India","We have had the most positive and memorable experience with our driver and guides. They are very professional, courteous and knowledgeable. We travelled from Delhi to Amanbaugh, Agra and back to Delhi with comfort and ease. We highly recommend this company for your travels in India. They will take very good care of you and your family!"
Discover_India_by_Car,S R,5.0 of 5 bubbles,Dec 2022,"Reasonably priced, punctual & friendly service","Ankit offered a very competitive quote. It wasn't the cheapest, but he responded patiently to my emails both before, and during our trip and that made the difference. Sushil our driver was very punctual even when we were late. He was friendly and his stories passed away the hours. His recommendations for food and everything else was spot on.We will definitely hire them again for our future Delhi travels."
