Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Gozo_cabs,Sony,1.0 of 5 bubbles,Jan 2023 • Couples,Making fool of people,Horrible things they are lying every time driver told me they have open policy but they charged extra for 100 km what the hell is
Gozo_cabs,TP Singh,5.0 of 5 bubbles,Oct 2022 • Family,Excellent experience,"A Cab Service with very helpful service desk, a friendly user interface for online booking, a very transparent payment system, courteous drivers, well maintained cabs and to top it all cheaper than the competition.Availed their services three to four times for my outstation trips to different destinations."
Gozo_cabs,Team GozoCares,1.0 of 5 bubbles,Jan 2023 • Family,Cab cancelled late at night inspite of booking 3 days in advance with advance payment,"Dear Customer,

Thank you so much for your brief review and lovely rating. Such encouraging words are really motives the team a lot. Please spread the word and tell others about Gozo's rate and services. There are still so many people in India who are overpaying for outstation travel. We need your help to get all of India to travel with Gozo! Thank You!

Team GozoCabs
"
Gozo_cabs,Anonymous,1.0 of 5 bubbles,Jan 2023 • Couples,Fraud company,"Dear Customer,

Thank you so much for your brief review and lovely rating. Such encouraging words are really motives the team a lot. Please spread the word and tell others about Gozo's rate and services. There are still so many people in India who are overpaying for outstation travel. We need your help to get all of India to travel with Gozo! Thank You!

Team GozoCabs
"
Gozo_cabs,anant r,5.0 of 5 bubbles,Jan 2023,Trichy to Chennai,"I had booked a cab 3 days in advance for 26th Jan 9:30 am and also paid in advance. On 25th night at 10:30 pm, i get a call from gozo cabs that they won't be sending cab in the morning. It was such pathetic service. I had senior citizen traveling with me and it was such a stressful situation to figure out for a cab late at night. Unfortunately my entire plan of traveling went on a toss and had to pay extra money to other cab provider.WONT RECOMMEND AT ALL... PATHETIC PATHETIC AND WORST EVER SERVICE WE BOOKED."
Gozo_cabs,Team GozoCares,5.0 of 5 bubbles,Jan 2023 • Couples,"Excellent, responsive and professional services offered by Gozo",I booked a cab from kochi for 5 days for 13200And paid 3973 as advance....the cab details were given...when I arrived at the airport...no cab was there...on contacting them( every time different person will talk....Ankit ...sunanda......baapi...debashree...etc.....after waiting for one hr ...a different cab and driver arrived.......on second day ...the driver started demanding 6000 rs.....after stopping the car in the middle....and refused to proceed further and said that he will not give luggage after much debate we landed munnar police station......Gozo cab people were unreachable....as u cannot contact them ...they only can call u......when they called back they asked to pay 4000 to driver and end the trip......and promised to give me money back for unused part of trip and compensation.....but on contacting them they bluntly refused.......they r fraud people...don't trust at all....as nobody knows from where they operate My holiday was ruined and so can b urs
Gozo_cabs,AnandG1982,5.0 of 5 bubbles,Jan 2023 • Couples,Good,"Dear Customer, 
Our sincere apology for the inconvenience caused. Our team has investigated the issue and taken the necessary steps to improve our service and we acknowledge the driver needs to act more professionally. Team has already replied you via email vide Ticket no :- 4813529. Kindly check your registered email ID and stay in touch with us. We ensure that it will not recur again and hope to meet and exceed your expectations the next time you travel with us. Thank You! -Team GozoCabs"
Gozo_cabs,Team GozoCares,1.0 of 5 bubbles,Dec 2022,DO NOT GOZO - Pathetic drivers and horrible services,"Dear Customer, 
Our sincere apology for the inconvenience caused. Our team has investigated the issue and taken the necessary steps to improve our service and we acknowledge the driver needs to act more professionally. Team has already replied you via email vide Ticket no :- 4813529. Kindly check your registered email ID and stay in touch with us. We ensure that it will not recur again and hope to meet and exceed your expectations the next time you travel with us. Thank You! -Team GozoCabs"
Gozo_cabs,Baishali Sarkar,5.0 of 5 bubbles,Dec 2022,"Efficient, comfortable, and flexible",I have been using Gozocab since long. Booking of cab is easy. Customer care executive was very helpful and booked the cab in few mins. Driver and cars are also good. Overall value for money.
Gozo_cabs,Team GozoCares,5.0 of 5 bubbles,Jan 2023 • Family,Excellent trip to Shirdi,"Dear Mr. Anand,

Thank you so much for your brief review and lovely rating. Such encouraging words are really motives the team a lot. Please spread the word and tell others about Gozo's rate and services. There are still so many people in India who are overpaying for outstation travel. We need your help to get all of India to travel with Gozo! Thank You!

Team GozoCabs"
Gozo_cabs,Himani & Sachin,,,,"Dear Mr. Anand,

Thank you so much for your brief review and lovely rating. Such encouraging words are really motives the team a lot. Please spread the word and tell others about Gozo's rate and services. There are still so many people in India who are overpaying for outstation travel. We need your help to get all of India to travel with Gozo! Thank You!

Team GozoCabs"
Gozo_cabs,Team GozoCares,,,,Excellent service Prompt and highly professional services offered. The driver and car experience was awesome. Thanks Gozo for such a lovely experience
Gozo_cabs,Stay428861,,,,"Dear Mis Sarkar,

Thank you so much for your brief review and lovely rating. Such encouraging words are really motives the team a lot. Please spread the word and tell others about Gozo's rate and services. There are still so many people in India who are overpaying for outstation travel. We need your help to get all of India to travel with Gozo! Thank You!

Team GozoCabs"
Gozo_cabs,Team GozoCares,,,,"Dear Mis Sarkar,

Thank you so much for your brief review and lovely rating. Such encouraging words are really motives the team a lot. Please spread the word and tell others about Gozo's rate and services. There are still so many people in India who are overpaying for outstation travel. We need your help to get all of India to travel with Gozo! Thank You!

Team GozoCabs"
Gozo_cabs,Diego L,,,,The driver was excellent and polite. The call center executive who attended to us went out of the way to ensure we got a good trip - Himaani Tiwaari
Gozo_cabs,Team GozoCares,,,,"Dear Customer,

Thank you so much for your brief review and lovely rating. Such encouraging words are really motives the team a lot. Please spread the word and tell others about Gozo's rate and services. There are still so many people in India who are overpaying for outstation travel. We need your help to get all of India to travel with Gozo! Thank You!

Team GozoCabs
"
Gozo_cabs,NNN,,,,"Dear Customer,

Thank you so much for your brief review and lovely rating. Such encouraging words are really motives the team a lot. Please spread the word and tell others about Gozo's rate and services. There are still so many people in India who are overpaying for outstation travel. We need your help to get all of India to travel with Gozo! Thank You!

Team GozoCabs
"
Gozo_cabs,Team GozoCares,,,,"Gozo provided the worst driver - first did not put on the heater in car for morning hours 5 AM in cold weather, and then started demanding additional money (2500,2000,1500,1000 etc) for an on-route itinerary included within the contracted km. When denied, the driver first demanded money, then held us captive, our luggage captive, and left us midway on the road (from Jaipur to Udaipur); all this went on for 5 hours during our trip with a family of 4 with a 4-year-old.  Gozo customer rep kept on saying we are talking to the driver as he is obliged to take but the driver did not move; the Gozo cab rep finally said we cannot provide service in the area and we will have to get another cab for ourselves. With no contacts at an unknown place, we were left stranded; we had to request unknown people to get local contacts for cab services.Gozo reps did not even refund my money for all this mishap and still hold my money. I pre-planned a return journey fare and when the driver left, we had to hire multiple cab services with a lot of inconveniences, and had to make extra payments everywhere on the trip (to Udaipur and back to Jaipur which also included on-the-way sightseeing). They said they have suspended the cab vendor.After, telling the customer rep the whole story, he again asked me to write down the sequence of events in an email - I mean why do you waste time listening on phone? On my vacation, I had to write down emails (spending 3-4 hours) to describe the story. I demanded my full refund and additional compensation as my family had to suffer harassment and my vacation was completely ruined.Additionally, Gozo has issued me fraudulent invoices with incorrect cab details and itinerary to claim the payment I made - horrible practice; attaching a pic of the cab and an incorrect invoice sent to me. I have sent multiple emails with no action over a month and I keep getting messages from multiple reps that someone will call you."
,,,,,"Dear Customer,
We can understand the situation and we sincerely apologize for your experience. We are unable to find out your booking with us in our system. Hence request you to please share your concern at info@gozocabs.com alongwith the booking ID, our concern team can investigate and take the necessary steps at the earliest. We are confident enough that will provide you the best service in your next booking with us. Thank You!
-Team GozoCabs
"
,,,,,"Dear Customer,
We can understand the situation and we sincerely apologize for your experience. We are unable to find out your booking with us in our system. Hence request you to please share your concern at info@gozocabs.com alongwith the booking ID, our concern team can investigate and take the necessary steps at the earliest. We are confident enough that will provide you the best service in your next booking with us. Thank You!
-Team GozoCabs
"
,,,,,"Very convenient way to travel India, is is very price competitive vs trains and buses if you're 2 or more people. You can book one day in advance, which gives you so much flexibility and a lot of comfort.Only inconvenient is that they only take indian cards for reservations so we needed an indian friend to lend us his card for the bookings and then we paid the remaining amount in cash.Highly recommended!"
,,,,,"Dear Customer,

Thank you so much for your brief review and lovely rating. Such encouraging words are really motives the team a lot. Please spread the word and tell others about Gozo's rate and services. There are still so many people in India who are overpaying for outstation travel. We need your help to get all of India to travel with Gozo! Thank You!

Team GozoCabs"
,,,,,"Dear Customer,

Thank you so much for your brief review and lovely rating. Such encouraging words are really motives the team a lot. Please spread the word and tell others about Gozo's rate and services. There are still so many people in India who are overpaying for outstation travel. We need your help to get all of India to travel with Gozo! Thank You!

Team GozoCabs"
,,,,,"Excellent trip to Shirdi. Prithi from customer care service was proactive and helpful. The cab provided for 6 of us was Eritga and in an impeccable condition. The driver Santosh was amazing - polite, courteous and a great driver. All in all, an excellent trip to Shirdi thanks to Gozo.Additionally, the cab was made available at a good discount (ask for it from customer care), and the payment mechanism was prompt.I would definitely like to utilise the services of Gozo again."
,,,,,"Dear Customer,

Thank you so much for your brief review and lovely rating. Such encouraging words are really motives the team a lot. Please spread the word and tell others about Gozo's rate and services. There are still so many people in India who are overpaying for outstation travel. We need your help to get all of India to travel with Gozo! Thank You!

Team GozoCabs"
,,,,,"Dear Customer,

Thank you so much for your brief review and lovely rating. Such encouraging words are really motives the team a lot. Please spread the word and tell others about Gozo's rate and services. There are still so many people in India who are overpaying for outstation travel. We need your help to get all of India to travel with Gozo! Thank You!

Team GozoCabs"
Gozo_cabs,dee,1.0 of 5 bubbles,Jan 2023,Terrible reschedule policy,Horrible service by Poonam and Seniors:1. Prioritizing company policy above the customer needs. · 2. Mismanaging social media. · 3. Ignoring customer feedback. · 4. Waiting on hold for 3 hours
Gozo_cabs,Team GozoCares,5.0 of 5 bubbles,Jan 2023,Very Good,"Dear Deepes Ji,
We can understand the situation and we sincerely apologize for your experience. This is not the usual situation. We would still request you to please share your concern at info@gozocabs.com alongwith the booking ID, our concern team can investigate and take the necessary steps at the earliest. We are confident enough that will provide you the best service in your next booking with us. Thank You!
-Team GozoCabs"
Gozo_cabs,Jagadeesh,5.0 of 5 bubbles,Feb 2022 • Family,Awesome service,"Dear Deepes Ji,
We can understand the situation and we sincerely apologize for your experience. This is not the usual situation. We would still request you to please share your concern at info@gozocabs.com alongwith the booking ID, our concern team can investigate and take the necessary steps at the earliest. We are confident enough that will provide you the best service in your next booking with us. Thank You!
-Team GozoCabs"
Gozo_cabs,Team GozoCares,5.0 of 5 bubbles,Dec 2022,Comfort and flexibility!!!,"Timely response and professional  Staff and Driver, on time pick up and drop. Very Good and easy to approach"
Gozo_cabs,Pulak B,1.0 of 5 bubbles,Jan 2023 • Family,They can ditch you anytime,"Dear Jagadeesh Sir,

Thank you so much for your brief review and lovely rating. Such encouraging words are really motives the team a lot. Please spread the word and tell others about Gozo's rate and services. There are still so many people in India who are overpaying for outstation travel. We need your help to get all of India to travel with Gozo! Thank You!

Team GozoCabs"
Gozo_cabs,Team GozoCares,5.0 of 5 bubbles,Dec 2022 • Family,"Excellent Service by Gozo Cabs, especially the cab drivers were very polite in behaviour and handled the trip with care.","Dear Jagadeesh Sir,

Thank you so much for your brief review and lovely rating. Such encouraging words are really motives the team a lot. Please spread the word and tell others about Gozo's rate and services. There are still so many people in India who are overpaying for outstation travel. We need your help to get all of India to travel with Gozo! Thank You!

Team GozoCabs"
Gozo_cabs,teeta,5.0 of 5 bubbles,Dec 2022 • Family,Pleasant n nice .,"Excellent professional service. Well maintained, clean vehicles. Polite and helpful drivers. Highly recommended."
Gozo_cabs,Team GozoCares,1.0 of 5 bubbles,Dec 2022 • Family,Unreliable & unprofessional scam company,"Dear Pulak Sir,

Thank you so much for your brief review and lovely rating. Such encouraging words are really motives the team a lot. Please spread the word and tell others about Gozo's rate and services. There are still so many people in India who are overpaying for outstation travel. We need your help to get all of India to travel with Gozo! Thank You!

Team GozoCabs"
Gozo_cabs,Deepak,5.0 of 5 bubbles,Dec 2022 • Friends,GOA TRIP,"Dear Pulak Sir,

Thank you so much for your brief review and lovely rating. Such encouraging words are really motives the team a lot. Please spread the word and tell others about Gozo's rate and services. There are still so many people in India who are overpaying for outstation travel. We need your help to get all of India to travel with Gozo! Thank You!

Team GozoCabs"
Gozo_cabs,Team GozoCares,1.0 of 5 bubbles,Dec 2022 • Friends,Horrible service and unprofessional staff,I just traveled with Gozo Cabs and it was a good experience overall. Driver arrived on time and was flexible throughout the trip.
Gozo_cabs,RamakrishnaA,,,,"Dear Customer,

Thank you so much for lovely review and rating. Such encouraging words are really motives the team a lot. Please spread the word and tell others about Gozo's rate and services. There are still so many people in India who are overpaying for outstation travel. We need your help to get all of India to travel with Gozo! Thank You!

-Team GozoCabs
"
Gozo_cabs,Team GozoCares,,,,"Dear Customer,

Thank you so much for lovely review and rating. Such encouraging words are really motives the team a lot. Please spread the word and tell others about Gozo's rate and services. There are still so many people in India who are overpaying for outstation travel. We need your help to get all of India to travel with Gozo! Thank You!

-Team GozoCabs
"
Gozo_cabs,Harman D,,,,"Don't risk your travel plans with them. They can ditch you anytime and simply say sorry on a call. I booked a cab from North goa to airport for 02 jan 23 after a vacation. Paid the advance also. They gave a call on 01Jan late evening and simply say sorry, our partners can't provide a car on 02 jan. So we are cancelling your booking from our end.That is all. Their job is over. And your tension and anxiety begins. You are left high and dry in the peak season. These guys lack commitment. They may be doing good business,there my be a plenty of satisfied customers but then there is no guarantee. You could be the next one whom they ditch at last minute at their convenience. Can you risk that during a vacation with family.Better to look for local options when out on holiday."
Gozo_cabs,Team GozoCares,,,,"Dear Customer, 
We can understand the situation and we sincerely apologize for your experience. This is not the usual situation and this happened due to extreme high demand. We would still request you please share your concern at info@gozocabs.com alongwith the booking ID, our concern team can investigate and take the necessary steps at the earliest. We are confident enough that will provide you the best service in your next booking with us. Thank You!
-Team GozoCabs
"
Gozo_cabs,Adesh Gupta,,,,"Dear Customer, 
We can understand the situation and we sincerely apologize for your experience. This is not the usual situation and this happened due to extreme high demand. We would still request you please share your concern at info@gozocabs.com alongwith the booking ID, our concern team can investigate and take the necessary steps at the earliest. We are confident enough that will provide you the best service in your next booking with us. Thank You!
-Team GozoCabs
"
Gozo_cabs,Team GozoCares,,,,"Excellent Service by Gozo Cabs, especially the cab drivers were very polite in behaviour and handled the trip with utmost care. Have to appreciate Pallavi from Gozo who has taken care of the trip timings and kept on following up on the overall feedback and service."
Gozo_cabs,Akula Madhu babu,,,,"Dear Mr. Ramakrishna,

Thank you so much for your brief review and lovely rating. Such encouraging words are really motives the team a lot. Please spread the word and tell others about Gozo's rate and services. There are still so many people in India who are overpaying for outstation travel. We need your help to get all of India to travel with Gozo! Thank You!

Team GozoCabs"
Gozo_cabs,Team GozoCares,,,,"Dear Mr. Ramakrishna,

Thank you so much for your brief review and lovely rating. Such encouraging words are really motives the team a lot. Please spread the word and tell others about Gozo's rate and services. There are still so many people in India who are overpaying for outstation travel. We need your help to get all of India to travel with Gozo! Thank You!

Team GozoCabs"
Gozo_cabs,Naval G,,,,"Very easy to book . Cab was great , driver also drove safely n was polite . Payment also easy to do on the site or Paytm/Google pe . Lastly , affordable n cheaper than Uber/ola n other online services i have tried till now ."
