Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Guruji_Travels_Pvt_Ltd,Srinivas Yerramilli,5.0 of 5 bubbles,Feb 2023 • Couples,Heart touching Himachal driver,Excellent ...5 Stars ⭐ for the driver named Ashok Kumar from Bilaspur (H.P)1)One ⭐ for Exceptional professional driving skills he had2) second ⭐ for Exceptional communication skills With lot of warmth and care he had3) Third ⭐ for Exceptional knowledge about local culture and epic stories and storytelling 4) Fourth ⭐ for Exceptional knowledge about  overall demographic socio- economic knowledge5) fifth  ⭐ for Exceptional care and concern he had for us makes the trip joyful adventures knowledgeable experience .... thank you Ashok Kumar ji...and guruji travels for hiring such a nice professional
Guruji_Travels_Pvt_Ltd,Sathish,1.0 of 5 bubbles,Feb 2023 • Couples,Unexpected Experience,"We hired an innova, the vehicle was good but the driver was worst, he was smoking in the vehicle and did not Stop for breaks and was forcing us use only his vendors"
Guruji_Travels_Pvt_Ltd,richa p,1.0 of 5 bubbles,Dec 2022 • Family,Tempo traveller burnt in front of our eyes.  Life threatening and pathetic,Please do not ever travel with these people. They are cheaters. Our tempo which thy allocated to us was totally un maintained and it caught fire while on the roads with us all in it.  Even the fire extinguisher didnt work. And they are so negligent to humans. Never travel with them if you want you family to be safe.
Guruji_Travels_Pvt_Ltd,268sarathm,5.0 of 5 bubbles,Dec 2022 • Couples,Great Experience with Guruji,"Travelled to Shimla and Manali with Guruji travels, MMT arranged the whole tour. The driver Rinku who is actually from Himachal was very professional and helpful. He drove very carefully especially through the hilly roads, Everyday Kumkum checked about the driver and the cab , Overall 5 stars to the team.A small request , Drivers are sleeping in the Cab in the minus degree outside the hotel, please consider to provide good salary\facility for them."
Guruji_Travels_Pvt_Ltd,Harry,1.0 of 5 bubbles,Nov 2022,Worst experience with travel agent,"We met with a small accident via Manali to Shimla. The animal attacked our car during our journey and broke the glass of the rear door glass. We have requested the owner to replace the car or fix the glass. However, he refused to replace the car and created a false commitment to fix the glass. Yet, they did not fix the glass, and we travelled from Shimla to Delhi in a broken and uncleaned with small parts of broken glass."
Guruji_Travels_Pvt_Ltd,Lokesh Paliwal,5.0 of 5 bubbles,Jun 2022 • Couples,Shimla Trip,"I went to shimla it was a nice trip, we enjoyed a lot , did shopping on mall road and took benefit of wonderful weather."
Guruji_Travels_Pvt_Ltd,Birendra K,5.0 of 5 bubbles,Jul 2022 • Couples,Recommend Guruji travels.,Good cooperation from office Staff and Driver. There was small issue regarding a/c running in hilly areas but I believe this issue was mainly created by MMT.
Guruji_Travels_Pvt_Ltd,Dr Lakshmi,4.0 of 5 bubbles,Jun 2022 • Family,Trio to Uttarakhand,We went on trip to Uttarakhand with Make my trip in the month of June 22. Guruji travels provided cab for transport to various places in Uttarakhand.  Cabs are neat and driver is good. .
Guruji_Travels_Pvt_Ltd,Shraddha Bhangale,5.0 of 5 bubbles,Jun 2022 • Family,Nainital sightseeing,We had a day trip in Nainital. With family. The experience was good. The driver was well organised and good.
Guruji_Travels_Pvt_Ltd,Ravi C,4.0 of 5 bubbles,Jun 2022 • Family,Overall good experience,"Thanks for your words.

"
