Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Habitat_World_Convention_Centre,URP70,4.0 of 5 bubbles,Sep 2019,Beautiful heritage building,Loved my stay here inside heritage building. Morning walk and after dinner walks were relaxing. Great location to reach any place in Delhi. Pleasing to eyes with greenery all around. Safe for single women travelers and children too. Children have lot of place to run around and play. Lot of selfie friendly locations.
Habitat_World_Convention_Centre,Sonu Choudhary,5.0 of 5 bubbles,Dec 2018,Very good place for Meetings and Conference,IHC has state of art infrastructure and banquet services. Services provided by IHC compete with 5 Star hotels. Al though IHC has its own brand and status. 
Habitat_World_Convention_Centre,SwagataSN,5.0 of 5 bubbles,Dec 2018,Larger than life,The architecture of the landmark building and the spaces created within that allow merging of indoors with outdoors in unconventional ways makes for very interesting display places and invites people to come experience the space and whatever the display is. The product here becomes a part of the larger canvas that convention center is. 
Habitat_World_Convention_Centre,Jatin Garg,5.0 of 5 bubbles,Dec 2018,Lovely Ambience and Good Restaurants!,This is a good place to organize gatherings and to meet friends over chit chat. American Diner restaurant here is must visit for Breakfast. It is open to general public.
Habitat_World_Convention_Centre,Anjali R,3.0 of 5 bubbles,Dec 2018,Disappointing facilities and food in heritage building,"We stayed in this much talked about Delhi institution for a wedding. While the catering for the wedding was sumptuous and of good quality, the food at the breakfast buffet was awful. The rooms were also very average (for the price ~8K/night) and need upgrading. There was no hot water for a whole morning as well (in the middle of a Delhi winter) - quite surprising for an establishment of this size and reputation. Disappointing. "
Habitat_World_Convention_Centre,Amolak Rattan K,5.0 of 5 bubbles,Oct 2018,"Where art, culture , academics, food and conferences are popular","This centre has excellent facilities for cultural shows, Educational seminars, International and Nationalconferences , Exhibitions for art and craft . They have very good restorants for Indian, Mughlai, Oriental and continental food . Their facilities are top class and food is tasty, delicious and sumptuous .Governor Amolak Rattan Kohli"
Habitat_World_Convention_Centre,Smitpoo,5.0 of 5 bubbles,Oct 2018 • Solo,Eco Convention cetre !!,"It is one of the building planned very well,with lot of space around .Looks  a eco design,with lot of greenery around.Its got lot of government and non government office space..Very good place for any kind of workshops,its got a restaurant also.Planned parking."
Habitat_World_Convention_Centre,Piyush Thakur,5.0 of 5 bubbles,Oct 2018 • Family,The convention centre of Delhi,It's been there for ages. Habitat centre hosts some of the most popular conventions in the country. Apart from that it gives its members am opportunity to book their hall for your own function. They have their own cafeteria for regular visitors. Tip : Come here as part of some function. No point coming to just visit this place 
Habitat_World_Convention_Centre,RAJENDRA884 PRASAD,5.0 of 5 bubbles,Dec 2017 • Friends,Great place for get together!,"We had our school Alumni Get Together at Habitat Center, which was well attended by hundred of old students.  Had a great cultural event in auditorium and later had sumptuous lunch in open lawns."
Habitat_World_Convention_Centre,nikkiprincess005,5.0 of 5 bubbles,Aug 2018 • Friends,Convention Centre,Arts hotel accommodation in convention center and Delhi has a big one in every way. All kinds of people can visit.
Habitat_World_Convention_Centre,Simmurani,4.0 of 5 bubbles,May 2018 • Couples,Iconic,"A lot for some convention centre, the place is full of achievements and certification on major topics, used for gatherings of dignitaries over habitual issues"
Habitat_World_Convention_Centre,advance1984,4.0 of 5 bubbles,Sep 2018 • Couples,Good and big Convention centre,This is very big and beautiful convention centre. This is near to lodi garden. There are some good hotel and art gallery inside the centre.
Habitat_World_Convention_Centre,Sunil K,4.0 of 5 bubbles,Dec 2017 • Family,Nice place!,It is one of the finest convention centres in the country. Both members and non-members can visit here but some accesses meant for members only.
Habitat_World_Convention_Centre,Ashish S,4.0 of 5 bubbles,Aug 2018 • Family,Great place to visit,It's situated on the Lodhi road. This World convention center is an amazing place to visit. It's very neat and clean place.
Habitat_World_Convention_Centre,Jhoomer S,4.0 of 5 bubbles,Aug 2018,Cultural hub,American diner in IHC is what draws us to this place so often and we have always enjoyed exploring various art exhibitions and activities happening here while on our visit. 
