Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Indian_Food_Cooking_Classes,Andrew S,5.0 of 5 bubbles,Jan 2023 • Couples,Want a REAL Delhi India experience?,"Guaranteed authentic Indian experience, a must-do!  We will cook with Preeti and Sanu every time we visit Delhi!  We were greeted by Preeti and family in their lovely home with marigold flower necklaces.  We used traditional knives and cooking ware and stovetop to cook our favorite Indian dishes.  The ingredients used are the same that every Delhi family use- beautiful spices, fresh poultry and paneer and milk.  Made traditional chai tea!  We felt very fortunate we were able to learn over one afternoon what generations of this family have learned cooking over their lifetimes- we felt like we were apart of their family and therefore a part of Delhi and India.  Highly recommended experience."
Indian_Food_Cooking_Classes,Sourav,5.0 of 5 bubbles,Jan 2023 • Friends,Fantastic,We had a group of 3 and had a great experience with its hands on cooking class to learn so much it's a traditional and local experience i highly recommend the class
Indian_Food_Cooking_Classes,Aditi,5.0 of 5 bubbles,Jan 2023 • Friends,Excellent,I had cooking classes for a week with Preeti and her husband they are so welcoming.The lessons are well structured and easy to follow and understand.After the lessons Preeti sends you all the recipes by email you can try it at home
Indian_Food_Cooking_Classes,Glau91,4.0 of 5 bubbles,Jan 2023 • Couples,Cooking class in Delhi!,"This class was ran mainly by Preeti, with the help of her husband, Sonu. I booked online only the night before and we got a very quick reply and confirmation. We really enjoyed being able to cook in a very local Indian home, in their own kitchen and eat in the living room. Also it was great to walk around the neighborhood/ market to have a feel of this side of Delhi after the cooking class.It was lovely how we got a welcome garland each when we entered the house. Preeti also introduced us to all the herbs and spices placed in nice boxes/ containers before we started the class. We were taught how to cook so many dishes, they were plenty of food and was so yummy. I especially loved the masala chai drink for entree and the Kadai Paneer dish.Few things for consideration/ improvement: we had too much food, but did not learn to cook/ make any sweets. I think we could have cut down on some savories and so we can at least make/ cook 1 dessert, so we can complete preparation of a full meal. Also would have preferred the market tour at the start before the class, where we actually buy the ingredients for the dishes we will cook. But overall my husband and I enjoyed the class. It is always a good way to understand a culture through their food and visiting a home."
Indian_Food_Cooking_Classes,martinagiacomin,5.0 of 5 bubbles,Jan 2023 • Couples,A Family Lunch,"Tha cooking class was amazing, fun and interesting. All our questions were answered and preparing personally the food for our lunch was super satisfying. We got to spend the morning with a real local family also speaking about culture and traditions. They are lovely and were very helpful also during the market tour. Highly recommended. "
Indian_Food_Cooking_Classes,Paulien L,5.0 of 5 bubbles,Dec 2022 • Friends,Perfect introduction to North-Indian cuisine,"This was really the kind of class we were looking for. We learned the basic principles of North-Indian cuisine, which not only allows us to make the dishes from the class, but it also gives us an idea on how to start making other North-Indian  dishes. Everything was explained very clear and we could really get some hands-on experience, which will definitely help us remember everything. We also loved the warm welcome, the hospitality and the help in finding the right metro. Would definitely recommend!"
Indian_Food_Cooking_Classes,Philip B,5.0 of 5 bubbles,Dec 2022,Great cooking and eating experience.,"I booked a cooking class with Preeti a few weeks ago with some friends. It was an amazing experience that I highly recommend. We were met by her husband who took us to a local market to pick up some additional ingredients for our class. After a short walk from the market to the house, we sat for a few minutes to acquaint ourselves, then proceeded to the kitchen to start cooking. We requested the 8 course class which included masala tea, pakoras and main dishes. All the steps were easy to follow and we were instructed to participate in every stage of the cooking of our meal. The finished product was so tasty. We enjoyed the meal with our hosts like a big family. If you’re looking for a traditional experience then book this class. Tip…..if you’re not a big fan of spicy food please let Preeti know. Most dishes made were on the hot side for non-Indians, although it was perfect for me. Be specific with your tastes and you will not be disappointed. Enjoy!"
Indian_Food_Cooking_Classes,Fats,5.0 of 5 bubbles,Dec 2022 • Solo,Indian Cooking class,Lovely experience learning the basics of Indian cooking!! The dishes selected were very diverse to explain different methods and tasted all soo delicious!! Preeti shares a whole bunch of recipes after the class which can come handy if you want to impress your friends&family 😉 Thank you for your hospitality Preeti&Sonu and Uncle ji!!
Indian_Food_Cooking_Classes,Jerry B,5.0 of 5 bubbles,,Wonderful Cooking Class for Just the Two of Us!,"My husband and I were in India for 3 weeks and we were so lucky to spend our last day with Preeti and her family. It was a marvelous experience to spend hours with a family in their home. We learned how to make 8 different Indian items and Preeti was able to accomodate our vegetarian needs as well as my own celiac issues. She taught us everything from chai masala to veg pakora, palak paneer, wheat/corn chapati and other items. They are a very engaging couple with excellent English. Their little daughter was adorable and we spent hours together. Her husband met us at the Uber drop off, and then walked us around the neighborhood at the end to see the vegetable market and then kindly waited with us for the Uber home. We felt well taken care of. And then Preeti e-mailed all the recipes and assured me she would help over WhatsApp if I ever needed it. 5 star day!"
Indian_Food_Cooking_Classes,Johann Daniels,5.0 of 5 bubbles,,Zoom cooking class as good as a face to face class,I enjoyed discovering the different spices and particularly how to cook Chapatis. Enjoyed the food so much when in India the previous two weeks. So this online course has given me an intro on how to make some of that delicious food myself at home.
