Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Isa_Khan_s_Tomb,Bidule05,5.0 of 5 bubbles,May 2020,Isabelle (France),"In the grounds of Humayun’s tomb complex, we saw the beautiful octogonal tomb of the nobleman Isa Khan in the court of Sher Shah Suri.This Afghan-style tomb is embellished with fine decorative work, canopies and glazed tiles.A peaceful place!"
Isa_Khan_s_Tomb,Ronald L,4.0 of 5 bubbles,Mar 2020,Beautiful Tomb,I read this is the only surviving octagonal royal tomb. The building is beautiful and the grounds magnificent. In the same area as Humayun's Tomb. Both well worth visiting.
Isa_Khan_s_Tomb,AZCasualTraveler,4.0 of 5 bubbles,Nov 2019,Tomb to Honor the Leader of Bengal Sultanate,"Isa Khan was the Sultan (leader) of an empire (region) called Bengal Sultanate - which covered parts of India, Bangladesh and Burma.  Isa Khan was able to keep the larger Mughal empire from taking over the Bengal region.  However, after the death of Isa Khan, the Mughal armies were able to take over the Bengal region.The Isa Khan Tomb is located in the same area of the much larger Humayun Tomb which along with other buildings were designated to be a UNESCO World Heritage Site."
Isa_Khan_s_Tomb,RPG625,5.0 of 5 bubbles,Dec 2019 • Couples,Stunning!,"What a place! Isa Khan’s Tomb and the surrounding grounds are breathtaking and awe inspiring. The history is rich and there are markers throughout offering a thorough bilingual description of the various points of interest within the complex. The building is beautiful and is very well preserved in spite of its 400 plus year history. Make sure to allow a couple of hours to walk into the buildings, around the grounds and to take some time to sit and enjoy the serenity of the place. Definitely one of the highlights of our trip to Delhi. "
Isa_Khan_s_Tomb,DPS27,5.0 of 5 bubbles,Nov 2019,Nice prelude to the Humayun's Tomb,"Prior to entry of Humayun's Tomb, lies this tomb which predates Humayun's by two decades.  The restoration has brought about a rather beautiful tomb, with attractive grounds. The tomb interior is quite well restored, in particular the painted dome.  The surrounding wall has steps to the top, should sentry duty be your calling."
Isa_Khan_s_Tomb,Ansari Iqbal,4.0 of 5 bubbles,Nov 2019,Isa Khan Niazi Tomb,"An Afghan Noble in Sher Shah Suri's court of the Suri dynasty, born in 1453. The Tomb was built during his lifetime and the reign of Islam Shah Suri, son of Sher Shah. It later served as a burial place for the entire family of Isa Khan. It was built during his lifetime between 1547 and 1548. He died in 1548. The interior of tomb contains six graves, but it is difficult to spot the grave of Isa Khan and nothing much is known about the other five graves. He battled against the Mughals."
Isa_Khan_s_Tomb,Dan L,4.0 of 5 bubbles,Oct 2019,Nice Ornamentation,"The Tomb is located in the Humayun's Tomb complex and well worth visiting. It is very ornate with canopies, glazed tiles, lattice screens and a verandah around the octagonal shaped structure.. The sepulcher is located centrally under the dome. Our guide told us that during restorations in 2010/11 India's oldest sunken garden was discovered. Well worth the short detour to marvel at the structure."
Isa_Khan_s_Tomb,Apoorva K,4.0 of 5 bubbles,Nov 2019 • Family,Pretty picture,It's gorgeous & is within the Humayun complex. It houses the tomb of Isa Khan & his family members. He was the last ruler of what was called the Delhi Sultanate.
Isa_Khan_s_Tomb,Kalyan Peri,4.0 of 5 bubbles,Nov 2018 • Solo,Visit this Garden Style Tomb before exploring Humayun's tomb,"Located in the same complex as the Humyaun’s Tomb, the tomb of Isa Khan is a great example of garden style tombs in India.This beautifully decorated and maintained tomb is certainly worth a visit prior to visiting & exploring the Humayun’s tomb!Strongly recommended especially if you are into history, architecture and/or photography!"
Isa_Khan_s_Tomb,Gujju Traveler Aditya,4.0 of 5 bubbles,Apr 2019 • Solo,Great piece of Mozaic and historical architechture ,Good art work on the outer wall of Tomb. It's great piece of marble art. The tiles of various color used to make it beautiful. It had been built for one amir of the Darbar of Humayu.The tomb had been built 20 years before Humayus tomb. The tomb is on a platform with negligible height.
Isa_Khan_s_Tomb,JnVSydney,5.0 of 5 bubbles,Mar 2019 • Couples,Octagonal tomb,"We visited the tomb which is part of Humayun's Tomb Complex, as a tour group (on the go), having a guide gave us a better understanding of the site/attraction, once fully explained, it was nice just to walk around and enjoy the ornate structure. Not to be missed when visiting the complex."
