Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Khan_Market,Dungarubba,5.0 of 5 bubbles,Dec 2022,An enjoyable few hours with lots of great shops and places to eat,"I enjoyed the relaxed atmosphere here. The shop assistants were all helpful but didn't follow me around like so many others do in India. The Anokhi and Fabindia stores were both well stocked and large, and there was a great choice of cafes and restaurants as well as fresh fruit and groceries so I was happy. There was a lot more to see, so if you visit, allow plenty of time to browse and enjoy yourself. Parking was also good when we arrived at about 11am"
Khan_Market,GenX,4.0 of 5 bubbles,Nov 2022,NIce place,Beautiful place of the Delhi and useful with good market of all products .  here you can buy product at good price.
Khan_Market,ianwyj,4.0 of 5 bubbles,Aug 2022,Good for a wander and a meal,"I was staying in a hotel just a few minutes' walk away from Khan Market, and it was an easy decision to spend a couple of hours wandering around the area.  It's not a large market in terms of size but there appeared to be something for most visitors - fashion outlet, jewellery, electronic goods, money changers, bookstores, mobile phone merchants, and custom repairs all featured.  And I also managed to get a filling meal at one of the many intriguing restaurants, most of which had entrances on the inner lane."
Khan_Market,Brijesh shah,5.0 of 5 bubbles,Sep 2022 • Friends,Place to Spend free time,"A place to visit in your free time , when you are in Delhi , I bet you will be having fun over there. You can have all types of best quality foods , shopping of all items and many more."
Khan_Market,ScubaJoJo,4.0 of 5 bubbles,Jul 2022 • Solo,"Little bit of this, little of that","You can find all bits and bobs here, kinda like an up market market. There are shops rather than stalls, some basic others luxurious.  Bonus - 3 pet shops!! Couldn't find a nail salon but a few hairdressers.  Lots of eateries to choose from. "
Khan_Market,Vanshika C,5.0 of 5 bubbles,Dec 2020 • Friends,Fun day ,Today I visited this very beautiful cafe in Khan Market and had such droolworthy and delicious food here.They served the best shrimps and paneer tikka and otb bomb was my favourite drink I had so far.Must try!
Khan_Market,Ays Espiritu,3.0 of 5 bubbles,Sep 2019,Not what I expected,"A part of our tour in the city is a market shopping, so I expected to find a nice local market offering locally produced items. Khan Market also offers that but it is more for tourists or foreigners living in the area with a budget.A local staff later on told me that it is a posh and expensive market. Expensive indeed but not really posh. The place is already run-down.There are expensive, branded and high quality brands but the shops are really small. I enjoyed shopping for fruits though!I think the big shopping malls are a better alternative if you want to shop for branded and high quality brands conveniently. Or if you want to shop in a local Indian market, there are some place else."
Khan_Market,PowerPasta,5.0 of 5 bubbles,Mar 2020,Lovely wander,"Great place to wander and window shop. Some lovely place to eat here as well. Some shops e pensive, but quality is good."
Khan_Market,Smokey128,5.0 of 5 bubbles,Mar 2020 • Friends,Best place to shop,"This for my Friend and I was the best place to shop in Delhi. The choice of shop was remarkable, the quality of the goods on offer fabulous and we did not find the prices steep for what was on offer. There are also a wonderful array of beautiful little coffee shops in the market offering little cakes and stunning coffee. Give yourself time to visit the entire market as it is quite large. "
Khan_Market,David S,3.0 of 5 bubbles,Mar 2020,Disappointing market,We visited this market - it was disappointing - the shops were too modern and very expensive and we found it hard to get a local meal. Try the India Art market about  2km away - more authentic.
