Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Kita_Private_Taxi,Lona and Delphi,5.0 of 5 bubbles,Nov 2022 • Couples,Rickshaw Ride in old Delhi Bazar,Rickshaw Ride in Old Delhi BazarIncredible way to see day Life in old Delhi. Kumar is very knowledgable Superb guide  and very safe in Bazar ( Market ) whole time'.. Kumar stopped in Bazar great street food . He knows where is good food and chai.Recommend every one.
Kita_Private_Taxi,Camila Johan,5.0 of 5 bubbles,Nov 2022 • Couples,Incredible leh trip with kumar,Incredible leh trip with kumar Great experience with kumar for journey from Delhi to leh ladhkh by car .he was incredible guide and driver punctual and his car was in very good condition. Really he is experienced and very professional .kumar knows history guidence for tourist.
Kita_Private_Taxi,Zana and Philips,5.0 of 5 bubbles,Oct 2022 • Family,Incredible services 18 days north India Rajasthan,"Incredible  services 18 days north india Rajasthan Incredible  services givaen by kita private taxi..We had 18 days trip through north india Rajasthan. Anwar is our tour guide and driver very fluent and easy communication  before and during the trip with kita company. They answered  very quick with tour itinerary and useful information. We discovered  Delhi , Haridwar , Rishikesh , Agra , Varanasi , jaipur , pushkar,  udaipur , Ranakpur, jodhpur, jaisalmair, bikaner, and shekhawati delhi airport."
Kita_Private_Taxi,Lucie lofer,5.0 of 5 bubbles,Oct 2022 • Couples,Superb service Amazing tour and guide ( Kumar ),"Super service Amazing tour and guide ( Kumar )The best week' ever .had a such great weekend couldn't recommend enough , Kumar was the best tour guide . I choose this tour to meet people , do fun activities and getting the help for my travel plans and for work. .Guide Kumar was awesome ,,,! He  knows every inch of history in Delhi Agra Jaipur Taj Mahal, Amber fort Rad fort and also hidden paths and gems. Amazing photography too. Definitely recommend !"
Kita_Private_Taxi,Jarry Danmark,5.0 of 5 bubbles,Sep 2022 • Couples,Best Trip Of My Life ❤️,"Best trip of my lifeHad the absolute wondarful week of Life , couldn't have started my travel to Varanasi, Agra and colourful Rajasthan  any battar, great thanks you to my trip guide Kumar ( Everything is possible with Kumar ).......Indian roads trip was incredible  do worth joining just see the people cross highway. Camel and go surfing with the group."
Kita_Private_Taxi,Melanie,5.0 of 5 bubbles,Sep 2022 • Friends,Wondarful week with Kita and Kumar,Wondarful week with Kita and KumarReally a nice one week trip and helpful .i would highly recommend kita travel company and super guide Kumar. Kumar our guide for the week was Amazing. I enjoyed the week so much .
Kita_Private_Taxi,Murphy Danny,5.0 of 5 bubbles,Oct 2022 • Couples,BEST WEEK EVER GOLDEN TRINGLE,"Best week Ever GOLDEN TRINGLE Had the  golden tringle tour best week ever on the Welcome to travel  DELHI AGRA JAIPUR .Even if we had a special tour Guide  creation machine , it would 't ave been  possible to better tour guide than india thank you  very much kita"
Kita_Private_Taxi,Kate,5.0 of 5 bubbles,Sep 2022 • Friends,Amazing time in Rajasthan India,"Amazing time in Rajasthan India I recently returned from Rajasthan trio and had i incredible time . We travel a lot by  my self with Kumar and happy abouts going on a trip a group of woman .But it turned out to be one of the best  travel .the itinerary was made our guide Kumar with history and local experience.and our delicious Indian food from hot air in desert Jaisalmer.My only pieces of advice , which I would give person  whether an a Solo adventure or with a group tour is to go into  a trip with an open mind and be flexible."
Kita_Private_Taxi,Leborah,5.0 of 5 bubbles,Sep 2022 • Friends,My Favourite  Kumar  Kita,My favourite  kita I absolutely love this company .i went on their second trip to Rajasthan and  Agra fell in love withthe whole trip  kita team' are are  definitely my tribe and it is amazing fantastic  experience with Kumar.Their host are more than accomodating  for each and every person .They provide a unique and parsonal experience that is never unforgettable and i have made some of my good friends of my Life on this  trip .Thanks Kumar
Kita_Private_Taxi,Toli Delphine,5.0 of 5 bubbles,Sep 2022 • Friends,Solo Female traveler it's was 3 amazing trip in Rajasthan,"Solo Female traveler it's was 3 weeks Amazing trip in RajasthanI m solo female traveler . I had incredible 3 weeks trip in Agra Taj Mahal and  Jaipur Pushkar Udaipur Jodhpur Ranakpur Jaisalmair desert camel Safari Rat tample, Bikaner Sekhawati and Delhi  with my guid  Kumar . He is very polite , nice  with a sense of humour.Our tour was flexible I can itinerary of the place and he managed everything possible in India.Incredible photography also knowledge of history every places. Highly recommended Kita travel company."
