Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Kumar_Tourist_Taxi_Service_new_Delhi_India-New_Delhi_National_Capital_Territory_o.ht,Cecilia A,5.0 of 5 bubbles,Sep 2022 • Friends,Excellent experience overall,Our trip to Agra was a very good experience!Excelent  service The price was rightThe cat was very cleanThe diver was very good 5/5
Kumar_Tourist_Taxi_Service_new_Delhi_India-New_Delhi_National_Capital_Territory_o.ht,제헌 신,5.0 of 5 bubbles,Sep 2022 • Friends,fourth relationship,Wow I've already been on my fourth trip with him.  He is very kind and affectionate.  He did his best to ensure that we as foreigners travel safely.  The family in his main picture is our family.  thank you again
Kumar_Tourist_Taxi_Service_new_Delhi_India-New_Delhi_National_Capital_Territory_o.ht,Shreyas,5.0 of 5 bubbles,Sep 2022 • Couples,Safe and comfortable!,Great service! Very safe driving and very comfortable person to travel with! All your needs will be taken care of with a happy face! Car is well maintained
Kumar_Tourist_Taxi_Service_new_Delhi_India-New_Delhi_National_Capital_Territory_o.ht,Amaia Del Cid,5.0 of 5 bubbles,Aug 2022 • Couples,Excelent service from Mr. Harish Bhati,"We have received an excellent service from our driver, Mr. Harish Bhati. We have spent six days around the Golden Triangle and he has been really kind and respectfull with us. He has been very helpfull and has given us many good advices. The car has been always very clean and full of fresh water. Strongly recomended. Thank you Mr. Harish."
Kumar_Tourist_Taxi_Service_new_Delhi_India-New_Delhi_National_Capital_Territory_o.ht,Parth S,5.0 of 5 bubbles,Apr 2022 • Family,"Kumar Tourist service with Harish Bhati was an excellent experience.Good manners,clean and sanitised car.Excellnt ",Kumar Tourist  Services with aMr. Harish Bhati had an amazing experience.The car was sanitised nand was maintained clean.Thank you.
Kumar_Tourist_Taxi_Service_new_Delhi_India-New_Delhi_National_Capital_Territory_o.ht,Wain shop,5.0 of 5 bubbles,Jun 2021 • Business,Call me delivery of 97=92=18=76=61,Call me delivery of 97=92=18=76=61 Indus owner number please try again 28/25 mint how many distillery MRP rate all brand available
Kumar_Tourist_Taxi_Service_new_Delhi_India-New_Delhi_National_Capital_Territory_o.ht,Ganesh G,4.0 of 5 bubbles,Sep 2019 • Family,Ganesh Giri,Faridabad Job No 2014+2020( N/A Father 2014)Government of UttarakhandBirth Yes Ok Job New Delhi No?
Kumar_Tourist_Taxi_Service_new_Delhi_India-New_Delhi_National_Capital_Territory_o.ht,Kaskata,5.0 of 5 bubbles,Feb 2020,Excellent driver! I recomend,New experiences with Kumar. He knows every place and talks about the Indian culture and more. Good moments!
Kumar_Tourist_Taxi_Service_new_Delhi_India-New_Delhi_National_Capital_Territory_o.ht,Ami M,5.0 of 5 bubbles,Feb 2020,#1 in Rajasthan,"After a thorough examination of seven agents and guides in New Delhi, I chose to travel in Rajasthan with Kumar Taxi and it turned out to be a good choice. Their availability at WhatsApp and by email was very good. Their prices are fair and comfortable. But the thing that really made my trip outstanding is the driver Darbara Singh. Darbara is an excellent driver, a person who is open to any request, a pleasant person and well acquainted with all the sites. Only with him you can see ""Extra Monuments"". What these sites are, I can't tell you. You will only find this out if you choose to travel with Darbara Singh."
Kumar_Tourist_Taxi_Service_new_Delhi_India-New_Delhi_National_Capital_Territory_o.ht,Janvi Rajput,5.0 of 5 bubbles,Feb 2020 • Family,Great Experience,"Kumar tour & travel is the best in their services. Highly recommended for the official & family tours as well. We had a tour from kumar tour & travel for Jaipur, it was a great experience to choose their services."
