Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Majnu_Ka_Tilla,Adel Bayoumi,4.0 of 5 bubbles,Sep 2021,Tibet in middle of Delhi,"I was not expect to find such a places to visit in Delhi, and if you love Tibetian food then this place is what you looking for.Sure you can buy from these small shope around you, it saves you a trip to Tibet"
Majnu_Ka_Tilla,Anuradha Mukherjee,2.0 of 5 bubbles,Dec 2021,Overhyped,"Overhyped place, congested dirty and a total mess. Went with some expectations but all that it is a narrow street alley with some novelty shops and thats about it. Food isnt great either!"
Majnu_Ka_Tilla,Tester,4.0 of 5 bubbles,Jul 2021 • Friends,Great Experience,it was a great experience to visit the Tibetan market out there in majnu ka tilla.Now adding this for the purposes of testing this application
Majnu_Ka_Tilla,John Doe,5.0 of 5 bubbles,Apr 2021 • Solo,Absolutely phenomenon,Great place to taste Tibetan cusine and shop for Tibetan anything. Also a good shopping hub for men and women. Love the atmosphere of this place. It's one of the most awesome place in Delhi to be at.
Majnu_Ka_Tilla,traveloflight,5.0 of 5 bubbles,Feb 2020 • Family,Friendly Tibetan Colony,I love visiting this area of Delhi.  The rest of Delhi can be exhausting and stressful.  In Majnu Katilla there is a lovely magic and community feel.
Majnu_Ka_Tilla,SAROJ8585,3.0 of 5 bubbles,Jan 2020 • Family,THE TIBBETIAN CULTURE,Majnu ka tila is a hub of tibbetian market.The nearest metro station is vishwa vidyala.It is also a bus stand and buses for Dharmshala starts from here.Many Tibbetian hotels are here.
Majnu_Ka_Tilla,Radhika,4.0 of 5 bubbles,Feb 2020 • Couples,Went to Ama Cafe.,"This place is quite famous for lapping food and Ama Cafe. I visited with my friend, and tried AMA CAFE which is really very good in terms of food. There is a great staff and hygiene the provide mud cake is my favourite from this place. 5 cheez pizza was quite ok a Virgin Mojito was also nice."
Majnu_Ka_Tilla,Sounak Poddar,5.0 of 5 bubbles,May 2019,Tibetian Culture,"One of the best places to visit in Delhi, if one is momo and Tibetian food lover then this place is your paradise. one can also get different attire to buy from these vendors. so one must visit this place. me and my friends love roaming around here as we are a great fan of all the Tibetian food and also because we are foodie. "
Majnu_Ka_Tilla,Lovedeep_06,5.0 of 5 bubbles,Sep 2019 • Family,Gurdwara Majnu Ka Tilla,"This Gurdwara Saheb is built on the bank of Yamuna River. Last Sunday, i went to this place with my family, very early in the morning. It was really a great experience as Kirtan was going on and there was peace all around. Old ""Gutka Saheb & Guru Granth Saheb are creamated (burnt) here. Some people come here with the ashes of the dead ones to throw them in the running water of Yamuna."
Majnu_Ka_Tilla,chinmoy c,5.0 of 5 bubbles,Sep 2019 • Family,Trip to Little Tibet in the heart of Delhi,"It was visit filled with fun and seeing exotic things in Majnu ka Tila. Which is a small refugee colony for Tibetians in Delhi. Inhabited for a few decades now it is home to these people. Tibetians are the most peace loving people in the world. The place exudes a charm of its own with lots of restaurants serving tasty Tibetian food even Korean food. Shops fulk of artefacts, Tibetian jewellery, food ingredients for Tibetian cuisine are plenty here.  Mostly visitors are college teens and shops selling garments and shoes to their taste are here.Overall it was a lovely experience and to top it all food was great.God bless Tibet."
