Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Plaza_Premium_Lounge,Betsy D,4.0 of 5 bubbles,Jan 2023,An air of calm in a hectic airport,Crowded but a good oasis while waiting to fly.  Many food choices. Good Wifi.  Comfortable seeing.  Worth a visit.
Plaza_Premium_Lounge,Alfred,5.0 of 5 bubbles,Jan 2023 • Solo,Very comfortable and great food,I like the  Food and also the receptionist .. they are very polite and hospitality..  special  girl name mae.. and also the area is so clean..i really commend this lounge.. i will come back here no doubt..
Plaza_Premium_Lounge,Ajit KS,5.0 of 5 bubbles,Dec 2022 • Friends,Great place for a good relaxed lounge,Good lounge with very clean facilities. Sanjay and his team did a very good job in ensuring that the place was well kept.
Plaza_Premium_Lounge,Akash,1.0 of 5 bubbles,Nov 2022 • Couples,Very bad lounge,This lounge is worst. No attendees. Also they have specific bank card acceptance policy. It has been shut at T2 DELHI for almost a year.
Plaza_Premium_Lounge,Parit Gupta,5.0 of 5 bubbles,Sep 2022,I notice they are improving on each visit,"I have been using this lounge very often now and i find it upto the mark each time.At present Lufthansa and Singapore Lounges are not operational, so this is the only lounge that all people are using. Since it has higher footfall now than before so the company has started upgrading the F&B services. Now i see that they are serving better quality alcoholic beverages and also food."
Plaza_Premium_Lounge,Debadatta P,1.0 of 5 bubbles,Oct 2022 • Solo,Bad food. Uncomfortable,Bad food. Noisy environment. No foot rest. No massage or spa facilities. Travelling through Mumbai was so much better as the lounge there is top class.
Plaza_Premium_Lounge,Ankit M,5.0 of 5 bubbles,Oct 2022 • Family,"Great hospitality, decent food","Delhi domestic lounge has 2 sections and luckily I was carrying Diners that gives access to the more exclusive section. We were a group of 5 and we were greeted by guest service officer Jitendra Gautam, who arranged for a table for the group. Usually no one really cares who is coming to the lounge, so I was touched by the gesture. Since we were with a kid, he helped us by serving the food and drinks at our table, saving us trip to the buffet. Overall a nice and comfortable experience while waiting for the flight."
Plaza_Premium_Lounge,Prasad_Siriwardena,3.0 of 5 bubbles,Jun 2022 • Solo,Average place,Good to relax during long waits. Foods are good   Reasonable ambience. Little congested. Staff are average. Average place need to improve
Plaza_Premium_Lounge,Herman V,2.0 of 5 bubbles,Sep 2022 • Business,Most dissapointing airport lounge I have visited,"This must be the the worst lounge I have ever visited. No wine, only hard liquor or beer. Apparently because they have a problem with their liquor license (that's the excuse from the staff). There is nothing premium about this place."
Plaza_Premium_Lounge,Steve C,1.0 of 5 bubbles,Sep 2022,Worst lounge ever. Reflects badly on Emirates.,"This is the lounge in Area A. Its one of the worst lounges I’ve ever had the misfortune to enter. No beer, no gin, no wine, very little food choice. Air Con was freezing. Entry granted on the back of an Emirates Business Class ticket. Emirates need to seriously think about not using this lounge. September 2022."
