Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Select_Citywalk,Surbhi Jaiswal,5.0 of 5 bubbles,Jan 2023,Oasis Baklawa store Delhi,I had been CRAVING Baklava since months but I didn't really do anything about it. Wasn't sure about getting a good one anyway. The other day my sister took me out shopping at Select citywalk and I came across an Oasis Baklawa store Delhi which turned out to be so good! It is a must try!
Select_Citywalk,Ginny,5.0 of 5 bubbles,Jan 2023 • Family,"Super Mall- Select CityWalk, New Delhi",I liked this mall. Spacious inside and outside. So many brands accomodates inside it. It's a good outing place to be visited with family.
Select_Citywalk,Utkarsha Gambhir,5.0 of 5 bubbles,Jan 2023 • Couples,Birthday dinner,It was a wonderful experience mr aamir helped us so much and made us feel so comfortable. The food was amazing
Select_Citywalk,Vidhi Gupta,5.0 of 5 bubbles,Dec 2022,I am so glad for Scentido India in Select Citywalk,"I am so glad for Scentido India in Select Citywalk. I had been looking for Nin-shar by Jul et Mad since forever now. I bought the bottle a few years back from Paris, I think, and I have been searching for a replacement ever since. If you are a cognoscenti like me then you must check out Scentido. They have the most exclusive perfume houses in their spence."
Select_Citywalk,Anjali,5.0 of 5 bubbles,Dec 2022,Faces Canada store at Select CITYWALK,"In Delhi for a month and forgot to carry my make-up kit. Was looking for Faces cosmetics in Delhi, so, I went to the Faces Canada store at Select CITYWALK and I must say, their Primer, Foundation and Highlighter combo is out of this world! It's high-def and made my skin look poreless.  "
Select_Citywalk,garychopel,4.0 of 5 bubbles,Oct 2022 • Family,Still one of the best in South delhi,Still one of the best shopping in South Delhi.. and along with DLF is the place to go to.. Lovely brands and good eateries all around..
Select_Citywalk,Ananya,5.0 of 5 bubbles,Aug 2022,My experience of buying my first hiking shoes,I wanted to buy hiking shoes and a jacket for my trekking and so I visited this Columbia store in Delhi. My experience of buying my first hiking shoes was very good because of the service provided by Columbia store staff. They have thousands of options when it comes to sports shoes and clothing. I was buying hiking shoes for the first time so the staff helped me pick the perfect one and they gave me detailed information about all the pieces I selected. I’ll highly recommend this store for shopping!
Select_Citywalk,Simran Kashyap,5.0 of 5 bubbles,Jun 2022,Fine Dining Restaurants in Delhi,"Various services in the Select CITYWALK mall made sure that we would never have to feel the need to step out of the shopping center for anything. It has everything covered, like, one of the best fine dining restaurants in Delhi. If that was not enough, we got the chance to choose how we wanted to indulge our taste buds with the availability of different types of restaurants in the mall. I liked the variety of cuisines – Chinese & Thai, Italian, Indian, Lebanese, etc. There is also a multi-cuisine food court called My Square, where we can explore to our heart’s content. In Select CITYWALK, each dining experience feels unique and exquisite."
Select_Citywalk,Moon Sharma,4.0 of 5 bubbles,Jul 2022,Best Events in Delhi today,"Select CITYWALK is a welcoming hub for the people of New Delhi. I found several areas of interest like entertainment venues, shopping centers, points for leisure activities, etc. Furthermore, the outdoor open-air plaza covers the best events in Delhi today. It fuses tradition and modernity seamlessly by incorporating events and celebrations like Diwali, Christmas, Valentine’s Day, and Ganesh Chaturthi. I was told these events go through meticulous planning to give visitors the best experience they can find in the entire district. The landscaped plaza attracted me especially with its greenery, water bodies, amphitheater, and specialized lighting, giving it a unique ambiance. I was fortunate to be there when an event unfolded."
Select_Citywalk,Nikita,5.0 of 5 bubbles,Jun 2022,Things to do in Saket,"We were near Saket and were wondering about things to do in Saket. I went to see the upscale shopping center Select CITYWALK with my family after getting to know about it from a friend. I was thrilled to see it has eye-catching decors, brand-name stores, a lively food court, and a long multiplex. The mall offers a complete package for the entire family. When I could not find a particular store, the mall concierge assisted me and ensured they were ready to serve us anytime. Then we took a quick selfie as there are plenty of spots and open places decorated in natural and built elements around the mall that gives a sense of standing somewhere unique."
Select_Citywalk,Praveen K,5.0 of 5 bubbles,Jun 2022,Mall having variety of restaurants,This Mall is really awesome when it comes to the variety of restaurants and the diversity of food offered therein. The high end brands have shops here. Not to miss Decathalon is also here 
Select_Citywalk,V B,1.0 of 5 bubbles,Jun 2022 • Friends,Plush mall surrounded by slums,Plush mall surrounded by slums. In a typically Indian fashion rich people enjoy the beautiful mall whereas desperately poor people in adjacent slums exist in pathetic conditions.  Shame on the government and insensitive investors
Select_Citywalk,Divya Sharma,5.0 of 5 bubbles,May 2022,Best Fashion Store in Delhi,"Last week, I visited the H&M outlet in Select Citywalk mall in Saket. Trust me, they had a great collection of basic shirts and trousers. However, the price was somehow pocket-friendly. I bought summer shirts and trousers at quite an affordable rate. I would recommend this authentic store for budget-friendly shopping."
Select_Citywalk,Ankit,5.0 of 5 bubbles,May 2022,Best Departmental Store in Delhi,"Visited a modern bazaar store in Select CityWalk, Saket, last week. Did shopping for mother’s day and had a great experience with the products and unique hampers. So happy with the offers and discounts on cakes and other stuff. Must- visit shop for everyday shopping."
Select_Citywalk,Priya,4.0 of 5 bubbles,May 2022,Best Food Restaurant in Delhi,"Being a foodie, I love to explore different food outlets. Last weekend I visited Select CityWalk, Saket, to experience a new food taste. I started my adventure with a cup of good coffee from the Coffee Bean and Tea Leaf. Then, I explored finger-licking North Indian in the Punjab grill and treated my day with red velvet pastry from IHOP. The day was spent well at SCW mall. Highly recommended place to explore different food at one place."
Select_Citywalk,Hemant,5.0 of 5 bubbles,Mar 2022,Best Movie Theatre in Saket Delhi,"I always go to Select Citywalk PVR theatre to watch my favourite movies in my leisure time. I like this theatre because of its big screen and brilliant visuals, which offers an ultimate experience. PVRs have well-equipped seating for an older person to enjoy movie time. I recently went to PVR to watch KGF 2 with my family; undoubtedly, we had a great time there. Clean, hygienic and well maintained, in my opinion it is the best movie theatre in Delhi."
Select_Citywalk,Pinky kumari,5.0 of 5 bubbles,Mar 2022,Best restaurants in Saket Delhi,"I wanted to try some European dishes, and therefore, I went to Sly Granny Café in Select CityWalk Saket. The décor was unique, and the ambiance there took my heart. I am a person who likes spicy food and wanted to have pork, so I tried their spicy pork tacos. OMG! Super-duper delicious they were. Also, I would like to give full points to dressing. Guys, do try this place if you want to relish good food. One of the best restaurants in Delhi."
Select_Citywalk,Rohit Singh,5.0 of 5 bubbles,Mar 2022,Best Baskin robbins Shop in Delhi,"I just love their ice cream a lot. So, when I shifted to South Delhi, I did not know where Baskin Robbins was. So, I searched Baskin Robbins shop near me and found the one in Select CityWalk, the closest to my place. I went there and tried their cotton candy ice cream for the very first time. Damn mouth-watering and super awesome it was. Keep up the good work, and bring more flavors."
Select_Citywalk,Sumit Kapoor,5.0 of 5 bubbles,Feb 2022,Biggest decathlon store in Delhi,"There should always be a place for sports equipment under one roof, and I am happy that I found one. I went to Decathlon in Select Citywalk Mall, Saket, and I was amazed to see how big it is. The biggest Decathlon store in Delhi. Huge space and polite and experienced staff. Also, the high-quality products available in this store"
Select_Citywalk,Nancy,5.0 of 5 bubbles,Feb 2022,"Best Looks Unisex Salon in Saket, Delhi","Who does not like pampering? I went to Looks unisex salon, Select Citywalk Mall, Saket for my hair spa and body massage. I found this salon well-equipped with the initials. This salon provides fantastic services and takes care of hygiene as well. I truly loved visiting this place and will never think twice to see it again. I am impressed with the manager who provided me with the best and helped me pick some good services. Thank you, Looks Salon, for such pampering and fantastic service."
Select_Citywalk,Moon Saxena,5.0 of 5 bubbles,Jan 2022,Best Coffee Cafe in Saket,"I went out to Select Citywalk mall for my shopping and thought of trying something new in Sly Granny café there. I never thought that the food there would be so delicious. Also, I like the ambiance there. Talking about the plating of the food, that was really good. What literally won my heart was the ice creams and the desserts there. Worth trying!"
Select_Citywalk,Ashish Singh,5.0 of 5 bubbles,Jan 2022,Best Restaurant in Saket Delhi,"Well, talking about the best restaurant in Delhi, I found Andrea’s Eatery the best one. I was there in Select City Walk and stopped by this place to have a quick lunch. I ordered Margarita pizza for myself and Kai Yang and found that the chef has made it so delicious. Here the portion sizes are big so remember while you order here. The quantity is good, and keep that in mind before you order anything as I had to take some food packed for home."
Select_Citywalk,Ragini Singh,5.0 of 5 bubbles,Jan 2022,Buy Western Wear Clothes in Saket Delhi,"I was looking for trendy western clothes to shop in South Delhi when I tried the H&M outlet in Select Citywalk mall in Saket. They had the huge and awesome type of clothes to choose from. Also, the price range is good and also have an accessory section. I also tried shopping for footwear. I would recommend you to avoid going there during busy hours as the queues for the fitting room can be quite long. You can buy western clothes in Saket from here."
