Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Taj_Way_Cabs,Abhiraj,5.0 of 5 bubbles,Jan 2023 • Friends,Trip to Himachal Pradesh👍🏻,Recently had a trip to Himachal Pradesh with Taj way cabs which was very comfortable and smooth.Would like to call Mr. Rakesh Tomar who is very professional and knowledgeable and made the trip memorable.
Taj_Way_Cabs,Navneet Kumar,5.0 of 5 bubbles,Jan 2023 • Family,Great Experience,I hired for my recent trip to manali. It was 4 days trip which went very well due to hazelfree car booking experience. Our driver Mr Radheshyam ji is very polite and friendly during whole trip. I highly recommend Tajway cabs and Mr Radheshyam for your family trip.
Taj_Way_Cabs,Mridul Seth,5.0 of 5 bubbles,Jan 2023 • Friends,Comfortable Tour,"Recently had an amazing and comfortable experience travelling with TajCabs. Mr. Rakesh Tomar, a well experienced and knowledgeable driver made the transit smooth."
Taj_Way_Cabs,Dilip Srivastava,5.0 of 5 bubbles,Jan 2023 • Family,"Trip to Shimla, Kufri and Narkanda",Awesome experience particularly Driver Surinder kumar was exceptionally cool and highly mannered and cooperative.
Taj_Way_Cabs,Harshita Gola,5.0 of 5 bubbles,Jan 2023 • Solo,Amazing ✌️,This is my first ride in Taj way cab. Mr. Pankaj sharma is my cab driver. First I like the cab is neat n clean. And the nature of the driver is too polite I enjoy my ride without any fear.
Taj_Way_Cabs,Utsav,5.0 of 5 bubbles,Jan 2023 • Business,Excellent,Good services and car conditions!Mr. Rakesh tomar has good experience of his work and knows the ways as well.
Taj_Way_Cabs,Kuldeep,5.0 of 5 bubbles,Jan 2023 • Business,Rakesh Tomar,Rakesha Tomar is one of the best driver I've met he is very polite and he knows everything about places.
Taj_Way_Cabs,Jyoti Porwal,5.0 of 5 bubbles,Jan 2023 • Family,Good,Their services are up to mark and of standard level. No unpleasant surprises. Chauffeur Mr. Surender Kumar was courteous and well spoken. Overall good experience.
Taj_Way_Cabs,Manjunath Bhat,5.0 of 5 bubbles,Jan 2023 • Friends,Great driver,Very friendly and professional driver. Great experience throughout our 4 day trip in Shimla and delhi
Taj_Way_Cabs,Fletcher S,5.0 of 5 bubbles,Jan 2023 • Friends,A fantastic experience with Radhi Ji.,"I had the pleasure of having Radhi Ji - he was a fantastic driver! He spoke very good English, was knowledgeable of the area & went above and beyond to ensure comfort throughout our journey. Thanks mate!"
Taj_Way_Cabs,Sameer222,5.0 of 5 bubbles,Jan 2023 • Family,Udaipur by Gurgaon Taxi service Tajwaycabs,Udaipur Trip by Gurgaon taxi service Tajwaycabs. We visit Jaipur and Udaipur through tajwaycabs car and enjoy
Taj_Way_Cabs,Rajnish goswami,5.0 of 5 bubbles,Dec 2022 • Family,Good,Highly recommendedWe hire a texi for shimla from New DelhiMr. Sandeep ji was appointed as driver he is behaviour very nice always on time for pickup and he is good knowledge for every tourist placeDrive with moderate speed and safe driveFive star for his driving and behaviour
Taj_Way_Cabs,Biswajit,5.0 of 5 bubbles,Dec 2022 • Family,Trip to Agra with Taj Way Cabs,It was a great trip to agra with Taj Way Cabs from Delhi. We enjoyed a lot. Specially the service of Mr.Surendra Kumar was very professional and friendly.The car was very neat and clean. I would definitely refer him for your travel partner.
Taj_Way_Cabs,Mayank,5.0 of 5 bubbles,Dec 2022 • Friends,Great service,cab is neat and clean we enjoy our cab service.The driver knew about all the places.Thanks to tajway cabs team.Our driver named radhey drove very perfectly.
Taj_Way_Cabs,Chulbul,4.0 of 5 bubbles,Nov 2022 • Friends,Sound and safe,Safe driving. No rough driving or over speeding . Follows all rules and regulations. Can recommend to others
Taj_Way_Cabs,Vijay Singh,5.0 of 5 bubbles,Nov 2022,Best Trip with the best Driver,"We had a 10 Day Trip to Uttarakhand & Mr.Mahipal Singh was our driver for that duration. I would like to MahipalJi for his patience, professionalism & his amazing habit of keeping the car always clean. We were 2 families with 2 little kids & unfortunately one of the kid had motion sickness which needed the car to be stopped every now & then. But MahipalJi never lost his patience & never showed any uncomfort during the entire trip. I hope he also enjoyed the trip as much we did. Thanks again MahipalJi & TajwayCabs."
Taj_Way_Cabs,Alaa,5.0 of 5 bubbles,Nov 2022 • Couples,Good company,A very good service and you can trust the company and the employees. They gave us good service and they were on time at the place.
Taj_Way_Cabs,r jakhar,5.0 of 5 bubbles,Nov 2022 • Family,great exprience,cab is neat and clean and profasnail driver must use tajway cabs we enjoy our cab service driver know about all the places thanks tajway cabs team
Taj_Way_Cabs,MEGHA,5.0 of 5 bubbles,Nov 2022,Amazing experience.,Very impressed by the Taj Way Cabs services. I enjoyed my drive from delhi to hisar. Drivers was also nice and calm. No Hastle in booking ride for myself.
Taj_Way_Cabs,Himanshu,5.0 of 5 bubbles,Oct 2022 • Friends,Good experience.,"Very comfortable drive,neat & clean car and kamlesh singh was really polite during travel from rishikesh to haridwar.Good service by tajway way cabs.And best wishes for kamlesh from Taj way.Thanks guys"
Taj_Way_Cabs,Chitrarup,5.0 of 5 bubbles,Oct 2022 • Family,Musoorie Trip,"I, Chitrarup Chakrabarti booked a SUV Inova for a family trip from Delhi to Musoorie, Dehradun, Haridwar, Agra by Tajway Cab. The pilot Radhesham ji was very polite, professional and helpful person. He always support us for a great and memorable trip. With Oldage and kids I completed my trip for the suggestions of Radhesham ji. He always try to understand the problem of kids and oldage in the long distance. I will recommend Radhesham ji to my friend for thair trip also. Tajwab Cab is very economical and cost effective. I completed my trip with happiness. And also missing you Radhesham ji...."
Taj_Way_Cabs,Nandini,5.0 of 5 bubbles,Oct 2022 • Solo,Sandeep is an excellent driver,Politeness of Sandeep was very humbling. He was very careful while driving a d very customer sensitive. Thanks Sandeep
