Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Tastesutra,Alex,5.0 of 5 bubbles,Jan 2023,Great instruction and stunning food,"It was well organised, well communicated, and set up so we could see and hear Anchal as well as what to do at all times. I loved it and the food was DELICIOUS!"
Tastesutra,Jonathan,5.0 of 5 bubbles,Jan 2023,"If you’re in India, take a cooking class for a couple of hours! You won’t regret it! Ultimate fun and delicious as well!","It was an amazing experience. I was a solo traveler and I was a bit apprehensive to do a cooking class by myself so I bit the bullet and did this class. It was amazing and then some! Teacher was very kind, informative and the food was delicious. The teacher was so welcoming and she broke down the recipe into steps and did a good job of explaining “why” we use this or that. All of the food was delicious!"
Tastesutra,Miraslava_ts,5.0 of 5 bubbles,Jan 2023 • Solo,Amazing!,"My boyfriend and I had an amazing experience taking this cooking class! The class was a gift and it exceeded all of my expectations. Anchal, the founder and chef, was incredibly knowledgeable about the history and cultural significance behind the dishes we cooked. She was passionate and engaging, making the conversation flow easily. It was a pleasure to cook alongside her and learn so much about Indian cuisine. I highly recommend this class to anyone interested in diving deeper into the rich flavors and traditions of Indian cooking."
Tastesutra,Kimberly R,5.0 of 5 bubbles,Jan 2023 • Solo,"Virtual fun, real life delicious!","I set up the virtual Indian cooking class with Anchal for myself and two siblings. It was a great activity to do together! The food turned out great and Anchal was informative and delightful. She was patient, and helped us through each step while providing a fun learning atmosphere."
Tastesutra,Jake2049,5.0 of 5 bubbles,Jan 2023 • Couples,Best activity in Delhi,"Anchali, host and chef is warm and welcoming and makes the whole experience a joy. Dishes are simple to make but complex in taste and totally delicious. Often on cooking classes like this you leave full of enthusiasm but unsure of how to recreate the menu in your own home but not with Tastesutra. I will definitely be whipping up the dishes we made. It was a great way to meet other people as well. Well worth joining up."
Tastesutra,Vishal Telang,5.0 of 5 bubbles,Dec 2022,Brilliant!,"Right from entering this beautiful space to everything that we did with Cooking and food. Loved every bit of it. The worst part was leaving the place. I didn't want to leave because Anchal and Tastesutra made it like home for me. I am going there everytime I am in Delhi. If you want to fall in love with food then Anchal's Tastesutra it is. I left the place emotional, fulfilled and wanting for more."
Tastesutra,karan b,5.0 of 5 bubbles,,Fantastic Cooking Experience,I did this cooking activity with 3 of my university friends visiting from USA and each one of us had a brilliant time.Everything was very well organised and we really enjoyed the complete hands on cooking experience. Will highly recommend
Tastesutra,Tushar Dabral,5.0 of 5 bubbles,,Best cooking experience,"The cooking class was excellent. Mrs Anchal the director of the studio, she was very patient, calm, gave lots of interesting tips and insight and was flexible when there might have been one or two ingredients missing/in different form! Most importantly the food was the tastiest and have had in a long time and I feel like I have learned new life skills! Thank you Anchal !"
Tastesutra,Courtz36,5.0 of 5 bubbles,,Tastesutra 5 Course Cooking Class,We had a wonderful time at our Tastesutra cooking class! Our hosts were incredibly friendly and very knowledgeable with Indian cuisine. The dishes were enjoyable to make and tasted absolutely delicious. Would highly recommend the class to everyone!
Tastesutra,FarAway786382,5.0 of 5 bubbles,,Fantastic cooking class!,"We had a family gathering with total 13 people in the ages between 11 and 57 years old. We are from Sweden, UK, The Nederlands and USA. We really loved every second of it. It was a great learning and fantastic introduction to the Indian kitchen in many ways. The hours flew away. We really recommend it and we will be back, even if it will be in another constallation of people!"
Tastesutra,Debbie C,5.0 of 5 bubbles,Dec 2022,Traditional Indian home cooking at your finger tips,"This was a great way to effortlessly learn some basics of Indian home cooking. I am not a confident cook, but found this class to be fun, easy with very approachable recipes. This cooking class was a great way to spend an afternoon and also a wonderful way to learn about Indian life and culture."
Tastesutra,448ashc,5.0 of 5 bubbles,Jan 2023 • Couples,Best first day in Delhi!,Loved every second! We were taught how to make many dishes in a very relaxed and fun environment. I feel confident making these dishes again myself as everything was made so simple for us. It was also great to do this on our first day and to learn about what is in all the different dishes so we knew what to order as we travelled. Thank you so much for an amazing introduction to India and Indian cuisine!
Tastesutra,David J,5.0 of 5 bubbles,Dec 2022,A great experience.,This proved to be a lovely day talking about Indian food and cooking three dishes plus making chi and Indian breads. We learnt the basics about using Indian spices and the various techniques to create authentic Indian dishes. After lunch we visited the local market to buy spices and vegetables. We would recommend this course as a very full introduction to creating Indian food.
Tastesutra,Simone E,5.0 of 5 bubbles,Nov 2022,Authentic traditional indian meals,I really enjoyed the cooking class. It was great learning how to cook the traditional Indian meals. Chef Dabral explained every step in such a professional way. Thank you chef Dabral for sharing your passion.I can highly recomend this cooking class.
Tastesutra,Jacquelyn,5.0 of 5 bubbles,Nov 2022,Favorite thing we did in India!!  Don't miss it!!,"We did the 5 course cooking class and meal, followed by a walk through the local market.  After spending about a month and a half exploring all over India, I can honestly say our Tastesutra cooking class with Anchal was one of my absolute favorite experiences!!  Do not miss it!  Anchal makes this class both super fun and accessible to all levels!  Her ""this is how I would make this for my family"" cooking style makes the recipes easily replicable so you truly can make them at home!  This class comes with a wealth of knowledge about spices, their profiles, cooking traditional Indian meals, recipes to go home with, candid photos, a full belly, and more.  Not only that, but she has mastered and beautified the art of sustainability in her business.  Her heart is fully felt when you are in her studio:) A truly wonderful experience!"
Tastesutra,Brino84,5.0 of 5 bubbles,Dec 2022,Phenomenal woman owned business -- exceptional experience,"Anchal was incredible. A kind, strong businesswoman who is doing everything right. She cares about the environment and uses sustainable, reusable or compostable items. She teaches you how to cook things healthier than restaurant style -- like they do it at home. I can't recommend this experience enough. Beautiful venue, great location (near an amazing market and the metro train), great employees. But Anchal is the star. Don't overthink it, just book."
