Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Tony_Bike_Centre,meszarosmihalylaszlo,5.0 of 5 bubbles,May 2022 • Solo,Great,"The best rental company in Delhi. Professional, flexible, kind and cooperative staff, great prices and perfect assistance"
Tony_Bike_Centre,Ielgaam Solomon,5.0 of 5 bubbles,Jul 2022 • Friends,Amazing and vest experience  ever,The whole tour from start to finish. My father of 72 had the MOST AMAZING experience. Mala and her team were are brilliant and very well organized. If you looking for adventure i would  definitely  recommend them. Keep on doing what you do #tonybikecentre👏👏👏
Tony_Bike_Centre,Loren Sampson,5.0 of 5 bubbles,Aug 2022 • Friends,Biking adventure at its best.,"Spiti Valley, leh was a bikers dream adventure. The dramatic scenery from snow capped mountains to raging rivers and green valleys was breath taking. A couple of hairy moments but overall it all went down without serious problems. Sharing this experience with a bunch of mates from SA (Germany and India ) made it unforgettable."
Tony_Bike_Centre,Amit Kumar,5.0 of 5 bubbles,Aug 2022 • Couples,Best tour by Tony Bike Centre,"It was a safe, memorable, enjoyable, adventurous trip by Tony Bike Centre. Loved the food, stay, service. Always felt safe in all circumstances."
Tony_Bike_Centre,Shiraaj A,4.0 of 5 bubbles,Jul 2022 • Friends,Cape Town to Delhi to Leh Ladakh 2022,"I completed tour with TBC from Delhi to Leh, Ladakh in July/August 2022. Amazing experience! Tour was well planned,  with accommodation of the best. Reasonable rates. Effective and efficient mechanical and medical support.  Tour Leader Mala Trehan is organized, supportive empathetic to individual rider's needs, communicative, and accommodating.  Rider safety of of highest priority.  Will defintely recommend."
Tony_Bike_Centre,Naveen sharma,5.0 of 5 bubbles,Jul 2022 • Solo,Amazing Tour,I am Naveen Sharma from Barmer.I had recently done the Leh tour with TBC. It was very safe n comfort tour. Thanks mala ma'am for making my dream come true.
Tony_Bike_Centre,Lame345,5.0 of 5 bubbles,Jul 2022 • Solo,Great Experience,"Great way to safely, and reliably tour the majestic roads of Northern India. The tour operator was very reliable and dependable throughout. Would def use again."
Tony_Bike_Centre,Nibedita,5.0 of 5 bubbles,Jun 2022 • Couples,LADAKH TRIP,Ladakh is not easy terrian to compete it but tbc made it easy for us.every tent to hotel all are chosen carefully  by Mala mam which was clean and comfy.comming to food not a single day we suffered any kind of discomfort as it  personally choosen by tbc.some ups and downs will be there but you can pass hurdle if someone is there with you to say its okay will find a solution for this.TBC not only given the comfort but also made our trip sucessfull.
Tony_Bike_Centre,Ashwin,5.0 of 5 bubbles,Jun 2022,TBC made the arduous Ladakh bike trip seem effortless,"I rode my own bike but wanted to join a tour operator for taking care of food and lodging along with getting the safety of a group. I underestimated Tony Bike Centre. I found team TBC to be much more experienced and caring. People find Ladakh bike trip an arduous task but TBC made it seem effortless. All of us riders formed a cordial bond and became one family. Each day provided different challange (probable landslide / water crossings / probable traffic jams / broken road or road construction / bad weather etc) and our tour head Mala ma'am already had updated intel for that particular day's road conditions. Her valuable post-dinner briefings helped us immensely to prepare for the next day's ride.This being an adventure tour, the food and lodgings provided throughout the trip were better than expected, barring Sarchu. There were non-veg options too, whenever possible.To sum up my experience : Despite riding hard daily, we all were able to experience the natural beauty of Ladakh because team TBC took away a lot of hassle. THIS made all the difference."
Tony_Bike_Centre,sadan jamal,5.0 of 5 bubbles,Jun 2022 • Friends,"Best,Highly Recommend","Hello EveryoneI was planning my Ladakh bike trip from last 4 yearsI got to know about Tony Bike Center on YouTube and i called Mala Mam she explained me all details about the tour on the phone.It was one of the best and memorable journey of my lifeAll the group members are now like family.The accommodations and food were good.If you are planning for Ladakh then i will suggest Tony Bike Center who will guide you everything about the challenging and adventurous terrain of Ladakh.TBC take tour both by Bike and Car they provide bikes for rental well maintained and serviced bikesThey have their own bike mechanic,tour leader and medical support in the tourMala Mam use to take care of us like a motherThe best part of the tour was the time after dinner when Mala Mam give us briefing for the next dayThank You Mala Mam and team TBC for helping me to complete my dream ride"
Tony_Bike_Centre,Harish Sharma,5.0 of 5 bubbles,Jun 2022 • Family,Excellent with Tony Bike Group,"Hi everyone . I am Harish Sharma , today I am going to express my candid views about the ladakh your with Tony bike centre 🙂 I was planning my trip since last 15 years but unfortunately my friends betrayed me everytime . Then I was browsing on my phone and I saw Tony bike centre on YouTube ... Then I was searching and googling around and around ... Then me and my wife went to Tony bike centre (Karol Bagh) met Mala Mam . She brief us all the things very well .Then we planned a bike tour for ladakh with TBC and I asked to mala mam that my daughter also want to come with us but we are unaware about the group members .. as this was our first time  .Then mala mam suggested you are in safe hands . (Your daughter is my daughter) . After I started my journey with TBC I realised that Mala Mam( Take care of us like  a mother) , Mr. Gagan( Treat my daughter as a Father) , Sadan , Thomas , Nutan , Kiran , Suresh , Ashwin , Qaisar(Treat my daughter as a caring brother ) and Mrs Roseena and Hina (Take care my daughter as an elder sister) .  Ladakh trip is so adventorous , challenging so at last i suggested you all that please if anybody wants to plan a bike tour for ladakh so please you should join a group because ladakh is a tough terrain so you should need  a proper guidance at every step as Mala Mam guide us very well . And Tony Bike Centre also provide bikes for rent and also a backing car  in which mala mam and mechanic are always at your backup and medical facilities (oxygen cylinder) everything she carried with herself in backing car  so you don't need to worry anything .Thank You 😊"
Tony_Bike_Centre,kvparmarkadi1992@gmail.com,5.0 of 5 bubbles,Jun 2022 • Couples,Excellent,Best group of Tony bike centre.Now i completed my journey with wife and other members but in future i suggest other people and my friends to join this group.Next time I will start my journey with bike riding (Himalayas) with my friends.🥰🥰Thank you so much TBC group(Mala ma'am)
