Tourist Attraction,Name,Rating,Date and criteria,Title,Review
WanderOn,Priya,5.0 of 5 bubbles,Jan 2023 • Friends,Fun filled trip with lots of adventure,"I travelled to Meghalaya with wanderon with Team captain Tanushka. It was a really great experience. All the view points mentioned in the itinerary were covered. Punctuality was top notch. Tanushka made sure to give us timely wake up calls and gave us proper briefing about the things that we might need to take care of while exploring all the view points. All the hotels that we stayed at served good food and had all the basic amenities. Trips generally become more fun when you enjoy the company of the people you’re travelling with. I had some amazing set of people. Most importantly, people in Meghalaya are really not greedy. So shopping is not something you’ll feel cheated upon. Be prepared for the most adventurous treks you would have ever experienced especially to Wei Sawdong and Double decker root bridge. Also, please try Zip lining at Umngot river on the day you’ll reach the camping zone. It was super fun! Had a great time. Thanks wanderon! 😊"
WanderOn,Sirat K,5.0 of 5 bubbles,Jan 2023 • Friends,1000% would recommend,"It was me and my cousin's first ever trip with WanderOn and I'm so happy to say that it was the best decision we took. We did the Meghalaya backpacking trip with them and it was amazing to say the least. Everything from the accommodations to the food and the activities involved were superb! Best of all, our team captain Tanushka with her buoyant spirit and killer personality, who made sure we were so well taken care off and had the time of our lives! With her around it felt like nothing could go wrong and in her we made a friend for life!Also mad credit to Divyansh (the co-captain) for being the best sport and putting up with our shenanigans and drama!Would 💯 recommend booking your next trip with them, I'm surely looking forward to mine! ❤️Ps: here's a pic with our 2 captains and now best buds."
WanderOn,Roohi,5.0 of 5 bubbles,Jan 2023 • Family,Fulfilled memorable Trip to Meghalaya,"It was my first trip to Meghalaya  with WanderOn and it was very memorable.The trip was well planned, the captain's (Tanushka and Divyansh)communicated well and professionally. They guided and helped us very well.They encouraged and provided strength while trekking. Had an awesome experience with them and totally recommend traveling with them"
WanderOn,Reema,5.0 of 5 bubbles,Jan 2023 • Family,Awesome,"Its my first trip with WanderOn to Meghalaya and It  was the most memorable one ,all thanks to our captains(Tanushka and Divyansh ) who guided and planned the trips. The entire trip was fun and memorable"
WanderOn,Priyanka,5.0 of 5 bubbles,Jan 2023 • Friends,Good experience,"It was my first trip going with group and wanderon made it easy, comfortable and fun. I went to kasol rudranag trek and I really enjoyed there. Our captain shivanshu was friendly and made sure that each person would enjoy and  complete their trek comfortably with no hustle. I'm satisfied with wanderon service. They had planned for everything very well. Overall it was a good experience travelling with them and meeting with new people."
WanderOn,Samarth Sankhla,5.0 of 5 bubbles,Jan 2023 • Friends,Beautiful trip,"Kayaking through the cleanest river in asia was definitely a mind blowing experience, food accomodation etc everything was good."
WanderOn,Sushil,5.0 of 5 bubbles,Jan 2023 • Friends,Meghalaya with Tanushka,"Had a wonderful trip to Meghalaya. (21-26 Jab)Good stay. Good food. Good team management.Thanks to Tanushka for engaging everyone on the trip. Highly enthusiastic and energetic trip leader. She has her own rule book and also fun book as well...😜.. too meticulous management in terms of say wake up call, food arrangement, time management etc. Overall a budget trip and nicely managed....😊"
WanderOn,Asmeet,5.0 of 5 bubbles,Jan 2023 • Solo,"Awesome, once in a while","I traveled to Bir Billing with Wander on. It was a 1 night 2 days experience. Tarun Pratap Singh lead us as a trip captain, the trip experience was awesome, the food, the trip captain was available at arms length. Paisa vasool trip"
WanderOn,Prerana,5.0 of 5 bubbles,Jan 2023 • Friends,Beautiful journey in Majestic Meghalaya,"This was my first trip with WanderOn and definitely not the last one. I went to Meghalaya with them and at start I was only aware about the Iternary itself but once the trip started I knew I made the right choice. Everything from Hotel/Resort stays, travel, food and Captain was perfect. All the spots mentioned was covered with ease and captain made sure that we enjoy every moment there without any rush. Talking about our captain Ashutosh Bindra. From start he was very friendly and helpful. He made me understand not only about their culture but also how important Nature is to us. By being friendly with us he also took his job very seriously and before start of each day gave us a detailed briefing. His Time management  and decision making skills were excellent. He was well aware about their culture and local language. He made sure that there's no single dull moment with at most safety. Captain Bindra - ""Khublei Shibun"" to make my journey this beautiful!"
WanderOn,Nitesh Mishra,5.0 of 5 bubbles,Feb 2023 • Solo,A very Unique and Amazing experience!,"I joined wanderOn's weekend Tirthan batch. The trip turned out to be really amazing. They provided the group with the best accomodation, food, activities and view. The captains were really cool and made sure that everyone in the group stays involved throughout the trip through various activities. I would like to thank WanderOn for such an amazing experience, probably the best trip till now."
WanderOn,Pradeep Pathak,5.0 of 5 bubbles,Jan 2023,One of the best trekking experience!,"I have been on multipe trips with WanderOn before and all of them were great memorable experiences. This time I went to Kedarkantha Trek and again they made sure I had a fantastic time, the trek to the summit was so enthralling and unforgettable, It was one of the best trekking experiences me. Also, a huge shout to Tarun, the team captain, He made sure the group had good fun throughout the entire trip and also ensured the safety of the group through the trek. It's experiences like this that I tend to choose them again and again. Thanks so much!"
WanderOn,Chhabil T,5.0 of 5 bubbles,Jan 2023 • Solo,Kasol rudranaag trip,"Meet new people , amazing itinerary and visited beautiful places. Good arrangements especially the tour guide was very fun and supportive"
WanderOn,Mohini Shukla,5.0 of 5 bubbles,Jan 2023 • Solo,Beautiful and worth it,"went to weekend Tirthan Valley trip and I Loved every second of it. kashish & Shaaz are amazing team captions. Wander on did a great job with acco, food, activities- major trip withdrawal is happening now. Can’t wait to travel again with Wander On"
WanderOn,Rekha kukreja,4.0 of 5 bubbles,Jan 2023 • Solo,Trip caption was the beat,This was my second trip with wander on and i shall say it honestly that wander never disappoint for their trips. It was complete girls trip and our caption was shefali who actually made this trip more fun and interesting.One thing i dint like in this trip was no single tempo traveller was assigned to us coz of which we had to carry our bags multiple times.
WanderOn,Mayank jain,5.0 of 5 bubbles,Jan 2023 • Friends,The hidden gem,"Went to a trip to Kasol with wanderon, it was an amazing experience. Everything was upto the mark and our trip captain Shivanshu was super fun. Wish to travel again in the future"
WanderOn,Vtravels,5.0 of 5 bubbles,Jan 2023 • Solo,Great one to Tirthan Valley,"Like in my precious trips, had a great time with Wanderon in Tirthan Valley trip. Both captains Kashish and Shaz were amazing throughout the trip and made the trip even more enjoyable.Cheers,Vipin"
WanderOn,Snigdha,5.0 of 5 bubbles,Jan 2023 • Solo,Manali Weekend Trip,"Recently did a weekend Manali Trip with WanderOn.It was one of most perfect and enjoyable vacations i have done with a travel group.The trip captains Rahul and Ahaan definitely deserve a special shout out. They absolutely do their best to understand the needs of all people in the group.The company gives specific importance to individual experiences which is rare.Everything from the hotel to the food organised was top notch!I did a solo trip and no only felt safe every second of the trip, but made relations that would last a long time. Definitely would recommend them over any other company!"
WanderOn,Ashish Sharma,5.0 of 5 bubbles,Jan 2023 • Friends,Amazing!,This community is all about like minded people for whom travel is much more than just an experience. I went to Kasol-Rudranaag Trek with WanderOn and had a gala time with fellow travelers and group captain. This trip gave me lifetime memories & new bondings. Kudos to Shivanshu for being such an amazing Trip captain.
WanderOn,Rishabh,5.0 of 5 bubbles,Jan 2023 • Solo,Greattt,"This was my third trip with wanderon and as always was not disappointed at all , met some really amazing people and had a great time with our captains, looking forward to travel again"
WanderOn,Anuj kumar,5.0 of 5 bubbles,Jan 2023 • Friends,"Chandrashilla trek ,Jan 2023","I wholeheartedly endorse the Chandrashilla and Tungnath Trek to anyone seeking excitement and enjoyment. Everything about the experience was amazing, and we were treated with great hospitality, thank to our captain Akash Rangar. The trip captain ensured that everyone in the group always felt safe and secure."
WanderOn,deepak j,5.0 of 5 bubbles,Jan 2023 • Solo,Chopta tungnath chandershilla summit ,"Experience with wander on is always goodIt's my second solo  trip with them.... Chopta tungnath i have done  27th to 31st batchCaption of the trip Mr. Aakash rangar ""sky"" he is  coolest and active guy in our batch.. one thing i missed in this trip that there were  no girl in this group 🥲"
WanderOn,Rahul Nayak,5.0 of 5 bubbles,Jan 2023 • Friends,Chopta Trip,"Travelling with WanderOn was really an amazing experience. Especially our captain, Akash Rangar. Our trip to Chopta was as sooth as it could be"
WanderOn,Bhavesh,5.0 of 5 bubbles,Jan 2023 • Friends,Amazing,Today was my 2nd trip with WanderOn. Both were absolutely amazing. The trip leaders were very friendly and nicely done planning. Trip leader- Akash Rangar - Very good nature
WanderOn,Simran,5.0 of 5 bubbles,Jan 2023 • Friends,Excellent!,Excellent! This was my first trip to north India and it was just an amazing experience. The service was amazing.
WanderOn,Parvinder,5.0 of 5 bubbles,Jan 2023 • Solo,CHOPTA TUNGNATH REVIEW,I travelled with wanderon from 27 to 31 Jan on the trip of chopta tungnath. This was my third time with wanderon and the quality expected was same top notch. The stay was awesome as usual and the meal was also super. Talking about our coordinator Akash Rangar aka (Sky bhai). What a gem kind of a person he is. He took his responsibility very seriously not even a single thing that I can tell bad about him from managing the crowd to client interaction everything he was doing in a very professional way. Plus very impressive fact about him was that while going to devprayag I got injured my foot got swelled up because of which I was not able to walk dunno how he managed both first of all he gave me first aid and after that he  took other clients to sangam and later came back to me and took me to doctor there who gave me proper treatment. Literally I'm feeling short of words to thank this guy. Would surely recommend wanderon to everyone and if it's with akash bhai then it's cherry on cake. Thanks wanderon thanks akash for all these memories. ❤️
WanderOn,Veronica Eugene Tobias,5.0 of 5 bubbles,Jan 2023 • Solo,Wonderful experience,I was traveling solo for the first time & WanderOn made it so easy for me. From the start to the end it was such a great experience. One of the best trips.
WanderOn,Abhinav,5.0 of 5 bubbles,Jan 2023 • Friends,Great trip happens with great people,Stay is okay. Captain was cool. Fellow travellers were great. Place was heavenly.Amazing experience and memories.
WanderOn,Roseline Navya,5.0 of 5 bubbles,Aug 2022 • Friends,WanderOn Group Travel Expirience,"Having done 2 trips with WanderOn so far (Summer Spiti and Manali/Solang) and must say they offer the best group trip/community travel experiences!The process from end to end (from booking to travel and back) was well taken care off and the team ensured we all have a great time and take back some fondest memories...They provide amazing captains who are professionals, well equipped, cheerful and accomodating that ensures the group is having fun - all while not compromising on safety either (shout out to Tanushka, Prashant, Sachin - Spiti in Aug'22 and Rahul, Aahan - Manali/Solang in Jan'23 for the great trips)...Group travel experiences are so enriching and a must have and would highly recommend anyone wanting to do one, to plan the same with WanderOn team!An experience you will cherish indeed 😊"
WanderOn,Karishma Manuel,5.0 of 5 bubbles,Jan 2023 • Friends,"Value, Quality, Fun","I attended the Manali Solang trip with WanderOn. The accomodation and food provided was really nice. Special thanks to our captains, Rahul Rajput and Aahan Aditya for making this a memorable experience. They were really helpful and super fun. Overall an amazing trip."
WanderOn,Sampreetha,5.0 of 5 bubbles,Jan 2023 • Friends,The Best❤️,"We had a best trip from the WanderOn team. Our captains Rahul and Aahan were so lively and the best at their work! We never expected this trip would turn out this great. Thank you WanderOn and our expectations were exceeded is what we would like to say!Definitely recommending my friends for their trips with WanderOn!All the very best team, Keep growing❤️"
WanderOn,Harshita Jain,5.0 of 5 bubbles,Jan 2023 • Solo,WanderOn Manali Solang Trip,"This was my first experience with WanderOn, I traveled with them to Manali and had an amazing time. Everything was superbly well planned and both trip captains - Rahul and Aahan - made the trip a truly wholesome and memorable experience for all of us. They were helpful and supportive throughout. Can’t wait to take my next trip with WanderOn soon."
WanderOn,Vivek Kumar,5.0 of 5 bubbles,Jan 2023 • Friends,Wonderful experience,"First trip with WanderOn, I went on Kasol Rudranag trek and had a really wonderful time. The arrangements were perfect, and our trip lead Shivanshu was a delight to hang out with. He was very considerate to our request and took extra care to make us feel comfortable at every step.Will definitely travel with WanderOn again. 😊"
WanderOn,Vinayak L,4.0 of 5 bubbles,Jan 2023 • Solo,Wanderon to Tirthan,"Wonderful Company!Awesome Captains!Most Importantly Beautiful Memories!!Everything was perfectly managed and we just had to show up at the bus stop with our stuff. The location and transport were flawless, captains were helpful at all times and safety was prioritised at every point"
WanderOn,Diksha,5.0 of 5 bubbles,Jan 2023 • Friends,Tirthan valley adventure,Great experience and the trip was amazing.I really enjoyed it and appreciated that shaaz and kashish made it fun. Thankyou for a wonderful trip.Lots of loveDiksha
WanderOn,Komal,5.0 of 5 bubbles,Jan 2023 • Solo,Awesome trip with wanderon😊,I planned a solo trip to Manali- Solang. This was my first trip with WanderOn and it was a great experience and enjoyable trip.. Rahul and Aahan are best captains and they manage all things very well from Day1. Most of the time captain also help during treaking because I didn’t have much experience of snow❄️.. Thanks to all team members of Wanderon… For making best memories about this trip… And  I’m happy to book all upcoming trip with you guy’s…
WanderOn,Vaishali Gupta,5.0 of 5 bubbles,Jan 2023 • Couples,Awesome,I had a wonderful experience with WanderOn. Both the captains (Rahul and Aahan) done all the things in best possible manner. I enjoyed alot on this trip. Will surely plan another trip with  WanderOn.
WanderOn,Mayank Aggarwal,5.0 of 5 bubbles,Jan 2023 • Couples,Manali Solang trip,I had a nice experience with WanderOn. Captains(Rahul & Aahan) during the trip put in their all possible effort to make the trip full of excitement and memorable.
WanderOn,Annika,5.0 of 5 bubbles,Jan 2023 • Friends,First trip with WanderOn,"This was my first trip with WanderOn and it was a beautiful experiece. Thanks to the team captions Shaaz and Kashish for making our trip comfortable and full of fun and laughter. Can't wait to plan our next trip with WanderOn.With love,Annika"
WanderOn,Mudit Khandelwal,5.0 of 5 bubbles,Jan 2023 • Couples,A trip to remember❤️,"Really amazing trip❤️well conducted and organised by Wander on. Special thanks to our captains Kashish and shaaz, who made us feel comfortable and safe during the trip and helped us make beautiful memories."
WanderOn,Prateek Sachdeva,5.0 of 5 bubbles,Jan 2023 • Friends,An Adventure - Jibhi and Tirthan Valley,"Spectacular trip with WonderOn. The captains assigned took care of all the necessities for the travells and made sure we were comfortable. The activities took place on time and the food, stay, travels were comfortable as well. The stay was near the river. Will soon plan another trip with WonderOn."
WanderOn,Shubham,5.0 of 5 bubbles,Jan 2023 • Couples,First Group Travel,"Our first group trip and shaaz and kashish made it a memorable one. Wonderful stay, happy faces and quality time. Will definitely plan another with wanderon soon.❤️❤️With Love,Shubham & Diksha"
WanderOn,Amisha,5.0 of 5 bubbles,Jan 2023 • Friends,Magical,"क्या देखा सूरज को उगते देखा , छिपते देखाशाम में मैंने सबको ढलते देखा नदियों को बहते देखापत्थर को सहते देखाआज शोर में मैंने चुप्पी को देखा बादलों को गुज़रते देखारास्ते में पहाड़ों से मिलते देखाआज मैंने अनजान चेहरों को घुलते देखा तारो की चादर को देखासुन्न हवाओं की आहट को देखामैने आज दिल को खोलके देखाबरफ की सेक को देखाआग की लपटो में ठंडक को देखाऔर देखा मैंने आज खुदको ,यार बड़ी करीब से देखा...पर अब जब पूछेगा कोई की क्या देखा...बस इतना कहूंगी...की कुछ नया नहीं.... बस रवाँ देखा ....--अमीषाThis poetry  explains it all that an experience that brings you close to your soul,life ( रवाँ) would have been nothing less than a magic ."
