Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Big_Daddy_Casino-Panjim_North,Satish,1.0 of 5 bubbles,Feb 2023 • Friends,Extremely rude service staff,"Extremely rude service staff. I asked for starters while playing games, but the service staff said that it will be delivered after half an hour. The game coordinators were not ready to explain the game rules. I complained to senior managers onboard about this behaviour, but the managers did not take any action.Visit this place only if you want to get yourself insulted."
Big_Daddy_Casino-Panjim_North,akshi sharma,5.0 of 5 bubbles,Feb 2023 • Friends,Absolutely loved it,"Absolutely loved the place . The whole vibe was fun and full of entertainment, excellent service and hospitality and the food was just delicious. The view on the top of the cruise was breathtaking. They have the best and well maintained ambience . It’s a must visit place . Do add this in your list whenever you’re planning your trip to Goa ."
Big_Daddy_Casino-Panjim_North,Ketan S,5.0 of 5 bubbles,Jan 2023 • Friends,good,"All services are good. Vip staff very good, helpful. Come enjoy entertainment here. Best place to visit in goa."
Big_Daddy_Casino-Panjim_North,DeepaliRaikar,5.0 of 5 bubbles,Dec 2022,Big daddy casino tops the list of things to do in Goa,"A perfect place for all ages. If you visit goa then Big daddy casino tops the list of things to do in goa.Extremely amazing place, the vibe and the place it LIT. Celebrity performance also an add-on advantage Unlimited food entertainment and gaming make #biglife"
Big_Daddy_Casino-Panjim_North,krishna24242,5.0 of 5 bubbles,Jan 2023 • Solo,Excellent,Staff’s are very good “both gaming & service” even VIP staffs are very helpful. The atmosphere is really nice. Must visit!
Big_Daddy_Casino-Panjim_North,Big Daddy Casino,5.0 of 5 bubbles,Jan 2023 • Friends,Awesome,"Dear Guest,

Thank you, for your kind words. It was a pleasure to have you onboard and we look forward to seeing you again"
Big_Daddy_Casino-Panjim_North,PHOENIX I,5.0 of 5 bubbles,Jan 2023 • Friends,Excellent,"Dear Guest,

Thank you, for your kind words. It was a pleasure to have you onboard and we look forward to seeing you again"
Big_Daddy_Casino-Panjim_North,Big Daddy Casino,5.0 of 5 bubbles,Jan 2023 • Couples,Great experience,"Good place, very good service & good people here. Must visit if you are in Goa.Please do visit with friends & family!"
Big_Daddy_Casino-Panjim_North,Sunil D,5.0 of 5 bubbles,Dec 2022 • Friends,Great,"Dear Guest

Thank you for the review. We are extremely delighted to know that you enjoyed your #BigDaddyExperience. We look forward to welcome you back on your next visit."
Big_Daddy_Casino-Panjim_North,Kunal T,1.0 of 5 bubbles,Dec 2022,A night at Big Daddy,"Dear Guest

Thank you for the review. We are extremely delighted to know that you enjoyed your #BigDaddyExperience. We look forward to welcome you back on your next visit."
Big_Daddy_Casino-Panjim_North,Big Daddy Casino,,,,It's feel great to spend time on deck. Good for entertainment and full of joy. It's worth and visiting again and again
Big_Daddy_Casino-Panjim_North,sridhar r,,,,"Great ambience, food n drink quality is par excellent.Greeted by Mr. Stephio, he has managed our trip so well.Keep up d good work!!"
Big_Daddy_Casino-Panjim_North,Karthik R,,,,"Dear Guest,

Thank you, for your kind words. It was a pleasure to have you onboard and we look forward to seeing you again"
,,,,,"Dear Guest,

Thank you, for your kind words. It was a pleasure to have you onboard and we look forward to seeing you again"
,,,,,We are coming to big daddy casino first time must say the over all experience was amazing The food is great along with great ambience
,,,,,"Improved quality in Food and Drinks is definitely required. When I compare with Deltin Jaqk which charges much lesser, I feel the food cariety"
Big_Daddy_Casino-Panjim_North,VamsiKrishna G,5.0 of 5 bubbles,Dec 2022 • Friends,Satisfied,Best thing is the concept of the floating ship which sets the tone for the Casino. It is the best one I could say.
Big_Daddy_Casino-Panjim_North,Ankit garg,5.0 of 5 bubbles,Dec 2022 • Friends,Great,The big daddy casino is the best casino in goaThe service is good Food is delicious The ambience is great Must visit place in goa
