Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Chapora_Fort-Chapora_North,LoosePebbles,4.0 of 5 bubbles,Oct 2022 • Couples,Nice one,"Fort closes at around 5.30pm , so if you intend to watch the sunset from here then make sure to reach here a bit early. Crowded on weekends. Also bear in mind to climb more than 200 steps.. Overall a good place to enjoy a peaceful eve.  "
Chapora_Fort-Chapora_North,Mamata,5.0 of 5 bubbles,Aug 2022 • Couples,Awesome views,Charpora is a historical and naturally blessed place. Most of tourists go there just to take some great pics and cherish dil chalta hai movie memories . But the fort has lot to offer. The great views on all the sides  . You have to be patient to walk the plain yet rugged terrain of the fort ( more like a table land) . To reach the forest there is no climbing as such except few steps  .souvenir shops covers both the sides of the steps until you reach the main entrance. It is too commercialised i felt but once you enter the fort it’s only you and nature. During monsoon the beauty was exceptional. We simply loved it here. It is possible to trek down or up ( both ways ) to and fro village to fort . Many photographers and historians were spotted on the fort . It has not entry fees .  Parking charges for scooter are 20/- as on date (10.08.2022) .  Don’t be much adventurous in the fear of taking selfie’s as you might end up in a wide ts as all view points are on edge of fort without Bata cases or safety lining. Enjoy fullest your 1 -2 hrs time . Do not drink and litter on fort .
Chapora_Fort-Chapora_North,Manish B,5.0 of 5 bubbles,Jun 2022,Excellent spot,One of the important tourist places in goa to visit and spend some time and click pictures. A recommended place to visit
Chapora_Fort-Chapora_North,Navin B,3.0 of 5 bubbles,Jun 2022 • Family,Good Alternative to Aguoda fort,"Fort itslef nothing much to marvel about , unless one is interested in history and reads the background of the fort to understand it's significance.Bit of a dampner since they close the fort access at 5.30 pm. Real shame because the view of the beach and sea is really nice. Sunsets will be spectacular to watch. One can trek a bit outside the fort to find a good spot ( not recommended for young kids)Rest be advised of steep climb on stairs ( 500 approx) Hawkers selling there wares -  some good , some really entertaining with their one liners.All in all a good alternative to visit than the Aguda Fort. Climb the fort for the view and then spend the evening at the vagator beach."
Chapora_Fort-Chapora_North,travellover905,1.0 of 5 bubbles,Apr 2022,Overhyped tourist attraction.,"Just because this place has been picturized in various hindi movies, esp the famous Dil Chahta Hai... doesnt make this place a good tourist attraction. It is very hot during the day so avoid going there before 4pm when the sun starts to set. The sunset view from the top of the fort is beautiful...but the main problem is the condition in which the fort is. Being a place of historical Importance, nothing has been done to improve it. The steps that take you up to the fort are broad, but risky, unclean with stones and bricks coming out of them. both sides of the steps are encroached by the shop keepers who have covered the whole scenic view around the passage to the fort. Once you reach up the fort, fully soaked up in sweat and in thirst, you find disaapointment. the ground is full of mud and stones that becomes muddy if it rains. weeds and wild plants are growing everywhere with no sign of any cleanliness. 2/3 small vendors are there selling Dil chahta hai ice candies and cold drinks at exorbident prices. view from the top is beautiful worth a watch. when we were coming downhill, it started to rain heavily. the steps became sluggish and dangerous to walk. we stood under a shelter of a local shop who charged 100rs per person to just stand under it. how can Goa become a foreign tourist attraction with all this happening. I doubt."
Chapora_Fort-Chapora_North,Alhad,4.0 of 5 bubbles,Mar 2022,Worth the climb - for the view,"The view of Anjuna beach from the top is superb. Shops on the climb are a bit costlier than those in Baga, Calangute - you get the same merchandise. Not much of the fort remains now but the remains are enough for a few photos. After all, this is the Dil Chahta Hai fort."
Chapora_Fort-Chapora_North,Tintu Varghese,5.0 of 5 bubbles,Jan 2022,Beautiful Sunset view,"Chapora fort, Vagator: This is the famous fort from Dil-Chahta Hai. To get to the top, you have to climb steps. Till you reach the top, you will be entertained by the flea markets lining the streets. The fort is in ruins. Take a trail to the left of the fort to reach where the sea meets the cliff and watch the sunset from there."
Chapora_Fort-Chapora_North,Manoj Kammath,2.0 of 5 bubbles,Nov 2021 • Family,Average,"A great place for tourism.Dil Chahta hei song / Film location,  it's famous for that too .If it was in Thailand or Malaysia , could have been in another level .Here we are bothered about putting entry tickets or car parking rates .No maintenance , Renovation , Cleanliness etc . Same thing for the beaches vegator or Anjuna beach near by .Nature given , so it's there , nothing else we have done . For a walk to hill top and scenic beauty you can go .It's crowdy and not clean and not safe in covid conditions"
Chapora_Fort-Chapora_North,Anand1351,5.0 of 5 bubbles,Nov 2021 • Couples,Nice views and hike,A decent fort with nice views of Vagator beach and around. Lots of viewpoint although not developed and not very safe.Plenty of vendors offering water and drinks to keep you hydrated.Views are superb and there is a hike to reach at top.
Chapora_Fort-Chapora_North,Mason,4.0 of 5 bubbles,Oct 2021,Chapora Fort,Nice place for hangout and enjoying the time with family and friends. The fort overlooks the vagator beach and Morgim Beach. Though it becomes a bit crowdy in the peak season but still you can get good spots for clicking pictures. It took me about 3 hours to fully explore the fort. But either go early morning or late in the evening to avoid heat. Parking is available.
