Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Church_of_Our_Lady_of_the_Immaculate_Conception-Panjim_North,Rahul Singh,3.0 of 5 bubbles,Oct 2022 • Family,Only a photo op landmark ,"The Our Lady of the Immaculate Conception Church is located in Panjim, Goa, India. The Church conducts Mass every day in English, Konkani, and Portuguese. The colonial Portuguese Baroque style church was first built in 1541 as a chapel on a hill side overlooking the city of Panjim. It was eventually replaced by a larger church in the 1600s as part of Portuguese Goa's religious expansion. This church houses the ancient bell that was removed from the Augustinian ruins of the Church of Our Lady of Grace in the once famed city of Old Goa. This bell is considered to be the second largest of its kind in Goa, surpassed only by the Golden Bell which resides in the Sé Cathedral in Old Goa.Cars can be parked nearby in market areas which charge Rs. 50 for parking. Visited in October 2022, just clicked some snaps from outside and left."
Church_of_Our_Lady_of_the_Immaculate_Conception-Panjim_North,Soumya Nayak,3.0 of 5 bubbles,Jul 2022,No entry,Strings have been tied on both sides of upper staircases with no entry boards. The only reason to visit this church is to take photos. Thankfully it's in a prime location with lots of eateries & shopping stores at walking distance.
Church_of_Our_Lady_of_the_Immaculate_Conception-Panjim_North,Manish B,5.0 of 5 bubbles,Jun 2022,A very Beautiful Church,"Right in the middle of the city, this old church looks beautiful. It was closed when we have visited to we clicked few pictures from outside."
Church_of_Our_Lady_of_the_Immaculate_Conception-Panjim_North,Gopal A,3.0 of 5 bubbles,Oct 2021,Good for quick photostop,This is situated just next to Fontainhas and can be used as a good photo stop. Entry inside Church is closed since the beginning of Covid pandemic.
Church_of_Our_Lady_of_the_Immaculate_Conception-Panjim_North,Voyage_De_Plaisir,4.0 of 5 bubbles,Oct 2021 • Friends,Nice in heart of city,"Very much in city with nice view , bit parking issue but it’s okey , disappointment because it was closed , reason don’t know"
Church_of_Our_Lady_of_the_Immaculate_Conception-Panjim_North,wandermay08,4.0 of 5 bubbles,Nov 2020,Good place to click photos,"Visited this place during Covid, so was not allowed to go in. Clicked few photos on the stairs. Nearby restaurants are good."
Church_of_Our_Lady_of_the_Immaculate_Conception-Panjim_North,lotusdiamond,4.0 of 5 bubbles,Dec 2020,Beautiful and famous,Magnificent Church situated in Panjim. Very famous among locals. Located just on the main road and beautiful architecture and photogenic.   You need to follow dress code so check before going to this place.
Church_of_Our_Lady_of_the_Immaculate_Conception-Panjim_North,Nikita Mathur,5.0 of 5 bubbles,Feb 2021 • Family,"Beautiful church, accessible location","The church is pretty much on a main road and very accessible. Have visited twice and love how beautiful it looks. I think there is a dress code if you want to go in. So, make sure to dress modestly. "
Church_of_Our_Lady_of_the_Immaculate_Conception-Panjim_North,ujwal kakkad,4.0 of 5 bubbles,Jan 2021,beautiful church,its located centrally.   you can visit panjim and fountainhas from here. its in the heart of the goa  city
Church_of_Our_Lady_of_the_Immaculate_Conception-Panjim_North,Milton R,5.0 of 5 bubbles,Feb 2020 • Friends,STUNNING and ICONIC CHURCH,This is a ‘ Must See ‘ whilst in GOA. An iconic Church which looks amazing in daylight but magnificent at night as well !!!
Church_of_Our_Lady_of_the_Immaculate_Conception-Panjim_North,JE Dolphy,5.0 of 5 bubbles,Jan 2021,Best  Iconic Church in Goa,"A famous iconic church in Goa , the  lady of Immaculate Conception Church, is a must visit for the Christians, This time however the church was closed for rennovation work."
Church_of_Our_Lady_of_the_Immaculate_Conception-Panjim_North,Nina-USA,3.0 of 5 bubbles,Nov 2020 • Couples,"Neglected, poorly maintained and not cleaned regularly besides rude staff.","It pains me to leave a negative review as I am a devotee of Mother Mary :( but she would NOT approve of the lack of cleanliness and maintenance of the interior or the rude staff. I had visited in May 2018 and saw cobwebs thick as ropes behind statues and frames, large Lizards zipping around, and to top off this shocking observation a really rude caretaker who knew nothing but to terrorize those who came to pray by yelling at them in a loud disturbing tone. Fast forward to November 2020, and we went to visit the church from outside (due to the COVID restrictions) standing quietly to worship near the outside staircase. A tall big man waved rudely and “shooed” us then told us go away, you are not allowed here to go away. We did not understand what he said and then he charged up to us to literally see us leave in an aggressive posture. What is with these people??? Very unkind.Mother Mary and Jesus Christ would be most disappointed to see their devotees thrown out of the open courtyard and so rudely and unkindly. No grace here at all. Suggestion: the large aggressive man could have said, thank you for visiting, but as you know we are closed, and are not allowing anyone to stand in the courtyard. My apologies since we would love to have you here another time. Hope you have a good time in Goa.” Learn how to communicate without aggressive gestures (2020) or loud shouting tones (2018). And please clean the interior thoroughly - put some elbow grease into the job. Lost my desire to ever visit this place again with two negative experiences (very sad) and hope Mother Mary imparts the spirit of love and peace upon those that manage this beautiful place of worship."
Church_of_Our_Lady_of_the_Immaculate_Conception-Panjim_North,Pooja S,5.0 of 5 bubbles,Nov 2020 • Family,Tick off the Goa Checklist ,Visited this church at night. It's great to just sit and hangout with your friends and family and have some good photos
Church_of_Our_Lady_of_the_Immaculate_Conception-Panjim_North,Sandy_JSR,5.0 of 5 bubbles,Feb 2020,Attractive,The Our Lady of the Immaculate Conception Church is located in Panjim and sits atop a small hill facing the busy main square below. Barring roadside no dedicated parking available. An attractive architecture with bright white colour exterior and colorful interior. One has to climb couples of stairs to enter the main hall of the church. The main altar is dedicated to Mother Mary.
Church_of_Our_Lady_of_the_Immaculate_Conception-Panjim_North,Randeep S,3.0 of 5 bubbles,Jun 2019 • Couples,Great location.,"This church is located just in centre of the city, quite historic and beautiful. Only con is that you are not welcomed inside, Otherwise good to have some peaceful moments."
Church_of_Our_Lady_of_the_Immaculate_Conception-Panjim_North,Shamim Ahsan Chowdhury,5.0 of 5 bubbles,Mar 2020 • Friends,Magnificent view of Church in Panjim Goa,If you visit the place in mid night you will get an amazing coolness if the magnificent beauty there .Close to the Municipality park the church is high from plain have a look of Jesus statue even cook in Early morning to see .
Church_of_Our_Lady_of_the_Immaculate_Conception-Panjim_North,anthony D,5.0 of 5 bubbles,Feb 2020,just an amazing view,"It's an amazing view of this Great church in Panjim, Goa, You can see a lot of tourist gathering here during the day. Parking will be an issue here.  My suggestion is to go there during the night when the lights are on. it's an amazing view. try a pic a little far away."
Church_of_Our_Lady_of_the_Immaculate_Conception-Panjim_North,Sky,3.0 of 5 bubbles,Jan 2020 • Friends,Don’t take your car,Church is nice 👍 well maintainedMainly complaint is there is no parking for cars Preferably take two wheelers Else you have to go market and park
Church_of_Our_Lady_of_the_Immaculate_Conception-Panjim_North,Aniruddha Srivastava,3.0 of 5 bubbles,Sep 2019 • Couples,Front porch is beautiful but nothing else,So if are in for a city walk and don't mind passing by some famous landmark buildings or architecture then one can surely see this church that is beautiful from front. But nothing more to write about.
Church_of_Our_Lady_of_the_Immaculate_Conception-Panjim_North,ghoomboom,4.0 of 5 bubbles,Feb 2020,Impressive Architecture,"In the heart of Panaji city and very near to the banks of Mandovi river, this church is away from the complex of churches in Old Goa. It is in the middle of the market and looks majestic in day time as well as night. Church is built on a raised platform and the visitor has to climb stairs to reach the church. When we visited the Church, it was closed but took a round of it and appreciated its beauty from a distance. Beautiful church indeed."
