Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Church_of_St_Francis_of_Assissi-Old,Rahul Singh,5.0 of 5 bubbles,Oct 2022 • Family,Good for Goa snaps,This is located just in front of 'Basilica of Bom Jesus'. Cars are not allowed inside and you mark nearby outside. There is no entry free for outside premises but Rs. 20 for inside tour.Good location for snaps.
Church_of_St_Francis_of_Assissi-Old,Santosh H,5.0 of 5 bubbles,Aug 2022 • Family,Nice place . Well maintained . Good for ppl interested in exploring historical sites .,Nice place . Well maintained.Feeling enlightened .The light show is very good ( at times may feel a bit longer ). Good for people interested in History .  Managing with Young kids may get a little difficult as nothing much for them to understand and enjoy.RgsSantosh H
Church_of_St_Francis_of_Assissi-Old,HarryHSR,5.0 of 5 bubbles,Jan 2020,Surreal Experience ...,"This Church has an amazing architecture ... was under renovation/ refurbishment when we visited, very high ceiling ... see the pictures attached. This majestic Church was built by the Portuguese in 1661, and is located right opposite the Basilica Bom Jesus in Old Goa, is surrounded by beautiful greens. No Entry ticket ..."
Church_of_St_Francis_of_Assissi-Old,Ron T,5.0 of 5 bubbles,Mar 2019,Beautiful architecture and must visit historical church in Goa,"The Church of St. Francis of Assissi is one of the oldest churches in Goa, with beautiful architecture. It is a must-visit historical church in Goa. The interior and exterior infrastructure and atmosphere is stunning, "
Church_of_St_Francis_of_Assissi-Old,Prem Kumar,5.0 of 5 bubbles,Feb 2019,Chruch of St.Francis,"The church of St.Francis is located opposite of Basilica of BOM Jesus. It has Church of Catherine, Archaeological Museum all are in the nearby places. The place is clean and high on the traditional architectural value of Portuguese."
Church_of_St_Francis_of_Assissi-Old,138500423,5.0 of 5 bubbles,Nov 2019,"Church Of St. Francis of Assissi, Se Cathedral Church & Basilica Of BOM Jesus Church At Old Goa Are Too Impressive.","Impressive set of three churches.There are following 3 churches at old church campus in old Goa:1. Church of St. Francis of Assissi 2. Se Cathedral church3. Basilica of BOM Jesus churchEntry to all above churches is free.The first 2 churches above are located next to each other on one side of big picturesque green garden with trees & 3rd church is on the other side of garden.Each church has a museum.There are following things to see at Church of St. Francis of Assissi:1. The photos of old goa, old churches, temples etc are displayed on photo stands immediately after entering the door of church2. The impressive inside baroque architecture of church3. Archaeological museum next to church. Rs.10 is the entry fee for all aged 15 years & above.Open 9 am to 5 am from Saturday to Thursday. Museum is closed on Friday.Then you can see following things sequentially at old church campus:1. Museum between church of St. Francis Assissi & Se Cathedral (Rs.20 entry ticket)2. Se Cathedral3. Big green picturesque garden4. Basilica of BOM Jesus5. Museum of Basilica of BOM Jesus (Rs. 5 entry ticket)6. Musical fountain show at Basilica of BOM Jesus (Rs. 20 ticket & 20 minutes show)Old churches in old Goa is located at 10 km from Panaji. Hotels for accommodation are available in Panaji from Rs.1000 to Rs.1500. We stayed at Shirodkar Guest House on Panaji to Calangute road. It was 14 km from old church. Rent for single room was Rs. 600 & double room Rs.800.Bus, taxi are the mode of transport from Panaji to old church. We travelled in our own car. Free parking is available on the side of road in front of gate of church of St. Francis of Assissi.Also VIP parking is available there.Drinking water & washroom facility is also available in all the 3 churches.It is in the archaeological museum at church of St. Francis of Assissi.Food stalls are there in front of St. Cathedral church.Visitors spend much time at green garden on photography. Visitors are also allowed to sit & relax in the garden. Little kids love to run & have fun in such green garden.Photos inside church are allowed but not of yourself or any persons.I have attached photos in this review with easy to understand tag & description system. Please have a look at it.This place can be visited in any month of the year & remains open from morning till late evening.I had the misconception - can church or churches be a tourist spot. If you are also having this misconception then please visit these set of churches in old Goa.Old churches in old Goa attracts huge number of visitors including foreigners.It is a must place for visit in Goa. I surely recommend this place for family outing.If you need detailed info on old church in old Goa, then please read my review on Se Cathedral church of Goa.All the best.."
Church_of_St_Francis_of_Assissi-Old,meenakshimuthusamy,5.0 of 5 bubbles,Jul 2019,different experience,The place is good on the visit.Nice time pass.It is a good place to visit.It is well maintained and nice.
Church_of_St_Francis_of_Assissi-Old,H. N. Pandey,5.0 of 5 bubbles,Jan 2019 • Friends,Historical church in old goa,This church is famous for the mummy of a Pope. It is located in the old city. It's most attractive and beautiful place for tourist.
Church_of_St_Francis_of_Assissi-Old,Dobanjare,3.0 of 5 bubbles,Jun 2019,You can go and see this place,If you love to see the architecture and you are into churches then this place is for you. You will see a lot of things here with great history. I love to see architecture and when there are so many things to see at one place then it becomes so convenient.
Church_of_St_Francis_of_Assissi-Old,Watsons2014,5.0 of 5 bubbles,Apr 2019 • Family,Breathtaking,We visited St Francis Cathedral & Church as part of our arranged taxi tour.  It was stunning from the outside & breathtaking on the inside.
Church_of_St_Francis_of_Assissi-Old,zsszn,5.0 of 5 bubbles,Feb 2019 • Family,The best church from all of them,I think this was the nicest church in Old Goa - with colorful paintings. It is the must when you in Goa. 
