Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Dudhsagar_Falls-Mollem_National_Park_South,Nishrin Zohar,5.0 of 5 bubbles,Dec 2022 • Couples,Beautiful scenery,The falls are a sight for sore eyes.And the icing on the cake was when the train passed on the bridge
Dudhsagar_Falls-Mollem_National_Park_South,Naghee,3.0 of 5 bubbles,Jan 2023,Trip to Dudhsagar,"I am writing this review for parents who have small kids. i have travelled to Dudhsagar on 15th Jan,2023.  after visiting I realised, it's not a right time as the water flow was very less compared to season time, the waterfall will be continuous. The time taken from south goa to Dudhsagar is 2.5hrs, from there you will be travelling again for 45mins in Dudhsgar driver association SUV to reach the destination. I would advise to start at 6am to reach Dudhsagar from south goa to avoid the rush/queues, its full day trip. The Ticket counter opens at 8am- you pay 585.00rs per head, they give a paper with a WL-number and vehicle number on it. Kids below 4yrs free ( there is no one to check the kids age).  next to collect life jackets- 50rs per jacket. Driver assigned to you, will take you to Dudhsagar waterfalls which takes 45mins and drop you back in the same vehicle. The Road is pathetic, more pits than road because the roads will get damaged frequently due to waters. people with back pain good to avoid this trip. Total -276 vehicles are allowed per day, each vehicle will have 6 passengers. The drivers wont waste time your time, but once you enter the Dudhsagar water fall road, you will have to get vehicle entry done at forest department, you pay 100rs per head, kids below 4yrs-30rs. They will allow limited vehicles at once, so you will wait for your turn almost one hour at this point. One you reach Dudhsagar, you will be given 1.5hrs only. if you are late, then the drivers will ask extra money, you will have to walk to the waterfalls for almost 15mins. This is a big task, Parents and kids must be very careful, the way is full of big sharp rocks, unstable, slippery route, try to leave all the laguagge in the vehicle. On the way you have one changing room and toilets, depending on the crowd, you have to follow the queue. I visited the place around 1PM, its freaky crowded. no place to sit, can't take proper pics. swimmers will enjoy the place. hope this helps."
Dudhsagar_Falls-Mollem_National_Park_South,Arun Mani Kanta Gunda,5.0 of 5 bubbles,Mar 2022 • Solo,Supwrb,"Reached here from Vasco station by catching morning train, there was a huge rush, but luckily got the ticket, had a spectacular time for 3 hrs"
Dudhsagar_Falls-Mollem_National_Park_South,michael,5.0 of 5 bubbles,Jan 2023 • Friends,Beautiful and worth a visit,Very beautiful falls.  Get there early (8am).  The jeep queue opens around 8:30.  Go to the toilet before you leave the jeep station.
Dudhsagar_Falls-Mollem_National_Park_South,drarunkumaraggarwal,5.0 of 5 bubbles,Dec 2022,where route is better than spot,we visit that place on bicycle a ride of 60 km that too through the interior of goa avoiding highways. we rode through the jungles and along the sea and rivers. it can not be better than this. we enjoyed the route than the sagr more.
Dudhsagar_Falls-Mollem_National_Park_South,Mohit Kumar,2.0 of 5 bubbles,Nov 2022 • Couples,Great Falls worst Roads india,Very poor management and worst road body will break after travelling. Take care of your small children if going along
Dudhsagar_Falls-Mollem_National_Park_South,natholian,3.0 of 5 bubbles,Nov 2022 • Friends,It could be amazing….,"It could be amazing but the road to the falls needs some repairs so you don’t feel like you are being driven up a dry river bed and when you get there, it’s impossible to find a place to swim because it is just completely full of people, which kind of takes the ‘I’m in nature’ feeling away and makes it a bit like a public. swimming pool."
Dudhsagar_Falls-Mollem_National_Park_South,Roy,5.0 of 5 bubbles,Aug 2022 • Friends,Never looses its charm....,"Trek 27 kms to get there...worth all of it...This is my second time...started at 8.30 am after breakfast from Mollem railway station. Through uphill, downhill, dense forest, flat lands, water streams passing by...its exhausting,  painful but once u reach, the beauty is mesmerizing. Took a dip in the cold water for hours. Returned back by 6pm. Had a professional guide ... Dattaraj and Pede.Breakfast and late lunch was just okay."
Dudhsagar_Falls-Mollem_National_Park_South,fecnitin,1.0 of 5 bubbles,Jun 2022 • Friends,"Unable to reach the Falls, Ruffians enroute","You won't reach the Falls. Around 10 kms away from the Falls, the locals will accost you, make you park your car in their space and take you to the Falls in their rickety non-AC Jeep. Their contention is that there are a lot of parking issues near the Falls so they are just trying to help us out. The rascals should be jailed and their properties confiscated. I don't understand how such a nuisance is being allowed by the authorities. I wish I knew who to complain to."
Dudhsagar_Falls-Mollem_National_Park_South,Vikramadityabusiness,3.0 of 5 bubbles,May 2022,DUDHSAGAR WATERFALL JEEP TOUR and FALLS,"The falls are spectacular in full monsoon but one cannot visit then. At other times the falls are not so spectacular. Access is a nightmare to say the least. The jeep safari (DUDHSAGAR WATERFALL JEEP TOUR) is a poorly run show. Do not go without an online booking.  And even then try to arrive by 10 AM and take the 10 AM slot.  Be prepared to push and shove like one gets into a Mumbai local.  The 11 km ride is very rough and those with a back problem are strongly advised not to go.  Tourists litter the place, feed the monkeys and in general ruin the atmosphere. It is better to take a day train and cross the falls in monsoon."
