Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Keri_Beach_Querim_Beach-Arambol_North,Renuka Garg,4.0 of 5 bubbles,Oct 2022,Best for a short trip at sunrise or sunset,"A secluded and clean beach with beautiful views of the ocean. You can walk down the stone pathway. Be sure to carry water, eatables, sun protection - if you are going in the day. The caves are ok - if you have seen other caves in the country, these could be a little disappointing. No toilet facilities too."
Keri_Beach_Querim_Beach-Arambol_North,Debabrata G,5.0 of 5 bubbles,Feb 2022,Pristine Beach in North Goa,Very nice and pristine beach next to Tiracol river. We stayed at Fort Tiracol hotel - so we had to take the government ferry to get to the beach. This was worth the trip. Thankfully the beach is not littered with waste. There are not so many people - so you can sit around comfortably. There are enough lifeguards who are there at the beach. There are plenty of eating and drinking options here. Not all of them are inexpensive. But this is definitely worth visiting. Highly recommended.
Keri_Beach_Querim_Beach-Arambol_North,Sid,4.0 of 5 bubbles,Feb 2022 • Family,Furthest beach in North Goa (still a bit untouched),This is literally on the Maharashtra border and one of the quietest beach. It is around 10 kms from popular Arambol beach. There are caves and nice rock formations to take some pics. You can also take a hike up to go to the small caves around the area. Did not have lunch here as there were very few beach shack options and did not look that great.
Keri_Beach_Querim_Beach-Arambol_North,SAI_Traveller_2015,4.0 of 5 bubbles,Jan 2021 • Family,Good one - quite ,If you want a quite beach - this is it. We were only 6 on this beach. The sand is good. Be little careful and water can get deep soon. There are a couple of restaurants on beach- but did not try food there. Beach chairs are there which can be rented. 
Keri_Beach_Querim_Beach-Arambol_North,Rajat Gupta,4.0 of 5 bubbles,Dec 2020,"quite, clean beach","amazing height waves here in start. very quote, and peaceful beach here. not many visitors. 2 hostels near the beach"
Keri_Beach_Querim_Beach-Arambol_North,Phirasta,5.0 of 5 bubbles,Jun 2019,Quiet beach in North Beach,Such a lovely and quaint beach in North Goa. Best spot for surfing and sunset. About half an hour drive from Arambol. To go spot near Arambol!
Keri_Beach_Querim_Beach-Arambol_North,wanderor1986,5.0 of 5 bubbles,Dec 2019 • Solo,very nice,the beach is nearby arambol beach but is quite peaceful as it is not quite crowded as much as arambol.
Keri_Beach_Querim_Beach-Arambol_North,george z,4.0 of 5 bubbles,Mar 2020,white sand beach,unlike arambol beach which has a lot of black sand (probably spilt oil from the ship wrech of 10 yeats ago) this beach has absolutely white sand like in bounty.
Keri_Beach_Querim_Beach-Arambol_North,rahul p,4.0 of 5 bubbles,Mar 2020 • Family,Quiat and beautiful,This beach is not very crowded and don't have many restaurant on beach side but you can get drinks and food. If you want to spend some time with your self you must go there. Be careful while swimming as it's deep after few meters. Sand is clean and kids enjoyed playing there.
Keri_Beach_Querim_Beach-Arambol_North,Edu V,5.0 of 5 bubbles,Feb 2020 • Couples,Very Best Beach ,"I live in Key Biscayne which is considered one of the best. Keri Beach is far nicer than Key Biscayne and most of the ones I visited. Clean, ideal water temperature and sea not to salty. Serene, not crowded, and even has recycle bins... something Key Biscayne does not have. Nearby there is a hidden gem called “House of Love”, yoga classes, food raw food, concerts, entertainment. A must!"
Keri_Beach_Querim_Beach-Arambol_North,David A,4.0 of 5 bubbles,Jan 2020,Nice beach,nice beach some basic food and drink shacks down both ends . only shame is the erosion concrete reinforcing that has ruined the aesthtics at one end  - but  a very undeveloped beach like goa as it used to be 
Keri_Beach_Querim_Beach-Arambol_North,wanderor1986,5.0 of 5 bubbles,Dec 2019 • Solo,beautiful,"its a very quite and serene and beautiful beach , and very near to arambol beach also , so if you want some quite time you can come here"
Keri_Beach_Querim_Beach-Arambol_North,Goa Joe,4.0 of 5 bubbles,Nov 2019,Forgotten Beach,"Good for a day trip, bigger than expected, with only a few beach shacks.We took the foot path from Arambol Sweet Water Lake. Either we missed a better path or ...? Very demanding tour, not recommended."
Keri_Beach_Querim_Beach-Arambol_North,pinto,4.0 of 5 bubbles,Oct 2019 • Couples,Good,"This beach is very clean ,its around 8 mms by road from arambol .place is nice and serene.....Also there are few rooms to stay and perfect picnic spot"
