Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Mobor_Beach-Salcette_South,Siddhesh Garg,4.0 of 5 bubbles,Aug 2022,A Pristine Beach for Some 'Me Time',"For the ones who prefer less to no crowd, Mobor Beach is a must-visit in South Goa. Facing the outer walls of The Leela hotel, Mobor Beach gives a rare glimpse of solitude. The white sand glistens under the scorching sun and has little to no humans around. My Tip:Take a book by Haruki Murakami, sunscreen, a mat, and your favourite snack (there are no dust-bins nearby so pack an extra bin-liner) on your trip to Mobor Beach. The best way to locate it is via Google Maps or asking the locals for The Leela. The lane right next to the entrance of The Leela takes you to the beach. Sun is the most friendly during early mornings and feels inviting as you are lounging on the white sand after 04.00 PM. Area of Improvement:There are no first-aid medical kits and drinking water facility available. And since it is deserted except for the guests staying at The Leela, it is best to visit before the night embraces the beach.Best,SID"
Mobor_Beach-Salcette_South,deepak_misra,5.0 of 5 bubbles,Dec 2021,Uncrowded clean beach,"This is one of the hidden gems of South Goa. Nestled between 2 top resorts, Leela and Holiday Inn it is easy to miss. The approach is to drive upto Leela and fromthere turn right into a narrow straight path that goes to the service and staff entrance of Leela. It is very narrow and you need to go about 400 meters till the beach. There is space for 5-6 cars and a public toilet and shower which looked reasonably clean.There are a few shacks but the beach itself is very clean and uncrowded. The sand is white.SO this is a must if you want to get away from the crowds and just concentrate on swimming and relaxing.You would need a transport to reach here"
Mobor_Beach-Salcette_South,Big Foodie,5.0 of 5 bubbles,Aug 2021 • Friends,Clean beautiful beach,Very good and clean beautiful beach.not too many people are coming to this place this place have white sand beach cavellosim....
Mobor_Beach-Salcette_South,S Sadhukhan,2.0 of 5 bubbles,Feb 2020 • Couples,Less Crowded Beach in South Goa,The Mobor Beach has facilities of adventure sports. Sal river is nearby and one can choose it for rafting spot. The beach has three/ four on beach restaurant for having snacks and beer while enjoying the sunset. Life guards are present on the beach.
Mobor_Beach-Salcette_South,Suresh A,5.0 of 5 bubbles,Jan 2020,Serene Beach,Beautiful serene beach in a peaceful place with beautiful white sands. It is a wonderful place to relax and enjoy the sea
Mobor_Beach-Salcette_South,Manish Sarraf,3.0 of 5 bubbles,Dec 2019,Good beach in South Goa but not better than Palolem Beach,Good beach in South Goa but not better than Palolem Beach. Its near to Railway station and Airport but not much popular among Foreign Tourists.
Mobor_Beach-Salcette_South,MustufaBaldiwala,5.0 of 5 bubbles,Nov 2019,The best beach of Goa,"Cleanest. Least crowded. Peaceful. No noisy shacks. No hawkers,, Pristinely clean and beautiful. White sand."
Mobor_Beach-Salcette_South,Skydats,5.0 of 5 bubbles,Nov 2019,"Superb, calm beach","Great subset, very clean (cleanest I have seen in Goa); There is Fisherman's Warf and water sports on the river nearby , so great place to spend the day: lunch @Warf -> water sports -> beach !!"
Mobor_Beach-Salcette_South,S Ratre,5.0 of 5 bubbles,Oct 2019 • Friends,Awesome place ,This one is awesome beach in Goa. Everyone liked the Place. Most visited place in India. Couple loves. 
Mobor_Beach-Salcette_South,Jstech,4.0 of 5 bubbles,Nov 2018,Activities on Mobor beach,"This is one of the awesome beach in Goa and if you are looking for activity then you will get a few things to do. But it is suggested you will visit here from November to March, cause that is the best time to visit Mobor beach Goa."
