Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Morjim_Beach-Morjim_North,Vikas Sadhotra,5.0 of 5 bubbles,Feb 2023 • Family,Clean and less crowded,"The beach is approximately 18 km from Calangute towards North Goa. The beach is clean and comparatively less crowded. You can find a number of foreigners here. There are number of shacks, restaurants serving liquor and food and many hotels and resorts to stay. We enjoyed our stay here. If you wanna avoid the crowd and spend some quality time y then you can plan a visit to this beach."
Morjim_Beach-Morjim_North,Captmanikdhir,5.0 of 5 bubbles,Jan 2023 • Friends,Silent beach in north Goa,One of the best beaches in North Goa. Silent beach due to a turtle nesting site. No loud music from shacks which is a blessing in Goa. Great crowds n smooth seas
Morjim_Beach-Morjim_North,Wandering Slipper,4.0 of 5 bubbles,Jan 2023,Pleasant uncrowded day by the beach,"Morjim beach, north of Calangute, is cleaner and less crowded than the more known names. You’ll still have to deal with some hawkers but much less than further south. Plenty of beach huts catering for families and singles during the day and plenty of partying after sundown "
Morjim_Beach-Morjim_North,John F,5.0 of 5 bubbles,Dec 2022 • Couples,Best place to stay,We have had 3 lovely day at Jasmine beach resort in Morjim. How it has changed from the last time we were there. The hut we stayed in was new.  It was really nice.  The other people who were staying were great. The staff were so good. The food was there very  good. We will be going after going to other parts of IndiaRecommend to any body who is look for nice relaxing  holiday
Morjim_Beach-Morjim_North,Ranj,4.0 of 5 bubbles,Jan 2023 • Family,Mesmerizing view,It's a beautiful beach with an uninterrupted view by boats and shacks etc. There is ample food and drinks available at the back. The sunbeds are nicely placed for a relaxing and wonderful view. The food is little costly but it's always costly at the shacks. The beach is great for a dip the ocean. We had a wonderful time watching the ocean. The road to the beach is also very picturesque.
Morjim_Beach-Morjim_North,Sanvi,5.0 of 5 bubbles,Dec 2022 • Family,Nice one,One of the Beautiful beach of North Goa..must visited for sunset ..soft white sand n long beach ..u can swim for longer period..
Morjim_Beach-Morjim_North,speedlion,4.0 of 5 bubbles,Nov 2022 • Friends,Morjim beach : very good,"Black sandy beach easy to walk on, especially for elderly with walking stick.Shallow water not rough ; good for kidsCan go in quite a distance. Clean beach.Nice good places to eat Eg TomatoesClean toilets"
Morjim_Beach-Morjim_North,Gauurav R Baghel,5.0 of 5 bubbles,Nov 2022,Very neat and clean beach,Morjim beach is one of my favorite beach in Goa. full of foreigners . It is neat and clean and not overcrowded . You can spent your entire day here .
Morjim_Beach-Morjim_North,Rahul Singh,4.0 of 5 bubbles,Oct 2022 • Family,Quiet and flat beach,"One of the quieter beaches of North Goa, Morjim Beach is also known as Little Russia due to its immense popularity amidst Russian travellers. We visited in October 2022. The beach was very dirty. As if, there was a party the day before.But, quieter beaches are bliss in Goa. You can get some good snaps and even swim here. I saw a few foreigners surfing on the beach.The commercials are less on this part of the beach but good shack here."
Morjim_Beach-Morjim_North,Sijin A,4.0 of 5 bubbles,Aug 2022,Excellent beach,Beautiful place to wind up evening's are crowded and packed with tourist's many shacks and restaurants nearly 
Morjim_Beach-Morjim_North,Manish B,5.0 of 5 bubbles,Jun 2022,Morjim Beach,"One of the top things to do in Morjim Beach is check out the wildlife. A variety of feathered species. Beautiful place to spend some time in sun,sand and the sea."
Morjim_Beach-Morjim_North,Goks N,5.0 of 5 bubbles,Aug 2021,Tucked Away,"This is tucked away in a corner. With less crowds and a serene atmosphere, you get the much needed relaxation here at Morjim."
Morjim_Beach-Morjim_North,Ria1104,5.0 of 5 bubbles,Apr 2022 • Friends,Best Beach to Swim in North Goa,"This beach is a flat beach with beautiful white sand. Usually you can walk deep into the sea without any risk but for some reason the day we went for a swim there, there were red flags all around and the lifeguards were warning us about rip currents. So we tried to stay as safe as possible. We had entered the beach from the entry near the Sinq Resort and this part had hardly any tourist around so we kind of had the entire beach for us. We ordered some snacks at a shack, kept our luggage there and took a quick dip. The best part of this beach I felt was the lack of crowd.....you can wear anything (even bikinis) and get zero stares from strangers. I would highly recommend this place for people staying in North Goa for swimming in this beach instead of Baga or Calangute as the sea appeared much safer here and the crowd is also much peaceful here."
