Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Naval_Aviation_Museum-Mormugao_North,Percy_Bella,5.0 of 5 bubbles,Oct 2022 • Family,Wonderful experience ,It has right amount of details available and many many  models . Good for kids and adults.Must visit by those people who wants to know about different aircraft 
Naval_Aviation_Museum-Mormugao_North,Sandeep S,5.0 of 5 bubbles,Sep 2022 • Family,Never before and no where in India,What a marvelous display of history and technology by the navy. The cockpit restaurant was super amazing as well. Kids loved it and we loved it as well. 
Naval_Aviation_Museum-Mormugao_North,Sumon,5.0 of 5 bubbles,Aug 2022 • Family,Amazing marvel,"Was an unplanned stop, but boy it was worth it. Especially if your kids are crazy about aeroplanes (or anything that flies🙂), do make it a point to visit. Will make you proud of our heritage and evolution of Naval aviation."
Naval_Aviation_Museum-Mormugao_North,Santosh H,5.0 of 5 bubbles,Aug 2022 • Family,Worth every minute spent here,"Very well maintained . Really awesome.Feels proud to be an Indian .You get the Navy experience all the way . The information is also very well presented . We should take young kids , so much to see and be amazed .RgsSantosh H"
Naval_Aviation_Museum-Mormugao_North,Arun Rajan Dheer,5.0 of 5 bubbles,Jun 2022 • Family,Must visit,Mind blowing collection of vintage maritime aircrafts of Indian Naval Aviation.... Very informative neat and clean... Such a nice experience.. Salute our Indian Navy 
Naval_Aviation_Museum-Mormugao_North,Pramanan,5.0 of 5 bubbles,Dec 2021,very informative tour,One of the best attractions i would suggest in goa which takes you back to naval aviation days with restored originals of naval aviaition planes and choppers. very detailed desription of evolution of nay and its relevance in defense. easily coud spend three hours here going through various narratives. food is outstanding in the canteen and you can get souveniers too.
Naval_Aviation_Museum-Mormugao_North,vsb2001,4.0 of 5 bubbles,Oct 2021 • Family,Wonderful,"Very informative and nice experience. Not too costly. Only complaints are- india is going digital but museum' cafe is still relying on only cash. Also plz keep mini submarine models for souvenir but don't keep any item made in china, case in point is the battery operated aeroplane kept in souvenir shop."
Naval_Aviation_Museum-Mormugao_North,Pizzi Röy,5.0 of 5 bubbles,Dec 2020 • Friends,Wonderful to see vintage aircraft preserved for posterity.,A unique museum with a wonderful collection of vintage aircraft and naval aviation history well preserved for posterity.
Naval_Aviation_Museum-Mormugao_North,Amit A,4.0 of 5 bubbles,Jan 2021,Good Place to visit,"The place has a good collection of aircrafts, helicopters & equipments. Good place to visit with children. Well maintained facility. Overall good experience."
Naval_Aviation_Museum-Mormugao_North,Prabhu Sathyanathan Dhanaraj,3.0 of 5 bubbles,Feb 2021,Can visit for naval overview,"The museum has an extensive set of models - mostly aviation jets, engine parts, replicas, small-scale models, etc. History of Goa and naval exercises are displayed. There is also a small 15 min video presentation. The real aircraft, helicopters can only be seen from outside with no access to inside. There is also a clean cafe offering the basics and a souvenir shop with naval themed accessories that one can buy. "
Naval_Aviation_Museum-Mormugao_North,Rohit_7278,4.0 of 5 bubbles,Feb 2021,Amazing experience,"This museum is in Vasco da Gama and gives overview of jet,missile, helicopter used by navy and the description of what and where they have been used for.It take 1 hr to see whole museum, go by car or 2 wheeler parking is available. Best time to go in morning 10-12 since it will be less hot at that time, as the museum is outdoor and indoor. If you want to spend time different from party, beach and want to learn new thing about Indian Navy must go this place. Very unique experience."
Naval_Aviation_Museum-Mormugao_North,Rishi K,5.0 of 5 bubbles,Jan 2021 • Friends,Very good,Outstanding. Very well done. Glass cockpit was superb. Nice place to take kids and educate them on our military and aviation in general
Naval_Aviation_Museum-Mormugao_North,Vaibhav G,5.0 of 5 bubbles,Jan 2021 • Family,Good place to spend about an hour ,"Good place to spend about an hour and a must for aviation enthusiasts. There is no guide but little plaques with some information about aeroplanes, engines and few naval ships. Better to visit early morning or post 4/5pm as the museum is out in the open and it’s very hot during mid day. Also carry good amount of cash as they do not accept cards or online payments and there are lot of souvenirs to shop from!"
Naval_Aviation_Museum-Mormugao_North,prashant,5.0 of 5 bubbles,Dec 2020,Naval Aviation museum ! great Job,"Commendable Job was done by Man in Uniform, great cafeteria, aircraft, and at the end inspiring Movie to watch."
Naval_Aviation_Museum-Mormugao_North,Gomatesh K,4.0 of 5 bubbles,Nov 2020,time well spent,"one of its kind museum, kids will enjoy this place, plenty of information about Indian Navy. Many pics, models, Memorabilia and video presentation. Can spend around an hour here"
Naval_Aviation_Museum-Mormugao_North,Vikrant,5.0 of 5 bubbles,Mar 2020 • Couples,Great little know display of history...! ,"Dear Visitor,

Let us thank you for the great moments spent together. We are extremely happy that you have had a good experience, taking home good memories and being more learned about Indian Naval Aviation and our role in protecting nation's security and interests. 
We are hopeful that our team did excellent job during your visit to the museum. We are glad that you loved your visit to the museum and took time out to write such encouraging review.
 It was a pleasure to have you and we look forward to welcome you again. We would like to take this opportunity to thank you for your kind words of appreciation. We are continuously striving to make your experience even better. 
We would request you to share your experience with your families, friends and acquaintances. Further, please visit our website for latest updates and testimonials. 

Kind regards,
Team Naval Aviation Museum, Goa.
"
Naval_Aviation_Museum-Mormugao_North,IAN S,4.0 of 5 bubbles,Dec 2019 • Family,Must visit - though can be better!!,"Dear Visitor,

Let us thank you for the great moments spent together. We are extremely happy that you have had a good experience, taking home good memories and being more learned about Indian Naval Aviation and our role in protecting nation's security and interests. 
We are hopeful that our team did excellent job during your visit to the museum. We are glad that you loved your visit to the museum and took time out to write such encouraging review.
 It was a pleasure to have you and we look forward to welcome you again. We would like to take this opportunity to thank you for your kind words of appreciation. We are continuously striving to make your experience even better. 
We would request you to share your experience with your families, friends and acquaintances. Further, please visit our website for latest updates and testimonials. 

Kind regards,
Team Naval Aviation Museum, Goa.
"
Naval_Aviation_Museum-Mormugao_North,Vikrant,4.0 of 5 bubbles,Mar 2019,Interesting. Must visit place.,"I was lucky enough to pay this place a visit on my trip to Goa. It is little known attraction near to the airport. In fact it is the only one of its kind in India.The cost is minimal, although there is an extra even smaller charge for a camera license.Was bigger, and better laid out than I had expected, and is a good history of Indian Naval Aviation. Lots of retired aircraft on static display, as well as various aero engines and missiles etc.There is a café, and well maintained toilet facilities. Lots of parking is also available.Despite the midday heat it was an enjoyable few hours of mostly unknown aviation history. If you are an enthusiast, or even have a mild interest. It’s a great excuse to do something away from the beach for a few hours."
Naval_Aviation_Museum-Mormugao_North,Gaurav M,4.0 of 5 bubbles,Oct 2019,Interesting,"Dear Visitor,

Let us thank you for the great moments spent together. We are extremely happy that you have had a good experience, taking home good memories and being more learned about Indian Naval Aviation and our role in protecting nation's security and interests. 

We are hopeful that our team did excellent job during your visit to the musuem. We are glad that you loved your visit to the musuem and took time out to write such encouraging review.

 It was a pleasure to have you and we look forward to welcome you again. We would like to take this opportunity to thank you for your kind words of appreciation. We are continuously striving to make your experience even better. 

We would request you to share your experience with your families, friends and acquaintances. Further, please visit our website for latest updates and testimonials. 

Kind regards,

Team Naval Aviation Musuem, Goa."
Naval_Aviation_Museum-Mormugao_North,Vikrant,5.0 of 5 bubbles,Jul 2019,good to visit,"Dear Visitor,

Let us thank you for the great moments spent together. We are extremely happy that you have had a good experience, taking home good memories and being more learned about Indian Naval Aviation and our role in protecting nation's security and interests. 

We are hopeful that our team did excellent job during your visit to the musuem. We are glad that you loved your visit to the musuem and took time out to write such encouraging review.

 It was a pleasure to have you and we look forward to welcome you again. We would like to take this opportunity to thank you for your kind words of appreciation. We are continuously striving to make your experience even better. 

We would request you to share your experience with your families, friends and acquaintances. Further, please visit our website for latest updates and testimonials. 

Kind regards,

Team Naval Aviation Musuem, Goa."
Naval_Aviation_Museum-Mormugao_North,ShvRm_Traveller,,,,"The Naval Aviation Museum is a must visit for the reason that the people hardly get to see these aircrafts anywhere else.Hardly anyone knows what the Navy does and being an Indian it must be a must visit place for all the young children atleast! The place is well maintained, though I think that it could be portrayed in a grander way and style considering that it is a reflection of India's defence armoury. Perhaps, the presence of educated guides who could explain how and when these marvels have been used in the past by Indian Navy would make a lot of difference in the experience.Visit during early morning or late afternoon hours so that there is respite from heat!You probably will have to exclusively plan for this as I don't think there are any nearby places to visit.🇮🇳🇮🇳"
