Tourist Attraction,Name,Rating,Date and criteria,Title,Review
,Shreya Sircar,5.0 of 5 bubbles,Dec 2022,Excellent and Awe Inspiring,"Was a wonderful experience. A one person collection of 4000 items from the pre Portuguese era... very awe inspiring . A 45 mins well spent ... The guide Sushant was knowledgeable, patient with our questions and passionate about the place and each one of the items. A must go too ... Kudos to Victor Gomes !!!"
,Rakesh N,5.0 of 5 bubbles,Oct 2022 • Family,Museum - level 99,One of the hidden gems in Goa - The Goa Chitra Museum. Amazing private collection of Goan history by Victor Hugo. Place looks small from outside but didn't realise how the 2 hours flew with the detailed explanation from the guides. Not a place to be missed.
,Nikhil Soni,5.0 of 5 bubbles,Oct 2022,Nice collection of work spread across three sections. Helpful guides. Not too long or tiring.,It's a private museum maintained by some local people. The guides are informed and helpful. They take you through three sections. Each of them has its own charm. You can take as many photos as you want but no flash allowed. They also have a souvenir shop but we didn't visit that. It took us about an hour to visit the whole museum. It was an hour well spent.
,Aaheli20,2.0 of 5 bubbles,Aug 2022 • Friends,Nice exhibit but not good experience for the price,The collections are wonderful but all exhibited items are not labelled. Few items are self explanatory but from where they have been collected and the history behind it isn’t well captured.They charge 300/- for the tour but the experience it offers isn’t value for money. The guide has explained all the sections well but we felt information was limited. In a less known museum like this a story telling is important which we didn’t like atall. Movie references for explanation is fine but overtly doing that didn’t give us a nice trip overall.
,Siddhesh Garg,5.0 of 5 bubbles,Aug 2022,A Goan Atelier for the Curious-Minded,"Curated by a Goan art historian, Victor Gomes, ‘Goa Chitra Museum’ is a must-visit on a lazy afternoon. Studded with artefacts and trinkets from across the Indian peninsula, the museum is divided into three sub-museums that teleport you from the pre-colonial Hindustan lifestyle to the Portuguese-helmed heritage. Taking a 45-minute guided tour (300 INR and worth it) enlightens you about the ancient farming tools at the Goa Chitra Museum (the first sub-museum), India's first-of-its-kind vehicles of different eras at the Goa Chakra Museum (the second sub-museum), and the historic Goan culture at the Goa Cruti Museum (the third and final sub-museum). My Tip:Ask for a tour from one of their resident guides, Sushant. He is very passionate about shedding more light on Victor's vision and the museum. His aura is very heartwarming and he made my visit worth noting.Best, SID"
,Sushmita Biswas,4.0 of 5 bubbles,Jul 2022 • Family,1 hr for this in Goa is must,"It’s an incredible accumulation of things of past and present.Wide range… carts, wheels, vessels, containers, office supplies and equipments, and many many categories.The guide Gladys was very informative and elaborate.Suggestion: the information shared about the articles should be displayed too along with the article. This will add authenticity to the museum.Good job."
,Sandip,5.0 of 5 bubbles,Oct 2021,Hidden Gem,"We were staying nearby and chanced upon this place. The owner - Mr. Victor Hugo Gomes  himself gave a brief introduction of the Museum . Approx. visit duration is ~ 2 hours. I was amazed to see such a widespread and rare collection dating back to several past years. We got a dedicated Tour Guide who explained on the 3 main sections of the Museum. The museum has a fair share of Local Goan History as well as from across the country specially of pre-Independence day era. The artefacts primarily covered the Transportation aspects as well as included the day-day chores not limited to the Cooking aspects, sanitization, eating habits, medical needs, recreational facilities, communication protocols, armory, fishery, plantation and agricultural aspects. They also had a Cafe but was closed due to renovation work as well as due to Covid. Think they should start that and have Light refreshments to offer . Was astonished to understand from Mr. Gomes that this was just 10% of his personal collection and wherever possible all these artefacts have been restored . Located quite close to the Colva Beach , tickets are priced at 300 each and is suitable for all age groups. It was truly a fascinating experience and to dwell into the rich history of Goa was quite enlightening.."
,JoshlineC,5.0 of 5 bubbles,Nov 2021 • Couples,The Goa Chitra Museum is an absolute treasure of Goa,"Lovingly curated by Victor Hugo Gomes over many years, this small museum showcasing Goa's agriculture, Portuguese living, and India wide transport, is short and sweet.The joy is talking with Victor who describes his 30-year+ odyssey to collect, catalogue, and display the unique items and the travails of destructive cyclones, false promise politicians, and the apathy of Goans taken in by shallow tourism.The Caine Family from Fiji love visiting museums, and we're really glad to have met a true Goan in Victor."
,Vaishali B,5.0 of 5 bubbles,Oct 2021 • Couples,A must visit place,"Dear Joshline, 

Thank you so much for the five-star rating and review. 

We are so glad that you had a wonderful experience visiting Goa Chitra and appreciate the efforts and dedication of our founder-curator, Victor Hugo Gomes in bringing the true essence of Goa to the shore and making it accessible to all generations. 

Thank you once again and we surely look forward to seeing you again. "
,Gopal C,5.0 of 5 bubbles,Sep 2021 • Friends,Must Visit,"Dear Joshline, 

Thank you so much for the five-star rating and review. 

We are so glad that you had a wonderful experience visiting Goa Chitra and appreciate the efforts and dedication of our founder-curator, Victor Hugo Gomes in bringing the true essence of Goa to the shore and making it accessible to all generations. 

Thank you once again and we surely look forward to seeing you again. "
,Vaishali B,,,,A must visit place. The collection is very nicely curated and tells an interesting story of old times.
,Devyani N,,,,"Dear Guest,

you for the five-star rating and detailed review of your visit to the Goa Chitra Museum. We are so glad that you had a wonderful time and recommend us. We certainly look forward to seeing you again soon."
,Vaishali B,,,,"Dear Guest,

you for the five-star rating and detailed review of your visit to the Goa Chitra Museum. We are so glad that you had a wonderful time and recommend us. We certainly look forward to seeing you again soon."
,,,,,"Feel truly lucky to have gone to this museum(s), and witnessed the massive collection,  that teaches one so much about Goa's history, culture and social systems. The museum guide was wonderful and had many interesting stories. It was also such a delight to talk with Mr Victor Gomes, the founder and curator of the museum, the man behind the collection. Just within a 15 minute conversation, Victor amazed us with his unique insight and perspective into the need of cultural documentation and preservation of traditional knowledge systems.Would definitely recommend Goa Chitra to everyone interested in knowing and exploring beyond Goa's beaches."
,,,,,"Dear Guest,

Thank you for the five-star rating and detailed review of your visit to the Goa Chitra Museum. We are so glad that you had a wonderful time and recommend us. 

Thank you for appreciating the efforts of our Founder, Victor Hugo Gomes to help preserve our rich history to enrich future generations and make our ancestral wisdom accessible to everyone. 

We certainly look forward to seeing you again soon. "
,,,,,"Dear Guest,

Thank you for the five-star rating and detailed review of your visit to the Goa Chitra Museum. We are so glad that you had a wonderful time and recommend us. 

Thank you for appreciating the efforts of our Founder, Victor Hugo Gomes to help preserve our rich history to enrich future generations and make our ancestral wisdom accessible to everyone. 

We certainly look forward to seeing you again soon. "
,Gaurav Verma,4.0 of 5 bubbles,Feb 2021 • Solo,A peep in to past,"Loved this place for type of collection. This is a private museum offering guided tours. They have 3 parts inside u can choose to see any of ur choice and pay accordingly. Full tour is 300 rs per person.One hour is enough if its not crowded. There is a wheel and cart museum, another is about goan history and 3rd is utensils and agree tools. "
,Vaishali B,5.0 of 5 bubbles,Dec 2019,a step into the past,"Dear Guest, thank you for the four-star rating and review of your visit to Goa Chitra Museum. We really appreciate you taking out the time to share your feedback and we are glad that you loved the collection at the museum. 

We look forward to seeing you again soon!"
,Peter H,4.0 of 5 bubbles,Feb 2020,Private Collection of old artefacts,"Dear Guest, thank you for the four-star rating and review of your visit to Goa Chitra Museum. We really appreciate you taking out the time to share your feedback and we are glad that you loved the collection at the museum. 

We look forward to seeing you again soon!"
,Vaishali B,4.0 of 5 bubbles,Jan 2020,Benaulim Ethnographic Museum,Visited as part of an organised tour...a step back into time...so many things collected from many locations giving an insight into the development of Goa.  It was a fascinating time...would have liked more..staff were polite & keen to show you the history of the area....it has to be said this man has a passion that is almost to the extreme limited only by the funds they have to preserve artifacts found or donated to his cause....well worth the time to visit & take a peek into the ares history...that would have been lost forever without the efforts of Victor Hugo Gomes....Excellent
,ghoomboom,5.0 of 5 bubbles,Jan 2020,A fabulous hidden Jewel,"Dear Peter, thank you so much for the five-star rating and the review. Thank you for appreciating the efforts and dedication of our Founder-Curator, Victor Hugo Gomes to preserve the rich history of Goa and the country to enrich future generations. 

We are so glad that you had a fascinating time and found It worth your time. We certainly look forward to seeing you again soon. "
,Vaishali B,5.0 of 5 bubbles,Jan 2020 • Family,Fantastic private museum - MUST SEE,"Dear Peter, thank you so much for the five-star rating and the review. Thank you for appreciating the efforts and dedication of our Founder-Curator, Victor Hugo Gomes to preserve the rich history of Goa and the country to enrich future generations. 

We are so glad that you had a fascinating time and found It worth your time. We certainly look forward to seeing you again soon. "
