Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Birla_Mandir,Saurabh M,4.0 of 5 bubbles,Dec 2022 • Friends,Birla Mandir....peace....calm and beauty ,"Exploring Telangana...... Hyderabad.....at birla.maindir.......No cameras are allowed here.......Located near lakadi ka pull metro station.......  Beautiful place......Birla Mandir is near to Lakdi-ka-pul and Assembly Hyderabad metro station. Birla Mandir is well connected by TSRTC buses and MMTS. The nearest MMTS station is Lakdi ka pul. Bus No: 5K,5S,5 From Secunderabad to Mehdipatnam any bus no. 113 from Uppal to Mehdipatnam.Birla Mandir is a Hindu temple, built on a 280 feet (85 m) high hillock called Naubath Pahad on a 13 acres (53,000 m2) plot in Hyderabad, Telangana, India. The construction took 10 years and was opened in 1976 by Swami Ranganathananda of Ramakrishna Mission. The temple was constructed by Birla Foundation, which has also constructed several similar temples across India, all of which are known as Birla Mandir....The temple manifests a blend of Dravidian, Rajasthani and Utkala architectures. It is constructed of 2000 tons of pure white marble. The granite idol of presiding deity Lord Venkateswara is about 11 ft (3.4 m) tall and a carved lotus forms an umbrella on the top. There is a brass flagstaff in the temple premises which rises to a height of 42 ft (13 m). The temple does not have traditional bells, as Swami Ranganathananda wished that the temple atmosphere should be conducive for meditation.Apart from the main shrine, the consorts of Lord Venkateswara, Padmavati and Andal are housed in separate shrines. The temple also has separate shrines for various Deva and Devi including Shiva, Shakti, Ganesh, Hanuman, Brahma, Saraswati and Lakshmi. Selected because teachings of men and Gurbani are engraved on temple walls. Birla temples are open to all, as identified by Mahatma Gandhi and other Hindu leaders."
Birla_Mandir,Shubham Mishra,5.0 of 5 bubbles,Jan 2023,"When you are at god's place, no one is left empty-handed.","For theists, come for lord Venkateshwara's blessings+ breathtaking view of Hyderabad. For atheists, come for breathtaking view of Hyderabad."
Birla_Mandir,Andrew D,5.0 of 5 bubbles,Dec 2022 • Solo,Hyderabad's highlight,"This is one of my favorite places in Hyderabad. The details are quite elaborate and there are many sculptures to appreciate, as well as a lovely view of the Hyderabad city from the top.Mobile phones are not allowed inside, but you can leave it in the cloak room and take a number."
Birla_Mandir,OctOriental,2.0 of 5 bubbles,Nov 2022,No Big Deal,Shoes off. Mobile phones no no. The temple is not any grand architectural piece of tourist interest. It's just another temple for devouts obsessed with temples. If you're not in that category put it last on your list.
Birla_Mandir,Jayavel D,5.0 of 5 bubbles,Nov 2022,Divinity,Very beautiful place and construction was tremendous and shows the passionate of the person who constructed.
Birla_Mandir,Daniela R,5.0 of 5 bubbles,Oct 2022,Great site to visit,Beautiful temple and spectacular view of the lake and surroundings from the top. Does not allow photography so cell phones cannot be brought along.
Birla_Mandir,Vaishnavi_g,4.0 of 5 bubbles,Sep 2022,Beautiful temple of marble,"Very beautiful temple on a hillock. Avoid going around noon time, as the marble gets really hot under the sun. Worth a visit if you have good enough time in your itinerary. "
Birla_Mandir,rd07,5.0 of 5 bubbles,May 2022,"Beautiful Temple, I visited after decades!",Visited this temple as a kid. Now after many years. Its a beautiful temple located on top of a hill. It faces Hussain Sagar and give 360 degree view of the city. Its Lord Venkateshwara's temple and one cannot take a camera to click pictures.  
Birla_Mandir,Kavya Sharma,5.0 of 5 bubbles,May 2022,The White Beauty,One of the most beautiful and peaceful places of Hyderabad. The vibes of the temple cannot be expressed in words. If you are planning to visit the temple try to go early in the morning or in the evening.
Birla_Mandir,AjithBhaskaran,4.0 of 5 bubbles,Mar 2022,Good view of the city from here,Good view of the city from the Mandir. They do not allow mobiles inside but the way they manage the mobile safekeep is commendable. The place can get crowded on weekends and holidays. Lumbini Park is nearby but not a ‘must visit’.
Birla_Mandir,Ravindra V,5.0 of 5 bubbles,Mar 2022 • Family,Peaceful experience,This temple is situated on the top in the area known as Adarsh Nagar. Made of marble and is simply marvellous. Photography is not allowed.
Birla_Mandir,Dr RAJKUMAR YADAV,5.0 of 5 bubbles,Feb 2022 • Friends,Best place to visit,Best place to visit as it's historical and having great hindu mythological values.clean and hygienic compound as well as best surroundings
Birla_Mandir,Gurus49,5.0 of 5 bubbles,Feb 2022,Lovely Temple,A beautiful place to experience peace and tranquility amidst the hustle and bustle of the city of Hyderabad.
Birla_Mandir,shekharlele,5.0 of 5 bubbles,Oct 2021,Great place,"Like other Birla temples across the country, it is an architectural masterpiece. Close to the lake, it is a must visit. However, pls ensure you don't carry any stuff such as mobile phone, umbrella. food, water, etc as nothing is allowed inside. "
Birla_Mandir,Himanshu S,5.0 of 5 bubbles,Nov 2021,Good to visit in the evening.,"It is temple of Lord Vishnu, made in white marble, with other deities like Ganesha, Hanuman, Sai baba in separate smaller temples. Thee is lift facility for elderly people. Very well managed, excellent visit. Good to visit in the evening."
Birla_Mandir,Laxmi K,5.0 of 5 bubbles,Oct 2021,Peaceful and Divine.,Lovely architecture and marble carvings. Great view of the hussain sagar lake from this beautiful Venkateshwara Temple that is located atop a hillock. Must visit. 
Birla_Mandir,Vikas Singh,5.0 of 5 bubbles,Sep 2021,Go for the stunning architecture,"Beautifully maintained, the temple is perched on a small hill top. It makes creative use of the rocks and the hill side. Views from the top are breathtaking. Cameras and mobiles are not allowed. You can deposit them in the free locker facility. Go early around 9-10 am before the place starts getting crowded."
Birla_Mandir,gabrial03330,4.0 of 5 bubbles,Aug 2021 • Solo,Great place,"The place is indeed very much attractive. The temple made out of pure white marble. Really a must see place. Within walking distance they do have a science museum , planetarium and a archeological one with Dinosaurs fossil which you can have a real closer look.It's so mesmerising to imagine that we are standing closer to an animal's remnants that walked around the earth milion of years ago. "
Birla_Mandir,challa prashanth reddy,5.0 of 5 bubbles,Nov 2020,Awesome place with awesome view,nice and peaceful place on the top of hill and can experience the Hussein Sagar Lake. Temple Build totally with White Marble. No mobiles are allowed into the temple.One can find peace if we visit in evenings.
Birla_Mandir,Mainak_Choudhuri,5.0 of 5 bubbles,Mar 2021,Nice temple atop a hill,"The mandir is atop a hill beside Hussain Sagar. You need to keep your camera / mobile in the cloak room and take off your footwear before entering the temple. The temple has clear side view from the Hussain Sagar side only (from Necklance road) but not from the entry side. It is temple of Lord Vishnu, made in white marble, with other deities like Ganesha, Hanuman, Sai baba in separate smaller temples. Thee is lift facility for elderly people. Very well managed, excellent visit. Good to visit in the evening."
Birla_Mandir,Prachet,5.0 of 5 bubbles,Mar 2021,Collecting My Thoughts at the Scenic Birla Temple,"Situated atop a small hill, the Birla Temple offers scenic views of the city.  Though I'm not into rituals or visiting a ton of religious places, the temple offered a moment of quiet after a busy day of sight-seeing in a hot and sultry city. "
Birla_Mandir,ramchowdry,5.0 of 5 bubbles,Jan 2021 • Family,Birla mandir visit,"Wonderful temple view and recommend to visit with family .Preferably in the evening be there by 6:30 to 7:00  , really amazing temple ."
Birla_Mandir,dr ganapathi bhat,5.0 of 5 bubbles,Dec 2020 • Family,""" Simply magnificent""","Pristine and huge structure made of marble. At a height, so gives a good city view and an outstanding Hussain Sagar lake view.Vast car parking. There are some steps to climb, but lift is available. Employees are very friendly.Idol of Lord Venkateshwara is magnificent. There are also idols of different dieties that are simply superb.No entry fee. Camera is not allowed  inside the Mandir. There is a counter to keep your belongings.  Hand bag and purse are permitted. About 45 minutes would suffice to cover the entire Mandir.  Inside, a serene feeling should be felt to be believed.An idol shop in  the premises can be visited.  In Hyderabad, don't miss Birla Mandir. Best to go in the night. "
Birla_Mandir,Shashikant Pandey,5.0 of 5 bubbles,Dec 2020 • Business,Birla Temple,Awesome place with full peace of mind. You forgot rest issues of life during you are there in temple. Its a heritage and beautiful architecture.
Birla_Mandir,navinderpuri,5.0 of 5 bubbles,Aug 2020,Life long experience,It’s so beautiful and serine. Clean and calm  gives you eternal peace   I felt as if I am connected to god. My wife wished for something and it was fulfilled 
Birla_Mandir,Rohit g,5.0 of 5 bubbles,Aug 2020 • Friends,awesome...,pure white marble twmole with what a great finishing.Lobed the view from top of the city.Felt very divine and we enjoyed tge place
Birla_Mandir,PurnimaJaay,5.0 of 5 bubbles,Feb 2020 • Couples,Beautiful ,This temple is really beautiful and has a nice night view of the city. Simple marble build temple with good positive vibes. 
Birla_Mandir,Sunil,4.0 of 5 bubbles,Jun 2019 • Friends,Birla mandi,The madir looks too beautiful and they have well constructed to attract tourist and its nice place to visit 
Birla_Mandir,chjprakash,4.0 of 5 bubbles,May 2019 • Family,Good view of city,One gets a good view of the city from the top. It's very peaceful at the temple and the temple is majestically done up. Beautiful and peaceful is the word
Birla_Mandir,Mutukuloju Pranay,4.0 of 5 bubbles,Nov 2019,Good Experience,the mandir is built by white marble. such a cool devotional place.once after darshan you can see the entire of Hussain Sagar and central Hyderabad monuments outside of main mandir
Birla_Mandir,anil1967,5.0 of 5 bubbles,Mar 2020,Amazing structure,A beautiful temple. Very serene and calming.The architecture is wonderful and worth visiting just for this alone.The Temple is beautiful and a must visit
Birla_Mandir,Talent P,4.0 of 5 bubbles,Feb 2020,"The temple is a blend of Dravidian, Rajasthani and Utkala architectures",It is constructed of 2000 tons of pure white marble. The granite idol of presiding deity Lord Venkateswara is about 11 ft tall and a carved lotus forms an umbrella on the top. There is a brass flagstaff in the temple premises which rises to a height of 42 ft  
Birla_Mandir,Vinki K,5.0 of 5 bubbles,Dec 2019 • Family,Nice temple with awesome views of city,"Located near necklace road this is a temple of Lord Balaji. Gives an awesome views of city skyline,  tank bund and necklace road streets after dark. "
Birla_Mandir,Shashi Prakash Mishra,5.0 of 5 bubbles,Mar 2020 • Family,A must watch,A beautiful piece of architecture built over a high place where from you can see a major part of city
Birla_Mandir,Kaushik G,4.0 of 5 bubbles,Jun 2019 • Family,Beautiful temple complex,"We had visited the beautiful Birla Mandir during our sightseeing in Hyderabad. From the parking area, one has to climb decent count of stairs to reach the main temple. We had to remove shoes and submit mobile phones before starting the climb. Entire temple complex is built out of milky white marble and looks stunning. The views of Hussain Sagar Lake from the top is mesmerizing. We liked the ambiance and the beautiful decor of Lord Balaji inside the main temple."
Birla_Mandir,shweta_srii,4.0 of 5 bubbles,Mar 2020 • Family,Always a nice outing,"We've visited the temple umpteen times and it's always been a pleasant outing.The temple is at a height and one needs climb quite a few stairs but there is also lift facility available for the elderly and those who find it difficult to climb all the way.The temple is made if white marble and is super clean and well managed. Apart from the main deity of Lord venkateshwara, there is also a sai baba temple. Architecturally the temple is interesting as it has the southern style pyramid top as well as the orissa style top. It has intricate carvings in the main temple and also mythological scenes are depicted.The temple overlooks the necklace road and the Nagarjuna sagar and one can get a glimpse of the whole city from the top.Worth a visit in Hyderabad!"
Birla_Mandir,Sundaresh,5.0 of 5 bubbles,Mar 2020,A Pseudo Tirumala Balaji Temple in Hyderabad,"A best place to have darshan of Lord Balaj. The Temple is located in heart of beautiful Hyderabad, on hill. The temple is preist freindly and having nice atmosphere. from Temple, you can experience  bird eye view of important places in Hyderabad and Secunderabad especially   scenic  beauty of Lord Budhha statue, Necklace Road, Secreteriat, Assembly, Golconda fort and bridge connecting Hyderabad and Secunderabad.After having darshan, you can visit planeterium, which is very educative and informative. Many Hotels both veg and non-veg serving Telangana authentic cuisine is very satisfactory.for easy travel, Hyderabad Metro is conveniently located. A best  pocket friendly place to visit   and enjoy with family."
Birla_Mandir,VasantaLeela,5.0 of 5 bubbles,Feb 2020,Spring breeze is lovely at the hilltop,"The cool clean marble walkways, orderly queues and relaxed convivial 'crowds' make the religious visit a much more thankful and spiritual experience! Govinda''s energy, no doubt :-D"
Birla_Mandir,Tejisaji,4.0 of 5 bubbles,Aug 2019,White Temple,"Yes very nice, peaceful place to visit. and best is they have an elevator for the senior citizen as well but make it sure they don't charge anything from you because it is free "
Birla_Mandir,Topping,5.0 of 5 bubbles,Mar 2020 • Family,Great place 🙏🏼🙏🏼🙏🏼,Lovely PlaceGood place to go in the city and very near to Hussain sagar . Very clean and good place to go with family
Birla_Mandir,Oneil,4.0 of 5 bubbles,Mar 2020,Birla Mandir,Very pretty temple which encompasses several faiths & religions. Strategically located on top of a hill which overlooks the entire city.Very clean. Very thoughtful of the management to provide soft mats on the marble floor & steps which makes it very convenient to walk on rather than burning your soles.
Birla_Mandir,Umesh R,5.0 of 5 bubbles,Dec 2019 • Family,Peaceful,"Long queue was there but it going in proper way, at top of temple lake view is good. Very neat and clean place."
Birla_Mandir,AKSHAT J,5.0 of 5 bubbles,Nov 2019 • Friends,Place of peace,It was a nice place and totally white people comes from as far as they come.I feel very grateful and peace there You must go one time Radha krishna temple
Birla_Mandir,Him6788,5.0 of 5 bubbles,Jan 2020,Lovely Place,Good place to go in the city and very near to Hussain sagar . Very clean and good place to go with fammily
