Tourist Attraction,Name,Rating,Date and criteria,Title,Review
City_Centre_Mall,Santoso Jaeri,2.0 of 5 bubbles,Nov 2019 • Friends,Not recommended,At the first impression it will be wonderfull mall. But when enrer thst place there is very limited counter and some of them are closed.
City_Centre_Mall,Wilayat,4.0 of 5 bubbles,Oct 2019 • Family,Casual visit,"Kashmir Emporio is your go-to. The fact that Kashmiri Emporio has plenty of embroidered sling bags with tassels, ponchos in maroons, blues, and greens, and totally adorable fur shawls makes it quite awesome."
City_Centre_Mall,jainms,5.0 of 5 bubbles,Jul 2019,Good place,"One of the best mall in Hyderabad. located in center of the city but not so many options for shopping, parking is good here."
City_Centre_Mall,mka003,4.0 of 5 bubbles,Aug 2019,Big mall near Mangalore central railway station,A good mall with almost all the brands. It is spread over in four floors and there are enough outlets for food also. 
City_Centre_Mall,latika d,5.0 of 5 bubbles,Jul 2019 • Friends,A little bit of everything in the mall,There is a little of everything for everyone here. You will find branded wear of different budgets. From boutiques to budget buys to higher brand wear. My favorites are the Crossword with the cafe attached and the DIY gift shop
City_Centre_Mall,scud56,4.0 of 5 bubbles,Sep 2018 • Couples,Usual mall shopping but some good restaurants up on the 5th floor,"This is an easy walk for most people staying in Banjara Hills and whilst the shops are almost all clothing retailers there is a good choice of restaurants up on the 5th floor, including the amazing Sahib Sindh Sultan."
City_Centre_Mall,Rajivglobaltraveller,4.0 of 5 bubbles,Jun 2018 • Friends,Good shopping mall in the City,The mall is located at prime location at Mall Road. The mall is big and there is large number of shopping shops and restaurants too. You can shop here for many of the brands. The kids can play the games. The parking is good.
City_Centre_Mall,Dhruv M,1.0 of 5 bubbles,Jun 2018 • Solo,Detiorated Mall. ,"This mall used be be my favorite for quick shopping until a few years ago, but has now detiorated badly. The mall was bought over by another firm since then and they have ruined it. It is so poorly maintained that it actually stinks when you enter the mall (after McDonald's). The stairs and toilets are dirty and all of the stores it was known for have closed down (Timezone, ezone, levis etc.) "
City_Centre_Mall,deepa v,4.0 of 5 bubbles,Nov 2017 • Family,Good collection,"Men's formal clothing is good.Suits are good.Check Van Heusen brand and Manyavar for marriage collections.Situated in city centre,becomes very accessible."
City_Centre_Mall,mohamedriji,4.0 of 5 bubbles,Feb 2018 • Solo,Good mall,"Even though this mall is in the heart of the city, there is not much crowd. It has outlets of almost all brands and a good food court. For those who enjoy shopping without rush, this one is an ideal choice."
City_Centre_Mall,Shri Krishan Kansal,3.0 of 5 bubbles,Jan 2018 • Solo,Ordinary Mall,Opposite Taj Krishana on Banjara Hills this mall do not have good brands rather ordinary brands. Kids goods in basement shops and fbd are some what gives a little bit choice.
City_Centre_Mall,bose_rima,4.0 of 5 bubbles,Dec 2017 • Solo,Big mall in Banjara Hills,"Being centrally located has its advantages, and the mall houses a decent number of brands with options for food too."
City_Centre_Mall,niya27,4.0 of 5 bubbles,Nov 2017 • Solo,In Banjara Hills,"I visited this mall in the afternoon. It was not much crowded at that time. There was many branded shops here. The food court is on the top floor, which spreads over a large area."
City_Centre_Mall,hingarajiya s,5.0 of 5 bubbles,Jan 2017,Good mall for visiting mall and for buying shopping items.,This is good mall for visiting mall and for buying shoping items i have many items to shop in this mall and this is time pass to it in mall.
City_Centre_Mall,drn85,4.0 of 5 bubbles,Sep 2017 • Solo,City centre mall.. good one..,"City centre mall is located in the banjara hills close to the rainbow hospital and LV prasad eye hospital. It has got adequate parking space and almost all famous brands are having an outlet here. I visited the mc Donald's which is located in the first floor. It was a bit busy kind, but they are so quick in their service. Altogether it's a good place to spend our leisure time in Hyderabad."
City_Centre_Mall,Amazing_Neo,3.0 of 5 bubbles,Apr 2017 • Couples,An Average place for shopping,many people visit this place to shop for various brands available here.Has a well spaced area for shops and Decent food options available too.
City_Centre_Mall,fatih75,4.0 of 5 bubbles,Jul 2017 • Business,Good choice,"It is small mall put you get all needed especially T-shirt and trouser brand , i purchased shirt from Urbana fantastic water proof good for raining season "
City_Centre_Mall,annejang,3.0 of 5 bubbles,Aug 2016 • Friends,A good place to shop,Not a very huge mall but it caters to most of our needs. Good options for clothes and shoes. Even cosmetics. Decent food places are available as well. Do see a lot of kids in the play area.
City_Centre_Mall,Payal G,3.0 of 5 bubbles,Apr 2017 • Solo,Go for food,A small mall by today's standards. Shopping options are more or less the usual brands available in malls across India. Was quite crowded on Sunday evening. Rather the restaurant options are better. For Indian/mughlai style food go to Sahib Sindh Sultan. Food may seem expensive but the ambience and food quality make it up.
City_Centre_Mall,Georgio Valentino Rayala,3.0 of 5 bubbles,Jun 2017 • Friends,Nice Mall for Parents with Kids,"This Mall is located on the Road No.01,Banjara Hills just Opposite to the Barbeque Nation restaurant and I visited this Mall on June 17th 2017 along with a friend after having lunch.It was celebrating its 10 th Anniversary and there was a small event happening on the ground floor and next to it was the kids play area and a small fish spa.This Mall is divided into Six levels and on the top level there were various restaurants like Sahib singh sultan, Aromas of china, Firangi Paani etc.There was a food court and a bowling alley along with a Laser gaming zone on the fourth level.Other then that there were Max store, Globus Store, Reliance Trends, FBB Store along with a Mc Donalds and a cafe coffee Day.We were there for two hours from 4 pm to 6 pm and by the time we were leaving it started becoming crowded.Over all I think its a good mall for parents with kids as they can leave them in the play area and relax for a while."
City_Centre_Mall,zap r,3.0 of 5 bubbles,May 2017 • Friends,Not a must visit place.,"1. This mall is quite expensive for shopping.2. Quite a few good brands outlets available.3. Location is good, easy to access, in the city.4. Restaurants, play zone, cinema etc..5. Quite a small mall."
