Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Himayat_Sagar_Lake,Sounak Poddar,5.0 of 5 bubbles,Mar 2019,Dumpyard,"Maybe once upon a time, it was a very beautiful lake but now as it has turned out to be a place where all the dumping takes place."
Himayat_Sagar_Lake,jainms,4.0 of 5 bubbles,May 2019 • Family,OK,"Not maintained well, Not an main attraction place but can visit once, pollution less as it is far from city. "
Himayat_Sagar_Lake,SRIKAKOLAPU,5.0 of 5 bubbles,Dec 2018 • Couples,Artifical lake,Its the place for nature lovers and one of the best places in Hyderabad to hangout away from pollution and chaos of the city
Himayat_Sagar_Lake,Ashish Kumar,4.0 of 5 bubbles,Jul 2018,"Nice place for bird-watching, but no proper maintenance.","The place is nice with different kind of birds all over, but need a lot of improvement with the waste management.A lot of plastic bottles can be seen all around with all sitting placed in damaged condition.Though a nice place to watch birds like earget, pond heron, cormorant, blue tailed bee eater, swallow, parakeet, shikra, Oriental Robin, water hen are few to be named.During entrance you'll be warned with a board ""Beware of Crocodiles"" but i didnn't found any in my 3 visits."
Himayat_Sagar_Lake,Karthik Dasu,3.0 of 5 bubbles,May 2018 • Friends,An Okay place,"It is very decent place to visit in the city of Hyderabad.Please do visit, only in the rainy season."
Himayat_Sagar_Lake,Amartya1987,4.0 of 5 bubbles,Jul 2018 • Family,Walk a mile with the nature,"Let's set the right expectations. It's a reservoir with sluice gates in case water needs to be released downstream and there's a nearby park. That's it.Reaching the place is quite easy, take the APPA junction exit on ORR and come towards the himayat Sagar road. There are plenty of signage so you can't get lost enroute.There is a parking ready to accommodate around 30 -40 cars. Once you are in the place, you see 2 gates, one for the park and other for the reservoir.The reservoir doesn't close till late but the park gate closes by 5pm, so plan accordingly.The gate for the reservoir takes you on a mile of walk along the reservoir fence right up to the sluice gates and you can cross the gates and have some extra walk. The waking road is clean and picturesque. You can take a lot of nice pics. You can see a variety of birds chirping around, just be ready with your cameras to take the best shot.The park beside the reservoir also had some nice species of flowers and birds. There's a small play area for kids.Best is to walk the long distance along the reservoir and then take some rest in the park. But choice is always individual.The reservoir and parking is free, however, for the park, adults are charges 15/- per head.Coming to the food, you see a lot of bhutta(corn) sellers. Refreshing to have them in reading season.Right opposite to the place you have small refreshments points with some tea and bhajji sellers.Few of them sell fish fry, it's cheap and tastes great, non veg lovers can have a bite."
Himayat_Sagar_Lake,Veer2468,3.0 of 5 bubbles,Jan 2018 • Family,Average,It is good to visit this lake on a weekend but not daily. The park beside is good but there is an entry to it. There are also parking charges.
Himayat_Sagar_Lake,Anamika K,5.0 of 5 bubbles,Nov 2017 • Couples,Good for morning stroll,"A very good place to hangout with friends and we enjoyed a lot at Himayat Sagar..!! There is one thing that everyone to do at Himayat Sagar is swimming, a pure water and taking pictures. As well a good sight for everyone, the great moments."
Himayat_Sagar_Lake,higghligght shiva,3.0 of 5 bubbles,Nov 2017 • Couples,A Normal lake side by beautiful park,"About Himayath sagar lakeAll are telling that on sunday public is crowd But public is not there that to on sunday. this should be not there in the tourist list  But normal 2 see for a view of lakeOnly some birds are coming like pigeon, parrot, kingfisher different types of birds.Lake is normal on left side many rocks stones r there in middle Lotus plants r there.. This park is best for Nature Lover's. Tickect is Rs5 for each person But they r taking 10Rs for each person. We r given only 5RS for each . In this park u can see many birds & beautiful flora & fauna  .Here u can see many people's,family & couple's are there. it is a small place to play for children's Many people's r prepare food at home they bring & eat  in this picnic spot.from mehdipatnam 288B & 288M or 288n Bakaram. In this park u can take nice pics over there. if people where depressed or tension they can relief here.Neatnessis very good in this park. it is a silent & peaceful for couple's.Out side of the park ghouse bhai fish stall is there. some people r coming take parcel.Many people eating there only .Once is enough to see lake.Taste is so delicious. Murrel, Rohu ,catla, Pomfret  fishes Rs 30 for 1 piece & 50 for 1 fish."
Himayat_Sagar_Lake,koteswararao,4.0 of 5 bubbles,Nov 2016 • Friends,lake for drink,this lake constructed for drinking for Hyderabad nearly 100 years back when over floon   to save the city
