Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Hyderabad_Central_Mall,Sunil G,4.0 of 5 bubbles,Oct 2022 • Family,Good,First of all you will definitely confused here in selecting brands and things. It contains so many clothing and footwear brands. It's well maintained and following all the covid precautions.It is one of the old and famous mall in Hyderabad city
Hyderabad_Central_Mall,Ranadeepreddy,1.0 of 5 bubbles,Jul 2022 • Couples,Hope less,"It is hope less ,they don't know how to recieve customers .No electricity when I went .Better to close the mall."
Hyderabad_Central_Mall,Baburao S,1.0 of 5 bubbles,Jul 2022,Very bad experience,"Worst shopping experience that I ever had.(1) Buy2Get1 Offer: Even though we selected apparel from offer spot, cashier told couple of items were not categorized under offers. We end up going back and forth, contacted manager to get offer. Wasted 30 mins time at billing. We couldn't alter our jeans due to this time wasted by staff.(2) Buy for 5999 and get 2000 vouchers: This is another false/fake promise. I didn't receive vouchers even after 4 days to my registered phone number.(3) Website, Email and Phone numbers as shown on the receipt won't work. Please see the pics attached."
Hyderabad_Central_Mall,coped,5.0 of 5 bubbles,Apr 2021,one of the best mall in Hyderbad,central mall is good looking .best to go shopping for clothes.to attrative to people to watch the movies best place to go central mall pvr
Hyderabad_Central_Mall,Srinivas,1.0 of 5 bubbles,Sep 2020 • Family,Worst experience,"Online mycentral.in is much better compared to Hyd Central.Pls don't visit HYD Central, 1. No Covid Precautions2. Misbehaviour of staff and security.3. No proper parking arena.4. High rates compared to online.5. Always system shutdowns.6. No seniors available in the store.Worst ever store in Hyderabad"
Hyderabad_Central_Mall,Niya1315,5.0 of 5 bubbles,Feb 2020,Good Mall,Hyderabad Central Mall is near Punjagutta crossing. There are two buildings in this mall. Central mall is especially good to buy clothes. The options for dining are limited. This mall can be easily reached by public transport.
Hyderabad_Central_Mall,Xyzz,5.0 of 5 bubbles,Jul 2019 • Business,Central mall,It is one of the expensive mall in Hyderabad.. Located near gacchibawli... Place is nice and expensive.
Hyderabad_Central_Mall,Sami,5.0 of 5 bubbles,Jan 2020 • Family,My opinion,"Recently I have wented to Central mall with family. It is clean and good parking, good facilities there I have watched movie and have snacks and there every thing is nice."
Hyderabad_Central_Mall,ceenu1969,5.0 of 5 bubbles,Jan 2020 • Family,One stop to shop,Good place and in heart of city and have foidcourt and multiplex and shopping... Its access to metro train and all modes of transport
Hyderabad_Central_Mall,Arihant Katariya,2.0 of 5 bubbles,Dec 2019 • Couples,Very Much Poor Place For Shopping,"I Would Not Like To Go Back For Shopping In Hyderabad Central Mall.. It's Day By Day Getting Very Worst & Quality & Range Of Items In Clothing...I Tried & Searched Many Brands But Was Not At All Satisfied With Anyone Because They Had A Very Limited Range And As Well As Old Stock Of Items...This Kind Of Unsatisfactory Review Doesn't Suit For The Brand ""Hyderabad Central"""
Hyderabad_Central_Mall,Girish Kumar Goud,5.0 of 5 bubbles,Sep 2019 • Family,Umbrella of brands,This is my 1 of all time favourite stores in the city which consists of all top brands including a PVR multiplex
Hyderabad_Central_Mall,Praveen,4.0 of 5 bubbles,Oct 2019 • Friends,Good,I visited last 15 days back. Maximum all the brand's are avaliabe in the mall. Good to visit again...
Hyderabad_Central_Mall,Naveen K,3.0 of 5 bubbles,Aug 2019 • Solo,Shopping,Best place for complete family shopping Wide range of products in each categoryBest in discount and offers
Hyderabad_Central_Mall,Happy life,4.0 of 5 bubbles,Oct 2019 • Friends,Very nice,Very nice place for visit. We can spend 4-6 hour here for shopping with family. Also there is fun game.
Hyderabad_Central_Mall,Sam,5.0 of 5 bubbles,Nov 2018 • Family,Good place for branded clothes,A good destination for branded and stylish clothes. Discounts available on majority brands. Nice destination for shopping.
Hyderabad_Central_Mall,Silpa,3.0 of 5 bubbles,Aug 2019 • Couples,Food prices,Shoping prices are good but food cost is very high. If the management ask KFC and other vendors to cut down the price definitely you can expect good results.
Hyderabad_Central_Mall,jainms,5.0 of 5 bubbles,Jul 2019,Central,Hyderabad central mall is very good for shopping and lot of options to choose around. located exactly near punjagutta flyover. Cafeteria is OK.
Hyderabad_Central_Mall,Mahesh M,4.0 of 5 bubbles,Aug 2019 • Friends,Best shopping destination for everyone!!,"I have spent 5000 rs on shopping at central panjagutta . There is many types of brands and the cost is also reasonable and best cloth , so friends visit and enjoy.."
Hyderabad_Central_Mall,Favoh,4.0 of 5 bubbles,Sep 2018 • Friends,"Very famous for shopping,  movies and favourite food","Very famous for shopping,  movies and favourite food.The mall includes Marks and Spencer, as well as a range of movies, music, books, coffee shops, a food court, supermarket and restaurants."
Hyderabad_Central_Mall,Sathvik,5.0 of 5 bubbles,Jul 2019 • Family,It is very good,The central HYDERABAD is very very good in shopping and it gives soo much offers for all the people in the HYDERABAD so i request you to construct a branch on karimnagar so i will come twice a week so the central shopping mall so it is very good to buy in the central
Hyderabad_Central_Mall,Manaswini Sridhar,4.0 of 5 bubbles,Apr 2019,Well laid out mall with friendly sales people.,Quite a collection of bags and footwear. The display is not cluttered like in most malls. They have a huge watch and perfume section as well. 
Hyderabad_Central_Mall,SAnkeath,4.0 of 5 bubbles,May 2019 • Friends,Hyderabad central,"It is located in Banjara hills Hyderabad,The biggest mall for the shopping and the best place to get much and more amount of collections as well as much and more discounts too... The mall will be of 2 parts named tower A and Tower B.... There will be an connection internally from a to b.... In tower B there will be an hamelys, along with men and women garment's and in top floor there will be a food court I am including the photos of that food court too.... The name of the food court is THE WORK here the food is also good..... And reasonable.... And the attached floor consist of home Town where they will be of n_number of products which were used in our home and gifts and idols etc..,"
Hyderabad_Central_Mall,Shivateja,5.0 of 5 bubbles,Jul 2018 • Friends,Happy shopping,It was a very pleasant experience to shop at Hyderabad central. A place where we can find all brands of shirts and jeans with great offers of discounts and vochers. We cannot strain ourselves in shopping as there is quiet and silent environment with PVR on the top floor. We can also get complementary movie tickets if we shop more than ten thousand. There are many offers all the time in the mall which makes us to buy more and more. The costs of the items will be available to all class people
Hyderabad_Central_Mall,atlblond,4.0 of 5 bubbles,Jun 2019 • Solo,Very good store for clothes,"This “mall” was closest to my hotel (ITC Kakatiya) and a 57 rupee Uber ride away. It’s two big stores, one for home goods which is more limited, the other for clothes which is extensive. Loved the styles and prices. Wish I could shop for clothes in India all the time! Reminds me of Paris but a third of the price. Be sure to take a cloth bag or you can buy one for 13 rupees there."
Hyderabad_Central_Mall,JOEKENNEDY,4.0 of 5 bubbles,Dec 2018 • Solo,Visit,It's a nice mall with good ambienceand good for children and nice food joints at fair price. It's worth while a visit along with family members
Hyderabad_Central_Mall,LostMySelfTraveling,5.0 of 5 bubbles,May 2018 • Solo,"Very accessible nice Central Mall at Punjagutta circle,","It's a fantastic mall  at Punjagutta Circle. Its a fantastic mall with Shopping, PVR multiplex for cinemas for movies, Store for gadgets and mobiles, KFC if you are a non-veg lover. Above all its very close to many places. And there will public transportation available for every place. It's one of the best mall that I found in Hyderabad. Watched two movies. In ground floor you have chat variety also. It's a perfect place for spending the day with your loved ones. You can spend a whole day once you visit here. And the prices are also reasonable and and same as many multiplex theatre. It's a must visit place. It's exactly opposite to Punjagutta police station. So you need not worry about the security if you are watching a late night show too."
Hyderabad_Central_Mall,Anjani I,3.0 of 5 bubbles,Apr 2019 • Friends,Lack of people,"Came here for buying some clothes for me and my friends, collection are of wide range and one will definitely choose your one ,but wherever you go you have to call for people for help Everytime and most irritating thing is that at the end while billing you have to wait a long que as among many billing counter very few are manned, that too unprofessional and busy in themselves rather helping out.needs lot of improvement in terms of customer service."
Hyderabad_Central_Mall,Asma,1.0 of 5 bubbles,Jan 2019 • Family,Disheartened for losing my money,I bought few items for sum amount of 5500 rupees and 3300 rupees on 19th jan 2019.Later i returned two items on 28th jan 2019( a shoe and t.shirt) worth 3000 rupees approximately and was given a credit note and that day itself that is on 28th jan 2019 i purchsed shoes for 1400 rupees from that credit note and i was given another credit note for remaining amount approximately 1600 rupees. Unfortunately I lost that credit note and the bill. I visited cebtral mall panjagutta and they were not able to help me out saying once credit note is lost nothing can be done. Then i wrote a mail and personally called to customer care central(1800-210-7777) and they said they too cannot help me out with this as it's not in their hands. However they asked me to visit store once. I did it and i was asked to write a mail to Hyderabad team. I wrote the mail on 26th feb 2019. And i contacted them. They again told me today that they too dont have any details. Before contacting  Hyderabad central i called payback center and they said they don't save details of purchase made frm credit note.Now my question is How come they dont save details of purchases credit note return etc in their system? It isnt a small amount.  I want to use my money of credit note. It was just a small slip. Help me out central team. Im not going to keep quite. My email id is asma_hafeeza@hotmail.com
Hyderabad_Central_Mall,Manishpal,4.0 of 5 bubbles,Jan 2019,good shopping experience,"huge mall,a good collection,cannot be completed in a day as there are two units.overall clean ,& a good ambience"
Hyderabad_Central_Mall,YatriForever,4.0 of 5 bubbles,Feb 2019 • Friends,Food & Shopping,"Nice to see the mall thriving even after two decades. The food options are plenty and interesting, now.  The mall was quite crowded on a Sunday afternoon when we were here , with so many for the shows in the PVR. The car parking was relatively easy.Good place to be for movie-food-shopping. "
Hyderabad_Central_Mall,chandrasekhar g,4.0 of 5 bubbles,Feb 2019 • Friends,Branded cothes,Went to buy clothes.But there are no offers and cost is very high.Only branded clothes are available.Movie theatres are also available.
Hyderabad_Central_Mall,Jayanta Ray,5.0 of 5 bubbles,Feb 2019 • Friends,Cool well decorated all brands,"This place has a very good ambience and the architecture is also nice. it is situated in a crowded location of hyderabad and all types of brands  are tgere selling casual formal wears apparels, gymwear, perfumes, footwear anything to everything related to fashion.On third floor ther are having furnitures also.And the best part is that they all are having discounts.So haply to hear about discounts on everything.😁😁😁"
