Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Inorbit_Mall,Samarth,5.0 of 5 bubbles,Nov 2022 • Solo,Good mall,Amazing place to hangout and shopping. Every brand at one place. Quite huge mall. No very busy during weekdays. Cleanliness was well maintained.
Inorbit_Mall,Mickey Uppal,5.0 of 5 bubbles,Apr 2022 • Family,A little bit of everything under 1 roof,"One of the few BIG malls of hyd, which has many different brands under one roof.. you can start your day from having lunch in the food court which has reasonably price vendors to up market restaurants like Fusion9. brands like Shoppers stop, pantaloon, M&S, H&M,  are there to carter to men/women shopping needs.Entertainment zones like SMASHH, Dilouge In The Dark, Fun zone for kids.. The few drawbacks are, the drive to the mall is very tiring coz it's located in he middle of an IT HUB which means going there after 5:30-6pm is a pain in the back side. The Durgam cheruvu lake located next to the mall has got an amazing rope bridge which is visible from the mall and looks stunning in the evenings  They have ample parking so finding a spot is not hard .. OVERALL... Go there if u don't like online shopping..."
Inorbit_Mall,Sudipta Shaheen,4.0 of 5 bubbles,Feb 2021,Good Place,It is nice shopping mall with the facilities. All most all brands are there. The washrooms are clean and they have dedicated changing room for baby.
Inorbit_Mall,Latha,4.0 of 5 bubbles,Jan 2021 • Family,One year,"In terms of shopping, it's like any mall of a major Indian city. It's not so big that you would get tired walking around but big enough that they can accommodate a range of shops.nice thrilling games is there"
Inorbit_Mall,Venku reddy,4.0 of 5 bubbles,Jan 2021 • Friends,Good mall ,We've visited this mall today... It was good we can find each and every thing in this mall. We've spent very good tym in the mall. 
Inorbit_Mall,saradurban,5.0 of 5 bubbles,Mar 2020,lovely mall,enjoyed shopping heresome selection of stores helpful staff easy to get to with taxi good selection of options in food court
Inorbit_Mall,Praveen K,5.0 of 5 bubbles,Jan 2020,High end mall,This is a very big & high end mall with two floor entry i.e. you can drop by car also on the first floor
Inorbit_Mall,Inorbit Mall,4.0 of 5 bubbles,Feb 2020,Big Mall,Thank you for your review.. do visit us again :)
Inorbit_Mall,Govind Dev,4.0 of 5 bubbles,Feb 2020,Biggest mall,Thank you for your review.. do visit us again :)
Inorbit_Mall,Inorbit Mall,3.0 of 5 bubbles,Feb 2020 • Business,Good hotel,"Good place to visit for crazy experience and enjoyment with family & friends For shopping, food courts, Gaming  & Movie. It is the nice place in Hyderabad"
Inorbit_Mall,chandrasekhar g,,,,Thank you for your review.. do visit us again :)
Inorbit_Mall,Inorbit Mall,,,,Thank you for your review.. do visit us again :)
Inorbit_Mall,rmgalivan,,,,"Recently visited to watch Ashwadama movie.Located very near to hitech city mindspace.Shopping,movies,food courts,free parking are available."
,,,,,Thank you for your review.. do visit us again :)
,,,,,Thank you for your review.. do visit us again :)
,,,,,"Good location, newly constructed hotel. It is a good hotel but calling it a Luxury Collection is overrated.It’s a good business hotel with zero family orientation.Breakfast is ok but inferior to other hotels of similar type.Lounge is for name-sake with nothing but a couple of snacks and manned just by 1 employee. It is far inferior to any other lower category Marriott properties that I stayed at.Customer service is inferior compared to even lower rated hotels. There are many hotel employees in the lobby but no one seems to pay attention to the customers.I may stay there again primarily due to proximity to work but no other compelling reason."
