Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Mount_Opera_Multi_Theme_Park_Resort,OMKAR PAGADALA,5.0 of 5 bubbles,Jan 2019 • Family,Mount Opera,I have experienced an amazing climate and the place also very far away from city which helps a lot to keep our mind relax ..... One thing about this visit is that the ticket cost is too costly as far as my opinion is concerned.......
Mount_Opera_Multi_Theme_Park_Resort,WondererGuy,4.0 of 5 bubbles,Jun 2019 • Friends,Water Playtime,I visited Mount Opera Multi-Theme Park Resort with my family for outing.They have variety of water activities.
Mount_Opera_Multi_Theme_Park_Resort,SRIKAKOLAPU,4.0 of 5 bubbles,Jan 2019 • Couples,nice,"Have a pool,rain dance,it has gym,spa,sauna,massage inside. Maintenance can be better since there is foul smell at certain places but overall value for money"
Mount_Opera_Multi_Theme_Park_Resort,karthikakavya,4.0 of 5 bubbles,May 2018 • Friends,okay okay,this place is very suitable for school picnic trips and the two for children aged from nine to sixteen and also this place suggestible for outing with friends teenagers and family and the range of this ticket is also affordable . further it is no more different from other water parks just little affordable and good for get together with friends and family or relatives or to assemble as school groups .
Mount_Opera_Multi_Theme_Park_Resort,idea614354,4.0 of 5 bubbles,Feb 2019 • Friends,Theme Park,this is a best one place for time pass at weekends with family and kids. a lot of fun here for every one.
Mount_Opera_Multi_Theme_Park_Resort,Karthik Dasu,4.0 of 5 bubbles,Sep 2017 • Friends,Decent water park,It is one of the better water parks in the city.The amount of chlorine used in water is pretty high.
Mount_Opera_Multi_Theme_Park_Resort,subbaraju m,5.0 of 5 bubbles,Apr 2018 • Family,Value for money,"For the amount they charge, its an excellent place. Water rides have wave pool, top down slides, rain dance. They have other machine rides like gaint wheel, columbus and many more. Our kids really enjoyed the kids park too. We have even gone for Zip line recently they have introduced on the hill top and its thrilling."
Mount_Opera_Multi_Theme_Park_Resort,Ravula S,1.0 of 5 bubbles,Dec 2017 • Family,Worst place in hyderabad,"I don't even want to give one rating to this but it's not allowing me to write the review until and unless in gave rating. Written as ""Mount opera amusement park"" but it looks like a school play ground with one swimming pool. Chlorine water used in swimming and rain water. Restaurant looks like a jail where visitors should sit like a prisoners. Very poor maintenance. Don't visit the place and waste your money."
Mount_Opera_Multi_Theme_Park_Resort,dssrinivas2004,3.0 of 5 bubbles,Apr 2017 • Family,Overall Ok / Average Experience,"Visited it on 24th Dec and overall experience was good. To be honest the management have an staff especially their manager (Mr.Prasad) and executive manager (Mr.Prasad).+ve things as listed below:-----------------------------------1. Very friendly staff2. They go beyond their limits to make the customer happy3. Good food. Their lunch buffet and dinner buffet was great. At any cost, they don't compromise with the quality of the food.4. During the check-out time, even if u are late they will not push you (If they don't have any other waiting customer)5. Don't miss their camp fire. Nice experience in chilled weather. Just put a note to them well in advance that u want camp fire and rest of the things will be taken care by their staff.6. 100% secured and safe, which means family members can just walk-in with your kids.7. Kids will enjoy all their rides and water games-ve things are listed below:-----------------------------------1. The water pool games need lot of maintenance work.2. The rooms need lot of maintenance work.3. We are shocked to see a big lizard / frog in our room. Don't know how they happen to check-in out entry fee.. Just kidding... But the lizard and frog which we have seen are too scary.4. The water pools will be under maintenance activity during night hours and the sound is too much while pumping the water out. It will disturb you if u are a sensitive sleeper.Note:-.1 Last but not the least, I heard from the staff that they are under going with huge renovation during this coming summer. If it happens then it can be considered good.2. Keeping all the above mentioned -ve points, i am giving it as 3 rating"
Mount_Opera_Multi_Theme_Park_Resort,safiyasayyed,4.0 of 5 bubbles,,Good Theam Park!!!!!,I visited with my family arround 10-12 menbers.  Mount Opera Theme park is one of the popular tourist places of Hyderabad offering loads of entertainment and fun to each and everyone. Best place to spend summer holidays with family in opera water games are really cool and the water waves are too good.Each an every thing is good but one thing is far from the city.
Mount_Opera_Multi_Theme_Park_Resort,Mohd S,3.0 of 5 bubbles,Aug 2016,Place  Good,We staff went there for picnic  place is okay but crowded and also not reasonable compare to facility available 
Mount_Opera_Multi_Theme_Park_Resort,Shiva D,5.0 of 5 bubbles,Apr 2017,weekend fun,its very very famous in hyderabad whis is located at outscuts of hyd every 1 can visit with there family on weekends 
Mount_Opera_Multi_Theme_Park_Resort,Nagendra Kiran ... M,4.0 of 5 bubbles,May 2017,Mount Opera Theme Park Hyderabad,"Mount Opera Theme Park Hyderabad: Located at a distance of approximately 38 kms from the main city, Mount Opera Theme park is one of the popular tourist places of Hyderabad offering loads of entertainment and fun to each and everyone. Situated on the Hyderabad-Vijayawada National Highway, the Mount Opera theme park is just 4 kms away from the popular Ramoji Film City."
Mount_Opera_Multi_Theme_Park_Resort,Navash P,5.0 of 5 bubbles,May 2017,awesome amusement  park.,"mount opera is one of the best all in one amusement park in Hyderabad along with resort inside.the whole family, friends  enjoy each and every moments .nice place nice water rides and electric rides and much more."
Mount_Opera_Multi_Theme_Park_Resort,S R,5.0 of 5 bubbles,May 2017 • Friends,Summer good enjoyment ,Best place to spend summer holidays with family in opera water games are really cool and the water waves are too good. 
Mount_Opera_Multi_Theme_Park_Resort,mahendra t,5.0 of 5 bubbles,Sep 2016,awesome amusement park in hyderabad,"one of the best all in one amusement park in Hyderabad along with resort inside.the whole family, friends, and relatives can enjoy each and every moment here.water rides and electric rides and much more...are they to make you all thrill."
Mount_Opera_Multi_Theme_Park_Resort,iamlucky2017,4.0 of 5 bubbles,Apr 2017,Mount Opera Multi-Theme Park Resort,"Mount Opera Multi-Theme Park Resort is a popular weekend getaway located in the outskirts of the city, on the Hyderabad-Vijayawada National Highway. its good see"
Mount_Opera_Multi_Theme_Park_Resort,ravi b,4.0 of 5 bubbles,Sep 2016,good enjoyment,"nice place to the refreshment. the eminities are very good here,, nice place the summer vacation also, but one thing is far from the city."
Mount_Opera_Multi_Theme_Park_Resort,ccwd w,4.0 of 5 bubbles,Apr 2017,Summer Place,"The best place to spend summer weekend with friends and family in mount opera,the water games are really cool and the water waves are specially good."
Mount_Opera_Multi_Theme_Park_Resort,vlsvas,4.0 of 5 bubbles,Mar 2017,My trip to Opera,I would say Mount Opera is one of the most refreshing spot for every age group and everyone can spend their time joyously.
Mount_Opera_Multi_Theme_Park_Resort,Ganesh V,5.0 of 5 bubbles,Jan 2017,rain dance,excellent trip with family members & Friends & Colleges rain dance games music lunch & much more simple superb
Mount_Opera_Multi_Theme_Park_Resort,nickky_30,5.0 of 5 bubbles,May 2017,I Enjoyed Summer vacation,I had lot of enjoyed with my friends its beautiful  summer vacation point thanks to Mount Opera Resort
Mount_Opera_Multi_Theme_Park_Resort,shivaraikod,4.0 of 5 bubbles,Apr 2017,Good to beat heat,It was a refreshing experience here with water all around with  family to beat this scorching summer heat.
Mount_Opera_Multi_Theme_Park_Resort,RAVI K,5.0 of 5 bubbles,Mar 2017,Its a good place to hangout with your bunch of friends,Its a good place to hangout with your bunch of friends. Usually the place is crowded. The rides are good for that price. You can hire swimming costumes which are available at nominal rates. View from the top is good.
Mount_Opera_Multi_Theme_Park_Resort,emmanuelamrcl,3.0 of 5 bubbles,Dec 2016 • Friends,Needs to Improve,"I have been there with friends it took quite a time to reach from my location ECIL, though we have spent decent time much amusement themes were not present some of the rides were similar to Jal Vihar/Ocean Park or other water park resorts. The water rides are not that great and could be better maintained and improved. Back 4-5 years ago this use to be a good place for one day outing and also a tourist attraction. Think that some improvements have to be made"
Mount_Opera_Multi_Theme_Park_Resort,sandeep g,4.0 of 5 bubbles,Oct 2016 • Family,good water sports,"you will find a decent and good entertainment here , especially children will love to be here ,good worth a visit  "
Mount_Opera_Multi_Theme_Park_Resort,santosh2ind,5.0 of 5 bubbles,Oct 2016 • Family,Mount pera park,This is very good place in hyderabad. every one should enjoy in this park .a specially childs are very enjoy. 
Mount_Opera_Multi_Theme_Park_Resort,nagesh1955,4.0 of 5 bubbles,Jun 2016 • Friends,visit of water games,"Very big place to enjoy with familly and friends, we can get lot of excitement over here. Lot of fun games available."
Mount_Opera_Multi_Theme_Park_Resort,V V S Ganesh N,3.0 of 5 bubbles,Dec 2015 • Solo,Not so worthul,Mount Opera in Hyderabad is not so worthful.its old rides and half damaged attaractions over there made my trip pain ful and distrubed.
Mount_Opera_Multi_Theme_Park_Resort,shivareddy2209,5.0 of 5 bubbles,Sep 2015 • Family,good park for entertainment,it is a place where u can enjoy a lot with friends or family.it has swimming pools and has rain dance too
Mount_Opera_Multi_Theme_Park_Resort,rajesh r,3.0 of 5 bubbles,Jul 2016 • Friends,water park ,"similar to OCEAN PARK, water games are ok but not damn good. transportation is difficult as it is far away from hyderabad city"
Mount_Opera_Multi_Theme_Park_Resort,rkkoya,5.0 of 5 bubbles,Dec 2015 • Friends,Watery,Mount Opera is one of the best Water Sports destination around the city. The sporting items are very safe and enjoyable.
Mount_Opera_Multi_Theme_Park_Resort,Amazing_Neo,5.0 of 5 bubbles,Apr 2016 • Business,Great place Great food.,"Took my team for an outing here and they had a great great time.The rides are not that great and could be better maintained. The water rides, rain dance and the waves pool is a real joy. People spend most of the time in the water and this does justice.The buffet meal here is also tummy filling and has a great variety. Thanks Mt.Opera staff for making it an awesome experience."
Mount_Opera_Multi_Theme_Park_Resort,BRKanth,4.0 of 5 bubbles,Oct 2015 • Business,Place to enjoy with Kids,We have been to this place with family during a working day and it was a great experience as there was not much rush.
Mount_Opera_Multi_Theme_Park_Resort,mirzaabbasalibaig,5.0 of 5 bubbles,Jan 2016 • Couples,Excellent place for lover's,I really love Mount Opera will go again there with my girl friend. I went with my girl friend we have enjoyed there a lot much.
Mount_Opera_Multi_Theme_Park_Resort,bharadwaj8008,4.0 of 5 bubbles,Apr 2015 • Friends,one of the best,it is one of the best place for the thrill seekers one can surely regret to go there because there are many things to do there starting from mechanical games to swimming.
Mount_Opera_Multi_Theme_Park_Resort,kaushik r,2.0 of 5 bubbles,Dec 2015 • Business,Terrible !!,At some time about 5 years ago this use to be a nice picnic spot for a one day outing. The place which is known for its wave pool is now in a horrible condition. Maintenance is very bad. Not even worth a visit. A swimming pool near your home is far better than this.
Mount_Opera_Multi_Theme_Park_Resort,Annesha A,2.0 of 5 bubbles,Nov 2015 • Couples,Bad Experience,Only water park is working properly others are out of service .No guidelines. No proper instruction. Very poor experience.
Mount_Opera_Multi_Theme_Park_Resort,Robin A,4.0 of 5 bubbles,Feb 2015 • Family,"Although old property, but good place of group of people","Nice hang out place for one day outing.good for cor[porates as well. pool , rides and other activities are good."
Mount_Opera_Multi_Theme_Park_Resort,Karan K,3.0 of 5 bubbles,Jul 2015 • Family,Something is better than Nothing types place.,"Here stands the Mount opera, one of the oldest running places in Hyd, however, Hyd still lacks the presence of an awesome water park !! God knows when in the world will we get one, however, this plays a role of the OK-OK types of water park in hyd, has a wave pool, 3 to 4 slides which rip the skin off ur back when u slide over them, so its a pity !! there is no sun shade over the pools so be prepared to be SUPER tanned !!Good - an excuse of a water park, some wat funbad - no sun shade over pools, slides are too bad and rip ur skin off the back, not too much of a good crowd"
Mount_Opera_Multi_Theme_Park_Resort,Ravi K,5.0 of 5 bubbles,Feb 2015,cool and amazing place,I visited with my friends. its very cool place. its very good place for both kids and adults.excellent facilities and excellent food and ambience
Mount_Opera_Multi_Theme_Park_Resort,Akumar11,5.0 of 5 bubbles,Nov 2014 • Family,Amazing place to visit with your family,I visited with my family. The children had great fun in the wave pool. Will visit again. Better to go early to enjoy all the rides.
Mount_Opera_Multi_Theme_Park_Resort,Sudheer P,2.0 of 5 bubbles,Aug 2014 • Friends,Just for First timers,"This place is just for first timers, if you have visited any adventure parks you definitely feel bored. No matter what it is. Even the food available here is not good, avoid it if possible."
Mount_Opera_Multi_Theme_Park_Resort,kalyan4595,4.0 of 5 bubbles,Dec 2014 • Friends,good for once a year,you will enjoy the place for the first time you visit and get bored easily..the prices are are a little high and food is definitely a matter of issue and the water world ....hmmm..ok for once.
Mount_Opera_Multi_Theme_Park_Resort,Nikhil Mede,4.0 of 5 bubbles,May 2014 • Family,Mount Opera - Mountain Opera,I have been visiting this place since 2007 and I still love this place because it's a good place to stay and have hangout with friends and family member's This place have lots of entertainment with loads of gaming zone with water games etc If u visit this every one feels the same as me have great holiday and enjoyment 😊😀 
Mount_Opera_Multi_Theme_Park_Resort,Krishna D,3.0 of 5 bubbles,Dec 2013 • Friends,Short visit OK,Not a great place to enjoy the whole day but a half day during summer can be planned at this place.  Maintenance not really at par as they named it water world.  The cost of the entry is too high with less facilities.  Can be maintained well with better staff otherwise this will be no more attraction in the future time.  I'm sure It has no charisma to get back it's visitors second time.  Krishna Duvvuri Abu Dhabi UAE
Mount_Opera_Multi_Theme_Park_Resort,Shruti M,1.0 of 5 bubbles,,AVOID ,"     Not worth the money we spend on the tickets. 390/- entry+rides. Need to pay extra for the rides in the ""water park"". Poorly maintained park.     The water world is another story. None of us dared to enter the water.     The so called restaurants given in their website were nowhere in sight. Only one restaurant ""Dolphin"" was open. Unclean. No food available other than a non-veg biryani and it's vegetarian counterpart.      Toilets look bad enough from outside. The weather in Hyderabad and the poor quality of this park makes a horrible combination.      Though we intended to, there was no way could we spend a whole day there.       If you are expecting a world class theme park, you'll get disappointed. "
Mount_Opera_Multi_Theme_Park_Resort,chands2u,4.0 of 5 bubbles,,Nice place for Day outing,We went a group of friends about 10 members. we enjoyed  a lot in swimming pool and the rides.Food was tasty.
Mount_Opera_Multi_Theme_Park_Resort,Lyndonjohn P,1.0 of 5 bubbles,,Horrible place - badly maintained,"This is one of the worst place I've been to in hyderabad. I won't how they can even run a place like this. Do n't go by Internet pictures. Bad service,  DIRTY and total waste.Rides not safe or not working. Poor serviceBad foodDirty waterOverall bad idea to visit this place."
Mount_Opera_Multi_Theme_Park_Resort,Mohammed R,1.0 of 5 bubbles,,Worst place , men and women have to share same locker facility and to add on for changing there is only a curtain which divides mens wash room and ladies changing room. No room freshers are used all you can smell is toilet and I was worried about the hygiene.  It's a really bad place to visit and you might end up in hospital for cheap maintenance of waves and slides.
Mount_Opera_Multi_Theme_Park_Resort,DinakarKadali,2.0 of 5 bubbles,Aug 2014 • Family,Theme park with bad maintenance,"Most of the facilities in the theme park are not functional. few rides which are operational are giant wheel, and Mary go round.Food served in the restaurant is also not upto standard. the same menu is served for dinner and lunch."
