Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Nehru_Zoological_Park,Saurabh M,5.0 of 5 bubbles,Dec 2022 • Friends,Hyderabad zoo......,"Exploring Telangana...... Hyderabad.....at Zoo....Located at a distance of 16 km from Hyderabad, Nehru Zoological Park was opened to the public in the year of 1963. It is situated near the historically important Mir Alam Tank, which is 200 year old and is the first multi-arch masonry dam in the world. Nehru Zoological Park is one of the largest zoos of India . Run by the Forest department, Government of Telangana, the zoo has been named after Jawaharlal Nehru, the first prime minister of the country........What makes Hyderabad zoo an amiable place for both visitors and inhabitants are the open enclosures in which animals are kept. These open enclosures have been created to resemble the natural habitats. A wide variety of exotic animals have been successfully bred in this zoo park as well.There is electric car which is very helpful......"
Nehru_Zoological_Park,SPillai,3.0 of 5 bubbles,Jan 2023,Quite similar to other zoos,A large area with a number of animal and bird varieties. But maintenance and upkeep leaves a lot to be desired. Visitor amenities can also be improved significantly.
Nehru_Zoological_Park,OctOriental,4.0 of 5 bubbles,Nov 2022,Must visit these beautiful creatures,"The Nehru Zoological Park could be better organised. Outside the main gate it is a bit too chaotic and noisy and dusty with broken roads but that's Hyderabad. The zoo could have done with more logical signposts to different enclosures so that we don't miss a single creature. The safari rides last 15 minutes but give you a good look at lions, tigers, bisons. Lots of schoolkids on their school-organised visits lend to the nice feel of the place. Most commonly known wild animals are here. Must visit."
Nehru_Zoological_Park,Global-Bhatakanti,4.0 of 5 bubbles,Nov 2022 • Family,Avoid weekend for zoo visit,"Suggested time: Min 2 hours to max 5 hours.You can buy some basic snack and food items inside zoo. There are battery vehicles with ₹100 per person charge, but not of much use as you have to get down at every halt whether or not you want to. Also on weekends there is long queue for ticket and battery vehicle."
Nehru_Zoological_Park,ishani b,1.0 of 5 bubbles,Nov 2022 • Solo,Waste,"Plz nvr visit, worst pathetic management.zZERo remarks... No one assisted, no guidanceHell for people to visit"
Nehru_Zoological_Park,Santhosh K,4.0 of 5 bubbles,Feb 2022 • Family,Amazing 🤩,"Nice experience for kids, alot many things to see. Strongly didn't felt much excited while safari, animals were less and most of the birds cages were empty."
Nehru_Zoological_Park,Srikanth S,2.0 of 5 bubbles,Mar 2022 • Couples,Good,"Hi,Zoo is good. There are lot more to do. Below are few1. One day feeding to animals (rs. 200)2. Many vacant places are filled with herbivores animals3. Allow common people to touch deers or non-dangered animals (rs. 500 fee/family for 10 minutes) under zoo authorities supervision4. Combo for end to end (including entry ticket till exit with food, snacks, safari, battery car pass) rs. 2000/family of 4 people)5. Mini combo. 6.Night safari in battery cars after 6 pm till 9pm (rs. 3000/family end to endRegardsSrikanthMob: 7799500742"
Nehru_Zoological_Park,Gurus49,5.0 of 5 bubbles,Feb 2022,Largest Zoo in India,One cannot believe such a place can exist within a city. It is nicely laid out and the animals seem to be in their natural environment. 
Nehru_Zoological_Park,Mitalee2012,4.0 of 5 bubbles,Dec 2021,Wonderful early morning winter experience,"Got to see the whole gamut of wild animals enjoying the winter sun. It's best to go early (at 8:30-9am) when the animals are up and about as they tend to retire for the afternoon.Specially enjoyed the nocturnal animal den and snake pits. TPro tip: if you want to enjoy the Safari, take the hop-on/hop-off tickets and get down at the Safari stop (3rd stop after the elephant stop), as it is a LONG walk and difficult to get back to, especially with children. The toy train was also pleasant and enjoyable."
Nehru_Zoological_Park,Deepali G,4.0 of 5 bubbles,Sep 2020,Very good place..,good zoo..well maintained..try to take food on your own..there are lots of varieties...cycling is also available..but try to go early ..
Nehru_Zoological_Park,Mainak_Choudhuri,3.0 of 5 bubbles,Mar 2021,"Good zoo, but a little disappointing in Covid times","This was my second time visit to the zoo to show my kid. Found that the safaris as well as the Reptile House and Nocturnal Animal house are closed. Got disappointed a bit.They have a cheetah exhibit, a large deer and emu exhibit, and a large elephant exhibit. Other animals worth note are lion, tiger, white tiger, wolf, fox, jackal, gaur, hippo, rhino, ostrich, two types of bear, giraffe, sambar, blackbuck, white deer and crocodiles. There are some walk in aviaries, but entry now restricted due to Covid situation. Did not see any large apes, but seen a few small monkeys. All animals are kept in natural settings, though sometimes a little small.There are battery cars which are hop-on hop-off types, excellent to traverse the zoo, though still it takes much walking. The toy train starts only after a minimum number of passengers. It is possible to walk the entire length, there is a major circular path and small inner walkways.There is a refundable Rs. 10 per bottle  deposit to take plastic bottles inside."
