Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Rajiv_Gandhi_International_Cricket_Stadium,Mutukuloju Pranay,3.0 of 5 bubbles,Sep 2019,Its only international stadium,"only International stadium for cricket may be that the reason the administration will not respect the audience, no adequate facilities and no maintenance even stands and ground too"
Rajiv_Gandhi_International_Cricket_Stadium,Sounak Poddar,5.0 of 5 bubbles,May 2019,Good Crowd,I only had one chance to visit this electrifying stadium. During IPL match they just turn into something else. The crowd is good but the worst part is it is very far from the main city. 
Rajiv_Gandhi_International_Cricket_Stadium,OMKAR PAGADALA,5.0 of 5 bubbles,Nov 2019 • Friends,HYDERABAD CRICKET STADIUM,I can say proudly being a citizen of Hyderabad. We have an international stadium with all comforts and facilities in the RAJIV GANDHI INTERNATIONAL STADIUM.
Rajiv_Gandhi_International_Cricket_Stadium,Sunil,4.0 of 5 bubbles,Dec 2018 • Friends,Big Stadium,The stadium it’s a really huge and I visit often because of the IPL matches and the stadium is too huge and place is well maintained 
Rajiv_Gandhi_International_Cricket_Stadium,GLOBALSEAS,5.0 of 5 bubbles,Aug 2019,cricket,"cricket stadium  new one at uppal , nice place but lack of parking as we  need to park cars 2 kms far away"
Rajiv_Gandhi_International_Cricket_Stadium,Ravikanthvadamala,5.0 of 5 bubbles,Apr 2019,Nice Stadium,We had visited this stadium for SRH vs. RCB during the IPL season and had throughly enjoyed the match. Parking is a bit issue but we had parked the vehicle in Genpact. 
Rajiv_Gandhi_International_Cricket_Stadium,jainms,5.0 of 5 bubbles,Mar 2019 • Couples,Excellent stadium,"Very large and huge capacity, Been her couple of times, lightening is good and can enjoy the game watching from stands."
Rajiv_Gandhi_International_Cricket_Stadium,idea614354,4.0 of 5 bubbles,Apr 2019 • Friends,Big Stadium,Very Big International stadium in hyderabad is Rajiv Gandhi named very famous for international play.
Rajiv_Gandhi_International_Cricket_Stadium,SRIKAKOLAPU,5.0 of 5 bubbles,Dec 2018 • Friends,nice,Since the arrival of metro started this has been more accessible to the general public and its good.Atmosphere is electrifying
Rajiv_Gandhi_International_Cricket_Stadium,Pradeep M,4.0 of 5 bubbles,Apr 2019 • Family,Beautiful Stadium and Wonderful arrangements,We watched the IPL from North Pavillion East Ground Floor. The view was amazing. Was worth the money spent. Good and beverage arrangements were superb
Rajiv_Gandhi_International_Cricket_Stadium,HARISH,5.0 of 5 bubbles,Apr 2019,best one,RGICS is one of the finest cricket stadium in india.....crowd is very well maintained and the staff is very polite.....
Rajiv_Gandhi_International_Cricket_Stadium,rohit706,4.0 of 5 bubbles,Feb 2019,GOOD,"Its is great to watch a cricket match here, visited 6 times, but basic facilities are not adequate and there is no proper seating arrangement"
Rajiv_Gandhi_International_Cricket_Stadium,GoWrong,3.0 of 5 bubbles,May 2018 • Family,Cricket hub of the city,Cometh the IPL season and Uppal stadium is ready to shine with buz for 2 months. Its a decent cricket stadium of good size and facilities. But  i think its location is a little issues. The entry and exit of the stadium are onto the main road. During the match days the main road almost gets blocked and there are diversions made causing lot of inconvenience. Planners could have chosen a better location for a cricket stadium
Rajiv_Gandhi_International_Cricket_Stadium,Shivacharan Singh,5.0 of 5 bubbles,Apr 2019 • Couples,Best,"We watched RCB Vs HSH: Rajeev Gandhi international cricket stadium, uppal, Hyderabad one of the best stadiums in India because IPL tickets are low cost, affordable food court inside. Wash rooms are kept clean, free drinking water available. Free parking space at every gate is large enough to accommodate any number of vehicles. Security excellent. All credit goes to stadium & Telangana government. Only problem is to collect tickets at counters even if booked online."
Rajiv_Gandhi_International_Cricket_Stadium,Hari,3.0 of 5 bubbles,Mar 2019 • Friends,Worst maintenance,"Stadium maintenance is very worst. We attended INDIA vs AUS match. There was no proper drinking water facility. We had to drink in mugs and water cans. Most importantly the toilets were not cleaned, floor is full of water and there we no lights at the toilets section. When they are naming it as INTERNATIONAL STADIUM, won't they know the minimum requirement which the audience needs?? Please maintain it properly so that it would be helpful to those who come with families to watch the match."
