Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Secunderabad_Clock_Tower,Krishna Sandeep Siram,5.0 of 5 bubbles,Apr 2019,Reflection of Hyderabad's Heritage,This tower is very Old and this is near to secunderabad Railway station and its its not a must visit place but we can look at it while passing through the way.Its beauty can be witnessed at Night.
Secunderabad_Clock_Tower,NIL_MODI,2.0 of 5 bubbles,Mar 2019,have a hlance if passing by,obviously this clock tower is in Secunderabad and near to railway station. historical structure. we had just a glance when we were passing by.
Secunderabad_Clock_Tower,Tarun,4.0 of 5 bubbles,Jan 2020 • Solo,Secunderabad Clock Tower,It is situated in Secunderabad and very near to Secunderabad Railway Station. It is in the heart of Secunderabad. As per data available online the construction of it has started in 1860. It is maintained by GHMC. You must glance it when you visit Secunderabad Railway Station.
Secunderabad_Clock_Tower,LostMySelfTraveling,5.0 of 5 bubbles,Dec 2019 • Solo,can't forget this clock tower,"Can't forget this place,as I was a regular visitor to this place when I was learning computers. It is close to Navketan complex.Its not a great monument but useful for many people in those days where very few people used to have mobile phones. Still remember getting down at the tower from a running bus."
Secunderabad_Clock_Tower,PAGADALA MANJU,5.0 of 5 bubbles,Jul 2019 • Solo,Clock tower,This tower is very old and beautiful attraction in the center of the city.It's in the the center of city by connecting for different places
Secunderabad_Clock_Tower,OMKAR PAGADALA,5.0 of 5 bubbles,Oct 2019 • Solo,Clock Tower,As it is named as clock tower because a big clock is placed in an big pillar. And it is located in the centre of the road.
Secunderabad_Clock_Tower,amitthecreator,5.0 of 5 bubbles,May 2019,Secunderabad Clock Tower,"This tower is on SD road, nearby railway station. Nothing much to do about this, as this is a pretty old one. Clock is, however, working. Nearby areas you can hang around for shopping.Visited February 2015."
Secunderabad_Clock_Tower,jainms,4.0 of 5 bubbles,Nov 2018,Good one,"It's in Secunderabad near paradise junction, Old monument and historical place to visit those who travel Hyderabad for visiting can include this as one of place. "
Secunderabad_Clock_Tower,BRKanth,4.0 of 5 bubbles,Jan 2019 • Friends,Old monument,"This is one of the oldest monument which I have been seeing since childhood. Anyone going towards secbad, could see this clock tower."
Secunderabad_Clock_Tower,SRIKAKOLAPU,4.0 of 5 bubbles,Dec 2018 • Friends,heritage place,This is build almost 2 centuries back and considered by UNO as cultural heritage site and good to see these heritage places
Secunderabad_Clock_Tower,Mukta2016,4.0 of 5 bubbles,Jan 2019 • Family,Nice Clock Tower,The Secunderabad Clock tower was built during the colonial times and is presently only a landmark here. We just passed by it when driving by and found it very aesthetic in appearance.
Secunderabad_Clock_Tower,TravellingReddy,4.0 of 5 bubbles,Feb 2019 • Family,A symbol of British Cantonment near Secunderabad junction,This is now a traffic island and can be easily missed. It carries significance of being made to signify the start of cantonment and is in mid of a well maintained park surrounded by trees. Probably can be seen while encircling it 
Secunderabad_Clock_Tower,idea614354,4.0 of 5 bubbles,Feb 2019 • Friends,clock tower,very old historical clock tower this is. constructd in secunderabad. long back of many years for public use.
Secunderabad_Clock_Tower,SURESH babu,5.0 of 5 bubbles,Feb 2019 • Friends,Good,We are very good and happy to see the clock tower in Hyderabad.one of my favorite place I could see again and again
Secunderabad_Clock_Tower,Daniel T,3.0 of 5 bubbles,Oct 2018 • Business,Just a landmark now,"Sec'bad clock tower is now well known as a landmark for directions  :) As we zoom past this place, one hardly notices the architecture design and its past importance. It just stands at the junction. Nothing much to see here, just a one-time visit that too driving around this place would do."
Secunderabad_Clock_Tower,Dilip kumar,4.0 of 5 bubbles,Aug 2018 • Friends,just visit,this place will be visited by everyone whoever goes to secunderabad.This place is located at the junction to paradise.
Secunderabad_Clock_Tower,deepa v,4.0 of 5 bubbles,Jul 2018 • Solo,Landmark,It's a landmark in Secunderabad. Visited or rather passed by it many many times.Near to the railway station.
Secunderabad_Clock_Tower,chandrasekhar g,4.0 of 5 bubbles,Jun 2018 • Family,Landmark at secunderabad,Very near to secunderabad station.Hospitals are available near to clock tower.RTC bus facility is also available.
Secunderabad_Clock_Tower,TravelingGypsy0508,4.0 of 5 bubbles,Jul 2018 • Family,Worth a visit if you are a photographer,Good place to visit once. This structure is of historical significance in Secunderabad. Mostly crowded. Take your camera along and click pictures of the tower and surrounding garden.
Secunderabad_Clock_Tower,Karthik Dasu,4.0 of 5 bubbles,May 2018 • Friends,Decent place,It is decent place to visit in the city of Hyderabad.The place is located very near to the railway station.
Secunderabad_Clock_Tower,Trending T,4.0 of 5 bubbles,May 2018 • Friends,Visited almost 500-600 times,This place will be visited by everyone and it is nearer to secunderabad. This place is visited by many people and will be crowded by many people everytime.
Secunderabad_Clock_Tower,Devaa,4.0 of 5 bubbles,May 2018 • Solo,A journey to colonial era!!!,You can never miss this structure in the heart of Secundrabad if you are travelling to and from the station. This beautiful tower is now surrounded by a garden and it would be something to admire more if you are travelling by Metro in a few months time.
Secunderabad_Clock_Tower,AnjanManda,3.0 of 5 bubbles,Apr 2018 • Friends,Not a must see,"It is a famous land mark of Secunderabad. It is one of the oldest clock tower inaugurated in the year 1897.Started in 10 acres of land ,the park size is reduced drastically due to road widening. A martyr memorial is  established in the park.It is just a drive around spot nothing much to see."
Secunderabad_Clock_Tower,jmodi1981,4.0 of 5 bubbles,Apr 2018 • Family,Good Tower,This is very good tower for old remembrance at the place. you can see the place once visiting the near by place. 
Secunderabad_Clock_Tower,P M,5.0 of 5 bubbles,Mar 2018 • Friends,Amazing clock,"Such an amazing tower clock I visited that with freinds actually that time we are passing from that place and we got stuck in traffic that time, everyone noticed that clock so seriously like we are looking back to back to that clock and what was the time, what was the time. We noticed that older time how that clock was  made and how much space that clock has covered bla bla..so it is one of the best thing in Secunderabad."
Secunderabad_Clock_Tower,Ravindra V,4.0 of 5 bubbles,Apr 2017 • Family,Oldest landmark,This is one of the oldest and historical landmark in the twin city of Secunderabad. The clock always shows correct time.
Secunderabad_Clock_Tower,Abhilash K,4.0 of 5 bubbles,Feb 2018 • Friends,Nice,It is very nice place and a large tower with the clock and other great monument with lot of seen and many things
Secunderabad_Clock_Tower,Anamika K,4.0 of 5 bubbles,Nov 2017 • Couples,A good historical building to visit,Clock tower is one of the important sightseeing place in Hyderabad. Good to see these place here because it has some attracting power so many people are visiting these place.
Secunderabad_Clock_Tower,shivamsmh,4.0 of 5 bubbles,Jan 2017 • Family,Great,Standing all alone to symbolize the futility of our life and remind that time goes on. This can be noticed easily and is a piece of architecture.
