Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Sri_Lakshmi_Narasimha_Swamy_Temple,Somaseshu Gutala,4.0 of 5 bubbles,Dec 2021,cleanliness and serene surroundings. Spacious area and all facilities.,"This temple is located very close to Hyderabad. It is 10kms from ECIL Cross Roads and 5 kms before Keesera Gutta. It is connected to ECIL X Road by a four-lane road. Many city people visit this temple to enjoy the peaceful surroundings. The big lake before we enter the temple, with green paddy fields and trees refreshes one’s mind. The temple arch one of the biggest arches in Telengana region is very attractive with colourful carvings. On the top of the arch the idol of Sri Lakshmi Narasimha Swamy along with Lakshmi is seen flanked by idols of Ganesh and Hanuman bearing the Sanjeevani Mount. On the extreme ends two idols of Abhaya Anjaneya Swamy are seen. On the pillars of the arch the idols of Jaya and Vijaya and Garuda are seen. This is an exquisite specimen of architecture which captures the attention of the devotees.         The parking space before the temple is very spacious and there is a place assigned for breaking coconuts. There is a shoe stand just beside the parking place. On the way to the temple one can see stalls selling pooja material and a hotel. The temple hall is very colourfully painted with sculptures of various gods. Around the Pradakshina Patha (circambulatory passage) one can see the ten incarnations of the Lord Vishnu. The idol of Lakshminarasimha in the centre is very attractive. The idol of the founder (Sri Mallaram Eshwaraiah) is seen in a niche. There is a tortoise-pond behind with a beautiful statue of Lord Vishnu reclining on the serpent-bed in the middle of the pond. Inside the sanctum the idol of Shanta Narasimha with Lakshmi is seen under the shade of Adi Sesha.         There are many sevas done here. Every Friday Abhishekam is performed. Swarnapushparchana is done to the main lord. In every month on Swathi Nakshatra day, Swamy Kalyanam is done. There is a big hall for performing various rituals Satyanarahyanavratam, Sudarshana Homa, Annaprashana and Upanayanam. Many people make their wishes (Sankalpa) standing before Dwajha Stambham with a coconut in their hands and go round the temple for eleven, twenty-one or forty-one times. After their wish is fulfilled, they again come here and go round the temple for forty-one times. Many devotees come here on Saturday and spend the night here. The following day they do pradakshinas. Devotees believe that their wishes would be fulfilled if they sleep five Saturdays in this holy temple. The devotees who come here should not close their eyes before the main deity but look at the Lord with devotion. Here the devotees should come in traditional dress.  People wearing T-shirts and jeans are not permitted.          In 2015 the temple authorities constructed a choultry with 41 rooms with all facilities. On the days of Poornima and Amavaasya also, many devotees come here to spend the night and do pooja on the following day. So, this Lord is called “Sankalpa Siddhi Narasimha”. On every Tuesday special poojas are done to Lord Anjaneya and Lord Subrahmanaya. Kalasarpanivarana Pooja is also done on this day. On every Wednesday special poojas are done to Maha Ganapati. Special Poojas are done during the months of Kartik and Margasirsha months and on Vaikunta Ekadashi. In this temple Brahmostavams are celebrated in the month of April every year for three days.           There are many sub-shrines in this temple like, Maha Ganapati andAnjaneya. At the back of the temple near the choultry, one can see the shrines of Bangaru Mysamma, Nalla Pochamma and Subrahmanhya. These idols were found in the field of Ishwaraiah.           Regarding the founding of this temple, the credit goes to Mallaram Eshwarayya who is a staunch devotee of Lord Narasimha. He had a vision of Lord Narasimha who asked him to go to Yadagiri and worship the Lord there. He went there and brought a picture of Yadagiri Narasimha and kept it in his pooja room and lit Akhanda Deepam. Many people visited his pooja room and worshipped the Lord. Later His son, Mallaram Lakshminarayana too worshipped the Lord and received Narasimha mantra from Guru. Inspired by Lord’s vision he got Narasimha idol made on April19th 2007, and kept it in his pooja room. Later he thought a temple would be a suitable place to worship the Lord. So, in his field guided by the Lord he selected a suitable place and laid the foundation stone and did Pranapratishta on May 1st 2008. While digging the field, he saw a serpent as if blessing him. So, a shrine for Naga devata is seen in the temple. The shrines of Grama Devatas (Village goddesses), Bangaru Mysamma and Nalla Pochamma have been renovated.          In this temple the traditions followed by Yadagiri temple priests are followed here since devotees believe that Cheeryal Narasimha is a manifestation or Amsha of Yadagiri Lakshmi Narasimha. Many temples of Narasimha are seen in hill-caves. But here the Lord is seen on the ground floor and so devotees can go round the Lord to get their wishes fulfilled. Many Telugu serials’ shooting is done here. Telengana Chief Minister, Sri K.C.R visited this temple to fulfil his vows. The working hours of this temple are from 6.00 a.m. to 12.30 p.m. and from 4.00 p.m. to 8.00 p.m.  On Saturdays and Sundays, the working hours are from 6.30 a.m. to 2.00 p.m. and from 4.00 p.m. to 8.00 p.m. For city people this is a very nearby place to visit and spend peaceful time and worship the Lord who is regarded as very powerful and who removes obstacles and fulfils the wishes of devotees who pray to him with sincere devotion.                              ---------------------------------------------------"
Sri_Lakshmi_Narasimha_Swamy_Temple,Arvind Kumar Yerram,5.0 of 5 bubbles,Dec 2020 • Family,Traditional and ancient,"One of the oldest and serene temples of Sri Lakshmi Narasimha Swamy. He is a swayambhu god here and that makes it even more poweful. Mental and emotional peace is guaranteed in the premises. We have temples for Surya, Sai Baba, Dattatreya, Ram & Hanuman and Shiva. We have lake near by but is dried up. They have changed the entrance and we can now goto temple entrance on a vehicle. 1-1.5 hrs drive from Hyderabad. Worth visiting. Not heavily crowded."
Sri_Lakshmi_Narasimha_Swamy_Temple,baburammarch25,5.0 of 5 bubbles,Feb 2020 • Family,Heritage place,"Full of cultural reflection, lots of art work which was pride, well maintained, well cleaned, well designed."
Sri_Lakshmi_Narasimha_Swamy_Temple,Gajalakshmi,5.0 of 5 bubbles,Nov 2019 • Family,"Cheeryala Lakshmi Narasimha temple, Keesara","This temple is very nice and well maintained. Though it is Dedicated to Narasimha swamy, you can call it a sarva Murthy temple. You can have Dharshan of Local Goddess , Shiva, Subrahmanya, Ganesha in the same premises. Very peaceful, spiritual with Devine vibrations. Felt blessed🙏"
Sri_Lakshmi_Narasimha_Swamy_Temple,idea614354,4.0 of 5 bubbles,Feb 2019 • Friends,devotional place,a great and good devotional very famous temple. lord sri lakshmi narasimha swamy gives darshan here.
Sri_Lakshmi_Narasimha_Swamy_Temple,shivaraikod,4.0 of 5 bubbles,Jan 2019 • Couples,Devine,The place infact a devine place offers external and inner peace to every human who comes to his scared house.
Sri_Lakshmi_Narasimha_Swamy_Temple,PROF.HARAGOPAL MATHSYARAJA,4.0 of 5 bubbles,Dec 2017 • Family,Nice Place to visit.,"Nacharam gutta, Nacha giri  sri lakshmi narasimha Swamy temple is Worth visiting near Toopran. Its very ancient temple and on the out skirts of Hyderabad."
Sri_Lakshmi_Narasimha_Swamy_Temple,Praveen K,5.0 of 5 bubbles,May 2017,Good Temple in busy Nacharam Area,A Good calm peaceful temple in busy Nacharam Area. the temple is frequented by the locals around hmt nagar nacharam and is peaceful. Well organized. 
Sri_Lakshmi_Narasimha_Swamy_Temple,tamizh1974,3.0 of 5 bubbles,Jul 2017 • Family,Old and Nice temple,"Temple was old, but maintained. Ample parking available. 5 to 6kms from Toopran. But they were asking to buy Rs.10 tickets compulsorily for darshan. No Free darshan. The drive way from Hyderabad after national highway was excellently green and very good."
Sri_Lakshmi_Narasimha_Swamy_Temple,BRKanth,4.0 of 5 bubbles,Dec 2016 • Business,Famouse Temple,Very famous and historic temple near to hyderabad. Approx 50 Kms from Secbad. Sometimes rush during week ends. Currently they are renovating the temple.
