Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Akshardham_Temple,Linda A,3.0 of 5 bubbles,Nov 2022 • Couples,Delhi's best attraction,"The temple is beautiful, one of the best attractions of Delhi. Please do not visit on a weekend night, its too crowded and the queues for the cloak room and security are too long. Mobiles and cameras are not allowed so if you can do without your mobile leave it at home to avoid the cliak room queue. The fountain light and sound show is popular hence evenings are busier. The metro has a stop walking distance to the temple. Worth a visit."
Akshardham_Temple,Charles Schnaider,5.0 of 5 bubbles,Oct 2022,Wonderful,"Wonderful experience with lots of walking and admiring. Complex is just awsome and stunning. Modern, clean and worth going there with your family."
Akshardham_Temple,Deva,5.0 of 5 bubbles,Jun 2022 • Solo,Memorable evening @Akshardham Temple.Jaipur,Very clean n holy place. You will find urself there. The dedication and worship will be fallen as blessings from God. One of the best holy places in Jaipur.
Akshardham_Temple,Amber T,5.0 of 5 bubbles,Apr 2022,BEAUTIFUL temple,This was am amazing find. Easily my favorite part of the trip to India (even better than Taj Mahal). Be prepared you can't take cameras on the grounds but it was still amazing to see. The craftsmanship and sculptures and the light show are AMAZING!!!!
Akshardham_Temple,Pintya,4.0 of 5 bubbles,Nov 2019,Excellent,The temple is beautifully constructed and well maintained. mobile phones and cameras are allowed inside. The carvings are remarkable. Restaurant and gardens inside the temple are worth visiting.
Akshardham_Temple,Vaidehi J,4.0 of 5 bubbles,Nov 2019,Evening outing,The temple is beautiful with enough space for relaxation in surrounding gardens. The facilities are nice and good arrangements are made for devotees. 
Akshardham_Temple,juvlemm,4.0 of 5 bubbles,Nov 2019,Well maintained,The temple has nice architecture and it is maintaiend well. Surrounding gardens offers relaxation to kids and elderly people. Overall must visit for peace of mind and relaxation.
Akshardham_Temple,REVIEWS,5.0 of 5 bubbles,Apr 2019 • Family,Amazing temple..,A fusion of different beautiful stone built .the South Indian food in the restaurant inside the temple .I ly the place. Many tourist are come to visit this awesome place.
Akshardham_Temple,yugandhar balaraju,5.0 of 5 bubbles,Apr 2019 • Family,Nice Architecture,"Not like delhi akshardham, but if you have not seen it in delhi, Should not miss in jaipur. Architecture is wonderful in the temple, ambiance is also great. Also can find the south Indian food in the restaurant inside the temple. Finally if you visit jaipur akshardham is a must."
Akshardham_Temple,Sleepy Treakker,5.0 of 5 bubbles,May 2019 • Couples,Breathtaking Moment ,Magnificent temple premises. A fusion of different beautiful stone built. Intricate carvings. I felt so happy went there. its construction is mind blowing. can't explain in words.must go there.
Akshardham_Temple,tush736,5.0 of 5 bubbles,Oct 2018 • Friends,Temple..,Temple is very nice to see...for all age of people..carving on stone here is done awesomely...Nice place to have. photography..
Akshardham_Temple,Prathamesh Sawant,5.0 of 5 bubbles,Nov 2018 • Solo,Modern yet peaceful!!,The architecture is simply stunning. The popularity of this place is more due to its architecture than being a temple. Its a beautiful building and as soon as you are inside the gates you feel a sense of peace and calm.
Akshardham_Temple,bournemouthbabe87,5.0 of 5 bubbles,Mar 2019 • Couples,One of the top 4 buildings in the world !,"Yes, it is modern. If you are looking for a 16th century temple, this is NOT it. But what it IS is truly incredible. How they built something on this scale with the beautiful carvings they did, defies belief. The cost of building this today in the West, would be tens of billions of US$ - it could NEVER happen. I had been to the Taj Mahal the week before, and I thought this was even better - not as pretty, but far more incredible. This was the highlight of my 6 week India tour. Entry to the temple itself is free. The sound and light show, (at barely over 1US$), was well worthwhile too, but get your ticket as soon as you get into the temple as it sells out."
Akshardham_Temple,Dimple Sharma,5.0 of 5 bubbles,Jan 2019 • Friends,Peace of mind.,This place really gives you peace of mind. I suggest all the youngesters to visit this place with friends.
Akshardham_Temple,TravelbuggIndia,4.0 of 5 bubbles,Feb 2019 • Friends,Akshardham Temple,Akshardham Temple is a very popular temple here. I liked the beautiful ornate design. It has calm vibes too.
Akshardham_Temple,rjpriyanka,4.0 of 5 bubbles,Sep 2018 • Couples,Beautiful,"Akshardham temples are famous for their beautiful constructions, stone carvings and huge premises. Jaipur is no different."
Akshardham_Temple,Umang A,4.0 of 5 bubbles,Sep 2018 • Couples,Huge..,"Akshardham temples are famous for beautiful construction , amazingly crafted idols and huge set ups. "
Akshardham_Temple,Amolak Rattan K,5.0 of 5 bubbles,Feb 2019 • Friends,Experience peace and tranquility,This is an architectural beauty and marvel. Once you are there you enjoy peace and tranquility and you love to be here.Governor Amolak Rattan Kohli 
Akshardham_Temple,travellerY3298AY,5.0 of 5 bubbles,Feb 2019 • Family,Amazing place,The carving in marble and sandstone is very intricate with chasing in gold as well in the central mandir ( temple) . There are exhibitions showing the life in  ancient India and the development of Swaminarayan religion and its philosophy of helping everybody irrespective  of caste and religion when there is need. There is a very good light and water fountain show in the evening .
Akshardham_Temple,Vimlesh Ranjan,5.0 of 5 bubbles,Jan 2019 • Couples,Peaceful,Its not big like other Akshardham temple in India but very peaceful and amazing place for everybody. Its not far from center of city. This is must place to visit if you are in Jaipur. 
Akshardham_Temple,vishphoo2231,4.0 of 5 bubbles,Jan 2019 • Friends,holy temple,"Akshardham Temple , is temple of jai shree swami narayan bapa, very beautiful temple one must visit here"
Akshardham_Temple,HMathur,5.0 of 5 bubbles,Dec 2018 • Couples,""" Beautiful""","Beautiful temple, wonderful architecture ...looks amazing..small restaurent is also there...u can get gujrati food here."
