Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Amber_Palace-Amer,Arham Bajaj,5.0 of 5 bubbles,Feb 2023,True essence of Palace with the magical temples.,"If you are planning to visit Jaipur, plan 1 whole day trip where you can begin by watching early morning Sunrise from Jalmahal, then proceed to Amber fort. Inside Amber fort, you can feel the essence of Rajasthani tradition by riding over big elephants which will take you inside the fort, or you can also walk above the fort from parking place. Once you roam around the palace, do not forget to go to Jagat Shiromani temple as well. It is the only temple in the world with the statue of Lord Krishna and Meera bai. Also, you will find very rare temples where Lord Vishnu is kept alongside with Lord Krishna because Lord Krishna had all the 16 kala of Lord Vishnu. The temple is around 400 years old."
Amber_Palace-Amer,David D,5.0 of 5 bubbles,Jan 2023,A large and picturesque palace fortress in the old city of Amer.,"Amer was the original home of the rulers of the region, before they relocated to the city of Jaipur. Their palaces and fortresses can still be seen in Amer however, and the most famed of these is Amer Fort itself. The fort can be accessed by elephant or by jeep, although walking is also a possibility. There are some potential ethical concerns about the treatment of elephants in Jaipur, so be sure to research this and choose responsibly if you do want to take an elephant ride. The palace itself is beautiful, with painted walls and one palace of mirrors and silvered glass. The best thing about it is the views however and it is really very special. The best time to visit for the heat is during winter (from November to January), however this time also sees significant air pollution, which can diminish the views."
Amber_Palace-Amer,Aaradhya G,5.0 of 5 bubbles,Jan 2023,Best and excellent service provider,Ameber fort is very beautiful place to  visit. Mr Rajkumar gave his best services and his communication skills was fantastic. 
Amber_Palace-Amer,Jonathan Mathrws,5.0 of 5 bubbles,Jan 2023 • Couples,Magnificent,"Magnificent and majestic palace and fort built centuries earlier on a hill near Jaipur city. Can be traversed by foot, elephants or by car and jeep"
Amber_Palace-Amer,The Mick,5.0 of 5 bubbles,Jan 2023,Great attraction. Give yourself time,This site was WELL worth the time and couple-bucks to see.  Give yourself some time though; you'll need time to see this fort and hike a mile or so up to see the fort above.
Amber_Palace-Amer,Hemlata M,5.0 of 5 bubbles,Jan 2023 • Couples,Amezing fort,Amezing fort in jaipur we enjoyed jaipur trip with my husband  memorable trip. Jaipur was nice city 👌 .
Amber_Palace-Amer,Janice N,5.0 of 5 bubbles,Jan 2023,Truly amazing!!,We in the West think that castles in Europe are amazing!  Stand by to be absolutely blown away with this one!!  Who knew there could be so much wealth and power!! You can even have an elephant ride for the full effect!! 
Amber_Palace-Amer,Touseef Majeed,5.0 of 5 bubbles,Jan 2023 • Couples,Must Visit Place In Jaipur,Best Place To Visit. Hire. A Guide For 400. He Will Give You Much Worth Experience Inreturn. Great Great Place
Amber_Palace-Amer,Gertrud,5.0 of 5 bubbles,Jan 2023,A must see,"Most impressive fort I have seen so far. Verx well kept, lots to discover, lots of interesting explanations. You can walk around at your own pace and discover a lot. Also marvellous photo opportunities."
Amber_Palace-Amer,Tracy Benjamin,5.0 of 5 bubbles,Jan 2023 • Family,Awesome,The fort or palace as it is known by is awesome. We went by Jeep to the fort though there is the option of elephant ride too. There is also a temple inside with quite an amazing history behind it .
