Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Central_Park,Arpit Agarwal,5.0 of 5 bubbles,Oct 2021,Big Ground- Pride of Jaipur,"Central Park Jaipur is a huge open space right in the heart of the city. There is a huge polo ground and Golf course attached to it. The entire round of the park is about4-5 km and there are a lot of people who come here for a jog or a brisk walk. There are a few birds around and a lot of greenery.The central park also has a 206 feet high first day and night monumental National flag 28 feet wide and 72 feet in length. This national flag looks magnificent when high voltage light falls on it at night time. It is supposedly the tallest tricolor in the country.There are a few other attractions around this Park like the Musical fountain, a temple and stone statues"
Central_Park,kamakshi2015,5.0 of 5 bubbles,Feb 2021 • Solo,The most pleasing park of the city ,Any time you visit this park it feels rewarding . The vastness abd the green covers of trees and lawns are a treat to the soul . There is no entry fee . The opening hours of winter and summer time are followed strictly . Digs are not permitted . The 5 gates in different side give easy access to anyone entering the park . It is a popular spot  for jogger’s and health conscious crowds . The landscape is astounding and tiny temple located in the centre is popular .Morning hours are the best time to visit .
Central_Park,kamakshi2015,5.0 of 5 bubbles,Feb 2020,The crown a Jewel of  City,"This is the pride of the city of Jaipur . This vast , beautiful and sprawling park is a delight to the eyes and food for the soul . At any given time of the there are people relaxing , jogging , sunning in winter and enjoying . There are regulars in mornings who come here from far in cars , scooters , bicycles .The landscape gives a choice to choose the walking / jogging track or the grassy fields the do meditation / yoga . The seatings are picture perfect and breath taking on the green lawns , around the flag hoisting area . There are a couple I’d temples here for the faithfuls .There are several activities associated with this park , the laughing climb , the yoga group or the open gym are inviting/ open for all . The opening closing time are monitored - in winters 5 :30:am to 8 pm and 5 am to 9 pm summers . There is an issue of a poor Security in evenings . Not advisable to be here after dark - before dawn or after sun set . A perfect place to  have picnics . No entree fee . Not to be missedv"
Central_Park,Mehmoodmewat,5.0 of 5 bubbles,Jan 2020 • Solo,Excellent park!,"This is one of the best park in an Indian city.Well designed & well maintained,park has three gates to allow free entry from different sides of the city.Had leisurely walk and spend lovely time on a mild sunny day.Fresh air in the city centre is breathtaking!Well done!"
Central_Park,Madalyn H,4.0 of 5 bubbles,Nov 2019,Pleasant park for a stroll,A very well maintained park which is pleasant for a stroll and a good place to stretch legs at the end of a busy day.
Central_Park,Cheryllee1963,4.0 of 5 bubbles,Oct 2019 • Couples,Quiet Oasis,"My husband and I spent a lovely couple of hours here. After entering the main gates and walking for a couple of minutes the noise of busy Jaipur city disappears. The park is well maintained, with some interesting sculptures and a huge Indian flag! There is also a small amount of wildlife around. Any keen runners will find a good track that covers the perimeter of the park. There are quite a few people sleeping in the park and we did get bothered for a short time by some children and some one asking for money. However this did not spoil our afternoon and we would return."
Central_Park,aditi,4.0 of 5 bubbles,Aug 2019 • Business,Pleasant,"A large space to roam and I felt that I am atin Jaipur hearts means central place of Jaipur this hotel is located,totally satisfied,i have no negative comments."
Central_Park,Vijay75,5.0 of 5 bubbles,Jun 2019 • Family,Nicely located Nature Park,"As the name suggests, this park is nicely located and enjoyable with nature. You can see lot of birds, squirrels etc. The tower at the central park is huge and has the tallest tricolour - National Flag of our country."
Central_Park,Rutba Bhatia,3.0 of 5 bubbles,Apr 2019 • Family,Park for morning joggers and children,Ideal place for morning joggers and runners. This place offers open gym facility too. Flag hoisted in the middle of the park is very beautiful
Central_Park,rjpriyanka,4.0 of 5 bubbles,Sep 2018 • Couples,Nature,This iis a huge central park located at the heart of Jaipur. Best for morning walks and evening fun with freinds.
Central_Park,Umang A,4.0 of 5 bubbles,Sep 2018 • Couples,Beautiful,This is a huge Central Park located in SMS hospital. Nice place for morning jogging or relaxing in evening in the lap of nature. There are few shows as well in evening 
Central_Park,rajchaba61,4.0 of 5 bubbles,Feb 2019 • Friends,Exercise & Tourism,"A great place to exercise, while observing the city and its people. It has got great walking path and is nice and green. Since it is visited by a lot of locals it is safe. Its location is also central and is hence accessible. Follow it up with a cup of tea at the rooftop tea joint 'TAPRI'"
Central_Park,Global60009976763,4.0 of 5 bubbles,Nov 2018 • Family,Park with a view,Big big park in middle of city can be a boon. It is for all jaipur people and is a great place to jog or evening walk.
Central_Park,rjpriyanka,4.0 of 5 bubbles,Jul 2018 • Friends,Huge !!,"It is a huge park with so many trees, jogging track and sculptures..better to go either in morNing or evening .. I have witness sm activities like Yoga , Running etc .. "
Central_Park,Diljeet K,5.0 of 5 bubbles,Jun 2018 • Family,very frequently I go with my little one and we have fun,Its nice place and sit chat and play with kids. Green all around makes heart happy. People love to do jogging there.
