Tourist Attraction,Name,Rating,Date and criteria,Title,Review
EleSafari-Amer,Gregory F,5.0 of 5 bubbles,Feb 2023 • Couples,An amazing experience,"This was certainly a highlight of our time in India. I absolutely recommend EleSafari. My girlfriend and I went alone but im sure our kids would love it too. Being able to hang out and feed the elephants, paint them, and just go for a walk is something we'll never forget. On top of that, everyone that works there was amazing. They even helped by talking to my driver and sending gps coordinates so we could be certain we were at the right place.Dont be thrown off when you drive to the area or enter the gates. Its definitely not a luxury area but the staff are very upfront about that. Once you are at the property, it is well kept and everyone is friendly. They were also super responsive on whatsapp.Bit of advice, be careful when you enter the main gate from the road. Everyone wants the next tourist to go to their part so be sure to follow the staff from here and not a random guy. "
EleSafari-Amer,Sabi,5.0 of 5 bubbles,Feb 2023 • Couples,Unforgettable Memories,Superb experience of my life. Amazing place where you can experience something beyond imagination. We booked full package .we enjoyed lot. staff and owner were very co operative. Visit at leat one time 
EleSafari-Amer,Aliya khan,5.0 of 5 bubbles,Jan 2023 • Couples,Elesafari experience 2023 - A different experience.,"I was recommended Elesafari by my cousin from UAE who had visited in 2019.Since then I have always wanted to visit Jaipur and see to experience Elesafari by myself and as the restrictions has been eased now, I wasted no time and planned my journey with my husband to Jaipur.Elesafari was a fantastic and a new experience for me. At first I was scared to go near  the Elephant but after seeing how well behaved and well trained the giant jumbo elephant is when I started interacting with it and started playing with the giant lovely Elephant whose name was Tara. The elephant(Tara) was very well behaved and has been well trained by is care taker. I fed Tara sugarcane and a bunch of bananas which she happily ate with a smiling also fed some water and also had fun in the drawing task. The staff there is very kind and the my volunteer Mr Yunus was kind enough to tolerate my all nonsensical questions.At the end we took a ride on the elephant to enjoy the place.The elephants are well trained.I would highly recommend to all the people who are visiting Jaipur or India should add this in your itinerary. "
EleSafari-Amer,ILU_EleSafari,5.0 of 5 bubbles,Feb 2023 • Family,Wonderful Place💕,"Namaste Aliya K

Greetings from EleSafari!

Thank you for your positive comments. I greatly appreciate that you took the time to write such a positive review. I am glad to hear that you enjoyed your time at our park as your satisfaction is our main priority. It was a pleasure to have you as our guest. We hope to see you again soon.

Thank you again!
Best Regards,
ILU
"
EleSafari-Amer,Sani,5.0 of 5 bubbles,Jan 2023 • Friends,Superbbb experience ,"Namaste Aliya K

Greetings from EleSafari!

Thank you for your positive comments. I greatly appreciate that you took the time to write such a positive review. I am glad to hear that you enjoyed your time at our park as your satisfaction is our main priority. It was a pleasure to have you as our guest. We hope to see you again soon.

Thank you again!
Best Regards,
ILU
"
EleSafari-Amer,ILU_EleSafari,5.0 of 5 bubbles,Jan 2023 • Friends,An amazing combination of ethical wildlife experience and historical Jaipur tour,Fantastic place to visit. We got to spend time with elephants.Amazing time spent with my familyWonderful place to visit.
EleSafari-Amer,Anderson_Mike,5.0 of 5 bubbles,Jan 2023 • Friends,Elesafari is the best activity for elephants lovers,"Namaste Saniya A

Greetings from EleSafari!

Thank you for your positive comments. I greatly appreciate that you took the time to write such a positive review. I am glad to hear that you enjoyed your time at our park as your satisfaction is our main priority. It was a pleasure to have you as our guest. We hope to see you again soon.

Thank you again!
Best Regards,
ILU
"
EleSafari-Amer,ILU_EleSafari,5.0 of 5 bubbles,Jan 2023 • Friends,Amazing pink city tour and awesome elephant interaction program with elesafari!,"Namaste Saniya A

Greetings from EleSafari!

Thank you for your positive comments. I greatly appreciate that you took the time to write such a positive review. I am glad to hear that you enjoyed your time at our park as your satisfaction is our main priority. It was a pleasure to have you as our guest. We hope to see you again soon.

Thank you again!
Best Regards,
ILU
"
EleSafari-Amer,Sebastin_James,5.0 of 5 bubbles,Jan 2023 • Friends,Elesafari is exceptional ,An amazing afternoon spent with the elephants Tara and Payal. So special to be close to them. The staff was very helpful and the pick up was on time.
EleSafari-Amer,ILU_EleSafari,5.0 of 5 bubbles,Jan 2023 • Couples,Amazing time with elephants 🐘,"Namaste Azhar A

Greetings from EleSafari!

Thank you for your positive comments. I greatly appreciate that you took the time to write such a positive review. I am glad to hear that you enjoyed your time at our park as your satisfaction is our main priority. It was a pleasure to have you as our guest. We hope to see you again soon.

Thank you again!
Best Regards,
ILU
"
EleSafari-Amer,Aman K,,,,"Namaste Azhar A

Greetings from EleSafari!

Thank you for your positive comments. I greatly appreciate that you took the time to write such a positive review. I am glad to hear that you enjoyed your time at our park as your satisfaction is our main priority. It was a pleasure to have you as our guest. We hope to see you again soon.

Thank you again!
Best Regards,
ILU
"
EleSafari-Amer,ILU_EleSafari,,,,"A magical experience with the elephants. Ilu and his entire team is simply the best and their hospitality is to class. Ilu is very safe rive and informative right from the first email till the time we left the farm. While booking we were a bit concerned but once Ilu explained us how they are working towards the welfare of the elephants and their mahouts we were totally relieved. The next 2-3 hours were spent very close the the elephants pampering, feeding, painting using organic colours, washing and taking them for a walk. There was no minor sign of cruelty and the elephants looked quite healthy.We also booked a day tour of Jaipur to witness the historical and popular monuments along with the elephants. Very well organised itinerary and seamless experience. The knowledge and insights shared about each site was exceptional."
EleSafari-Amer,RizzieK,,,,"Namaste Discover25608998774

Greetings from EleSafari!

Thank you for your positive comments. I greatly appreciate that you took the time to write such a positive review. I am glad to hear that you enjoyed your time at our park as your satisfaction is our main priority. It was a pleasure to have you as our guest. We hope to see you again soon.

Thank you again!
Best Regards,
ILU
"
EleSafari-Amer,ILU_EleSafari,,,,"Namaste Discover25608998774

Greetings from EleSafari!

Thank you for your positive comments. I greatly appreciate that you took the time to write such a positive review. I am glad to hear that you enjoyed your time at our park as your satisfaction is our main priority. It was a pleasure to have you as our guest. We hope to see you again soon.

Thank you again!
Best Regards,
ILU
"
EleSafari-Amer,RogerFedriq,,,,What an amazing day it was with the beautiful elephants of elesafari. We enjoyed like kids and learned so many facts about the elephants.A must to do activity 
EleSafari-Amer,ILU_EleSafari,,,,"Namaste Aman K

Greetings from EleSafari!

Thank you for your positive comments. I greatly appreciate that you took the time to write such a positive review. I am glad to hear that you enjoyed your time at our park as your satisfaction is our main priority. It was a pleasure to have you as our guest. We hope to see you again soon.

Thank you again!
Best Regards,
ILU
"
EleSafari-Amer,Oliwia,,,,"Namaste Aman K

Greetings from EleSafari!

Thank you for your positive comments. I greatly appreciate that you took the time to write such a positive review. I am glad to hear that you enjoyed your time at our park as your satisfaction is our main priority. It was a pleasure to have you as our guest. We hope to see you again soon.

Thank you again!
Best Regards,
ILU
"
EleSafari-Amer,ILU_EleSafari,,,,"What can I say more about this amazing place as there are already plenty of excellent words but still I'd love to add.If you are looking for a place to have an ethical experience with the elephants then trust me, book elesafari without any second thought. Their elephant interaction program gives you a unique chance to be so close and personal with the elephants. Also their team is super duper friendly who makes sure that you enjoy every moment at the farm. We also did a sightseeing tour along with the elephant interaction program which indeed saved a lot of time and most importantly money. I suggest you guys to book the experience with a day tour as we did which will definitely be a great option."
,,,,,"Namaste Odyssey57477171001

Greetings from EleSafari!

Thank you for your positive comments. I greatly appreciate that you took the time to write such a positive review. I am glad to hear that you enjoyed your time at our park as your satisfaction is our main priority. It was a pleasure to have you as our guest. We hope to see you again soon.

Thank you again!
Best Regards,
ILU
"
,,,,,"Namaste Odyssey57477171001

Greetings from EleSafari!

Thank you for your positive comments. I greatly appreciate that you took the time to write such a positive review. I am glad to hear that you enjoyed your time at our park as your satisfaction is our main priority. It was a pleasure to have you as our guest. We hope to see you again soon.

Thank you again!
Best Regards,
ILU
"
,,,,,A group of five friends who enjoyed a lot with our giant friends Tara and Payal at elesafari. The booking procedure was smooth and the pick up and drop off service was spot on. The experience at the farm right from the moment we arrived till we left the farm was exceptional where we made so many beautiful memories.They even arrange Jaipur day tours which we didn't take as we had already booked a car.
,,,,,"Namaste Rehan K

Greetings from EleSafari!

Thank you for your positive comments. I greatly appreciate that you took the time to write such a positive review. I am glad to hear that you enjoyed your time at our park as your satisfaction is our main priority. It was a pleasure to have you as our guest. We hope to see you again soon.

Thank you again!
Best Regards,
ILU
"
,,,,,"Namaste Rehan K

Greetings from EleSafari!

Thank you for your positive comments. I greatly appreciate that you took the time to write such a positive review. I am glad to hear that you enjoyed your time at our park as your satisfaction is our main priority. It was a pleasure to have you as our guest. We hope to see you again soon.

Thank you again!
Best Regards,
ILU
"
,,,,,"Fantastic adventure with elephants! The elephants are well-groomed, happy and the caretakers are very helpful.  Great time in Jaipur, we will definitely come back!"
,,,,,"Namaste DayTrip17207005039

Greetings from EleSafari!

Thank you for your positive comments. I greatly appreciate that you took the time to write such a positive review. I am glad to hear that you enjoyed your time at our park as your satisfaction is our main priority. It was a pleasure to have you as our guest. We hope to see you again soon.

Thank you again!
Best Regards,
ILU
"
,,,,,"Namaste DayTrip17207005039

Greetings from EleSafari!

Thank you for your positive comments. I greatly appreciate that you took the time to write such a positive review. I am glad to hear that you enjoyed your time at our park as your satisfaction is our main priority. It was a pleasure to have you as our guest. We hope to see you again soon.

Thank you again!
Best Regards,
ILU
"
EleSafari-Amer,AmandaZ,5.0 of 5 bubbles,Jan 2023 • Couples,Just book without a second thought.. Amazing city tour with elesafari ,"Having only a single day in Jaipur and reading some amazing reviews of elesafari we decided to book the elephant interaction program along with the Jaipur city tour. At first we were in a doubt if we could finish the tour and the elephant experience in a single day but everything was planned so well that we visited almost all the popular monuments while also visiting the beautiful elephants at elesafari. An early morning pick up was arranged from our hotel. A clean SUV was sent with a super awesome driver who was an amazing combination of your guide and chauffeur. First he took us to a popular roadside shop where we had some mouth watering lassi before starting off exploring other monuments. We then visited the City Palace, the house of the Royal family of Jaipur along with Jantar Mantar observatory which was simply mind boggling. After driving through the Wind palace, we took a halt for lunch before visiting the magnificent Amber palace. It is a spectacular piece of architecture. Later on we visited the lovely elephants at elesafari where we were greeted by the owner ILU who was so welcoming. He gave us detailed information about the place and the lives of elephants in Jaipur. We started the experience by getting introduced to Tara and feeding off her bundles of sugarcane with pure love. This was followed by a brief painting using chemical free colors which turned out to be a very unique experience. We even gave her a little wash as it was winter and the entire body washing was closed. This was followed by a short bareback ride. In the end we gave her some sweet bananas as a treat for being so gentle.The overall time spent with the team of elesafari including the City tour and elephant experience was too special. I'm glad that we booked their services and got some amazing memories with the City tour and the giant elephants. Simply book without a second thought !"
EleSafari-Amer,ILU_EleSafari,5.0 of 5 bubbles,Jan 2023 • Friends,Best combination of elephant experience and city tour,"Namaste GrandTour47369075546

Greetings from EleSafari!

Thank you for your positive comments. I greatly appreciate that you took the time to write such a positive review. I am glad to hear that you enjoyed your time at our park as your satisfaction is our main priority. It was a pleasure to have you as our guest. We hope to see you again soon.

Thank you again!
Best Regards,
ILU
"
EleSafari-Amer,ashleyL,5.0 of 5 bubbles,Jan 2023 • Solo,"Lovely experience, a whale/elephant of a time 😁😁","Namaste GrandTour47369075546

Greetings from EleSafari!

Thank you for your positive comments. I greatly appreciate that you took the time to write such a positive review. I am glad to hear that you enjoyed your time at our park as your satisfaction is our main priority. It was a pleasure to have you as our guest. We hope to see you again soon.

Thank you again!
Best Regards,
ILU
"
EleSafari-Amer,ILU_EleSafari,5.0 of 5 bubbles,Jan 2023 • Friends,Second visit at EleSafari ,If you are in Jaipur and wish to be up personal and lose with the elephants in an ethical way then elesafari is the best place.The elephants there are treated so humanely with affection. Moreover every elephant has its own caretaker who takes care for them. It feels so satisfying that money which you pay goes for the welfare of these gentle giants. Also they provide city tours which we booked that can be combined with the elephant experience and it’s totally worth it and also saves a lot of time.Amazing time!
EleSafari-Amer,Nico H,5.0 of 5 bubbles,Jan 2023 • Couples,Worth every penny,"Namaste Explore42645409906

Greetings from EleSafari!

Thank you for your positive comments. I greatly appreciate that you took the time to write such a positive review. I am glad to hear that you enjoyed your time at our park as your satisfaction is our main priority. It was a pleasure to have you as our guest. We hope to see you again soon.

Thank you again!
Best Regards,
ILU
"
