Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Elefun-Amer,Pooja,5.0 of 5 bubbles,Dec 2022 • Family,Elfun was awesome and Shabbo rocks!!,This was in December 2022 and we had an awesome experience with Elfun. My daughter enjoyed the lovely time spent with Shabbo the 35 year old Elephant and the entire hospitality and commitment from the group was very good. Would like to try the entire day trip in summer when the days are long. We recommend Elfun 👍
Elefun-Amer,Zoe,5.0 of 5 bubbles,Jan 2023 • Friends,Fun and wonderful,"Elefun was very fun! The elephants are well taken care of and look healthy and happy. The whole experience was amazing, we bonded with the elephants, painted on them with natural colors, and got to ride the Elephants. The staff was very friendly and welcoming. I recommend it."
Elefun-Amer,Mausam A,5.0 of 5 bubbles,Feb 2023 • Family,Amazing fun!,"Everything from beginning till we left was superfun. Listening to Aftab about how he takes care of elephants, meeting them, feeding, painting and riding. We were 7adults and 4 kids. 5 adults did not wish to visit but on insisting they accompanied us and voila! Each one of us loved it :)"
Elefun-Amer,Elefun,5.0 of 5 bubbles,Jan 2023 • Family,Amazing and fun,"Dear Mausam ji,

Greetings from Elefun family.

We are so thank full for you to make us more better with one of your excellent review of your time with us. It was pleasure & honour to have you here Elefun and I am delighted to note that we were able to make your visit memorable. Positive feedback from our guest is always a strong motivation to all of us to continuously provide a high level service to our guest and hope they also say excellent for us.

Looking forward to welcoming you back to the Elefun Elephant soon again.

Kind regards,
Aftab Elefun"
Elefun-Amer,Jyoti saboo,5.0 of 5 bubbles,Jan 2023 • Family,Great experience,"Dear Mausam ji,

Greetings from Elefun family.

We are so thank full for you to make us more better with one of your excellent review of your time with us. It was pleasure & honour to have you here Elefun and I am delighted to note that we were able to make your visit memorable. Positive feedback from our guest is always a strong motivation to all of us to continuously provide a high level service to our guest and hope they also say excellent for us.

Looking forward to welcoming you back to the Elefun Elephant soon again.

Kind regards,
Aftab Elefun"
Elefun-Amer,Elefun,5.0 of 5 bubbles,Jan 2023 • Solo,Lovely Elephant,"Nice experience at Elefun. It's a two hour activity and a must visit place with kids. They have elephant ride, feeding elephant and painting elephant. All activities are interesting and you get to know more about elephant.The only thing is that don't buy ticket in advance. You can go there and buy the ticket."
Elefun-Amer,Neha A,5.0 of 5 bubbles,Jan 2023 • Couples,Great day,"Dear Jyoti ji,

Greetings from Elefun family.

We are so thank full for you to make us more better with one of your excellent review of your time with us. It was pleasure & honour to have you here Elefun and I am delighted to note that we were able to make your visit memorable. Positive feedback from our guest is always a strong motivation to all of us to continuously provide a high level service to our guest and hope they also say excellent for us.

Looking forward to welcoming you back to the Elefun Elephant soon again.

Kind regards,
Aftab Elefun"
Elefun-Amer,Elefun,5.0 of 5 bubbles,Jan 2023 • Friends,Must do activity and learning experience!,"Dear Jyoti ji,

Greetings from Elefun family.

We are so thank full for you to make us more better with one of your excellent review of your time with us. It was pleasure & honour to have you here Elefun and I am delighted to note that we were able to make your visit memorable. Positive feedback from our guest is always a strong motivation to all of us to continuously provide a high level service to our guest and hope they also say excellent for us.

Looking forward to welcoming you back to the Elefun Elephant soon again.

Kind regards,
Aftab Elefun"
Elefun-Amer,Yasemin Bozdoğan,5.0 of 5 bubbles,Dec 2022 • Solo,Totally Recommend,It was an awesome experience to be with such huge creature..they r so friendly…thoroughly enjoyed each and every moment there..and great hospitality by the owner… would love to visit the place again👌🙂
Elefun-Amer,Elefun,5.0 of 5 bubbles,Dec 2022 • Family,Great Experience!!,"Dear Neha ji,

Greetings from Elefun family.

We are so thank full for you to make us more better with one of your excellent review of your time with us. It was pleasure & honour to have you here Elefun and I am delighted to note that we were able to make your visit memorable. Positive feedback from our guest is always a strong motivation to all of us to continuously provide a high level service to our guest and hope they also say excellent for us.

Looking forward to welcoming you back to the Elefun Elephant soon again.

Kind regards,
Aftab Elefun"
Elefun-Amer,Jimbo James,,,,"Dear Neha ji,

Greetings from Elefun family.

We are so thank full for you to make us more better with one of your excellent review of your time with us. It was pleasure & honour to have you here Elefun and I am delighted to note that we were able to make your visit memorable. Positive feedback from our guest is always a strong motivation to all of us to continuously provide a high level service to our guest and hope they also say excellent for us.

Looking forward to welcoming you back to the Elefun Elephant soon again.

Kind regards,
Aftab Elefun"
Elefun-Amer,Elefun,,,,"I went to Elefun elephant sanctuary I liked it very much, it is a very nice place, they all take good care of elephants. All elephants are good looking and happy I met Chanchal and Rohini there I liked this place very much! everyone should go here. absolutely value for money place"
Elefun-Amer,Tony M,,,,"Dear Yasemin,

Greetings from Elefun family.

We are so thank full for you to make us more better with one of your excellent review of your time with us. It was pleasure & honour to have you here Elefun and I am delighted to note that we were able to make your visit memorable. Positive feedback from our guest is always a strong motivation to all of us to continuously provide a high level service to our guest and hope they also say excellent for us.

Looking forward to welcoming you back to the Elefun Elephant soon again.

Kind regards,
Aftab Elefun"
Elefun-Amer,Elefun,,,,"Dear Yasemin,

Greetings from Elefun family.

We are so thank full for you to make us more better with one of your excellent review of your time with us. It was pleasure & honour to have you here Elefun and I am delighted to note that we were able to make your visit memorable. Positive feedback from our guest is always a strong motivation to all of us to continuously provide a high level service to our guest and hope they also say excellent for us.

Looking forward to welcoming you back to the Elefun Elephant soon again.

Kind regards,
Aftab Elefun"
Elefun-Amer,elizscarb,,,,"Amazing experience with Shapo the elephant, feeding, playing, painting and riding her. All staff friendly and knowledgeable. Elephants seemed happy and well looked after!"
