Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Gatore_Ki_Chhatriyan,exploredaunexplored,5.0 of 5 bubbles,Mar 2022 • Solo,My favorite in Jaipur! ,This place is off beat. Hardly any tourists. Amazing marble work. It is beautifully done. There is a calm to this place. You can sit and meditate. It's the resting place for the departed royal family. Please go with a guide. 
Gatore_Ki_Chhatriyan,Vidyadhar,5.0 of 5 bubbles,Jul 2022,The greatest hidden gem of Jaipur,"The place is really, seriously, beautiful. It is not quite a popular tourist destination and is rather heard to reach but I recommend hiring an Uber here take a stroll and take lots of photo as this place is so worthy at every angles. Please be reminded that the complex contains three parts - make sure to visit them all. Each offers different artistic styles as well. If you have a time to spare (like, from Jal Mahal), please visit this place. You will not regret a second in here."
Gatore_Ki_Chhatriyan,Sandeep G,5.0 of 5 bubbles,Jan 2021,"Loved the place, a treat for shutterbugs..!!",A hidden and rare gem in pink city and a true heaven for shutterbugs..!! A must visit place for camera crazy and history lovers. 
Gatore_Ki_Chhatriyan,DOUG and NIKI,5.0 of 5 bubbles,Mar 2020,Instagram Magic!,"WOW...so cool and not what we expected to find at all.  If you are looking for some great Instagram pics, this is a find!  You should check it out."
Gatore_Ki_Chhatriyan,zobi2016,3.0 of 5 bubbles,Dec 2019 • Solo,Interesting site,"Interesting place, no information provided at the site. Worth visiting if you have time.I saw Indian couples being photographed professionally at the site.Very few visitors and tourists there."
Gatore_Ki_Chhatriyan,Angelo V,5.0 of 5 bubbles,Nov 2019 • Friends,Not many tourists,"I saw it from the fort on top of the hill and wander how to get there. Right after the fort I went down and I wasn’t mistaken, it’s a gem , very nice temples and well preserved garden, which is almost never the case in India . Go there and spend a couple of hours, take your time , take a lot of pictures because it’s cámara candy and even the birds keep flyng around the temple which make it for Amazon pics. Enjoy"
Gatore_Ki_Chhatriyan,Marathon_Dreams,4.0 of 5 bubbles,Nov 2019,Oft beat place to visit,"Not a well travelled tourist spot. But well maintained structures of bygone era. Looking at different domes, you will get an idea of how the era evolved. Its quiet with hardly any tourist. So we have seen 2 beautiful girls getting photo  shoots done with professional photographers, mostly for their portfolio. Our car driver surprised when we told him that we wanted to visit this place as it is not commercialized."
Gatore_Ki_Chhatriyan,Orchid4841,5.0 of 5 bubbles,Sep 2019,Tranquil and intriguing ...,"This place is a delight, so quiet and peaceful. There is much to see and photograph in this well kept and tranquil spot. Lovely to visit somewhere that wasn't crammed with tourists and that wasn't full of litter. The entrance fee is excellent value and I'd urge anyone to spend a couple of hours here soaking up the atmosphere."
Gatore_Ki_Chhatriyan,Cheryllee1963,5.0 of 5 bubbles,Oct 2019 • Couples,A must visit,My husband and I spent a wonderful morning here. There are so many cenotaphs of the Maharajas to see. It is beautiful maintained and perfect for photographers. It is so quiet and peaceful here. I can’t recommend this place enough to spend an hour or two. It is only 30 rupees to enter which is an incredible price.
Gatore_Ki_Chhatriyan,Kirstie R,4.0 of 5 bubbles,Oct 2019 • Friends,Definitely worth a visit ,Only knew about this spot because of our driver and really enjoyed it! The gardens are simple but tranquil and the architecture stunning! 
