Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Jagat_Shiromani_Ji_Temple,Amit,5.0 of 5 bubbles,Dec 2022 • Friends,The temple of Meera Bai ,"Built in 1600 AD by the king Sawai Maan Singh in the memory of his son Jagat Singh, this temple located in Amer, Rajastan is dedicated to Lord Krishna and the devotee Meera Bai. The temple contains a statue of Lord Shri Krishna which is believed to be the same statue that Meera Bai worshipped in the State of Mewar. This idol was saved from being destroyed during the Mughal attack on Mewar by Amer rulers & was brought to Amer. And for that very reason it is also known as Meera Bai temple. The striking architectural elements of the temple are a blend of different architectural styles taking inspiration from Mughal, Jain, and Hindu, Mughal ones. At the entrance of the temple, you will come across a beautiful marble archway which is being guarded by two marble elephants. Surprisingly, the archway and the elephants have been carved from a single piece of stone. The temple is connected to the Amer Palace having two entrances, where the first one leads you to the Palace and other one leads you to the Amer town. This temple was built beside the courtyard of the Amer palace in a way so that the queen could easily visit the temple anytime. Whenever you plan to visit Jaipur, explore the streets of Amer with a visit to this divine place. Timings:  06:00 AM to 01:00 PM;  04:00 PM to 08:00 PM"
Jagat_Shiromani_Ji_Temple,Deb,5.0 of 5 bubbles,Dec 2021,An Artistic Masterpiece,This is one of the most beautiful temples I have seen so far. An architectural marvel. The sheer grandeur of the intricate work on the stone will get you mesmerized. A peaceful abode that is majestic at the same time. Must-visit if one plans to visit the Amber Fort and its surroundings.
Jagat_Shiromani_Ji_Temple,lena nash,5.0 of 5 bubbles,Feb 2020 • Solo,Beautiful temple ,Worth visiting  . It's behind Amer fort . No crowd . Can easily spend like 15 mins  . . U need to get there in cab .
Jagat_Shiromani_Ji_Temple,rjpriyanka,3.0 of 5 bubbles,Feb 2019 • Couples,Awesom,This is beautiful hindu temple located near amber fort. The architecture is amazing and there are 2 huge elephants status at entrance.
Jagat_Shiromani_Ji_Temple,Scenic704513jimmy,5.0 of 5 bubbles,Nov 2018 • Friends,stop at this beautiful temple on the way to amer fort,this is a very beautiful temple architecture is marvellous  located at the foothill of amer fort   not to be miss if you happen to visit amer fort   surrounding around the temple is quiet since not much tourist know about the place  just spend some time relax and enjoy the view   entry is free just pay 30rupees to the keeper as donation  he will issue u a receipt
Jagat_Shiromani_Ji_Temple,Jim W,5.0 of 5 bubbles,Mar 2018 • Business,Beautiful Small Temple Near the Amber Fort,This is less than a mile from the Amber Fort and yet nobody seems to go there.  Don't make that mistake.  I realize many are on a big bus tour and don't have a choice but try your best.  It is a temple to Krishna & Meera and it is good to have a guide to explain the story.  The detail inside and outside the temple is amazing.  I'm glad we had the opportunity to visit. There are many other sites to see in the same little area around the temple.
Jagat_Shiromani_Ji_Temple,meipporul,5.0 of 5 bubbles,Oct 2018 • Family,Amazing temple,Awesome temple of Krishna and Meera. Excellent architecture of Rajputs in Marble. You have to see this to believe. Simply awesome! It's on the way to Amber fort. Lot of Langurs linger around - but are harmless.
Jagat_Shiromani_Ji_Temple,BhavraPune_India,5.0 of 5 bubbles,Jul 2018 • Family,In Awe,"If you are visiting Amer fort in Jaipur , one should definitly visit this temple. It is visible from back side of the fort. Trek down the fort from back gate and ask any locals around. Its also known as Krishna-Meera temple. Most of the people in jaipur are not aware of this temple. Its an excellent example of hindu architecture and feels like articians have poured their heart while carving various motifs."
Jagat_Shiromani_Ji_Temple,Kaushik G,3.0 of 5 bubbles,Dec 2017 • Friends,Beautiful Radha Krishna temple,"During my vacation in Jaipur, we had visited the beautiful Amber Fort and this beautiful temple was located close by and so we decided to visit this too. The temple is dedicated to Radha Krishna with Lord Krishna who is beautifully dressed with a flute in hand. We liked the beautiful architecture of the temple with intricately sculpted images of God's on the walls and two giant elephant sculptures at the entrance. We enjoyed clicking selfies with the beautiful architecture at the background."
Jagat_Shiromani_Ji_Temple,Umang A,3.0 of 5 bubbles,Apr 2018 • Friends,Radha krishna...,Located on the way to Maber fort... Just after Jalmahal... An old beautiful temple of Radha Krishna...
Jagat_Shiromani_Ji_Temple,RedLichtie65,4.0 of 5 bubbles,Mar 2018 • Couples,Quick visit,Visited this temple as part of a trip to Amer Fort. It is a working temple and we had the privilege of hearing a worshipper chant their prayer. It has some beautiful stone carvings inside. Worth a visit as part of day trip to Amer Fort. No payments needed but a donation to the temple is welcomed.
Jagat_Shiromani_Ji_Temple,Arun S,5.0 of 5 bubbles,Feb 2018 • Couples,Amazing and Peaceful,"This temple is dedicated to Lord Krishna and Meera Bai (one of its king in India). The temple architeture is mix of mugal, jain and south Indian styles. This temple was made in the memory of Jagat Singh, the son of king Man Singh, when fighting against Mugals. Legends says that on Jagat Singh death her mother demanded Mughal emperor to construct a temple in her son's memory. The cost of the temple in those days (1701 AD) came around equivalent to 982 thousand rupees in that time(which was huge for that time). This temple has the same lord Krishna idol which Meera used to worship in Mewar. It was saved from Mughals and brought here in this temple. You'll see Meera's idol placed next to Krishna in here.The architecture of this temple is amazing. Just next to it there is a Lord Gradua temple, which is amazing as well. It is very quiet away from the corwds. Entry to this place is free. Priest at this temple is very humble and tell the history very proudly if you ask him. There were many movies shot at this temple (Bhool Bhulaiya etc). Recently there was another movie scene shot here. Must visit when in Amer, i can assure that you'll be more happy that you decided to visit here."
Jagat_Shiromani_Ji_Temple,DrNic1,4.0 of 5 bubbles,Jan 2018 • Couples,Outstanding Beautiful Temple that is Quiet and Peaceful,On the way yup top the main fort and in many respects may be more satisfying as it is quiet without huge numbers of touristsIt’s replete with carvings and amazing architecture that is put together without any mortar. Incredible detail everywhere and a working temple where you can receive a blessing and make offerings in a peaceful and meditative environment 
Jagat_Shiromani_Ji_Temple,gireesh s,3.0 of 5 bubbles,Sep 2017 • Friends,Shiromani ji temple,Cravings on made on stones beautiful sculpture you will love the temple and capture good images  just to see
Jagat_Shiromani_Ji_Temple,RupaMajumder,4.0 of 5 bubbles,Aug 2017 • Family,An Architectural Excellence,"I visited Jaipur during Monsoon 2017. Had a great view of Temple under cloudy backdrop. Inside temple, there was idol of Meera. Entire mandir premises is maintained nicely. One should take time to see properly all the sculptures. This Mandir is just beside Amer Fort and visible from roadside. Travelers should not miss visiting this place while visiting Amer Palace."
Jagat_Shiromani_Ji_Temple,Ricardo R,4.0 of 5 bubbles,Sep 2017 • Solo,"It is good but do not pay anything, it is free","It is very near the Step Well so do not miss the chance to visit this temple, it has many carvings in the stones. it is a quick visit as the place is very small.No entrance fee, the policeman that keeps the place will try to charge the visitors speciallly when the visitor is the only one inside, do not be afraid and  do not pay, it is a bad beharvior of these people, do as I did, ask "" where is the ticket office and the sign with the price ? Then just turn your back and walk away."
Jagat_Shiromani_Ji_Temple,Paridhi7392,5.0 of 5 bubbles,May 2016 • Couples,Wonderful temple, Jagat Shiromani temple is beautiful construct building.  This building is mind blowing for view. this is so attractive in tourist  must see this.
Jagat_Shiromani_Ji_Temple,Kumkumjaipur,5.0 of 5 bubbles,Jan 2017 • Friends,A rare temple,The Jagat Shiromani temple is a temple built by Man Singh. It houses the statue of Lord Krishna which Meera used to carry with her. Man Singh got a statue of Meera made and he got Meera and Krishna married in this temple. The temple is built like a chariot. The palki which used to carry Lord Krishna with Meera is still there in the temple.
Jagat_Shiromani_Ji_Temple,Martin T,5.0 of 5 bubbles,Mar 2017,A terrific add on to your visit to Amber Fort !,"Its a bit hidden away in the town / village of Amer , ask the way .....its very reqrding , beautiful carvings , and a truly spiritual place built by the founding ruler of Amber / Jaipur . Unlike many holy places in India , here we felt the invitation to partake in Puja was genuine , and it became a truly  personal experience for me. Dont miss the frescoes in the upstairs gallery ....mind the stairs are really steep though !.The Step Well is only 200 metres away ...again just ask !"
Jagat_Shiromani_Ji_Temple,chirag s,4.0 of 5 bubbles,Mar 2017 • Friends,Great temple,we visit this temple it was so great and beautiful  me and my friends take many pictures of temple it was nice experience 
Jagat_Shiromani_Ji_Temple,Tracy E,3.0 of 5 bubbles,Feb 2017 • Couples,"beautiful temple, annoying 'staff'","we wandered over from the amber fort, and there was hardly anyone around, which was a relief after the crush of people at the fort. however, we climbed the steps and were immediately told we had to pay an entrance fee of 25r each. i researched a lot of places before our trip, and i didn't remember an entrance fee for this temple, so i was on guard after that. at amber fort, a security guard had sort of shanghaied us into a tour we didn't want, and this seemed to be heading in the same direction. the guy hovered around us after that, trying to lead us in a different direction, and we really just wanted to explore on our own. more (Indian) people started streaming in, and we asked him, didn't he need to go collect the entrance fee from them? to which he just looked at us blankly and wouldn't leave. maybe he didn't have any bad intentions, but we just didn't want a tour! we just wanted to walk around! why does everyone else get to walk at their own pace but not us? eventually, i had enough of being followed and we left which was a real shame because we barely saw any of it and the whole experience felt unsafe. before we traveled to india, i had read about a 'foreigner tax' and i expected to be overcharged for some things, but i didn't expect to be followed and lead around- that was actually kind of disturbing and made me feel unsafe."
Jagat_Shiromani_Ji_Temple,vini_phooh,5.0 of 5 bubbles,Jan 2017 • Family,Very serene and peaceful place,I liked the whole place as it was not crowded. It is an ancient temple which has great historical significance. Will like to go again if possible.
Jagat_Shiromani_Ji_Temple,BananaLu,5.0 of 5 bubbles,Jul 2016 • Friends,Magical temple!,"I spotted this temple from Amber Fort and bugged my friends until we located it in the village down the hill (you might need to ask directions several times as people seemed rather confused on what temple we were looking for and where it was...). We went there late afternoon after finishing the forts visits and the sunlight made the temple look even better. It dates back to 17th Century. We did not find much information on it, but it is dedicated to Meera Bai (poet who was devoted to Krishna), Krishna and Vishnu.The sculptures are superb and perfectly well preserved. Some elephants sculptures and towers at the entrance are very impressive. It is a beautiful and peaceful place. Do not hesitate to sit and meditate. As most temples of that period, there is not much to see inside and distract you from the deity; the most spectacular is the structure and the outside part of the temple.It is totally worth a visit! Do not miss it as it is very different from the Rajput forts and palaces you will visit in this area. Totally magical!Note that there are few steps to climb, I doubt there is an access for disabled people..."
Jagat_Shiromani_Ji_Temple,drn85,4.0 of 5 bubbles,Jan 2017 • Couples,Jagat shiromani ji temple... Have a view from Amber fort.,This temple is located near to the Amber fort jaipur on your return way after the amber visit.its a temple dedicated for meera bhai. Everyone will note this big temple located there with the pillars going high up the sky. Altogether it's worth visiting this place on your jaipur trip
