Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Jaipur_Wax_Museum,Gladwin V A,2.0 of 5 bubbles,Mar 2022 • Couples,Not worth,Statues are not perfect. The price of tickets very high. Avoid such places. Kerala actor Mamooty's statue is an insult to him.
Jaipur_Wax_Museum,Manoj S,1.0 of 5 bubbles,Mar 2021 • Family,Worthless,Thanks to visit Jaipur wax museum
Jaipur_Wax_Museum,Baljeet Singh C,4.0 of 5 bubbles,Feb 2021 • Solo,WAX STATUES OF INSIPRING LIVES ON DISPLAY!,Thanks to visit Jaipur wax museum
Jaipur_Wax_Museum,Manoj S,5.0 of 5 bubbles,Jan 2020 • Family,Excellent place,"According to me , this property is worthless cause they charge 500 per head & after that if you want some  pics then again you have to hire a professional photographer ,at last one whole glass room they called sheesh Mahal  it's just for income source and they misguide people that this is best place to see in this fort . Worthless totally 3/10."
Jaipur_Wax_Museum,Varuna K,4.0 of 5 bubbles,Dec 2019 • Family,Jaipur wax museum ,Thanks for visiting
Jaipur_Wax_Museum,Manoj S,5.0 of 5 bubbles,Dec 2019,"Must visit place , friendly guides.",Thanks for visiting
Jaipur_Wax_Museum,abrahamsuji,3.0 of 5 bubbles,May 2019 • Business,Statue of famous celebrities,"Unlike other wax museums that mostly propogate film celebrities structures, Jaipur Wax Museum was a delightful change! Wax Structures of inspiring lives from history, politics, sports, culture and science decorate the #jaipurwaxmuseum."
Jaipur_Wax_Museum,Manoj S,5.0 of 5 bubbles,Oct 2019,Unique Experience!,Thanks for visiting
Jaipur_Wax_Museum,AVINASH M,1.0 of 5 bubbles,Oct 2019 • Couples,Overrated wax museum and Shesh mahal,Thanks for visiting
Jaipur_Wax_Museum,Manoj S,4.0 of 5 bubbles,Aug 2019 • Solo,Wax,Excellent experience. Best example of public and private partnership. Strict rules of conduct ensure correct ambience. Must visit
Jaipur_Wax_Museum,Ravi W,,,,Thanks for your feedback
Jaipur_Wax_Museum,Manoj S,,,,Thanks for your feedback
Jaipur_Wax_Museum,zaid227,,,,"Location in Nahargarh is more interesting but its small wax museum.. You end up paying 50 entry, 50 car park 500 wax museum then 200 for photos.. Etc etc. "
Jaipur_Wax_Museum,Manoj S,,,,Thanks for your reviews
Jaipur_Wax_Museum,832vgs,,,,Thanks for your reviews
Jaipur_Wax_Museum,Stay14760046622,,,,"Definitely the best was museum in all of India. Very life like statues, and friendly staff to explain the history. The statues of the Maharani of Jaipur both young and old are beautiful. But the main attraction is the Sheesh Mahal. Built a few years back, it is made completely of mirrors, and is a site to behold. Must visit."
Jaipur_Wax_Museum,AnilChadda,,,,Thank you so much for your valuable feedback
Jaipur_Wax_Museum,Stay14760046622,,,,Thank you so much for your valuable feedback
Jaipur_Wax_Museum,Victoria M,,,,If you love celebrities and want to click photo with them then it's worthfull to you as there is nothing to enjoyed much but you can see how VIPs may look like in real life
Jaipur_Wax_Museum,Stay14760046622,,,,Thanks for visiting
,,,,,Thanks for visiting
,,,,,"The Wax Museum located within the palatial Nahargarh Fort is one unque experience for any visitor to Jaipur. It is an initiative of a creative company and houses wax real life-like statues of Mahatma Gandhi, Rabindranath Tagor, Charlie Chaplin, Albert Einstein, Bhagat Singh, Sachin Tendulkar, Amitabh Bachan, Kalpana Chawla and many more. It also houses statues of Rajput Royals such as Sawai Man Singh, Sawai Jai Singh, Maharana Pratap and Gayatri Devi. The ticket for both Sheesh Mahal and Wax Museum is priced at Rs.500 for Indians. Photography is not allowed but you can hire a photographer to accompany you; who will click and provide soft copy at a nominal cost.  Worth a visit."
,,,,,Thank you for visiting.
,,,,,Thank you for visiting.
,,,,,Overrated wax museum and Shesh mahal. Ticket is a rip off  at Rs. 500 and for every photo they charge Rs. 25Shesh mahal is nothing in front of Amber and City Palace Shesh mahals.No pics as I learnt of the con after buying the tickets. 
,,,,,"Dear Sir,
First of all, thank you for visiting Jaipur Wax Museum, we would like to apologise for any inconvenience caused during your visit.

On your feedback about the entry fee:
In order to maintain the museum and wax figures, we have to use special techniques in order to ensure there is no damage happening while we are cleaning the museum and keeping it fresh. In order to keep the place hygiene, we require funds and as you are visiting the museum and enjoying the clean place, you are contributing to that clean place by buying the minimum 500 Rs. ticket.

On your feedback on photography cost:
It is not the photographs that we are charging for but the service of the photographer who is accompanying you through the whole museum tour and clicking your group's photos. 

We hope your next visit would be more enjoyable.
-Team Jaipur Wax Museum"
,,,,,"Dear Sir,
First of all, thank you for visiting Jaipur Wax Museum, we would like to apologise for any inconvenience caused during your visit.

On your feedback about the entry fee:
In order to maintain the museum and wax figures, we have to use special techniques in order to ensure there is no damage happening while we are cleaning the museum and keeping it fresh. In order to keep the place hygiene, we require funds and as you are visiting the museum and enjoying the clean place, you are contributing to that clean place by buying the minimum 500 Rs. ticket.

On your feedback on photography cost:
It is not the photographs that we are charging for but the service of the photographer who is accompanying you through the whole museum tour and clicking your group's photos. 

We hope your next visit would be more enjoyable.
-Team Jaipur Wax Museum"
,,,,,"Amazing, unbelievable that places like these exist  definitely worth a visit if in the area. Must see"
,,,,,"Dear Ma'am,
We are so delighted to hear that you enjoyed your visit to Jaipur Wax Museum. We hope you will visit us again soon. 
-Team Jaipur Wax Museum"
,,,,,"Dear Ma'am,
We are so delighted to hear that you enjoyed your visit to Jaipur Wax Museum. We hope you will visit us again soon. 
-Team Jaipur Wax Museum"
Jaipur_Wax_Museum,Jatin_Chhabra_INDIA,5.0 of 5 bubbles,Aug 2019,Good for a family visit,"Came here with mon, dad & wife and paid like Rs 500 per person, ticket. + Rs 50 per person to just enter the Nahargarh Area. So, one might say that the entry fees is a bit higher, which is but its worth paying, because of the Sheesh Mahal which they have created here. Tour all organized by Rajputana Cabs."
Jaipur_Wax_Museum,Stay14760046622,2.0 of 5 bubbles,Mar 2019 • Friends,Nothing much,"Dear Sir,
We are glad to hear that you and your family had a lovely time during your visit to Jaipur Wax Museum. We hope you and your family will visit again soon. 
-Team Jaipur Wax Museum "
Jaipur_Wax_Museum,Sharad,3.0 of 5 bubbles,Aug 2018 • Family,Nice place,"Dear Sir,
We are glad to hear that you and your family had a lovely time during your visit to Jaipur Wax Museum. We hope you and your family will visit again soon. 
-Team Jaipur Wax Museum "
Jaipur_Wax_Museum,Stay14760046622,5.0 of 5 bubbles,May 2019 • Friends,Museum,A very small wax museum. There is no novelty. The statues are not at all attractive. The cost of  entry ticket is on the higher side. Photography is at a cost. Just 15 to 25 min is enough to visit it.  can be avoided.
Jaipur_Wax_Museum,Avi,5.0 of 5 bubbles,May 2019 • Friends,JWM Awesome experience,"Dear Sir,
First of all, thank you for visiting and we apologise for any inconvenience faced by you during your tour.

On your feedback on the size of the museum:
The museum offers 3 separate sections; Sheesh Mahal, Hall of Icons and Royal Darbar, and we are constantly updating and unveiling new wax figurines. The museum if properly visited takes 1-2 hours.

On your feedback about the realism of statues:
All of our statues are made by immensely talented Mr Susanta Ray, who is known for capturing the tiniest details and including them while making the wax figures. Making realistic wax figures is his speciality and has been recognised by many.

On your feedback about the entry fee:
In order to maintain the museum and wax figures, we have to use special techniques in order to ensure there is no damage happening while we are cleaning the museum and keeping it fresh. In order to maintain the hygiene, we require funds and as you are visiting the museum and enjoying the experience, you are contributing to that clean place by buying the minimum 500 Rs. ticket, which also includes a tour guide.

On your feedback on photography cost:
It is not the photographs that we are charging for but the service of the photographer who is accompanying you through the whole museum tour and clicking your group's photos. 

Jaipur Wax Museum at Nahargarh is a unique place. We are sorry if we could not fulfil your expectations but everything there has its significance. We ensure you that you will not find any museum better than Jaipur Wax Museum in the world.

-Team Jaipur Wax Museum"
Jaipur_Wax_Museum,Stay14760046622,5.0 of 5 bubbles,May 2019 • Friends,#jaipurwaxmuseum,"Dear Sir,
First of all, thank you for visiting and we apologise for any inconvenience faced by you during your tour.

On your feedback on the size of the museum:
The museum offers 3 separate sections; Sheesh Mahal, Hall of Icons and Royal Darbar, and we are constantly updating and unveiling new wax figurines. The museum if properly visited takes 1-2 hours.

On your feedback about the realism of statues:
All of our statues are made by immensely talented Mr Susanta Ray, who is known for capturing the tiniest details and including them while making the wax figures. Making realistic wax figures is his speciality and has been recognised by many.

On your feedback about the entry fee:
In order to maintain the museum and wax figures, we have to use special techniques in order to ensure there is no damage happening while we are cleaning the museum and keeping it fresh. In order to maintain the hygiene, we require funds and as you are visiting the museum and enjoying the experience, you are contributing to that clean place by buying the minimum 500 Rs. ticket, which also includes a tour guide.

On your feedback on photography cost:
It is not the photographs that we are charging for but the service of the photographer who is accompanying you through the whole museum tour and clicking your group's photos. 

Jaipur Wax Museum at Nahargarh is a unique place. We are sorry if we could not fulfil your expectations but everything there has its significance. We ensure you that you will not find any museum better than Jaipur Wax Museum in the world.

-Team Jaipur Wax Museum"
Jaipur_Wax_Museum,Shobz,5.0 of 5 bubbles,Mar 2019 • Friends,Historical Museum,"I visited there last summer i.e. in august, 2018. This is very nice place to visit with your child and family."
Jaipur_Wax_Museum,Stay14760046622,4.0 of 5 bubbles,Feb 2019 • Couples,PINKCITY WAX MUSEUM,"Dear sir,
We are glad to hear that you had a good time during your visit to Jaipur Wax Museum. We hope to see you again soon.
-Team Jaipur Wax Museum "
Jaipur_Wax_Museum,Sapna,3.0 of 5 bubbles,Nov 2018 • Solo,Don't expect Madame Tussauds and you will be fine!!,"Dear sir,
We are glad to hear that you had a good time during your visit to Jaipur Wax Museum. We hope to see you again soon.
-Team Jaipur Wax Museum "
Jaipur_Wax_Museum,Stay14760046622,4.0 of 5 bubbles,Feb 2019 • Friends,Wax museum,Had great time visiting the best museum every. Must see if you go to Jaipur. Very well managed by Anoopji and his team.
Jaipur_Wax_Museum,Nivedita Mohapatra,,,,"Dear sir,
We are glad to hear that you had a wonderful time during your visit to Jaipur Wax Museum. We hope you will plan a visit again soon.
-Team Jaipur Wax Museum "
Jaipur_Wax_Museum,Stay14760046622,,,,"Dear sir,
We are glad to hear that you had a wonderful time during your visit to Jaipur Wax Museum. We hope you will plan a visit again soon.
-Team Jaipur Wax Museum "
Jaipur_Wax_Museum,Rohit,,,,"Had a awesome experience in Jaipur wax museum (JWM), all Statue have a theme concept behind them,which give's  one knowledge about the statue, well planned museum, The sheesh Mahal was a jaw dropping moment gives one a royal feeling as we step in, one has to personally experience this moments ....very well executed... Thank you... One must surely visit this place..."
Jaipur_Wax_Museum,Stay14760046622,,,,"Dear sir/ma'am,
We are delighted to know that your visit to Jaipur Wax Museum was amazing. We hope you will plan another visit soon.
-team Jaipur Wax Museum"
Jaipur_Wax_Museum,Krishan Gopal Malu,,,,"Dear sir/ma'am,
We are delighted to know that your visit to Jaipur Wax Museum was amazing. We hope you will plan another visit soon.
-team Jaipur Wax Museum"
Jaipur_Wax_Museum,Stay14760046622,,,,"We friends have a bucket list of destinations and one among them is the wax museum at Jaipur. Although I had visited many wax Museums but will surely love to mention here that the particular one is very different and with a theme.it is not just few statues at a fort but each statue kept there has a theme a concept and a purpose as to why it has a place there .each has a backdrop and visual effects surrounding it so that eveey one can get a knowledge with a glance and even if you are lazy  to read up the writings..so I say this wax museum is just different .Now attatched to it is the Sheesh Mahal a place that makes you feel royal a place with intricacies of glass art .. this is a jaw drop  beautiful and mesmerizing place.  One comes to know how rich is our art and culture.A must visit place . Many thanks to the  creator of this Museum Mr.Anoop Srivastava for  giving India a glimpse of its richness in knowledge ,persons and culture.A must visit place #jaipur wax museum"
Jaipur_Wax_Museum,Prathamesh Sawant,,,,Thank you so much.
Jaipur_Wax_Museum,Stay14760046622,,,,Thank you so much.
Jaipur_Wax_Museum,TravelbuggIndia,,,,"This museum of Jaipur is very good.Its describe our Indian and Rajasthan old historical heritages very well. In this museum we can study the historical behavior of past time people, their standard of life, old currency they used. This museum is full of antics pics of kings and queens."
Jaipur_Wax_Museum,Stay14760046622,,,,Thank you for your valuable time.
,,,,,Thank you for your valuable time.
,,,,,"It is situated in Nahargarh Fort. At the entrance of museum there is beautiful 10 feet long Gati Gamini bullet. There are beautiful wax and silicon statues of history, cinema, literature  and sports celebrities like Sachin Tendulkar, MS Dhoni, Rajnikanth, Amitabh Bachhan, Albert Einstein, etc. There are two sections viz. Hall of Icons and Royal Darbar in the museum. I really liked the liveliness of the sculpted statue images. The entry charges are Rs.500 when i visited which includes entry to Wax Museum and Sheesh Mahal. Had a stupendous experience altogether."
,,,,,Thank you for visiting.
,,,,,Thank you for visiting.
,,,,,Its a good museum to visit if you have 1-2 hours to spare and haven't been to other wax museums before.
,,,,,Thank you for visiting.
,,,,,Thank you for visiting.
,,,,,If you have time to spare then this place could be added to your visiting list when you're in Jaipur. It will take 1.5 hrs to fully see this attraction.
,,,,,Thank you so much for taking the time to leave us a rating.
,,,,,Thank you so much for taking the time to leave us a rating.
Jaipur_Wax_Museum,arifahmed2017,1.0 of 5 bubbles,Feb 2019 • Friends,Much lower quality and limited statues ,Nice place .But wax statues are of much low quality as compared to the madam Tussad and also they are of limited numbers . On top of that you are not allowed to take pictures on your own when you have already paid the price of 500 rupees . 
Jaipur_Wax_Museum,Stay14760046622,5.0 of 5 bubbles,Jan 2019 • Family,Excellent experience,"Thank you for visiting. Sorry for that we could not meet your expectations, would you like to give any suggestions for the future so will work on it."
Jaipur_Wax_Museum,Subhash chand A,4.0 of 5 bubbles,Sep 2018 • Solo,Just loved it and peace,"Thank you for visiting. Sorry for that we could not meet your expectations, would you like to give any suggestions for the future so will work on it."
Jaipur_Wax_Museum,Stay14760046622,5.0 of 5 bubbles,Nov 2018 • Couples,jaipur wax museum,"It is addjoing to Nahargarh fort,near amber fort.it is about 8 km from Jaipur. It's ticket rate is 500/ per person . It have not allowed to own  camera or mobile to capture photo."
Jaipur_Wax_Museum,Tech gyan,5.0 of 5 bubbles,Nov 2018 • Couples,Jaipur wax museum on Nahargarh forte,Thank you so much for sharing your experience with us.
Jaipur_Wax_Museum,Stay14760046622,3.0 of 5 bubbles,Oct 2018 • Family,"Nice, but nothing Great",Thank you so much for sharing your experience with us.
Jaipur_Wax_Museum,vaida17,5.0 of 5 bubbles,Oct 2018 • Friends,Excellent,A peaceful place where can experience something historic and know about Jaipur as well that makes us feels hopeful and lovely at Jaipur
Jaipur_Wax_Museum,Stay14760046622,5.0 of 5 bubbles,Nov 2017,Must see with Kids!,Thank you so much.
Jaipur_Wax_Museum,NorthStar293062,4.0 of 5 bubbles,Aug 2018 • Family,Indigenous wax museum and 20th century Mirror Palace,Thank you so much.
Jaipur_Wax_Museum,Stay14760046622,5.0 of 5 bubbles,Feb 2018 • Friends,Visit to Jaipur Wax Museum,"This place is a must for the visitor to Jaipur. It is located at the top of the hill, which is the highest point in Jaipur.  The museum is very much comparable to Madam tussads.  The wax replicas are placed in line as per history.  The dress provided on the statues are exactly the same, as the originals. visitors are not allowed to photograph, but their official photographers would assist you with good photographs, where ever you need.  wax statues are real looking, so minutely crafted.  overall it deserves appreciation."
Jaipur_Wax_Museum,Vivek C,,,,Thank you so much for taking the time to leave us a good review.
Jaipur_Wax_Museum,Heet_patel,,,,Thank you so much for taking the time to leave us a good review.
Jaipur_Wax_Museum,Stay14760046622,,,,Worth visiting place to see at Jaipur.The place on the top of hill and a beautiful place with clean surrounding .
Jaipur_Wax_Museum,Saket G,,,,Thank you so much.
Jaipur_Wax_Museum,Stay14760046622,,,,Thank you so much.
Jaipur_Wax_Museum,Venkataraman U,,,,"The ticket price is pretty steep at Rs 500 per person, and it is for both Wax Museum and the adjoining Sheesh Mahal.Wax museum is divided into two parts: first part containing wax statues of Indian and International celebrities and the second containing statues of distinguished personalities in Rajasthan's history. In total, there are about 30 wax statues.The statues are pretty good and done well. However, I don't really understand the fuss about it. True, for kids, it is exciting and knowledgeable but for adults, come on, they are just statues.Now, a word about the racket going on there. You can get your photos clicked, but not from your own camera. With your express permission, the museum people tag a photographer along with you and he keeps clicking your snaps with all the statues. At the end, there is a camera room where you can select which photos you want and they will transfer the soft copy to your phone. Each soft copy costs your Rs 25, with a minimum of 8 copies. Bloody scammers won't miss an opportunity to loot the tourists. It was seriously off-putting.Now, a word about the Sheesh Mahal. It's a total wastage of time. All you have is a single hall with mirrors, big and large, all around. They tell you the place consists of 3 million mirrors, with the floor also made up of mirrors. A lousy presentation, a completely disinterested host, and stupid mirrors all around without really anything magical make it such a damp squib. The place was recently made, and there is no history associated with it even though it is located right there within the Nahargarh fort premises. But the cunning people have clubbed the tickets with Wax Museum, so you don't have an option to opt out of visiting this lousy Sheesh Mahal. Instead, go see the original Sheesh Mahal in Amer Fort....you'll be blown over.All in all, nothing terribly exciting and can be avoided. The kids, however, will most likely enjoy it."
Jaipur_Wax_Museum,Stay14760046622,,,,One of the best place to visit in jaipur. The museum has all type of ideols one wants to see. Once to visit if you are in jaipur
Jaipur_Wax_Museum,spsandip17,,,,Thank you for visiting.
Jaipur_Wax_Museum,Stay14760046622,,,,Thank you for visiting.
,,,,,"This place though not much highlighted, but is a delight and is perfect place to visit with kids!On top of it they have reasonable photographer who will take your photos and than share it in pen drive...Good place!"
,,,,,We really appreciate you taking the time to share your rating with us .
,,,,,We really appreciate you taking the time to share your rating with us .
,,,,,"After the Nahargarh Fort visit, the tourists normally head towards the recently constructed Wax Museum and the modern Sheesh Mahal. Around 15 Indian wax statues and 9 international artists including Michael Jackson as well as the Spider Man are on display with imagined setting. The organisers are providing disposable foot covers to ensure neatness of the place. On payment,  the tourists can collect specific number of pics (soft copy) by the photographers arranged by the organisers. The actual artist who has done the wax statues deserve explicit attribution. The adjacent Sheesh Mahal, made of several lakhs of pieces of glass, is another attraction. The glass pieces are well collaged from floor to ceiling to make an excellent mirror palace. A guide present there explains the intricacies. Worth seeing once."
,,,,,Thank you for visiting.
,,,,,Thank you for visiting.
,,,,,A trip to Jaipur is incomplete without visiting the Jaipur Wax Museum. The museum holds beautiful wax statues and wax sculptures. The guide explained us well about the museum and the experience was worth it.
,,,,,Thank you so much.
,,,,,Thank you so much.
Jaipur_Wax_Museum,Sareen J,5.0 of 5 bubbles,Jul 2018 • Friends,JWM,Awesome feeling Tremendous work of glass in SHEESH MAHALGuide's are also good in explaining about everything in wax museum.
