Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Jewels_Lake_Palace_Jaipur,Nevena,5.0 of 5 bubbles,Nov 2019 • Friends,Best quality jewels and warm welcome,Jewelry lake Shop is the perfect place to make yourself a beautiful and precious gift from IndiaJewelry lake Shop is situated near to Lake Palace and you can visit it very easily during your Jaipur sightseeing.Every time I feel there more than warm welcomed.I highly recommend this Shop where you can buy the Best present as a Good memory from Incredible India. 
Jewels_Lake_Palace_Jaipur,debbie w,5.0 of 5 bubbles,Dec 2019 • Solo,Too many choices...,"I have returned , to my favorite  jewellery showroom  in Jaipur.  Trying to decide which gem I'd  love  to add to my collection. Seems I'm  loving the Stacker rings. Very versatile.  "
Jewels_Lake_Palace_Jaipur,Violetta,5.0 of 5 bubbles,Nov 2019,Wonderful place & lovely people,"Beautiful jewelry, best quality and invaluable attitude. Highly recommended, I would love to visit it again and again."
Jewels_Lake_Palace_Jaipur,reubenranjanfern2017,5.0 of 5 bubbles,Aug 2019,Local Jewellery.,This place is full of art and jewellery. Lots of options and choices available. Lots of local design.
Jewels_Lake_Palace_Jaipur,debbie w,5.0 of 5 bubbles,Dec 2018 • Solo,Gifts to myself....,"Back to my FAVOURITE  & TRUSTED jewellery  showroom  in Jaipur,  India. I chose 3 rings. A beautiful  Rutile ring, set in sterling  silver.  Another ring, Amethyst,  simple setting.. expertly cut gem stone. Another  Amethyst,  smaller gem stone. With just a little gold in the setting. Service was honest, & delivered on time for my departure.  Thank you again,  Mansoor  for your expert knowledge.  I will return. "
Jewels_Lake_Palace_Jaipur,KatrinaUlrich,5.0 of 5 bubbles,Mar 2018 • Business,What a fabulous jewelry and stone shop! ,Step into Monsoor Kahn’s Jewels Lake shop and you are greeted warmly with both hands outstretched and a twinkly eyes smile of welcome. Want to talk about stones or a particular piece of jewelry? Sit over tea with Monsoor and he gives his full attention to you.  Jewels Lake goes beyond standard customer service. The quality of the product is very high with everyone who works there very knowledgeable about each piece. I am happy to count Monsoor as a friend now after visiting his shop for many years.  
Jewels_Lake_Palace_Jaipur,merravp,5.0 of 5 bubbles,Apr 2018 • Friends,The best place for jewlery,Mansoor has a large choice of stones and jewels. classical or modern design to suit everyone and the range of prices is wide.We were very warmly welcomed by Mansoor who is a true craftsman.This is your place to shop for jewlery!
Jewels_Lake_Palace_Jaipur,umerath h,5.0 of 5 bubbles,Nov 2017 • Friends,Gems from Jaipur,"A delight for your Senses’s . For lovers of authentic crystals ,and jewellery . Not only is this place beautiful , but high vibration . One feels elevated every time you enter the show room .With sincerity , and integrity , the owner Mansour Khan explains the depth , and value of his masterpiece. You can see the love ,and dedication on the workmanship of the jewellery.Situated few minutes from Jal Mahal , and very close to the famous Forts of Jaipur Rajistan, Lake Palace is  must to visit . My friends , and I are cherishing each piece we bought . Looking forward to our next visit this year ."
Jewels_Lake_Palace_Jaipur,Saraillot,5.0 of 5 bubbles,Mar 2018 • Couples,Very warm welcome in a place fit for everybody,"Very close to the Lake Palace in Jaipur a very nice place to visit if you want to see a large choice of stones and jewels. There is something for everybody, classical jewels as well as modern and original ones, with a very wide range of prices.We were very warmly welcomed by Mansoor and his team, and spent a very interesting and nice time together. We brought back some earrings and rings at very affordable prices, and are very happy with them."
Jewels_Lake_Palace_Jaipur,Ara B,5.0 of 5 bubbles,Nov 2017 • Friends,"Beautiful jewels and great shop, you would feel as being at home.","While walking I discovered this great shop, since the beggining I was treated great, Mansoor, the owner, is a great warm person such as all the people working with him, we are friends since then, he teached me a lot about jewels and we did a good deal. I would deffinitely recommend this place."
Jewels_Lake_Palace_Jaipur,bngaxne,5.0 of 5 bubbles,Apr 2018 • Solo,Best place in India for jewels,"The most beautiful rings, earings, stones in IndiaVery good prices and MANSOOR is a very honored man, knowing very well about stones and very friendly and trustful manA  high recomendad place"
Jewels_Lake_Palace_Jaipur,Serfou51,5.0 of 5 bubbles,May 2017 • Couples,"Great place, Great welcome !","We had a great time with Mansoor. Very nice man, knowing very well rare stones and doing a wonderful job in his very welcoming shop in Jaïpur. We stayed few hours looking to a lot of handsome rings, earrings or bracelets and collars all home beautifully made. His gentle reception was a unique moment and we came out with few amazing jewels for a Very affordable price. Well, don’t miss it if you travel to Jaïpur...Serge F"
Jewels_Lake_Palace_Jaipur,Dirk Vanbrabant,4.0 of 5 bubbles,Feb 2018 • Couples,Great shop with a wide choice of precious and semi-precious stones.,"Interesting shop with experienced friendly staff presenting a wide range of bracelets, earrings, necklaces, rings etc. mostly inserted with valued precious or semi precious stones. They accept special orders, as well as worldwide forwarding."
Jewels_Lake_Palace_Jaipur,Erick H,5.0 of 5 bubbles,Mar 2018 • Solo,Great place,"Great friendly experience, the best way to buy, great quality of Jewelry.They are great and honest they give you the confidence oficina years oficina experience"
Jewels_Lake_Palace_Jaipur,usharauf,5.0 of 5 bubbles,Oct 2017 • Couples,Wonderful experience,One of the best jewelry showcases I have ever seen. Lots of choices and wonderful people. We were able to see how hard these people work to get us these precious stones! Would love to go back again!
Jewels_Lake_Palace_Jaipur,Manolito16,5.0 of 5 bubbles,Dec 2017 • Couples,Very good experience,Mansoor took his time to show us his selection. Very patient and very genuine person. Very happy with what I bought and at a reasonable price. Would definitely go back.
Jewels_Lake_Palace_Jaipur,Melissa P,5.0 of 5 bubbles,Feb 2018 • Solo,Must see shop for quality jewellery!!,Huge range of beautiful gem stone jewellery!! Friendly knowledgeable service. Beautifully displayed:)Will definitely be visiting again.
Jewels_Lake_Palace_Jaipur,debbie w,5.0 of 5 bubbles,Mar 2018 • Solo,Gift to myself.... ,Again... I visit my trusted & favourite jewellery showroom in jaipur.  I had decided on an early birthday gift to myself.  This was my choice. Garnet & Citrine earrings. 18 k  yellow gold.  Rings. Garnet & Sterling silver.  Citrine.  Sterling silver / gold Polish.  Not for everyday wear. I love them. 
