Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Kerala_Ayurveda_Kendra,Dicuza D,5.0 of 5 bubbles,Feb 2023 • Solo,Excellent treatment!,"We had 90 minute therapy at this center which made us relaxed after whole week travel in India. Wonderful, clean place with great staff."
Kerala_Ayurveda_Kendra,Miatheroad108,5.0 of 5 bubbles,Feb 2023 • Solo,Ever best!,One of the best massage I ever had. Doctor asked me my health issues and suggested therapy. The masseur were very caring and attentive. Highly recommend
Kerala_Ayurveda_Kendra,angharad b,5.0 of 5 bubbles,Feb 2023 • Friends,Outstanding!!,"Leave a review (required)We had the most incredible treatments at KeralaAyurveda Kendra. Two of us had the facial and hotoil treatment with head massage from two lovelyladies and one of us had a full body, face and headmassage with Suresh. In a word: WOW! Themasseurs were professional, Skilled and veryattentive. Great value for money and lovely people.Highly highly recommend (3)"
Kerala_Ayurveda_Kendra,Melody P,5.0 of 5 bubbles,Jan 2023 • Couples,Great,Great professional and clean. Make sure you get the right place. We really enjoyed it and would go again next time we visit.  
Kerala_Ayurveda_Kendra,stacy,5.0 of 5 bubbles,Jan 2023 • Couples,Great Ayurveda massage ,I went to this place with my husband  and the experience was really awesome.we both liked our massage and staff was very friendly. 
Kerala_Ayurveda_Kendra,jess1901,5.0 of 5 bubbles,Jan 2023 • Friends,Highly recommend!,The massage at this centre was absolutely brilliant!! The therapist was very skillful and knew the techniques well. It’s one of the best massages I’ve ever had and I would highly recommend the oil treatments
Kerala_Ayurveda_Kendra,Stuart W,5.0 of 5 bubbles,Jan 2023 • Solo,Brilliang massage. Highly recommend. This is a very good place to go with a range of massage services.,Excellent massage. Great facilities. Friendly and knowledge staff. This is located in a pleasant residential area away form noise of city. Ideal to relax.
Kerala_Ayurveda_Kendra,Juliana S,5.0 of 5 bubbles,Jan 2023 • Friends,shirodhara massage,I had a great experience in Jaipur. I highly recommend. I booked a 90 minutes shirodhara massage . I wish I had more time to do it again.
Kerala_Ayurveda_Kendra,Edie L,5.0 of 5 bubbles,Jan 2023 • Friends,Excellent massage!,Such an amazing massage! Lovely people who were really friendly. Would highly recommend this great place to everyone!
Kerala_Ayurveda_Kendra,Aoife,5.0 of 5 bubbles,Jan 2023 • Couples,A nice way to relax,A great place to relax. My husband and I got the basic full body massage and it was nice. The room was warm and quiet. They arranged pick up and drop off from our hotel which was greatly appreciated. A nice way to explore ayurveda massage.
Kerala_Ayurveda_Kendra,Dominique G,5.0 of 5 bubbles,Jan 2023 • Friends,Relief from terrible back pain,"I visited the center with terrible back pain (sciatica) and was given a hot oil pouch massage. After 50’, my back felt much better and I was able to visit Jaipur and walk 8 km on the following day. Thanks for everything! I am very grateful!"
Kerala_Ayurveda_Kendra,ControlledMadness,5.0 of 5 bubbles,Jan 2023 • Couples,"A wonderful experience, both soothing and energizing   ","My husband and I had the pleasure of an Ayurveda full body massage on Jan 12. The masseur and masseuse who took care of us were both highly professional, considerate and pleasant. Wish we could come again!"
Kerala_Ayurveda_Kendra,Judy,5.0 of 5 bubbles,Jan 2023 • Solo,Most relaxing,Lovely massage which was very welcome after a hectic few days touring Rajahstan - I feel totally relaxed and recommend to everyone. I had the Abhyanga full head and body massage.
Kerala_Ayurveda_Kendra,shalala2011,5.0 of 5 bubbles,Jan 2023 • Solo,Treat yourself !  Highly recommend!!!,"I highly recommend this wonderful place.  Incredible clinic with a slate of services you do not want to miss. The Dr is very knowledgeable and can advise you regarding many ailments.  Be sure to talk to him about any concerns and take his advice. Their staff are all wonderful and their prices fair. I tried a variety of treatments and they were all top notch.  I recommend them all, but I absolutely recommend the Pizhichil with abhyyangam massage.  Ladies this treatment is so beautiful it felt like a spiritual experience.  Every staff member went above and beyond to make my experiences there healing and special."
Kerala_Ayurveda_Kendra,mahendra75,5.0 of 5 bubbles,Jan 2023 • Friends,Wonderful and relaxing!,Thanks for visiting us and giving us a chance to serve you. It was pleasure meeting you and serving you. Thanks for sparing time to review us. Your words encourages us to keep doing good work. Have great time.
Kerala_Ayurveda_Kendra,Ckelly,5.0 of 5 bubbles,Jan 2023 • Friends,Wonderful,Thanks for visiting us and giving us a chance to serve you. It was pleasure meeting you and serving you. Thanks for sparing time to review us. Your words encourages us to keep doing good work. Have great time.
Kerala_Ayurveda_Kendra,mahendra75,5.0 of 5 bubbles,Jan 2023 • Solo,Unforgettable Shirodhara massage.,"Beautiful massage, facial and steam. Such a relaxing atmosphere - a peaceful haven away from the nerve-jangling streets of the city. Such good value for money. Would return in a heartbeat!"
Kerala_Ayurveda_Kendra,Maddie halil,5.0 of 5 bubbles,Jan 2023 • Couples,One of the best,Thanks for visiting us and giving us a chance to serve you. It was pleasure meeting you and serving you. Thanks for sparing time to review us. Your words encourages us to keep doing good work. Have great time.
Kerala_Ayurveda_Kendra,mahendra75,5.0 of 5 bubbles,Dec 2022 • Family,Excellent service and treatments,Thanks for visiting us and giving us a chance to serve you. It was pleasure meeting you and serving you. Thanks for sparing time to review us. Your words encourages us to keep doing good work. Have great time.
Kerala_Ayurveda_Kendra,KiwiOakley,5.0 of 5 bubbles,Jan 2023 • Couples,Amazing massage,"We had lovely time. Brilliant neck to toe massages, super relaxing, feel like new born baby. The facial was great as well! Everyone was really friendly and the place was spotless and smelt amazing. AND incredible value for money if you’re used to European spas!"
Kerala_Ayurveda_Kendra,mahendra75,,,,Thanks for visiting us and giving us a chance to serve you. It was pleasure meeting you and serving you. Thanks for sparing time to review us. Your words encourages us to keep doing good work. Have great time.
Kerala_Ayurveda_Kendra,AlCohall,,,,Thanks for visiting us and giving us a chance to serve you. It was pleasure meeting you and serving you. Thanks for sparing time to review us. Your words encourages us to keep doing good work. Have great time.
Kerala_Ayurveda_Kendra,mahendra75,,,,"Service and communication was excellent and safe transfer between hotel and premises was available. I like to try local massages when I travel and the Shirodhara was new to me but an incredible experience. Truly relaxing and so good i went back the next night for a Indian aroma and pinda Sweden. Excellent value for money, great masseuse, no concerns over hygiene. Highly recommend trying this to relax after a hectic and noisy day in Jaipur."
Kerala_Ayurveda_Kendra,232Maria232,,,,Thanks for visiting us and giving us a chance to serve you. It was pleasure meeting you and serving you. Thanks for sparing time to review us. Your words encourages us to keep doing good work. Have great time.
Kerala_Ayurveda_Kendra,mahendra75,,,,Thanks for visiting us and giving us a chance to serve you. It was pleasure meeting you and serving you. Thanks for sparing time to review us. Your words encourages us to keep doing good work. Have great time.
Kerala_Ayurveda_Kendra,William K,,,,My wife and I had one of the best massages we have ever had at Kerala Ayurveda Kendra and we have experienced them all over the world.
Kerala_Ayurveda_Kendra,mahendra75,,,,Thanks for visiting us and give us a chance to serve you. It was pleasure meeting you and serving you. Your word of appreciation means a lot to us. Have great time.
,,,,,Thanks for visiting us and give us a chance to serve you. It was pleasure meeting you and serving you. Your word of appreciation means a lot to us. Have great time.
,,,,,Very nice experience with good communication for booking. Hotel pickup and drop off worked wonderfully. Place was very nice and professional and the treatments excellent. We left happy and relaxed!
,,,,,Thanks for visiting us and give us a chance to serve you. It was pleasure meeting you and serving you. Your word of appreciation means a lot to us. Have great time.
,,,,,Thanks for visiting us and give us a chance to serve you. It was pleasure meeting you and serving you. Your word of appreciation means a lot to us. Have great time.
,,,,,"My wife and I went to to get a massage, and it was the best Ayurvedic massage we had in India - better than the one we had in Kerala! The spa/setting is lovely, and the masseuses were excellent. If you like a deep tissue type massage, they can tell the masseuse to increase the pressure - they will also check in with you whilst you’re getting the massage so you can adapt to how much pressure you prefer. Highly recommend!"
,,,,,Thanks for visiting us and give us a chance to serve you. It was pleasure meeting you and serving you. Your word of appreciation means a lot to us. Have great time.
,,,,,Thanks for visiting us and give us a chance to serve you. It was pleasure meeting you and serving you. Your word of appreciation means a lot to us. Have great time.
Kerala_Ayurveda_Kendra,Rajesh Atoliya,5.0 of 5 bubbles,Dec 2022 • Couples,Excellent treatment,I am totally satisfied for the services. Dr. Mahindra have lot of knowledge about the ayurveda’s treatment. The premises is neat n clean and hygiene. My best wishes to Kerla Ayrved for bright future.
Kerala_Ayurveda_Kendra,mahendra75,5.0 of 5 bubbles,Oct 2022,Amazing and memorable experience,Thanks for sparing time to visit us during your stay in Jaipur. It was pleasure meeting you and serving you.
Kerala_Ayurveda_Kendra,ann maree p,5.0 of 5 bubbles,Dec 2022 • Friends,Perfect,Thanks for sparing time to visit us during your stay in Jaipur. It was pleasure meeting you and serving you.
Kerala_Ayurveda_Kendra,mahendra75,5.0 of 5 bubbles,Dec 2022 • Family,Fantastic and unforgettable sirodhara massage,"I booked in for a Ayurvedic massage and had the most amazing experience ever, so I then returned  everyday after while I was staying in Jaipur. Dr Sharma was always available for a consultation before each one advising the masseuse on which particular oils to use. He is such a lovely, welcoming and knowledgable man and made me feel very comfortable. The atmosphere was very clean and inviting with high quality products. The massage staff were very kind and professional. I'm hoping to come back soon to study Ayurvedic medicine here.  Would highly recommend this place."
Kerala_Ayurveda_Kendra,Miranda de meo,5.0 of 5 bubbles,Dec 2022 • Friends,A relaxing afternoon,Thanks for visiting us during your stay in Jaipur. It was pleasure meeting you and serving you.
Kerala_Ayurveda_Kendra,mahendra75,5.0 of 5 bubbles,Dec 2022 • Solo,First time Ayurveda - success!,Thanks for visiting us during your stay in Jaipur. It was pleasure meeting you and serving you.
