Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Mukesh_Art_Gallery,John M,5.0 of 5 bubbles,Jan 2023 • Friends,Great service and pieces,Awesome art pieces and service here at the Mukesh gallery. They stayed open late for me to arrive and provided great attention to detail. Definitely visit if you’re in Jaipur
Mukesh_Art_Gallery,Bhim,5.0 of 5 bubbles,Jan 2023 • Business,Paintings,Among experience and most helpful staff with enormous varieties of paintings found nowhere in Jaipur. One should definitely visit.
Mukesh_Art_Gallery,Pratik K,5.0 of 5 bubbles,Jan 2023 • Solo,Beautiful paintings,"Beautiful paintings, lots of variety from rajasthani to abstract.. Rohit is amazing and very helpful. One place to find so many different paintings - looking forward to coming back here again"
Mukesh_Art_Gallery,Rajul,5.0 of 5 bubbles,Jan 2023 • Friends,Mesmerising collection,Beautiful gallery that’s treat to the eyes all 5 floor flooded with paintings n art pieces that are rare master pieces one must come here for experience of the life time that’s so rare n beautiful
Mukesh_Art_Gallery,Himanshu Maheshwari,5.0 of 5 bubbles,Jan 2023 • Couples,Astounding collection of paintings and handicrafts,This gallery is in the south of jaipur (less than a km away from the airport). They have an astounding art collection spread over various floors. Apart from paintings they have a separate floor for handicrafts as well. Prices are reasonable and staff is patient.
Mukesh_Art_Gallery,rr50,5.0 of 5 bubbles,Jan 2023 • Family,Good place to buy high quality artwork for home!,Read about Mukesh art gallery on this platform and decided to visit with family. This place is filled with high quality artwork. Like any art gallery or shop one has to look for that piece which is special for themselves. A very large collection over several floors. If you are interested in buying Indian art for your home then you won’t be disappointed. Go with a lot of patience though as there is a large stock.
Mukesh_Art_Gallery,Pradeep M,5.0 of 5 bubbles,Jan 2023 • Solo,Spoilt for choice,"Not commercial. A wholesale treasure trove spanning five floors that has all kinds of paintings be it miniature, traditional folk, contemporary and super realistic oil paintings as well. Highly recommended for art lovers! One of a kind in Jaipur."
Mukesh_Art_Gallery,Pooja Karan bafna,5.0 of 5 bubbles,Dec 2022 • Family,Amazing and stunning art piece found,We recently bought an absolutely stunning painting from Mukesh Art Gallery. We are from Chennai and we have been looking for a masterpiece since a long time but we finally we found it here. Also thank you to the entire staff here who are patient enough to guide us through every bit
Mukesh_Art_Gallery,Chavi gupta,5.0 of 5 bubbles,Jan 2023 • Couples,You can't miss it,Visited the Mukesh Art Gallery in Jaipur. They have a fantastic collection of  paintings of various art forms . Was very difficult to select a painting from the vast collection . Absolutely  loved their collection .
Mukesh_Art_Gallery,Mitali G,5.0 of 5 bubbles,Jan 2023 • Family,Amazing Experience!!,Stunning art pieces at this gallery! Owner and staff are excellent and showed us so many varieties of paintings for our house.They are very courteous and knowledgeable.Great prices too for the quality of original art
Mukesh_Art_Gallery,Sanjoy G,5.0 of 5 bubbles,Jan 2023 • Family,Excellent art gallery for all kinds of arts and handicrafts,Amazing and extensive art collection with very reasonable prices. All styles of paintings and handicrafts. Very knowledgable and friendly staff
Mukesh_Art_Gallery,Joe Cooke,5.0 of 5 bubbles,Jan 2023 • Friends,Highly recommend,"Brilliant experience shopping here - great paintings by local artists, friendly staff and fair prices"
Mukesh_Art_Gallery,Nina Cooke,5.0 of 5 bubbles,Jan 2023 • Family,Fantastic choice of art at reasonable prices,"Great experience viewing and buying art here. Styles to suit every taste with reasonable prices and superb, non-salesy service. Highly recommend."
Mukesh_Art_Gallery,Sarah D,5.0 of 5 bubbles,Jan 2023 • Friends,Lovely paintings,Great variety of styles and sizes with friendly staff. A short drive outside of central Jaipur. I would recommend.
Mukesh_Art_Gallery,Abhishek,5.0 of 5 bubbles,Dec 2022 • Couples,Great experience and collection,"Great collection of various art forms. Staff is welcoming, knowledgeable and the owner himself is a great guide. They patiently spent time with us , helping to uncover our needs and showed several paintings , multiple times with great detailed overview of each. Extremely satisfied with our day spent at the gallery and the unique purchases we made !"
Mukesh_Art_Gallery,Shubh G,5.0 of 5 bubbles,Jan 2023 • Family,AMAZING,Really good collection and variety of paintings and other crafts. They have exclusive pieces that can’t be found elsewhere. The staff is so friendly and Mr. Rohit was very hospitable. We will make sure to go back!
Mukesh_Art_Gallery,Rahul Rachamalla,5.0 of 5 bubbles,Dec 2022 • Couples,Show me a better hidden gem in Jaipur than this,"Who knew that we'd purchase one of our best art collections from a nondescript place in a seemingly mundane location like this gallery. Rohit was extremely pleasant to interact with and shares a great taste in art. He was genuinely helpful in closing a great deal on a collectible piece. Me and my wife can't wait to frame it and hang it in our home in California. If you are looking for something more than a run off the mill type of art work, this is your place."
Mukesh_Art_Gallery,OnAir638788,5.0 of 5 bubbles,Nov 2022 • Family,Best paintings,Amazing place. Brilliant collection of paintings. The staff was extremely cooperative. Unbeatable prices
Mukesh_Art_Gallery,Divir J,5.0 of 5 bubbles,Oct 2022 • Family,Amazing gallery - a must visit in Jaipur!,We absolutely loved the Gallery. The collection of art here is exquisite and carefully curated over the years under the watchful eye of the Gupta family. We were attended to very enthusiastically by Rohit Gupta - the proprietor himself who also happened to be my junior from school! We ended up buying a large piece of art for our living room in London. This is something for which we had searched quite a few galleries across the UK and India but our search finally ended at Mukesh Art Gallery. Highly recommended for all art enthusiasts and investors who happen to visit Jaipur.
Mukesh_Art_Gallery,trishala shastri,5.0 of 5 bubbles,Oct 2022 • Couples,Mesmerizing art,"Astounding art collection! They have a great and huge collection of beautiful paintings, loved it 🙂. Must visit place!!!"
Mukesh_Art_Gallery,Richa S,5.0 of 5 bubbles,Sep 2022 • Friends,Exceptional Service,Must visit when in Jaipur! I spent almost 2.5 hours here looking at the amazing collection they have. The staff patiently responded to all my queries and I finally ended up buying not one but four madhubani paintings. The owner of the store also came and provide his suggestions. Classic example of great customer service.
Mukesh_Art_Gallery,Rachita Maheshwari,5.0 of 5 bubbles,Sep 2022 • Solo,"Good collection, welcoming staff.","Mukesh art gallery is truly incredible, with impeccable collection of artwork. Looking at all their jaw dropping artwork just makes you feel alive! Amazed by their collection, under one roof you can find varied forms of art. Very knowledgeable and welcoming staff. Had a good interactive experience with owner Mr.Rohit Gupta, Thank you Mr. Rohit for helping me in final selection. One of the best art galleries, highly recommended place to go."
Mukesh_Art_Gallery,Peter W,5.0 of 5 bubbles,Aug 2022 • Family,Great and varied collection!,"Wonderful gallery with knowledgeable, accommodating staff. We were interested in Rajasthani miniatures and they showed us many options of various ages and types. We were able to find what we liked and will gladly return next time we are in Jaipur."
Mukesh_Art_Gallery,Santana K,5.0 of 5 bubbles,Jun 2022,A very satisfied customer !,"It was so easy getting our precious paintings framed here - definitely the fastest high quality framing service that I have ever encountered ! Great suggestions, patient and courteous staff and overall just a wonderful experience. Do visit my favorite art gallery in Jaipur !"
Mukesh_Art_Gallery,Dinesh,5.0 of 5 bubbles,Jun 2022 • Friends,Delightful,Mukesh Art Gallery brings you some of the finest work from the industry. You can check ample of amazing work actually before you buy one that you love! Staff is supportive and professional that makes your experience delightful.
Mukesh_Art_Gallery,Khushi pathak,5.0 of 5 bubbles,Jun 2022 • Family,Great,It was great visiting here. Very beautiful pieces n artwork under one roof. Undoubtedly the best place for art lovers in jaipur.
Mukesh_Art_Gallery,Siddharth Pathak,5.0 of 5 bubbles,Jun 2022 • Family,Excellent experience,Huge Collection of Modern Arts Wide variety and pocket friendlyHandicrafts and wide range of deity collection
Mukesh_Art_Gallery,Sandeep M,5.0 of 5 bubbles,Jun 2022 • Couples,One Stop Gallery for all your Art requirements,"Amazing collection with highly skilled and well informed staff to guide and advise your best buy. Bought an outstanding work of Pichwai art'painting which was simply a masterpiece found here with Mukesh Art Gallery, Jaipur."
