Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Rajasthan_Small_Scale_Cottage_Industry-Amer,Ravi S,5.0 of 5 bubbles,Feb 2023 • Couples,Bandhini sarees and dresses,Great experience to be here. Famous for its bandhini sarees and dresses apart from the block printed items
Rajasthan_Small_Scale_Cottage_Industry-Amer,Vedika Rao,5.0 of 5 bubbles,Feb 2023 • Friends,One shop. Many items,"One shop. Many items. Reasonable prices.  Must visit. From carpets to handicrafts,  jewellery,  textiles, leather.  They have all"
Rajasthan_Small_Scale_Cottage_Industry-Amer,Abdul Karim Khan,5.0 of 5 bubbles,Feb 2023 • Couples,Very good shop,Our visit to Jaipur was very good. We shopped at this shop for a few items. We spent some time here. There is a restaurant also. Nice food
Rajasthan_Small_Scale_Cottage_Industry-Amer,Sitaram Bishnoi,5.0 of 5 bubbles,Jan 2023 • Family,Awesome collection,"Awesome collection of handicrafts and paintings. They have items in wood, metal, marble, leather, etc"
Rajasthan_Small_Scale_Cottage_Industry-Amer,Ajay Rana,5.0 of 5 bubbles,Feb 2023 • Family,Very big shop,We all family members ent to Jaipur for cousins marriage and also visited Amer fort. We also went to this shop. The shop is very big and so many articles are there. We bought some razai and salwar suits. Nice items
Rajasthan_Small_Scale_Cottage_Industry-Amer,Gopichand Tiwari,5.0 of 5 bubbles,Jan 2023 • Friends,My favourite shop,My favourite shop in Jaipur since many years. They have very good quality of items and prices are reasonable
Rajasthan_Small_Scale_Cottage_Industry-Amer,Chandr_abhan,5.0 of 5 bubbles,Jan 2023 • Friends,Good shopping place,Visited this place with my friends. I found this place very intresting & beautiful. Good for shopping .
Rajasthan_Small_Scale_Cottage_Industry-Amer,Marcin P,5.0 of 5 bubbles,Feb 2023 • Family,Interesting experience,The best service in India. Very good quality and perfect service. The best experience is to meet Mr Radziu who is the designer and artist.
Rajasthan_Small_Scale_Cottage_Industry-Amer,Vaishali Godse,5.0 of 5 bubbles,Jan 2023 • Solo,Best shop in Jaipur,My visit to this shop was great. They have so many items under one roof. If you are in Jaipur you should go there for your shopping needs
Rajasthan_Small_Scale_Cottage_Industry-Amer,Raj Singh Yadav,5.0 of 5 bubbles,Jan 2023 • Family,Awesome paintings,Awesome collection of handicrafts and paintings. Bought some decoration items for the house and some for gifts
Rajasthan_Small_Scale_Cottage_Industry-Amer,Hansraj Behl,5.0 of 5 bubbles,Jan 2023 • Couples,Prices on lower side than market,Our experience at shopping in this place was fantastic. Market prices were higher when we compared there. Nice quality items
Rajasthan_Small_Scale_Cottage_Industry-Amer,Vijay S,5.0 of 5 bubbles,Jan 2023 • Friends,Nice collection,Good shopping place for all family members. Nice collection of textiles and jewelery.  Also the handicrafts is nice
Rajasthan_Small_Scale_Cottage_Industry-Amer,Ravindra Bhatt,5.0 of 5 bubbles,Jan 2023 • Couples,Textiles and handicrafts,This shop is very good for your all needs of textiles and all other items. They have textiles leather items and jewellery. Also handicrafts
Rajasthan_Small_Scale_Cottage_Industry-Amer,Rssci,5.0 of 5 bubbles,Jan 2023 • Family,Reasonable rates,My family bought some jewellery and marble items and leather items from here. Nice items and reasonable rates
Rajasthan_Small_Scale_Cottage_Industry-Amer,Himanshu Choudhary,5.0 of 5 bubbles,Jan 2023 • Friends,Very good,We all friends went to this shop for shopping. We bought sarees and dresses for our family members and some shirts and kurtas too
Rajasthan_Small_Scale_Cottage_Industry-Amer,Jonathan Mathrws,5.0 of 5 bubbles,Jan 2023 • Couples,Excellent,Excellent articles available in this shop. They have so many things in one place that you are so undecided what to take and not take.
Rajasthan_Small_Scale_Cottage_Industry-Amer,Kanhaiya Mishra,5.0 of 5 bubbles,Jan 2023 • Friends,Very attractive marble items /God idols,"We were a group of friends and we're searching for a murti, a statue of Hanumanji,  for our temple.  We went to many shops but selected the one at this shop.  The dimensions of idol was perfect,  the face attractive and price just right"
Rajasthan_Small_Scale_Cottage_Industry-Amer,Shivani Ojha,5.0 of 5 bubbles,Dec 2022 • Family,Very good items and good service,We went on a shopping spree at this awesome outlet. We asked them to send all items to our address as we were travelling. We received the items in a nicely packed package. Everything was as we had selected and in good condition. We called and thanked them for the brilliant service
Rajasthan_Small_Scale_Cottage_Industry-Amer,Chandrakant Rao,4.0 of 5 bubbles,Jan 2023 • Family,Reasonable prices,"Our trip to Rajasthan culminated in the Pink City. On our visit to the Amber Palace we were suggested to visit this shop where we did some shopping. The items were good and prices,in comparison to the local market, reasonable"
Rajasthan_Small_Scale_Cottage_Industry-Amer,Grace Towers,5.0 of 5 bubbles,Jan 2023 • Family,Vast collection of items,A grand opportunity and a bigger experience of shopping in  this shop. I have had the opportunity of visiting many places in the country but never have I seen a shop so big as this and having such a vast collection of so many items under one roof
Rajasthan_Small_Scale_Cottage_Industry-Amer,Rajesh Sattam,5.0 of 5 bubbles,Jan 2023 • Family,Awesome tie and dye dresses and sarees,We were amazed to see the tie and dye  dresses. It was the first opportunity for me to see this awesome printing process.
Rajasthan_Small_Scale_Cottage_Industry-Amer,Rameshwar Singh Chouhan,5.0 of 5 bubbles,Jan 2023 • Solo,Awesome collection,My visit to this shop was awesome.  I bought some Saturday and dresses for family members.  They have an awesome collection
